Out-of-pocket health expenditure (% of total expenditure on health)	Out-of-pocket health expenditure (% of private expenditure on health)	Health expenditure per capita (current US$)	Health expenditure per capita, PPP (constant 2005 international $)	Health expenditure, private (% of GDP)	Health expenditure, public (% of total health expenditure)	Health expenditure, public (% of government expenditure)	Health expenditure, public (% of GDP)	Health expenditure, total (% of GDP)	Income share held by second 20%	Income share held by third 20%	Income share held by fourth 20%	Income share held by highest 20%	Income share held by highest 10%	Income share held by lowest 10%	Income share held by lowest 20%	Poverty headcount ratio at $2 a day (PPP) (% of population)	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	Poverty gap at $2 a day (PPP) (%)	Poverty gap at $1.25 a day (PPP) (%)	GINI index	Poverty gap at national poverty line (%)	Poverty headcount ratio at national poverty line (% of population)	Poverty gap at rural poverty line (%)	Poverty headcount ratio at rural poverty line (% of rural population)	Poverty gap at urban poverty line (%)	Poverty headcount ratio at urban poverty line (% of urban population)	Child employment in agriculture, female (% of female economically active children ages 7-14)	Child employment in agriculture, male (% of male economically active children ages 7-14)	Child employment in agriculture (% of economically active children ages 7-14)	Employees, agriculture, female (% of female employment)	Employees, agriculture, male (% of male employment)	Employment in agriculture (% of total employment)	Employment to population ratio, ages 15-24, female (%)	Employment to population ratio, ages 15-24, male (%)	Employment to population ratio, ages 15-24, total (%)	Share of women employed in the nonagricultural sector (% of total nonagricultural employment)	Employers, female (% of employment)	Employers, male (% of employment)	Employers, total (% of employment)	Self-employed, female (% of females employed)	Self-employed, male (% of males employed)	Self-employed, total (% of total employed)	Employment to population ratio, 15+, female (%)	Employment to population ratio, 15+, male (%)	Employment to population ratio, 15+, total (%)	Vulnerable employment, female (% of female employment)	Vulnerable employment, male (% of male employment)	Vulnerable employment, total (% of total employment)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.300000012	0.600000024	0.5	NaN	NaN	NaN	NaN	NaN	NaN	2.599999905	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
25.18260111	74.49209932	1428.971338	10.22828125	2.713467632	66.19426578	23.23849591	5.313181381	8.026649013	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	0	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.800000191	51.90000153	31.70000076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.39999962	75.5	45.20000076	NaN	NaN	NaN	0
22.11683622	100	13.08041692	45.86556479	0.5	77.88316378	3.202940142	1.760721177	2.260721177	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.20000076	47.5	46.90000153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.79999924	69.5	66.09999847	NaN	NaN	NaN	2
60.70001277	99.83454112	36.19486303	153.8494995	2.922339126	39.19938722	6.475415715	1.884091257	4.806430383	13.02	17.3	23.01	37.95	22.71	3.78	8.72	6.5	0.2	0.88	0.02	29.12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.59999847	35.90000153	42.90000153	39.29999924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.90000153	63.59999847	52.70000076	NaN	NaN	NaN	1
15.28202278	70.55805003	717.9647142	922.9140052	0.829299431	78.34120589	8.757435045	2.99962764	3.828927071	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.60000038	61	44.59999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30	89.80000305	73.30000305	NaN	NaN	NaN	3
27.99064054	63.21003963	671.2730757	725.7457589	3.618807701	55.71804621	15.01266535	4.553387497	8.172195199	8.06	13.01	21.34	53.65	35.95	1.08	3.94	7.49	3.77	3.41	2.22	49.11	NaN	NaN	NaN	NaN	NaN	26	NaN	NaN	NaN	0.200000003	1.100000024	0.800000012	23.79999924	42	33	39.6	2.400000095	5.900000095	4.599999905	24.89999962	30.29999924	28.20000076	34.09999847	65.5	49.29999924	22.5	24.39999962	23.60000038	2
70.69290142	93.05303106	30.61886661	93.27535931	4.449884196	24.02944793	7.70730505	1.407496163	5.85738036	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19	36	27.20000076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.09999847	55.90000153	46.29999924	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
28.03129074	87.04453441	394.5473251	550.2496282	1.577669903	67.79661017	13	3.321410322	4.899080225	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
