Out-of-pocket health expenditure (% of total expenditure on health)	Out-of-pocket health expenditure (% of private expenditure on health)	Health expenditure per capita (current US$)	Health expenditure per capita, PPP (constant 2005 international $)	Health expenditure, private (% of GDP)	Health expenditure, public (% of total health expenditure)	Health expenditure, public (% of government expenditure)	Health expenditure, public (% of GDP)	Health expenditure, total (% of GDP)	Income share held by second 20%	Income share held by third 20%	Income share held by fourth 20%	Income share held by highest 20%	Income share held by highest 10%	Income share held by lowest 10%	Income share held by lowest 20%	Poverty headcount ratio at $2 a day (PPP) (% of population)	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	Poverty gap at $2 a day (PPP) (%)	Poverty gap at $1.25 a day (PPP) (%)	GINI index	Poverty gap at national poverty line (%)	Poverty headcount ratio at national poverty line (% of population)	Poverty gap at rural poverty line (%)	Poverty headcount ratio at rural poverty line (% of rural population)	Poverty gap at urban poverty line (%)	Poverty headcount ratio at urban poverty line (% of urban population)	Child employment in agriculture, female (% of female economically active children ages 7-14)	Child employment in agriculture, male (% of male economically active children ages 7-14)	Child employment in agriculture (% of economically active children ages 7-14)	Employees, agriculture, female (% of female employment)	Employees, agriculture, male (% of male employment)	Employment in agriculture (% of total employment)	Employment to population ratio, ages 15-24, female (%)	Employment to population ratio, ages 15-24, male (%)	Employment to population ratio, ages 15-24, total (%)	Share of women employed in the nonagricultural sector (% of total nonagricultural employment)	Employers, female (% of employment)	Employers, male (% of employment)	Employers, total (% of employment)	Self-employed, female (% of females employed)	Self-employed, male (% of males employed)	Self-employed, total (% of total employed)	Employment to population ratio, 15+, female (%)	Employment to population ratio, 15+, male (%)	Employment to population ratio, 15+, total (%)	Vulnerable employment, female (% of female employment)	Vulnerable employment, male (% of male employment)	Vulnerable employment, total (% of total employment)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
26.06423913	74.95631916	1483.284244	9.290888052	2.791955443	65.22742922	23.83743034	5.2372336	8.029189043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	0	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.899999619	52	31.79999924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.60000038	75.5	45.29999924	NaN	NaN	NaN	0
23.09733779	100	10.96126436	41.05792026	0.5	76.90266221	2.575740741	1.664751646	2.164751646	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.79999924	47.40000153	47.09999847	23.5	NaN	NaN	NaN	NaN	NaN	NaN	63.20000076	69.30000305	66.19999695	NaN	NaN	NaN	2
60.27352053	99.85177454	43.13866197	144.1883246	2.439803452	39.63700614	6.335520252	1.602082638	4.04188609	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.30000305	35.40000153	42.79999924	39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.79999924	63.59999847	52.70000076	NaN	NaN	NaN	1
14.30435655	68.94049347	702.3864449	871.712355	0.782136857	79.25115439	7.129472852	2.987407105	3.769543962	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.5	60.40000153	43.20000076	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.89999962	90.30000305	72.90000153	NaN	NaN	NaN	3
29.76190476	70.38440715	620.2677991	656.62563	3.393352274	57.71520147	15.169567	4.631641084	8.024993358	8.2	13.14	22.49	52.64	36.06	1.06	3.53	7.9	4.27	3.9	2.76	49.52	NaN	NaN	NaN	NaN	NaN	27.9	NaN	NaN	NaN	0.200000003	1.100000024	0.800000012	22.5	40.79999924	31.79999924	39.6	2.400000095	6	4.699999809	25.60000038	31.39999962	29.20000076	32.70000076	64.40000153	48	23.20000076	25.29999924	24.5	2
67.92795856	93.58339616	29.77020884	88.58723746	4.29231732	27.41451865	8.434777687	1.621148073	5.913465393	9.38	13.86	20.63	50.6	35.22	2.3	5.53	38.87	17.5	13.6	4.68	44.42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.60000038	35.09999847	26.10000038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.29999924	56.79999924	46.79999924	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
27.96271638	87.13692946	397.3544974	556.911787	1.649927773	67.90945406	14.16666667	3.491548399	5.141476172	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
