Out-of-pocket health expenditure (% of total expenditure on health)	Out-of-pocket health expenditure (% of private expenditure on health)	Health expenditure per capita (current US$)	Health expenditure per capita, PPP (constant 2005 international $)	Health expenditure, private (% of GDP)	Health expenditure, public (% of total health expenditure)	Health expenditure, public (% of government expenditure)	Health expenditure, public (% of GDP)	Health expenditure, total (% of GDP)	Income share held by second 20%	Income share held by third 20%	Income share held by fourth 20%	Income share held by highest 20%	Income share held by highest 10%	Income share held by lowest 10%	Income share held by lowest 20%	Poverty headcount ratio at $2 a day (PPP) (% of population)	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	Poverty gap at $2 a day (PPP) (%)	Poverty gap at $1.25 a day (PPP) (%)	GINI index	Poverty gap at national poverty line (%)	Poverty headcount ratio at national poverty line (% of population)	Poverty gap at rural poverty line (%)	Poverty headcount ratio at rural poverty line (% of rural population)	Poverty gap at urban poverty line (%)	Poverty headcount ratio at urban poverty line (% of urban population)	Child employment in agriculture, female (% of female economically active children ages 7-14)	Child employment in agriculture, male (% of male economically active children ages 7-14)	Child employment in agriculture (% of economically active children ages 7-14)	Employees, agriculture, female (% of female employment)	Employees, agriculture, male (% of male employment)	Employment in agriculture (% of total employment)	Employment to population ratio, ages 15-24, female (%)	Employment to population ratio, ages 15-24, male (%)	Employment to population ratio, ages 15-24, total (%)	Share of women employed in the nonagricultural sector (% of total nonagricultural employment)	Employers, female (% of employment)	Employers, male (% of employment)	Employers, total (% of employment)	Self-employed, female (% of females employed)	Self-employed, male (% of males employed)	Self-employed, total (% of total employed)	Employment to population ratio, 15+, female (%)	Employment to population ratio, 15+, male (%)	Employment to population ratio, 15+, total (%)	Vulnerable employment, female (% of female employment)	Vulnerable employment, male (% of male employment)	Vulnerable employment, total (% of total employment)	Income
18.61002661	58.87304904	1754.984609	2097.402478	2.451394632	68.38956549	15.68532238	5.303622563	7.755017195	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5	6.099999905	5	59.90000153	62.20000076	61.09999847	45.8	3	4.800000191	4	11.10000038	17.10000038	14.5	50.09999847	67.30000305	58.59999847	8.100000381	12.30000019	10.5	3
15.1500025	65.15671962	2663.235037	2729.765819	2.352774789	76.7483652	14.4693626	7.765975179	10.11874997	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.800000191	5.599999905	6.099999905	49.20000076	58.5	53.90000153	43.5	3	6.5	4.900000095	13.10000038	14.10000038	13.69999981	46.5	66.5	56	10.10000038	7.699999809	8.699999809	3
64.28562457	78.64314886	30.67223581	102.8649667	4.41225183	18.25654809	4.182595008	0.985430464	5.397682294	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.59999847	37.5	42.29999924	42.70000076	41.5	42.09999847	47.5	NaN	NaN	NaN	NaN	NaN	NaN	53.79999924	66.40000153	59.70000076	NaN	NaN	NaN	2
43.57978624	68.41123077	7.707918792	18.46808966	3.874535819	36.29732172	8.712941372	2.207682266	6.082218085	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.09999847	59.59999847	61.40000153	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.19999695	78	78.59999847	NaN	NaN	NaN	0
18.93914435	82.03873598	2207.540175	2252.420858	2.874640041	67.722502	12.01887738	6.031378763	8.906018804	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2.700000048	2.400000095	23.5	27.79999924	25.70000076	43.4	2.299999952	6	4.5	16	18.20000076	17.29999924	38.59999847	56.5	47.29999924	13.69999981	12.19999981	12.80000019	3
53.93955546	99.88658884	17.68441186	50.78083685	2.476947435	45.9992016	12.48358384	2.109924442	4.586871876	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.4	29	9.4	33	6.9	23.3	NaN	NaN	NaN	NaN	NaN	NaN	56.90000153	64.40000153	60.59999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62.90000153	81.5	71.69999695	NaN	NaN	NaN	0
57.85331872	96.20617765	8.934102583	20.16832457	1.659262631	39.86527671	8.115026864	1.099979518	2.759242148	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	48.59999847	66.40000153	57.59999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.40000153	83.30000305	68.80000305	NaN	NaN	NaN	0
34.38334974	100	94.58638231	332.1769662	2.011567542	65.61665026	9.425044035	3.838844233	5.850411775	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.8	27.20000076	28.10000038	27.60000038	52.4	NaN	NaN	NaN	NaN	NaN	NaN	41.79999924	49.59999847	45.59999847	NaN	NaN	NaN	2
22.17124858	72.08418697	489.1125554	901.5855439	1.435095994	69.24256274	11.17834552	3.230754357	4.665850351	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.70000076	47.09999847	33.90000153	12.3	NaN	NaN	NaN	NaN	NaN	NaN	30.70000076	83.09999847	62.20000076	NaN	NaN	NaN	3
45.55374603	100	113.5989046	366.4274753	3.976794083	54.44625397	10.42603902	4.753100667	8.729894751	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.29999924	27.29999924	21.79999924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.20000076	50.59999847	38.79999924	NaN	NaN	NaN	2
