Binding coverage, manufactured products (%)	Bound rate, simple mean, manufactured products (%)	Share of tariff lines with international peaks, manufactured products (%)	Tariff rate, applied, simple mean, manufactured products (%)	Tariff rate, most favored nation, simple mean, manufactured products (%)	Share of tariff lines with specific rates, manufactured products (%)	Tariff rate, applied, weighted mean, manufactured products (%)	Tariff rate, most favored nation, weighted mean, manufactured products (%)	Binding coverage, all products (%)	Bound rate, simple mean, all products (%)	Share of tariff lines with international peaks, all products (%)	Tariff rate, applied, simple mean, all products (%)	Tariff rate, most favored nation, simple mean, all products (%)	Share of tariff lines with specific rates, all products (%)	Tariff rate, applied, weighted mean, all products (%)	Tariff rate, most favored nation, weighted mean, all products (%)	Binding coverage, primary products (%)	Bound rate, simple mean, primary products (%)	Share of tariff lines with international peaks, primary products (%)	Tariff rate, applied, simple mean, primary products (%)	Tariff rate, most favored nation, simple mean, primary products (%)	Share of tariff lines with specific rates, primary products (%)	Tariff rate, applied, weighted mean, primary products (%)	Tariff rate, most favored nation, weighted mean, primary products (%)	Agricultural raw materials imports (% of merchandise imports)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	ICT goods imports (% total goods imports)	Insurance and financial services (% of commercial service imports)	Manufactures imports (% of merchandise imports)	Ores and metals imports (% of merchandise imports)	Merchandise imports from economies in the Arab World (% of total merchandise imports)	Merchandise imports (current US$)	Merchandise imports from high-income economies (% of total merchandise imports)	Merchandise imports from developing economies outside region (% of total merchandise imports)	Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports)	Merchandise imports from developing economies in Europe & Central Asia (% of total merchandise imports)	Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports)	Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports)	Merchandise imports from developing economies in South Asia (% of total merchandise imports)	Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports)	Merchandise imports by the reporting economy, residual (% of total merchandise imports)	Merchandise imports by the reporting economy (current US$)	Merchandise imports from developing economies within region (% of total merchandise imports)	Import value index (2000 = 100)	Computer, communications and other services (% of commercial service imports)	Commercial service imports (current US$)	Transport services (% of commercial service imports)	Travel services (% of commercial service imports)	Net barter terms of trade index (2000 = 100)	Export volume index (2000 = 100)	Agricultural raw materials exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	ICT goods exports (% of total goods exports)	Insurance and financial services (% of commercial service exports)	Manufactures exports (% of merchandise exports)	Ores and metals exports (% of merchandise exports)	Merchandise exports to economies in the Arab World (% of total merchandise exports)	Merchandise exports (current US$)	Merchandise exports to high-income economies (% of total merchandise exports)	Merchandise exports to developing economies outside region (% of total merchandise exports)	Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports)	Merchandise exports to developing economies in Europe & Central Asia (% of total merchandise exports)	Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports)	Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports)	Merchandise exports to developing economies in South Asia (% of total merchandise exports)	Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports)	Merchandise exports by the reporting economy, residual (% of total merchandise exports)	Merchandise exports by the reporting economy (current US$)	Merchandise exports to developing economies within region (% of total merchandise exports)	Export value index (2000 = 100)	Computer, communications and other services (% of commercial service exports)	Commercial service exports (current US$)	High-technology exports (current US$)	High-technology exports (% of manufactured exports)	Transport services (% of commercial service exports)	Travel services (% of commercial service exports)	Battle-related deaths (number of people)	Internally displaced persons (number, high estimate)	Internally displaced persons (number, low estimate)	Intentional homicides (per 100,000 people)	Presence of peace keepers (number of troops, police, and military observers in mandate)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.927829199	21.39400267	7.575830665	NaN	1.598962835	69.12886724	0.888543011	NaN	336000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.27451187	48.22817632	64636871.51	14.39066551	35.78219533	NaN	NaN	0.089392643	53.86432709	0.213454205	NaN	0.310658811	30.10811373	1.207739581	NaN	31000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.64466847	9.71255133	312905027.9	NaN	NaN	2.795929298	87.18086056	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.579684764	NaN	NaN	0.325986809	900000000	78.43282378	NaN	7.353748679	NaN	0.18266953	0.007130613	13.05438832	NaN	8.512787893	524499078	13.05438832	163.6909091	4.203152364	114200000	86.21716287	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.502126266	395000000	83.00206224	0.894084112	0.074182406	NaN	0.304977674	0.361909301	16.10385369	NaN	-4.34083E-08	175081535.9	16.10385369	213.3243243	NaN	300000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.284428443	NaN	NaN	0.62234851	1372000000	79.00475388	NaN	NaN	NaN	15.60701375	0.401690768	0.0669775	1.179810793	19.81543532	1396322855	1.179810793	45.13885462	64.17191719	1111000000	31.19351935	1.350135014	106.6666667	49.15910316	NaN	NaN	NaN	NaN	15	NaN	NaN	0	2516000000	87.3943711	NaN	NaN	NaN	8.39803322	0	NaN	1.054415511	11.55121338	2487618433	1.054415511	31.46182602	85	128000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.854961832	NaN	NaN	1.875897507	NaN	65.02052607	NaN	NaN	NaN	NaN	NaN	0.002463077	NaN	34.97947393	317645286	NaN	NaN	61.45038168	26200000	34.69465649	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.466216216	NaN	NaN	2.615731759	NaN	71.68927926	10.066356	NaN	NaN	0.058985068	2.064248589	0.33933839	NaN	18.24436475	258293415.3	NaN	NaN	65.2027027	29600000	NaN	NaN	22.19594595	10.13513514	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.77926343	8522000000	76.44851044	19.11799202	NaN	NaN	1.114238799	3.460004692	4.527328173	0.246305419	4.433497537	8526000000	NaN	24.34231198	NaN	NaN	NaN	NaN	NaN	50.38326315	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.3520219	12040000000	64.81109796	16.05535875	NaN	NaN	1.285971385	3.433613237	5.644787963	2.013043892	19.13354329	13255455420	NaN	24.55992622	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.58856211	3.783935401	9.388848062	NaN	NaN	77.81002652	5.349054519	0.851956568	5322000000	63.40365296	2.752128012	0.254534244	NaN	33.83575962	0.38875688	0.069555148	0.95140163	0.00845941	5319520000	33.83575962	21.04990427	22.72912424	2455000000	37.55600815	39.71486762	75	44.46027885	4.738119319	59.63901405	1.524761511	NaN	0.05279831	31.62533704	2.424473335	2.513421368	9135000000	53.63665716	23.41781088	5.275623731	NaN	22.37814055	4.377691798	1.588674062	1.483273227	0.567391411	9136550000	22.37814055	34.6790175	15.52270327	1894000000	NaN	NaN	50.95036959	33.47412883	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	339000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	70364779.04	NaN	66.99604743	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	368000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	4057697.788	NaN	106.3583815	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.262240501	NaN	NaN	NaN	250000000	NaN	NaN	NaN	NaN	6.024930599	NaN	NaN	NaN	93.9750694	167825436.9	6.024930599	62.22960199	27.32079906	75644444.44	45.92636114	20.49059929	NaN	NaN	NaN	NaN	NaN	NaN	0.488789379	NaN	NaN	NaN	17000000	NaN	NaN	NaN	NaN	5.284213155	NaN	NaN	NaN	94.71578684	31626805.03	5.284213155	39.54348837	6.040490681	234896296.3	NaN	NaN	15.82889218	77.64182776	NaN	NaN	NaN	NaN	NaN	2
