Binding coverage, manufactured products (%)	Bound rate, simple mean, manufactured products (%)	Share of tariff lines with international peaks, manufactured products (%)	Tariff rate, applied, simple mean, manufactured products (%)	Tariff rate, most favored nation, simple mean, manufactured products (%)	Share of tariff lines with specific rates, manufactured products (%)	Tariff rate, applied, weighted mean, manufactured products (%)	Tariff rate, most favored nation, weighted mean, manufactured products (%)	Binding coverage, all products (%)	Bound rate, simple mean, all products (%)	Share of tariff lines with international peaks, all products (%)	Tariff rate, applied, simple mean, all products (%)	Tariff rate, most favored nation, simple mean, all products (%)	Share of tariff lines with specific rates, all products (%)	Tariff rate, applied, weighted mean, all products (%)	Tariff rate, most favored nation, weighted mean, all products (%)	Binding coverage, primary products (%)	Bound rate, simple mean, primary products (%)	Share of tariff lines with international peaks, primary products (%)	Tariff rate, applied, simple mean, primary products (%)	Tariff rate, most favored nation, simple mean, primary products (%)	Share of tariff lines with specific rates, primary products (%)	Tariff rate, applied, weighted mean, primary products (%)	Tariff rate, most favored nation, weighted mean, primary products (%)	Agricultural raw materials imports (% of merchandise imports)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	ICT goods imports (% total goods imports)	Insurance and financial services (% of commercial service imports)	Manufactures imports (% of merchandise imports)	Ores and metals imports (% of merchandise imports)	Merchandise imports from economies in the Arab World (% of total merchandise imports)	Merchandise imports (current US$)	Merchandise imports from high-income economies (% of total merchandise imports)	Merchandise imports from developing economies outside region (% of total merchandise imports)	Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports)	Merchandise imports from developing economies in Europe & Central Asia (% of total merchandise imports)	Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports)	Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports)	Merchandise imports from developing economies in South Asia (% of total merchandise imports)	Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports)	Merchandise imports by the reporting economy, residual (% of total merchandise imports)	Merchandise imports by the reporting economy (current US$)	Merchandise imports from developing economies within region (% of total merchandise imports)	Import value index (2000 = 100)	Computer, communications and other services (% of commercial service imports)	Commercial service imports (current US$)	Transport services (% of commercial service imports)	Travel services (% of commercial service imports)	Net barter terms of trade index (2000 = 100)	Export volume index (2000 = 100)	Agricultural raw materials exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	ICT goods exports (% of total goods exports)	Insurance and financial services (% of commercial service exports)	Manufactures exports (% of merchandise exports)	Ores and metals exports (% of merchandise exports)	Merchandise exports to economies in the Arab World (% of total merchandise exports)	Merchandise exports (current US$)	Merchandise exports to high-income economies (% of total merchandise exports)	Merchandise exports to developing economies outside region (% of total merchandise exports)	Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports)	Merchandise exports to developing economies in Europe & Central Asia (% of total merchandise exports)	Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports)	Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports)	Merchandise exports to developing economies in South Asia (% of total merchandise exports)	Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports)	Merchandise exports by the reporting economy, residual (% of total merchandise exports)	Merchandise exports by the reporting economy (current US$)	Merchandise exports to developing economies within region (% of total merchandise exports)	Export value index (2000 = 100)	Computer, communications and other services (% of commercial service exports)	Commercial service exports (current US$)	High-technology exports (current US$)	High-technology exports (% of manufactured exports)	Transport services (% of commercial service exports)	Travel services (% of commercial service exports)	Battle-related deaths (number of people)	Internally displaced persons (number, high estimate)	Internally displaced persons (number, low estimate)	Intentional homicides (per 100,000 people)	Presence of peace keepers (number of troops, police, and military observers in mandate)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.056984112	23.68956382	NaN	NaN	6.112003212	71.90068992	1.352760537	NaN	614000000	87.10602821	NaN	0.362329466	NaN	10.34108711	NaN	NaN	NaN	12.89397179	635304702.2	NaN	81.89745932	23.52468888	556648044.7	42.25210759	28.11120032	NaN	NaN	0.541747674	34.69950253	NaN	NaN	0.636630754	64.46661543	0.292134367	NaN	24000000	76.22567982	NaN	NaN	NaN	20.7156752	NaN	NaN	NaN	23.77432018	23920409.19	NaN	68.50220526	6.89799916	798547486	NaN	NaN	6.163425213	86.30194487	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.533134155	30.44526817	3.510202502	NaN	NaN	64.81502382	0.663837169	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.0449575	NaN	NaN	NaN	NaN	NaN	NaN	0.718028094	9.485408267	0.006131506	NaN	NaN	87.68390766	1.661813148	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.1114294	NaN	NaN	8330815	19.8012256	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.695851787	604000000	57.15371706	33.14585479	13.63780424	13.07187129	0.068480665	0.026389688	9.700428162	NaN	-9.92862E-09	604313059	9.700428162	51.36508671	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.97622384	144370000	55.63614923	20.33689379	2.234402093	9.218758484	4.761539772	3.879083386	24.02695694	0.243110056	3.45651E-08	144654658.9	24.02695694	105.1393906	NaN	NaN	NaN	NaN	NaN	NaN	3714	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.831876577	NaN	NaN	0.407303196	2597000000	82.86300644	7.525279181	NaN	NaN	3.72464697	0.373996733	0.350118342	9.611714373	7.92262E-09	2524421798	9.611714373	85.42763158	73.76126787	2045640000	18.63964334	4.767212217	68.31683168	91.61014496	NaN	NaN	NaN	NaN	9.506279775	NaN	NaN	0.003414212	5007000000	82.26495929	16.38585438	NaN	0.001649347	3.234475008	0.003400199	NaN	1.349186345	-1.60084E-08	4310245646	1.349186345	63.48117155	58.12761657	138540000	NaN	NaN	32.36610365	NaN	50	NaN	NaN	NaN	NaN	2
NaN	NaN	58.10796	17.08	16.31	0	15.2	15.2	NaN	NaN	55.23196	16.85	15.94	0	14.41	14.41	NaN	NaN	40.22055	15.62	14.58	0	12.8	12.8	1.185616584	27.17921337	2.915155901	NaN	23.00215983	67.25677392	1.449699067	0.352898747	646180000	89.27075218	0.490735566	NaN	10.04663041	6.82564E-05	0.356283399	0.014980661	NaN	0.191881841	619735368.6	10.04663041	59.23710168	12.0950324	92600000	59.71922246	5.183585313	NaN	NaN	14.04184156	11.08539894	0.81208223	NaN	2.496159754	64.68899908	9.32593913	0.015467326	139000000	95.9074357	0.076661867	NaN	3.618247187	0.061707742	0.014954125	0	0	0.397655251	141300939.2	3.618247187	53.15855897	22.04301075	52080000	302707	0.339874041	23.42549923	52.03533026	NaN	NaN	NaN	49.87221458	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.138550245	34106665000	70.83712839	27.99175814	14.88489595	1.458449881	1.075334688	2.747110074	6.952670029	0.873297518	1.171113465	22969592880	NaN	85.55514296	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.092332682	40422704000	67.36681239	18.81088045	4.397037954	0.913660903	0.082190137	2.577057026	8.6898422	2.151092232	13.82230715	31261946070	NaN	68.25323568	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
100	31.6	35.84802	14.93	14.07	2.585843	14.92	14.92	100	31.93	34.79444	14.44	12.83	2.47215	13.93	13.93	100	33.08	20.9979	9.99	8.59	0.9956853	6.74	6.74	1.545398198	5.316684795	2.978658406	NaN	6.026902667	87.89727127	1.931333197	0.32593863	30450000000	58.86513514	7.07250161	4.808781806	0.753646821	30.49612958	0.277599574	0.509881284	0.722592124	3.566233667	30286069500	30.49612958	120.7346744	16.24168334	8700986709	32.19175128	45.53966271	100	92.05588386	2.842551758	48.60054399	11.73512914	NaN	0.182158724	34.31274329	1.546081269	3.57526751	26370000000	30.6124038	16.60523998	5.919249318	1.858508108	48.7846515	5.836185945	1.57069774	1.420598869	3.997704718	25372609250	48.7846515	100.3409134	11.59229942	4446671471	460222625	5.074831596	25.7630906	62.46245125	NaN	NaN	NaN	9.141835337	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.447905343	31.16352544	27.38916283	NaN	7.57749713	38.6448222	0.498366214	NaN	892000000	46.53376732	NaN	NaN	41.01776703	NaN	10.74863284	NaN	NaN	12.44846565	891350569.5	41.01776703	101.179272	7.418038015	156780000	58.57890037	26.42556449	NaN	NaN	4.655591548	10.87045841	0.740452368	NaN	3.064182195	54.45294343	26.43847459	NaN	233000000	33.76799346	NaN	NaN	43.53996047	NaN	21.29929978	NaN	NaN	22.69204607	232811878.8	43.53996047	79.04486744	24.28571429	96600000	6386519	5.501607591	52.41200828	20.23809524	NaN	NaN	NaN	3.189959539	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	528600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	87912947.97	NaN	104.4664032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	424000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	21938206.23	NaN	122.5238233	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.09558636	NaN	NaN	NaN	370000000	90.69917191	NaN	NaN	NaN	7.423986416	NaN	NaN	NaN	1.876841676	296439125.9	7.423986416	93.14398034	36.81579374	160025925.9	36.3714213	16.7171986	NaN	NaN	NaN	NaN	NaN	NaN	0.888335409	NaN	NaN	NaN	38000000	86.81200354	NaN	NaN	NaN	7.393124455	NaN	2.540609438	NaN	5.794872003	84998100.55	7.393124455	47.93110605	11.80203865	401500000	NaN	NaN	18.18735298	69.12227296	NaN	NaN	NaN	NaN	NaN	2
