Binding coverage, manufactured products (%)	Bound rate, simple mean, manufactured products (%)	Share of tariff lines with international peaks, manufactured products (%)	Tariff rate, applied, simple mean, manufactured products (%)	Tariff rate, most favored nation, simple mean, manufactured products (%)	Share of tariff lines with specific rates, manufactured products (%)	Tariff rate, applied, weighted mean, manufactured products (%)	Tariff rate, most favored nation, weighted mean, manufactured products (%)	Binding coverage, all products (%)	Bound rate, simple mean, all products (%)	Share of tariff lines with international peaks, all products (%)	Tariff rate, applied, simple mean, all products (%)	Tariff rate, most favored nation, simple mean, all products (%)	Share of tariff lines with specific rates, all products (%)	Tariff rate, applied, weighted mean, all products (%)	Tariff rate, most favored nation, weighted mean, all products (%)	Binding coverage, primary products (%)	Bound rate, simple mean, primary products (%)	Share of tariff lines with international peaks, primary products (%)	Tariff rate, applied, simple mean, primary products (%)	Tariff rate, most favored nation, simple mean, primary products (%)	Share of tariff lines with specific rates, primary products (%)	Tariff rate, applied, weighted mean, primary products (%)	Tariff rate, most favored nation, weighted mean, primary products (%)	Agricultural raw materials imports (% of merchandise imports)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	ICT goods imports (% total goods imports)	Insurance and financial services (% of commercial service imports)	Manufactures imports (% of merchandise imports)	Ores and metals imports (% of merchandise imports)	Merchandise imports from economies in the Arab World (% of total merchandise imports)	Merchandise imports (current US$)	Merchandise imports from high-income economies (% of total merchandise imports)	Merchandise imports from developing economies outside region (% of total merchandise imports)	Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports)	Merchandise imports from developing economies in Europe & Central Asia (% of total merchandise imports)	Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports)	Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports)	Merchandise imports from developing economies in South Asia (% of total merchandise imports)	Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports)	Merchandise imports by the reporting economy, residual (% of total merchandise imports)	Merchandise imports by the reporting economy (current US$)	Merchandise imports from developing economies within region (% of total merchandise imports)	Import value index (2000 = 100)	Computer, communications and other services (% of commercial service imports)	Commercial service imports (current US$)	Transport services (% of commercial service imports)	Travel services (% of commercial service imports)	Net barter terms of trade index (2000 = 100)	Export volume index (2000 = 100)	Agricultural raw materials exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	ICT goods exports (% of total goods exports)	Insurance and financial services (% of commercial service exports)	Manufactures exports (% of merchandise exports)	Ores and metals exports (% of merchandise exports)	Merchandise exports to economies in the Arab World (% of total merchandise exports)	Merchandise exports (current US$)	Merchandise exports to high-income economies (% of total merchandise exports)	Merchandise exports to developing economies outside region (% of total merchandise exports)	Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports)	Merchandise exports to developing economies in Europe & Central Asia (% of total merchandise exports)	Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports)	Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports)	Merchandise exports to developing economies in South Asia (% of total merchandise exports)	Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports)	Merchandise exports by the reporting economy, residual (% of total merchandise exports)	Merchandise exports by the reporting economy (current US$)	Merchandise exports to developing economies within region (% of total merchandise exports)	Export value index (2000 = 100)	Computer, communications and other services (% of commercial service exports)	Commercial service exports (current US$)	High-technology exports (current US$)	High-technology exports (% of manufactured exports)	Transport services (% of commercial service exports)	Travel services (% of commercial service exports)	Battle-related deaths (number of people)	Internally displaced persons (number, high estimate)	Internally displaced persons (number, low estimate)	Intentional homicides (per 100,000 people)	Presence of peace keepers (number of troops, police, and military observers in mandate)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.706001776	NaN	NaN	0.032557233	1113877000	84.70443948	15.23424605	1.767524309	0.053597089	13.22722955	0.015168522	0.156793358	0.013933217	0.06131447	1113876878	NaN	110.4232145	35.28866895	880558659.2	34.53812968	28.46719959	125.8977192	43.2509634	NaN	NaN	NaN	NaN	0.403707328	NaN	NaN	NaN	97893000	37.82224925	61.63011555	NaN	0.000102723	61.27726504	NaN	0.003081699	NaN	0.547635199	97892752.5	NaN	106.6374053	12.16360933	1450245810	59102	NaN	3.921508201	83.51117514	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	187.6373014	NaN	NaN	NaN	NaN	NaN	226.2693475	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	280.0216972	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	4.252563	6.08	5.81	0.0431732	6.06	6.1	NaN	NaN	5.094151	6.16	5.66	0.7186391	5.92	5.95	NaN	NaN	7.102804	6.58	5.11	4.672897	5.62	5.62	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.343871279	2819000000	29.12683013	28.67188476	7.490128205	19.61245308	0.021817056	0.069318098	42.20128509	NaN	2.05474E-08	4866793183	42.20128509	239.7320852	NaN	NaN	NaN	NaN	126.5864606	203.1118231	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.853107301	497000000	33.11201103	19.70951571	0.954564994	13.68920281	0.419974295	4.559900507	47.17847328	0.085873111	-2.05634E-08	340410308.2	47.17847328	361.949429	NaN	NaN	NaN	NaN	NaN	NaN	5901	161000	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.736717057	NaN	NaN	0.371678069	13661000000	64.39939047	28.01763476	NaN	0.802155596	11.9877909	0.313321526	2.212587115	7.398757072	0.184217693	13102843380	7.398757072	449.4078947	72.61754979	11997403773	20.8792572	1.766475955	202.6757223	222.3370922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.037891347	44396200000	55.55098579	39.99741652	NaN	0.004379868	6.584167038	0.037616351	1.995531039	4.451597692	5.31951E-09	37597436560	4.451597692	550.9319133	22.21331187	310711817.8	NaN	NaN	5.389432606	72.39725552	25	20000	NaN	NaN	NaN	2
100	7.09	0	5.45	5.36	0	5.99	6.15	100	7	0	5.64	5.38	0.077465	5.71	5.86	100	6.55	0	6.92	5.39	0.357963	5.2	5.31	0.932476369	16.42150054	14.65505488	3.23428515	4.78713966	65.1158688	2.861738532	0.95267118	4187510000	67.64033073	10.63750444	7.291584846	19.48997117	1.975773426	0.928843321	0.420769933	0.020532909	2.232193659	4094427387	19.48997117	383.8793957	15.26087557	1893406218	12.97930181	66.97268296	90.32077739	327.0125921	3.378407473	5.229415559	7.453003161	0.821972279	2.567230333	70.23263079	13.55952866	0.028850053	1077580000	87.27781972	3.832060673	2.660300831	6.992322739	0.087530894	0.037865168	1.030758589	0.015605191	1.897796873	1016406186	6.992322739	412.1080006	17.56435284	1923863214	9945986	1.314305132	8.224804853	71.64361197	NaN	NaN	NaN	3.312652914	NaN	1
100	12.93	0.0105682	4.21	4.73	0.0686934	4.39	4.64	100	14.78	0.2135312	4.21	4.74	0.3944297	3.84	4.07	100	20.88	1.091843	4.33	4.84	1.805886	2.94	3.26	0.543915097	6.469226736	0.905021299	4.963989724	NaN	69.76578986	3.975729686	7.494910957	1.325E+11	60.53130057	38.45705023	17.59349277	3.997913632	1.153521463	1.999877446	12.45921877	1.253026148	1.011649202	1.49952E+11	NaN	428.7554629	NaN	NaN	NaN	NaN	151.2747362	179.8939023	0.050519359	0.904623314	65.34524402	2.717851168	NaN	3.123348948	1.248818958	8.751295951	1.7863E+11	51.36350715	33.41181057	8.521247022	0.95502818	0.287153511	9.092338675	11.45494494	3.10109824	15.22468228	1.36245E+11	NaN	358.3947025	NaN	NaN	39672400	1.070383568	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
100	31.59	25.44639	11.11	12	0	6.4	13.09	100	31.92	24.8026	10.8	11.21	0	5.68	11.82	100	33.18	15.52354	7.87	8.52	0	1.39	4.29	1.238235023	3.69844769	6.097315656	9.970750362	4.370381584	85.48308898	2.875212106	0.495653298	44706000000	35.489113	17.40094159	13.86917754	1.93388978	42.10384799	0.303204432	0.985007871	0.309661967	5.006097416	44707460000	42.10384799	177.7323686	30.17607933	10569100000	28.35804373	37.09549536	117.5495813	155.0691233	1.250664487	50.90517519	10.99399808	0.262403807	0.088245469	31.30516458	3.856929142	5.330982101	55778800000	32.11555655	25.88270382	13.00455922	2.376926388	40.30849862	4.715143122	2.252928666	3.533146423	1.693241014	55980867000	40.30849862	211.7565772	41.46813879	10232820000	1139881387	6.594450291	16.28456281	42.15905293	NaN	NaN	NaN	5.260608941	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.82317624	18.08442886	16.57335584	5.616420495	6.986956128	61.45290394	3.028662997	5.465028171	3267800000	42.89435602	15.10768249	7.482424283	41.89106422	1.500643817	4.804655179	0.930206889	0.389752323	0.106897262	3267788096	41.89106422	372.1340288	8.087978135	772010000	46.80250256	38.12256318	112.0165873	257.7442551	2.996439294	7.964388706	1.202724406	1.224017128	3.298358703	56.21391268	31.62122402	0.645395728	1152300000	59.54979925	4.910183876	NaN	35.10390496	0.202109557	3.393762093	0.290695803	0.05546295	0.436111916	1152300778	35.10390496	414.3745751	19.99334373	570890000	3992200	0.87587352	23.29870903	53.40958854	NaN	8400	NaN	2.309558221	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	650000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	198750938.9	NaN	128.458498	NaN	NaN	NaN	NaN	171.6446882	60.06551685	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	450000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	57340294.74	NaN	129.9451343	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
100	52.05	47.60989	11.13	8.95	0	12.74	13.52	97.91	58.7	47.89478	11.61	9.69	0.0785838	12.6	14.38	90.67	84.03	48.64511	13.61	11.97	0.3550738	12.27	16.32	2.388747081	20.04429656	6.345926359	7.485354321	18.07035745	70.56460527	0.633728909	NaN	728256000	66.71140139	NaN	NaN	6.694045785	4.179282756	NaN	0.096249514	NaN	29.10931585	1994809078	4.179282756	178.6255528	25.08157487	271121409.3	37.74189247	19.10617521	84.00275823	65.98396759	2.539421238	37.58913122	0	8.584936721	2.726225254	58.94273735	0.547547452	NaN	59352444.44	92.03669788	NaN	NaN	0.411981304	5.008282076	NaN	0.111941694	NaN	2.955020048	265778714.3	5.008282076	73.32725489	12.18549076	509899416.7	1208	0.056512531	18.83103263	66.25725135	NaN	NaN	NaN	NaN	NaN	2
