Binding coverage, manufactured products (%)	Bound rate, simple mean, manufactured products (%)	Share of tariff lines with international peaks, manufactured products (%)	Tariff rate, applied, simple mean, manufactured products (%)	Tariff rate, most favored nation, simple mean, manufactured products (%)	Share of tariff lines with specific rates, manufactured products (%)	Tariff rate, applied, weighted mean, manufactured products (%)	Tariff rate, most favored nation, weighted mean, manufactured products (%)	Binding coverage, all products (%)	Bound rate, simple mean, all products (%)	Share of tariff lines with international peaks, all products (%)	Tariff rate, applied, simple mean, all products (%)	Tariff rate, most favored nation, simple mean, all products (%)	Share of tariff lines with specific rates, all products (%)	Tariff rate, applied, weighted mean, all products (%)	Tariff rate, most favored nation, weighted mean, all products (%)	Binding coverage, primary products (%)	Bound rate, simple mean, primary products (%)	Share of tariff lines with international peaks, primary products (%)	Tariff rate, applied, simple mean, primary products (%)	Tariff rate, most favored nation, simple mean, primary products (%)	Share of tariff lines with specific rates, primary products (%)	Tariff rate, applied, weighted mean, primary products (%)	Tariff rate, most favored nation, weighted mean, primary products (%)	Agricultural raw materials imports (% of merchandise imports)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	ICT goods imports (% total goods imports)	Insurance and financial services (% of commercial service imports)	Manufactures imports (% of merchandise imports)	Ores and metals imports (% of merchandise imports)	Merchandise imports from economies in the Arab World (% of total merchandise imports)	Merchandise imports (current US$)	Merchandise imports from high-income economies (% of total merchandise imports)	Merchandise imports from developing economies outside region (% of total merchandise imports)	Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports)	Merchandise imports from developing economies in Europe & Central Asia (% of total merchandise imports)	Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports)	Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports)	Merchandise imports from developing economies in South Asia (% of total merchandise imports)	Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports)	Merchandise imports by the reporting economy, residual (% of total merchandise imports)	Merchandise imports by the reporting economy (current US$)	Merchandise imports from developing economies within region (% of total merchandise imports)	Import value index (2000 = 100)	Computer, communications and other services (% of commercial service imports)	Commercial service imports (current US$)	Transport services (% of commercial service imports)	Travel services (% of commercial service imports)	Net barter terms of trade index (2000 = 100)	Export volume index (2000 = 100)	Agricultural raw materials exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	ICT goods exports (% of total goods exports)	Insurance and financial services (% of commercial service exports)	Manufactures exports (% of merchandise exports)	Ores and metals exports (% of merchandise exports)	Merchandise exports to economies in the Arab World (% of total merchandise exports)	Merchandise exports (current US$)	Merchandise exports to high-income economies (% of total merchandise exports)	Merchandise exports to developing economies outside region (% of total merchandise exports)	Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports)	Merchandise exports to developing economies in Europe & Central Asia (% of total merchandise exports)	Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports)	Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports)	Merchandise exports to developing economies in South Asia (% of total merchandise exports)	Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports)	Merchandise exports by the reporting economy, residual (% of total merchandise exports)	Merchandise exports by the reporting economy (current US$)	Merchandise exports to developing economies within region (% of total merchandise exports)	Export value index (2000 = 100)	Computer, communications and other services (% of commercial service exports)	Commercial service exports (current US$)	High-technology exports (current US$)	High-technology exports (% of manufactured exports)	Transport services (% of commercial service exports)	Travel services (% of commercial service exports)	Battle-related deaths (number of people)	Internally displaced persons (number, high estimate)	Internally displaced persons (number, low estimate)	Intentional homicides (per 100,000 people)	Presence of peace keepers (number of troops, police, and military observers in mandate)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.801118883	5.048184882	4.882711142	NaN	8.088990131	86.45086775	1.367111988	2.35908976	53425000000	84.66392107	15.14719043	12.30702165	0.200983085	1.013308581	0.095406614	1.016131516	0.514338974	0.188888506	55091074700	NaN	NaN	27.08984101	15159649818	36.13957538	28.68159348	NaN	NaN	8.84753908	24.94168695	18.72537996	NaN	5.707092056	28.97260582	15.46958101	2.326238736	47528000000	74.24704682	22.67534122	16.13234834	0.933521723	1.271620325	1.391835202	2.032734326	0.913281313	3.077611963	47535573280	NaN	NaN	15.16023392	14089093633	1700360879	14.08045528	30.63673101	48.49594302	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	0.8497304	3.96	7.02	0.144989	4.96	6.82	NaN	NaN	5.131768	4.35	7.19	4.565684	4.44	6.14	NaN	NaN	17.62777	6.34	7.88	17.45752	3.54	5	2.920311173	5.453907469	4.449497345	NaN	5.599710237	82.95172254	3.882542807	1.47583555	55233000000	91.36485227	8.632348278	2.443478987	2.757463753	0.971976949	1.221728928	0.505336741	0.732362921	0.002799453	55334346080	NaN	NaN	36.62018382	20594259164	14.78953499	42.99057095	NaN	NaN	3.445773162	3.75200601	1.313185739	NaN	3.585425581	88.11426903	3.119235073	1.757076393	45002000000	91.7875938	8.14306525	1.646395515	2.913346518	1.019748485	1.612502639	0.272211309	0.678860783	0.069340954	45029342780	NaN	NaN	39.27718788	27493777083	4008244239	10.09522629	12.75766017	44.37972637	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.256029699	778000000	16.5834287	NaN	NaN	73.65163196	NaN	8.678118275	0.272016053	NaN	9.764939337	777862180	73.65163196	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.133551698	655000000	15.06673616	NaN	NaN	46.74828056	NaN	37.97373179	0.170922266	NaN	38.18498328	637453520	46.74828056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1471	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.681609128	22.17113577	14.91145494	NaN	5.020609501	59.54838206	1.393183962	0.540159655	224000000	56.56417599	NaN	NaN	NaN	NaN	6.917332202	1.65730932	16.4878645	26.94795951	233271289.1	16.4878645	151.8014455	3.16913305	58572206.01	61.05142239	30.75883506	171.3692946	58.48724824	4.92743815	91.42775282	NaN	NaN	7.430340557	2.935135298	0.679806857	0.140174469	120000000	51.95278685	0.017979623	NaN	NaN	0	0	0.017979623	10.05560365	37.97362987	118870034.1	10.05560365	241.5523352	14.17956656	6391925.988	29968	1.063410386	48.11145511	30.27863777	56	NaN	NaN	NaN	NaN	0
NaN	NaN	0.8497304	3.96	7.02	0.144989	4.96	6.82	NaN	NaN	5.131768	4.35	7.19	4.565684	4.44	6.14	NaN	NaN	17.62777	6.34	7.88	17.45752	3.54	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.33127E+11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36500209775	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	78.45976514	NaN	NaN	1.47107E+11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40440326514	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.271250338	35.82204205	0.190651832	NaN	7.491458937	58.69060534	1.016371771	2.443595253	431100000	68.88962233	25.15722914	17.95741702	0.960387976	0.626656099	1.728872442	3.883895608	5.839993066	0.113155462	351773835.3	5.839993066	70.32062533	15.44736168	155471127.5	66.65631737	10.404862	80.53097345	111.4253659	63.53586911	19.78160627	6.730111828	NaN	6.282691112	9.901254139	0.021219203	10.48665901	398000000	34.30667485	45.01307896	NaN	0.222682864	21.2541687	9.853393596	3.561515702	13.23547039	7.444775803	153274280	13.23547039	101.397083	10.37466342	114116830.2	NaN	NaN	31.8572813	51.48536417	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	99.2999	85.32	84.14	0.1566027	86.87	86.87	NaN	NaN	99.21765	84.9	82.79	0.1364092	77.19	77.19	NaN	NaN	98.81064	81.76	78.42	0	55.48	55.48	NaN	NaN	NaN	NaN	5.666001204	NaN	NaN	3.325032958	4602000000	55.16711965	16.25951424	10.64346901	NaN	2.270939462	0.771989215	12.91983356	0.191505406	15.65353255	4583959904	12.91983356	55.05399573	7.574076161	856647391.8	64.15585076	22.60407188	114.2857143	51.97431854	1.985140156	13.56525988	0.475965232	NaN	0.128208031	83.87850872	0.016268015	3.372341169	2934000000	86.34659503	10.42893858	3.031879964	NaN	1.022197163	3.098687418	2.461547017	1.800223596	0.76291937	2649745290	2.461547017	41.57945484	81.62465523	418803664	1335012	0.064091519	13.15280174	5.094335008	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	0.8497304	3.96	7.02	0.144989	4.96	6.82	NaN	NaN	5.131768	4.35	7.19	4.565684	4.44	6.14	NaN	NaN	17.62777	6.34	7.88	17.45752	3.54	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.757038175	4585000000	63.37440941	9.593916789	2.451600154	26.11631879	1.739777811	4.652778778	0.300429198	0.449330847	0.915355009	4729022520	26.11631879	NaN	43.07840462	1246100000	37.36457748	19.5570179	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.391782283	4005000000	60.42274917	13.34167461	3.841849646	26.23423248	2.203401868	5.553750425	0.722821612	1.019851056	0.001343746	3399757446	26.23423248	NaN	41.33980428	1256900000	NaN	NaN	29.89100167	28.76919405	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.825587569	10.78159209	32.64250473	NaN	4.020530368	52.76955704	1.1138163	40.59275607	3747000000	86.76797196	12.22548986	4.279032964	0.670389615	1.827080812	1.95065298	3.258694877	0.239638615	1.006538179	3761757256	NaN	80.89578986	11.46278871	621808568.5	60.99230111	23.52437981	NaN	NaN	0.055517604	1.986847799	55.54908803	NaN	NaN	17.30889497	25.06513155	11.76757076	3616000000	30.65640291	8.372659019	2.143903949	0.054840233	0.011901545	2.696184609	3.348829434	0.116999249	60.97093808	3452131567	NaN	58.38239211	10.78622482	818617097.5	5760544	1.109108717	52.17673814	37.03703704	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	894000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	775132723.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91000000	80.59021798	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.40978202	36437488.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2688	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.645981689	NaN	NaN	NaN	3066000000	27.41980866	NaN	NaN	71.86989015	NaN	0.036127823	0.172681591	NaN	0.710301197	2978314000	71.86989015	NaN	18.56561546	196600000	38.09766022	37.69074262	NaN	NaN	NaN	NaN	NaN	NaN	0.15910899	NaN	NaN	1.513094478	2510000000	27.6395775	7.636161014	NaN	64.72426149	2.504728166	1.189301533	0.852452749	NaN	0	2458670000	64.72426149	NaN	11.41607001	251400000	NaN	NaN	73.0708035	15.3540175	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.348157307	18.43010709	11.30132787	NaN	9.504627743	67.71134415	0.831075331	0.006558667	259000000	79.19127774	2.54630612	NaN	NaN	18.10076428	0.004629647	0.14525519	0.018904394	0.161651858	259199000	18.10076428	49.57790214	25.7448047	85895000	43.06245998	21.68810757	NaN	NaN	3.354451841	79.45426567	0	NaN	1.452456502	17.03091034	0.157745566	0	151000000	89.32156098	0.029757633	NaN	NaN	10.55975858	0	0.026956914	0	0.088922809	142820500	10.55975858	69.11056592	23.52171338	108884500	250	0.001229467	9.488035487	65.53779464	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000120589	551000000	94.61473466	5.278549264	0.28122776	NaN	4.353201286	0.000105645	0.054695932	0.021548074	0.106716077	910975857.1	NaN	80.29208802	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	32000000	98.50772282	0.686980195	0	NaN	0.686980195	0	0	0	0.805296986	65535077	NaN	63.40392157	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	0	9.96	9.99	0	9.94	9.94	NaN	NaN	0	9.96	9.99	0	9.95	9.95	NaN	NaN	0	9.99	10	0	10	10	1.572845018	10.10521385	5.109426758	NaN	11.93127585	80.30205151	2.541558472	0.017705488	1209000000	54.08385749	1.581296814	0.991511486	0.300060374	44.24160284	0.018266073	0.17744304	0.094015841	0.09324285	1200531730	44.24160284	66.07640597	9.831371301	314300000	56.5701559	21.66719695	91.26213592	89.32882248	9.99958002	22.60873347	10.64992016	NaN	10.45788581	24.88601679	31.66766733	0.098689865	1032000000	55.07143881	NaN	NaN	NaN	36.8106072	0.027077364	0.015943579	NaN	8.117953985	1122709000	36.8106072	83.96909313	12.60599209	176900000	10911312	4.362081999	36.12210288	40.81401922	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	49.57553	15.29	14.35	0	16.17	16.18	NaN	NaN	46.95707	14.46	12.75	0	13.26	13.27	NaN	NaN	27.72261	8.66	7.39	0	7.22	7.24	3.25136312	10.93082722	14.90414778	NaN	2.663684425	67.85063688	3.058658472	6.208994371	35997000000	71.42618405	8.966204526	2.602593996	1.851793405	19.52227854	1.854039564	0.400018864	2.257758696	0.085332883	36386559000	19.52227854	61.39586052	31.699878	9836000000	43.71695811	21.91947946	100.952381	74.5753573	3.406037819	29.07444331	1.810205265	NaN	3.155490969	55.06036565	9.609809463	2.857209089	43545000000	63.53494406	11.20131687	4.33170647	0.974343222	23.35393976	1.897402577	1.936170942	2.061693658	1.909799318	43785700000	23.35393976	79.04987873	31.5756695	4817000000	1097107002	4.595900468	45.67157982	19.59725971	NaN	NaN	NaN	NaN	NaN	2
