Binding coverage, manufactured products (%)	Bound rate, simple mean, manufactured products (%)	Share of tariff lines with international peaks, manufactured products (%)	Tariff rate, applied, simple mean, manufactured products (%)	Tariff rate, most favored nation, simple mean, manufactured products (%)	Share of tariff lines with specific rates, manufactured products (%)	Tariff rate, applied, weighted mean, manufactured products (%)	Tariff rate, most favored nation, weighted mean, manufactured products (%)	Binding coverage, all products (%)	Bound rate, simple mean, all products (%)	Share of tariff lines with international peaks, all products (%)	Tariff rate, applied, simple mean, all products (%)	Tariff rate, most favored nation, simple mean, all products (%)	Share of tariff lines with specific rates, all products (%)	Tariff rate, applied, weighted mean, all products (%)	Tariff rate, most favored nation, weighted mean, all products (%)	Binding coverage, primary products (%)	Bound rate, simple mean, primary products (%)	Share of tariff lines with international peaks, primary products (%)	Tariff rate, applied, simple mean, primary products (%)	Tariff rate, most favored nation, simple mean, primary products (%)	Share of tariff lines with specific rates, primary products (%)	Tariff rate, applied, weighted mean, primary products (%)	Tariff rate, most favored nation, weighted mean, primary products (%)	Agricultural raw materials imports (% of merchandise imports)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	ICT goods imports (% total goods imports)	Insurance and financial services (% of commercial service imports)	Manufactures imports (% of merchandise imports)	Ores and metals imports (% of merchandise imports)	Merchandise imports from economies in the Arab World (% of total merchandise imports)	Merchandise imports (current US$)	Merchandise imports from high-income economies (% of total merchandise imports)	Merchandise imports from developing economies outside region (% of total merchandise imports)	Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports)	Merchandise imports from developing economies in Europe & Central Asia (% of total merchandise imports)	Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports)	Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports)	Merchandise imports from developing economies in South Asia (% of total merchandise imports)	Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports)	Merchandise imports by the reporting economy, residual (% of total merchandise imports)	Merchandise imports by the reporting economy (current US$)	Merchandise imports from developing economies within region (% of total merchandise imports)	Import value index (2000 = 100)	Computer, communications and other services (% of commercial service imports)	Commercial service imports (current US$)	Transport services (% of commercial service imports)	Travel services (% of commercial service imports)	Net barter terms of trade index (2000 = 100)	Export volume index (2000 = 100)	Agricultural raw materials exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	ICT goods exports (% of total goods exports)	Insurance and financial services (% of commercial service exports)	Manufactures exports (% of merchandise exports)	Ores and metals exports (% of merchandise exports)	Merchandise exports to economies in the Arab World (% of total merchandise exports)	Merchandise exports (current US$)	Merchandise exports to high-income economies (% of total merchandise exports)	Merchandise exports to developing economies outside region (% of total merchandise exports)	Merchandise exports to developing economies in East Asia & Pacific (% of total merchandise exports)	Merchandise exports to developing economies in Europe & Central Asia (% of total merchandise exports)	Merchandise exports to developing economies in Latin America & the Caribbean (% of total merchandise exports)	Merchandise exports to developing economies in Middle East & North Africa (% of total merchandise exports)	Merchandise exports to developing economies in South Asia (% of total merchandise exports)	Merchandise exports to developing economies in Sub-Saharan Africa (% of total merchandise exports)	Merchandise exports by the reporting economy, residual (% of total merchandise exports)	Merchandise exports by the reporting economy (current US$)	Merchandise exports to developing economies within region (% of total merchandise exports)	Export value index (2000 = 100)	Computer, communications and other services (% of commercial service exports)	Commercial service exports (current US$)	High-technology exports (current US$)	High-technology exports (% of manufactured exports)	Transport services (% of commercial service exports)	Travel services (% of commercial service exports)	Battle-related deaths (number of people)	Internally displaced persons (number, high estimate)	Internally displaced persons (number, low estimate)	Intentional homicides (per 100,000 people)	Presence of peace keepers (number of troops, police, and military observers in mandate)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.419894222	24.12860939	NaN	NaN	1.746876446	71.15134157	1.300157384	NaN	578000000	87.59676271	NaN	0.353824919	NaN	9.931992015	NaN	NaN	NaN	12.40323729	578224936	NaN	79.0904798	27.59139287	482905027.9	45.85839889	24.80333179	NaN	NaN	1.109448589	15.19459546	NaN	NaN	2.223709653	80.86246547	2.833490477	NaN	12000000	71.2698886	NaN	NaN	NaN	24.18984376	NaN	NaN	NaN	28.7301114	12529978.44	NaN	68.78118177	6.604194556	751173184.4	NaN	NaN	8.656849621	82.51524617	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.598209658	29.13137398	3.708925364	NaN	NaN	65.75566029	0.766192881	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	101.3227491	NaN	NaN	NaN	NaN	NaN	NaN	1.081654034	6.540601169	0.008100625	NaN	NaN	89.85561052	2.204149809	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.08044576	NaN	NaN	5577625	13.56072455	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.568256912	661000000	71.50863302	21.90559281	11.58794486	10.02862674	0.287148561	0.001010614	6.585774166	NaN	6.0533E-09	660796276.4	6.585774166	56.21245416	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.096739357	128260000	49.19104771	27.2372586	12.57012871	10.95571752	1.209664726	2.453618936	23.57119449	0.048128705	0.000499206	128049416.2	23.57119449	93.40480075	NaN	NaN	NaN	NaN	NaN	NaN	3040	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.798856595	NaN	NaN	0.327522977	2040000000	71.96652279	7.855987249	NaN	NaN	3.974054641	0.283661809	0.441908679	20.17748996	0	2078384332	20.17748996	67.12039474	75.10269991	1738317000	17.87303467	4.225408829	86.53846154	71.47226841	NaN	NaN	NaN	NaN	9.821005609	NaN	NaN	0.007984668	5095000000	88.13170592	10.36413699	NaN	NaN	5.471429213	0.007972584	NaN	1.504157093	-9.90353E-09	4543834788	1.504157093	64.59997464	53.44242118	225873000	NaN	NaN	36.06185777	0.674715437	72	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.92981334	34.27417545	2.442331266	NaN	22.48696947	61.26162949	1.03083226	1.01256917	936790000	83.71979617	2.107921716	NaN	13.28199219	0.562948015	1.01299046	0.381056299	NaN	0.890289918	908589323.5	13.28199219	77.06354736	7.669396873	134300000	61.05733433	8.78629933	NaN	NaN	9.026216679	11.07672667	2.859217847	NaN	3.827361564	65.36820428	11.63388248	0	211250000	90.60369435	1.755813319	NaN	6.306928714	1.720815228	0.034998091	0	0	1.333563619	210539981.7	6.306928714	79.32996788	9.039087948	122800000	247748	0.179503228	24.59283388	62.54071661	NaN	NaN	NaN	7.967623178	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.206378655	30563062000	70.20054775	28.43449068	NaN	1.152928704	1.095503136	2.734340489	7.668521954	0.658185352	1.364961569	22638000000	NaN	64.66337228	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.55088462	37333697000	68.54538638	17.38945051	4.062000697	0.789767847	0.147653717	2.867026774	7.911215594	1.611785883	14.0651631	27690959700	NaN	67.44858032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
100	31.6	36.7929	14.92	13.91	0	14.34	14.42	100	31.93	35.74366	14.45	12.72	0	13.33	13.4	100	33.08	21.76122	10.08	8.62	0	6.66	6.67	1.913219026	4.923210387	3.611480069	NaN	6.086123168	87.27421396	2.24667107	0.365488198	23762000000	58.32441589	6.78228523	4.024306294	0.821342253	30.01083053	0.273231321	0.788321558	0.875083805	4.882468342	24620511530	30.01083053	94.30627336	15.90845204	7646904066	31.1380917	46.86733309	100	77.92591594	3.812542737	51.92294054	12.99693109	NaN	0.162171514	30.07786079	1.167015952	4.007368534	23811000000	34.71306809	16.38463368	5.58826821	1.69354711	47.13172498	5.988027236	1.36576821	1.749022912	1.770573258	24216992940	47.13172498	90.39406249	12.73762386	4254754642	400463473	5.59195718	25.50793386	61.59227077	NaN	NaN	NaN	8.504521183	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.773109244	NaN	NaN	NaN	856000000	34.25549121	NaN	NaN	36.2644794	NaN	NaN	NaN	NaN	29.48002939	861508300	36.2644794	97.04048078	3.594771242	128520000	71.66977902	16.96234049	NaN	NaN	NaN	NaN	NaN	NaN	6.670217015	NaN	NaN	NaN	290000000	23.63845979	NaN	NaN	46.37520814	NaN	NaN	NaN	NaN	29.98633207	290314600	46.37520814	98.67437118	29.4634536	75110000	NaN	NaN	48.15603781	15.71029157	NaN	NaN	NaN	3.59373744	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	470600000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	90952521.45	NaN	93.00395257	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	313000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	24233604.67	NaN	90.32630667	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
100	52	49.97257	22.03	20.65	38.63939	25.08	25.08	97.86	58.55	53.58717	22.82	21.59	33.11766	22.64	22.64	90.56	83.29	63.13186	24.83	23.33	18.30501	19.15	19.15	NaN	NaN	NaN	NaN	12.60797826	NaN	NaN	NaN	365000000	90.95632168	NaN	NaN	NaN	6.45582632	NaN	NaN	NaN	2.587852	317984025.8	6.45582632	89.76609337	33.46598078	152637037	36.84606425	17.07997671	NaN	NaN	NaN	NaN	NaN	NaN	0.987989151	NaN	NaN	NaN	38000000	45.17024515	NaN	NaN	NaN	27.97102018	NaN	0.762877597	NaN	26.85873467	68659909.54	27.97102018	48.03179569	9.617855176	363251851.9	NaN	NaN	18.38434715	71.00980852	NaN	NaN	NaN	NaN	NaN	2
