Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	324813400	NaN	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	2705000	NaN	82.72251309	NaN	NaN	NaN	NaN	NaN	NaN	0
313286000	2597000	9101.208	24.73200613	0	567000000	3196850750	24.00774	100	100	2
29760000	5445000	2275.233	92.35059761	0	70000000	1439592190	0	100	100	1
NaN	NaN	43231.773	26.51592033	59401000000	1297000000	21010296277	1.075	100	100	3
2962293000	0	66972.051	49.193567	55332000000	5747000000	28081732026	15.26069	100	100	2
34768000	6085000	2505.049	22.59696459	1828000000	0	669480438.7	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	137	100	NaN	NaN	127320746.2	NaN	NaN	NaN	2
NaN	NaN	119592.368	26.76541337	32261000000	1937000000	43257066063	0.3540153	97.11	99.07	3
NaN	NaN	33950.717	50.78629529	13028000000	1640000000	11827978706	14.85589	100	100	3
35256000	4262000	13870.773	42.93004465	12337000000	5872000000	1177743707	0.0405877	NaN	NaN	2
12239000	4349000	NaN	95.55555556	NaN	NaN	100575248.2	79.13447	22.02	54.92	0
NaN	NaN	58684.739	48.8583068	22849000000	1740000000	11996387860	14.85589	100	100	3
15871000	5961000	2500.245	95.14285714	0	106000000	654548145.9	57.05383	39.01	61.27	0
233344000	69599000	23878.045	27.05492793	23629000000	1526000000	2825004868	48.13369	15.55	55.17	0
612580000	0	19885.839	26.98813624	1729000000	606000000	8697081229	14.85589	100	100	2
NaN	NaN	7500.349	21.98777361	8867000000	0	2051924249	1.036605	73.31	73.75	3
151300000	7434000	5047.213	12.30329041	0	141000000	2547614648	NaN	NaN	NaN	2
161206000	0	26873.14	27.99826098	29980000000	911000000	1341819427	NaN	NaN	NaN	2
73570000	0	161	100	NaN	NaN	71357500	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	20.13889	NaN	NaN	3
174424000	12489000	5223.017	59.10224439	2811000000	64000000	1794985108	0	100	100	1
13281730000	0	215444.716	67.36904974	18812000000	11678000000	53799285065	13.78098	100	100	2
NaN	NaN	390	83.7398374	NaN	NaN	603465312.3	NaN	NaN	NaN	3
NaN	NaN	2539.275	23.03290415	3235000000	29000000	491885455	1.486576	95.35	97.97	3
2212000	595000	204	31.1827957	NaN	NaN	467426186.5	92.95775	NaN	NaN	1
12729000	54000	1928.035	43.11183144	0	6000000	6309056605	9.803922	96.3	86.69	2
894000	0	NaN	100	NaN	NaN	144923650.5	65.91716	62.14	67.12	0
NaN	NaN	272206.37	45.39602283	34351000000	15332000000	33018048281	6.133418	99.71	99.41	3
NaN	NaN	25916.121	78.33023132	866000000	212000000	57575302852	29.00882	99.77	98.98	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1509839000	32000	27705.994	56.25287356	13600000000	3392000000	16933298422	0	100	100	2
6519258000	78630000	1696389.496	15.65133076	11931000000	61252000000	8.3141E+11	14.33572	100	100	2
245014000	8144000	6994.867	86.50793651	0	232000000	964745502.5	65.88235	13.33	54.49	1
2838396000	33000	27987.172	49.33077209	7399000000	114000000	14954556694	26.69986	100	100	2
1422000	924000	37	100	NaN	NaN	86095119.6	NaN	NaN	NaN	0
6848000	1554000	99	100	NaN	NaN	173970607.3	40.23579	NaN	NaN	1
273777000	8000	4068.068	85.73692552	0	271000000	2313689257	4.841617	100	100	2
NaN	NaN	11147.218	90.57755284	1937000000	12917000000	NaN	20.17949	30.95	60.17	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	2220.074	86.16813294	0	4376000000	4429824674	14.85589	100	100	3
NaN	NaN	44903.819	17.77676538	1470000000	326000000	29553533244	14.85589	100	100	3
NaN	NaN	338702.054	35.88520647	69398000000	10583000000	1.01676E+11	14.85589	100	100	3
