Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	44.09613375	NaN	NaN	610761760.8	NaN	NaN	NaN	0
NaN	NaN	4990.212	41.73166927	0	105000000	NaN	NaN	NaN	NaN	2
NaN	NaN	2705.479	34.99302001	0	1017000000	NaN	NaN	NaN	NaN	1
NaN	NaN	13675.712	35.49761293	11555000000	445000000	3471498942	NaN	NaN	NaN	3
5191485000	0	41340.906	60.12831262	12425000000	5705000000	4702644000	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	16580000	NaN	NaN	NaN	2
NaN	NaN	72824.35	29.83400219	11501000000	4667000000	8361034848	NaN	NaN	NaN	3
NaN	NaN	23085.286	46.33639472	4965000000	2094000000	11678514766	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
10639000	1124000	NaN	93.65079365	NaN	NaN	35103947.39	NaN	NaN	NaN	0
NaN	NaN	44100.882	42.30242601	2383000000	3742000000	16026467816	NaN	NaN	NaN	3
20743000	1282000	1542.664	79.80295567	0	24000000	7732260.749	NaN	NaN	NaN	0
130316000	17107000	9949.674	47.29487639	2909000000	880000000	356198602.8	NaN	NaN	NaN	0
217914000	0	30642.989	41.10901794	3257000000	7834000000	NaN	NaN	NaN	NaN	2
NaN	NaN	4159.247	19.10071942	2637000000	0	1708764565	NaN	NaN	NaN	3
NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
7474000	0	NaN	100	NaN	NaN	14813000	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
167537000	753000	2520.035	75.82222222	417000000	195000000	492491229.2	NaN	NaN	NaN	1
9111383000	0	129348.355	70.41090902	0	3914000000	11617955163	NaN	NaN	NaN	2
NaN	NaN	NaN	81.38528139	NaN	NaN	141755191.4	NaN	NaN	NaN	3
NaN	NaN	1782.241	47.17514124	762000000	4000000	NaN	NaN	NaN	NaN	3
28000	0	NaN	100	NaN	NaN	53322921.38	NaN	NaN	NaN	1
20862000	113000	885.29	0	0	23000000	758347244.6	NaN	NaN	NaN	2
9894000	511000	NaN	100	NaN	NaN	53253229.09	NaN	NaN	NaN	0
NaN	NaN	192979.758	41.45473459	6808000000	6777000000	9077365125	NaN	NaN	NaN	3
NaN	NaN	22079.416	82.34969156	213000000	250000000	45247876165	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1941577000	136000	9582.672	61.6473397	216000000	834000000	2949890558	NaN	NaN	NaN	2
1181443000	3842000	692003.687	14.48355722	964000000	53442000000	16881048465	NaN	NaN	NaN	2
180193000	1705000	4457.718	99.94337486	0	53000000	142274717.3	NaN	NaN	NaN	1
1222381000	70000	20929.045	51.69408019	4821000000	257000000	2197344984	NaN	NaN	NaN	2
1830000	128000	NaN	100	NaN	NaN	11934096.56	NaN	NaN	NaN	0
3018000	38000	NaN	100	NaN	NaN	55357733.39	NaN	NaN	NaN	1
360338000	33000	1668.386	89.48220065	0	50000000	525326850.4	NaN	NaN	NaN	2
NaN	NaN	17123.57	94.24808645	39000000	10975000000	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	919.56	82.9787234	0	1319000000	745365416	NaN	NaN	NaN	3
NaN	NaN	49218.686	NaN	600000000	3770000000	NaN	NaN	NaN	NaN	3
NaN	NaN	357206.023	NaN	27985000000	9595000000	75504366416	NaN	NaN	NaN	3
1546000	33000	NaN	100	NaN	NaN	3270984.2	NaN	NaN	NaN	2
NaN	NaN	19299.643	49.50610467	294000000	1465000000	5961248867	NaN	NaN	NaN	3
185183000	127000	3642.589	93.11211664	0	2417000000	345987543.4	NaN	NaN	NaN	2
1525765000	0	17748.074	30.94362436	10482000000	1146000000	4644533504	NaN	NaN	NaN	2
826697000	264000	5775.475	88.60162295	0	1279000000	853631313.6	NaN	NaN	NaN	2
1376319000	5705000	25717.15	81.18261069	9988000000	12807000000	1587362858	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	70925.653	54.1654556	2514000000	7747000000	15966406854	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
49186000	4052000	12383.565	93.13131313	0	213000000	216340715.6	NaN	NaN	NaN	0
NaN	NaN	25834.098	56.61442472	1438000000	1330000000	4375152662	NaN	NaN	NaN	3
NaN	NaN	203815.89	59.29052972	3153000000	7062000000	53354352926	NaN	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
