Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	201350001	NaN	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	NaN	66.77631579	NaN	NaN	NaN	NaN	NaN	NaN	0
194544000	792000	6802.095	45.15648286	0	271000000	396431041.6	NaN	NaN	NaN	2
8325000	1020000	1207.15	91.44893112	0	156000000	342425752.6	40.22055	NaN	NaN	1
NaN	NaN	30789.034	-41.05837809	27226000000	1174000000	8603051037	NaN	NaN	NaN	3
7312969000	0	58532.488	49.69096305	32019000000	2050000000	22424599986	20.9979	100	100	2
16433000	1219000	1849.491	13.31096197	3013000000	19000000	239225925.6	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	50698392.34	NaN	NaN	NaN	2
NaN	NaN	101287.961	26.68938228	11426000000	2175000000	17588260728	5.472307	96.99	99.04	3
NaN	NaN	28191.129	49.74601088	8281000000	2391000000	22021085829	27.75367	100	100	3
20261000	487000	11267.532	62.48164464	3120000000	12004000000	467319239.7	NaN	NaN	NaN	2
8978000	4565000	NaN	94.18604651	NaN	NaN	118039200.3	NaN	NaN	NaN	0
NaN	NaN	56806.366	48.55899603	11537000000	1422000000	20635948964	27.75367	100	100	3
22042000	3743000	2231.479	91.86746988	0	57000000	253079050.7	NaN	NaN	NaN	0
174398000	41705000	16705.043	40.1316752	10021000000	1118000000	1610776818	NaN	NaN	NaN	0
544330000	0	20823.984	25.69847667	2012000000	926000000	2485359931	27.75367	100	100	2
NaN	NaN	5414.264	15.75269956	5040000000	0	1333801370	NaN	NaN	NaN	3
NaN	864000	2734.451	15.04840129	0	36000000	80406088.83	NaN	NaN	NaN	2
121836000	0	25349.183	38.45727312	22544000000	3492000000	393699160.8	15.95518	NaN	NaN	2
14228000	0	NaN	100	NaN	NaN	59415500	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
212032000	6253000	4521.263	54.69448584	1819000000	40000000	1359051251	0	100	100	1
12157029000	0	178311.683	74.50680427	1226000000	9966000000	51705520617	19.57209	100	100	2
NaN	NaN	NaN	84.95934959	NaN	NaN	264917582.8	NaN	NaN	NaN	3
NaN	NaN	2393.714	34.95268139	2388000000	19000000	NaN	NaN	NaN	NaN	3
2345000	162000	NaN	31.48148148	NaN	NaN	188716778.1	NaN	NaN	NaN	1
29077000	81000	1523.483	34.24657534	0	24000000	5675003312	NaN	NaN	NaN	2
4037000	1918000	NaN	100	NaN	NaN	181786252.8	59.9393	62.65	67.93	0
NaN	NaN	238870.492	46.86862095	20803000000	9385000000	18718497047	7.223796	99.71	99.39	3
NaN	NaN	25004.564	82.07072934	851000000	297000000	63195011190	29.65537	99.77	98.95	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1133897000	74000	22295.817	56.00617006	1004000000	2230000000	18112424722	0	100	100	2
6918225000	55557000	1087374.86	16.09501302	8055000000	45920000000	1.46448E+11	34.56993	NaN	NaN	2
232235000	4409000	5835.841	90.30786773	0	36000000	9555390.485	NaN	NaN	NaN	1
2010623000	75000	28293.179	53.64971751	9305000000	280000000	9906526074	28.53427	100	100	2
818000	483000	NaN	100	NaN	NaN	40648723.85	NaN	NaN	NaN	0
4303000	299000	NaN	100	NaN	NaN	19323245.83	NaN	NaN	NaN	1
209010000	18000	2415.032	90.58823529	0	171000000	1262391827	NaN	NaN	NaN	2
NaN	NaN	13182.111	96.12518629	13000000	13133000000	NaN	13.5468	30.92	61.17	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	1897.998	91.71668667	0	2728000000	1525648569	27.75367	100	100	3
NaN	NaN	43052.811	15.17927613	1151000000	630000000	10035803026	27.75367	100	100	3
NaN	NaN	345392.674	42.08472664	49728000000	6866000000	1.05208E+11	27.75367	100	100	3
3973000	87000	NaN	100	NaN	NaN	23892440.09	NaN	NaN	NaN	2
NaN	NaN	20337.918	38.09921604	6780000000	981000000	19613798905	27.75367	100	100	3
200878000	123000	6791.769	92.94330519	0	6257000000	396257894.4	48.24133	100	100	2
2048350000	0	24067.033	34.97151886	20595000000	827000000	9666874794	38.31883	NaN	NaN	2
813485000	188000	7954.636	83.04574639	0	3828000000	2212962667	27.90198	99.98	100	2
1027029000	8193000	38828.046	65.09980683	32987000000	13454000000	19370588075	NaN	NaN	NaN	1
505000	194000	1040.673	94.44444444	0	213000000	229576077	NaN	NaN	NaN	0
NaN	NaN	105591.553	58.63919356	18174000000	14103000000	72934646236	27.75367	100	100	3
NaN	NaN	5376.558	19.56264775	258000000	178000000	760039371.1	27.75367	100	100	3
47458000	11383000	17213.59	91.25214408	0	48000000	588431591.2	NaN	NaN	NaN	0
NaN	NaN	32262.496	44.40036619	6884000000	1378000000	8881026360	27.75367	100	100	3
NaN	NaN	242319.237	63.33839033	4900000000	7727000000	54693125238	27.75367	100	100	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
261144000	0	1412.528	51.80972079	243000000	197000000	286326931.4	NaN	NaN	NaN	2
NaN	NaN	219252.842	38.10343002	1.10963E+11	10669000000	37662297233	27.75367	100	100	3
43640000	1129000	3288.661	58.84297521	724000000	392000000	201708671.3	NaN	NaN	NaN	1
138968000	18694000	7031.693	86.58256881	0	35000000	617628934.7	NaN	NaN	NaN	1
55416000	6327000	NaN	89.9713467	NaN	NaN	121631869.2	NaN	NaN	NaN	0
6827000	1216000	NaN	100	NaN	NaN	96038244.24	NaN	NaN	NaN	0
3442000	1822000	NaN	100	NaN	NaN	33705318.25	NaN	NaN	NaN	0
NaN	NaN	NaN	100	NaN	NaN	4933006.057	NaN	NaN	NaN	3
NaN	NaN	24330.454	50.8736938	333000000	8299000000	13652306949	27.75367	100	100	3
2272000	52000	NaN	100	NaN	NaN	42666395.45	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
143918000	0	5835.238	91.31274131	0	1112000000	1172972869	35.64155	99.88	100	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
53998000	1553000	NaN	100	NaN	NaN	315505363.3	NaN	NaN	NaN	1
NaN	NaN	9929.545	43.38008082	11353000000	366000000	92823443401	NaN	NaN	NaN	3
203743000	3279000	3097.219	87.47795414	0	1051000000	586584252.5	NaN	NaN	NaN	1
NaN	NaN	7798.129	61.97263398	1172000000	2701000000	2539059752	NaN	NaN	NaN	3
18618000	3301000	2047.969	100	0	405000000	212775657.6	NaN	NaN	NaN	0
NaN	NaN	25994.652	31.89557995	5745000000	5861000000	8437175590	27.75367	100	100	3
6727473000	5478000	144559.72	51.67059257	30490000000	16701000000	17486799311	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
4874914000	130966000	412206.999	23.41148989	28980000000	19604000000	28385372704	73.65854	73.82	79.69	1
NaN	NaN	11934.314	48.79614767	6569000000	3465000000	6630587218	27.75367	100	100	3
965275000	0	94108.629	55.04845304	55065000000	35750000000	NaN	NaN	NaN	NaN	2
NaN	NaN	24835.753	88.77496242	0	28980000000	7947288841	NaN	NaN	NaN	1
NaN	NaN	2427.314	87.45644599	0	4000000	397889819.6	NaN	NaN	NaN	3
NaN	NaN	16826.532	58.80855986	20000000	10082000000	20334584790	NaN	NaN	NaN	3
NaN	NaN	161249.392	61.00432607	61293000000	1.13312E+11	75086485042	27.75367	100	100	3
193464000	0	3386.297	95.55018972	0	6015000000	682126514.8	NaN	NaN	NaN	2
359979000	491000	4501.483	85.55442523	771000000	5473000000	2435932080	NaN	NaN	NaN	2
NaN	NaN	512460.733	56.22101255	2.171E+11	1.17053E+11	2.26679E+11	23.26216	99.65	98.43	3
209732000	0	39293.645	23.52491723	4254000000	3792000000	2222793087	NaN	NaN	NaN	2
214309000	14990000	12926.563	87.9769299	0	744000000	811092744.7	NaN	NaN	NaN	0
58255000	1506000	2593.257	30.56856187	2452000000	0	194284986	NaN	NaN	NaN	0
