Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	51.20147874	NaN	NaN	657880925.2	NaN	NaN	NaN	0
NaN	NaN	4593.167	52.36111111	0	80000000	NaN	NaN	NaN	NaN	2
NaN	NaN	2684.606	47.65234765	0	700000000	NaN	NaN	NaN	NaN	1
NaN	NaN	8849.564	35.56860014	6946000000	270000000	3471504393	NaN	NaN	NaN	3
3440935000	0	40836.332	68.71383908	8711000000	11649000000	5006229910	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	7336296.296	NaN	NaN	NaN	2
NaN	NaN	70077.435	37.22222222	9508000000	5511000000	4824244147	NaN	NaN	NaN	3
NaN	NaN	21926.624	53.47226759	3360000000	3168000000	13676531830	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
4279000	316000	NaN	95.34883721	NaN	NaN	68145910.19	NaN	NaN	NaN	0
NaN	NaN	43530.976	44.84461397	4905000000	14160000000	18539746516	NaN	NaN	NaN	3
15684000	404000	1350.273	65.81196581	0	15000000	62053719.38	NaN	NaN	NaN	0
90073000	7299000	8573.607	61.16504854	1343000000	694000000	159682646	NaN	NaN	NaN	0
43070000	0	28322.738	40.53400274	0	7305000000	NaN	NaN	NaN	NaN	2
NaN	NaN	3103.349	33.72043011	1814000000	0	1603748476	NaN	NaN	NaN	3
NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
2407000	0	NaN	100	NaN	NaN	10334500	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
234201000	537000	2566.025	74.44529457	363000000	251000000	429267402.7	NaN	NaN	NaN	1
10447893000	0	109230.875	78.94860412	0	5044000000	7479611130	NaN	NaN	NaN	2
NaN	NaN	NaN	97.86096257	NaN	NaN	102966392	NaN	NaN	NaN	3
NaN	NaN	1299.525	-40.14962594	469000000	4000000	NaN	NaN	NaN	NaN	3
2000	0	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	1
7770000	120000	775.951	0	0	117000000	236697744.8	NaN	NaN	NaN	2
4426000	171000	NaN	100	NaN	NaN	73805739.9	NaN	NaN	NaN	0
NaN	NaN	187793.098	51.47613508	8670000000	10337000000	11671921352	NaN	NaN	NaN	3
NaN	NaN	19655.205	83.97659715	212000000	292000000	47081830287	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1773479000	78000	9629.052	64.20250896	183000000	1611000000	3889888212	NaN	NaN	NaN	2
539179000	0	594037.066	17.67712239	565000000	75673000000	10106340306	NaN	NaN	NaN	2
168949000	1105000	3837.363	95.12697323	0	99000000	96992201.68	NaN	NaN	NaN	1
745443000	160000	18780.715	51.80633454	4093000000	458000000	6078499637	NaN	NaN	NaN	2
721000	29000	NaN	100	NaN	NaN	8391639.6	NaN	NaN	NaN	0
211000	0	NaN	100	NaN	NaN	37829163.28	NaN	NaN	NaN	1
141679000	38000	1446.188	89.73941368	0	70000000	142904172.5	NaN	NaN	NaN	2
NaN	NaN	16372.717	94.14399283	45000000	9495000000	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	849.131	83.03249097	0	1060000000	608833243.2	NaN	NaN	NaN	3
NaN	NaN	47035.083	NaN	600000000	6267000000	NaN	NaN	NaN	NaN	3
NaN	NaN	344955.573	NaN	51865000000	20873000000	81553670078	NaN	NaN	NaN	3
216000	0	NaN	100	NaN	NaN	3056994.222	NaN	NaN	NaN	2
NaN	NaN	17318.26	63.34542351	0	2724000000	3195168705	NaN	NaN	NaN	3
234387000	148000	3553.489	92.33055886	0	1871000000	281642254.8	NaN	NaN	NaN	2
1764843000	0	12196.363	39.12665824	6796000000	980000000	5914589910	NaN	NaN	NaN	2
591370000	276000	5259.129	90.92706503	0	2907000000	797069064.6	NaN	NaN	NaN	2
978023000	2489000	17663.11	83.62825493	4739000000	6356000000	1682922751	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	68726.755	63.55080668	3660000000	36398000000	16610959376	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
30520000	1938000	11155.992	96.46365422	0	214000000	370055184	NaN	NaN	NaN	0
NaN	NaN	23685.847	61.25531915	1007000000	2687000000	1988163510	NaN	NaN	NaN	3
NaN	NaN	187308.124	61.22356812	5760000000	32518000000	54798139909	NaN	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
120037000	0	1540.739	49.47016174	0	183000000	203862552.6	NaN	NaN	NaN	2
