Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	691873900	NaN	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
6398000	1834000	NaN	85.58558559	NaN	NaN	3042274496	6.576521	NaN	NaN	0
511259000	2894000	11375.402	37.25549203	0	796000000	17869411577	46.69065	100	100	2
68207000	6317000	2067.668	86.83055312	0	0	2363791900	17.4365	100	100	1
NaN	NaN	58402.161	22.54357131	84791000000	1469000000	31694454732	1.096454	100	100	3
3089293000	0	76361.089	48.12626282	65097000000	14259000000	46385380342	15.57975	100	100	2
85408000	7711000	2996.571	18.63846662	1510000000	0	1406800824	0.1715855	100	100	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	138022502.6	50.76315	97.91	90.67	2
NaN	NaN	129400.925	27.44700004	35522000000	2781000000	32923506718	0.7774323	96.96	98.92	3
NaN	NaN	33486.064	50.4358655	11155000000	1243000000	16741450068	17.91871	100	100	3
121722000	5308000	13339.055	24.99416569	17722000000	1689000000	6467239212	66.41216	NaN	NaN	2
8171000	3720000	NaN	91.83673469	NaN	NaN	266537170.1	35.79734	22.02	54.92	0
NaN	NaN	58579.071	48.43886577	24646000000	406000000	15680648406	17.91871	100	100	3
41541000	1743000	3279.634	80.34265104	0	226000000	1263350031	52.75953	39.45	61.44	0
248753000	76829000	27940.838	22.56462799	31106000000	1739000000	5787356028	47.84803	15.89	55.68	0
1609846000	0	19776.679	23.98781019	2360000000	277000000	17930378450	17.91871	100	100	2
NaN	NaN	9244.666	19.83686786	11928000000	5000000	4050919132	1.369863	73.58	73.69	3
306754000	8269000	5975.06	11.91229921	0	173000000	4479825860	3.054267	NaN	NaN	2
