Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	235455000	NaN	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	NaN	64.78873239	NaN	NaN	NaN	NaN	NaN	NaN	0
175131000	1612000	7428.932	38.47040738	0	533000000	1198212373	NaN	NaN	NaN	2
11095000	2211000	1766.27	93.94673123	0	144000000	646305810.4	NaN	NaN	NaN	1
NaN	NaN	34371.26	41.44839719	38709000000	1235000000	13631620554	NaN	NaN	NaN	3
11163288000	0	60953.89	47.4033063	48611000000	2884000000	25152118465	32.0198	100	100	2
14712000	2733000	2003.353	22.75132275	2692000000	0	314200368.7	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	63558884.54	56.15522	97.91	90.67	2
NaN	NaN	108111.199	27.64229451	16245000000	1784000000	18821548250	5.387809	96.99	99.04	3
NaN	NaN	28569.634	50.33827893	7858000000	1703000000	17649558898	16.18995	100	100	3
56297000	1507000	11434.608	62.25690276	3711000000	13454000000	679605515.1	NaN	NaN	NaN	2
7880000	4405000	NaN	97.56097561	NaN	NaN	37646877.96	NaN	NaN	NaN	0
NaN	NaN	58508.333	44.81381714	15977000000	797000000	12271748514	16.18995	100	100	3
21012000	3837000	1982.67	92.29024943	0	82000000	458764035.7	NaN	NaN	NaN	0
194274000	47080000	18603.079	28.46427161	13797000000	1028000000	1515788658	62.94516	15.52	56.15	0
583977000	0	18653.165	24.22710808	1912000000	661000000	3507199103	16.18995	100	100	2
NaN	NaN	5864.682	13.09992132	6297000000	0	1605306841	NaN	NaN	NaN	3
127481000	2844000	4356.5	14.33527835	0	48000000	496626493.2	NaN	NaN	NaN	2
107314000	0	24684.265	30.64947534	24360000000	1714000000	350495841.6	NaN	NaN	NaN	2
34990000	0	NaN	100	NaN	NaN	122899000	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
180184000	531000	3782.999	69.99229584	1851000000	30000000	1184108306	0	100	100	1
17110605000	0	189159.975	71.54488703	4003000000	15199000000	33015297296	26.19623	100	100	2
NaN	NaN	NaN	82.71604938	NaN	NaN	472693489.5	51.53463	97.91	90.67	3
NaN	NaN	2453.639	40.6741573	2520000000	23000000	408340661.9	NaN	NaN	NaN	3
1971000	181000	NaN	37.6146789	NaN	NaN	317632403.2	NaN	NaN	NaN	1
16552000	70000	1836.367	40.39451115	0	27000000	6318214104	NaN	NaN	NaN	2
5851000	3214000	NaN	100	NaN	NaN	136311955.9	NaN	NaN	NaN	0
NaN	NaN	251449.65	43.11604834	33472000000	11081000000	32427273432	6.337584	99.71	99.39	3
NaN	NaN	25009.177	79.59853672	857000000	227000000	53620272485	29.26	99.77	98.95	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
2235117000	58000	24703.238	53.60629729	10449000000	1705000000	15055115792	0	100	100	2
7231236000	65352000	1094871.441	19.06556207	5757000000	46127000000	1.71763E+11	37.27666	NaN	NaN	2
288116000	5270000	6309.658	87.07264957	0	38000000	220219427	NaN	NaN	NaN	1
2203837000	60000	26783.465	50.67105596	8253000000	101000000	9005871329	29.43182	100	100	2
1412000	757000	NaN	100	NaN	NaN	43370720.16	NaN	NaN	NaN	0
4810000	662000	NaN	100	NaN	NaN	28257100.86	NaN	NaN	NaN	1
261648000	14000	3015.129	90.42196919	0	59000000	1318296348	3.423663	100	100	2
NaN	NaN	13493.247	92.4799324	1307000000	12692000000	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	2136.98	87.95503212	0	3370000000	1868515552	16.18995	100	100	3
NaN	NaN	40979.059	14.61226171	1691000000	372000000	13141569753	16.18995	100	100	3
NaN	NaN	337293.86	38.3370939	52495000000	4785000000	87496881067	16.18995	100	100	3
4065000	106000	NaN	100	NaN	NaN	29372786.76	24.67344	94.82	90.67	2
NaN	NaN	18633.651	43.24072637	8774000000	698000000	15695952298	16.18995	100	100	3
263252000	110000	7804.458	92.56288735	0	7506000000	632133042.7	68.71495	100	100	2
1654864000	0	27020.827	35.1307394	24585000000	773000000	13556106992	NaN	NaN	NaN	2
813259000	162000	8033.317	83.85571704	0	3003000000	1178958493	NaN	NaN	NaN	2
732544000	9475000	45173.441	60.4203425	52914000000	11395000000	13785041208	NaN	NaN	NaN	1
2479000	418000	707.891	96.38554217	0	209000000	36131624.55	NaN	NaN	NaN	0
NaN	NaN	121948.468	54.63478423	20178000000	22578000000	35607625798	16.18995	100	100	3
NaN	NaN	4714.635	13.78741457	596000000	56000000	922839655.6	16.18995	100	100	3
53195000	12915000	18639.118	92.45283019	0	23000000	362554252	NaN	NaN	NaN	0
NaN	NaN	32252.354	46.03699276	10080000000	610000000	8409732793	16.18995	100	100	3
NaN	NaN	251867.394	59.2281997	11514000000	7165000000	63728088171	16.18995	100	100	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
154012000	0	1462.801	67.59581882	235000000	270000000	193613824.8	NaN	NaN	NaN	2
NaN	NaN	222936.248	35.98456744	1.48077E+11	8446000000	43075149170	16.18995	100	100	3
49362000	2788000	2871.817	46.80679062	1290000000	274000000	115965909	NaN	NaN	NaN	1
133975000	21792000	7739.612	84.57508731	0	613000000	308900899.3	71.35405	14.35	55.09	1
56720000	6980000	NaN	88.252149	NaN	NaN	167593505.8	NaN	NaN	NaN	0
7265000	1248000	NaN	100	NaN	NaN	109431122.5	NaN	NaN	NaN	0
2389000	1601000	NaN	100	NaN	NaN	66771062.7	NaN	NaN	NaN	0
NaN	NaN	NaN	79.83870968	NaN	NaN	23008388.83	NaN	NaN	NaN	3
NaN	NaN	27086.27	48.47502402	5920000000	8885000000	14594007093	16.18995	100	100	3
4402000	92000	NaN	100	NaN	NaN	57660000	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
