Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	255345000	NaN	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	NaN	67.05202312	NaN	NaN	NaN	NaN	NaN	NaN	0
132119000	369000	6396.17	76.82317682	0	60000000	212833269.4	NaN	NaN	NaN	2
8822000	564000	1324.203	85.06151142	0	210000000	265298058.5	NaN	NaN	NaN	1
NaN	NaN	27605.527	31.26038206	24206000000	776000000	7778377418	NaN	NaN	NaN	3
5322129000	0	53936.399	51.31512014	26477000000	4644000000	15979455559	21.03717	100	100	2
8459000	202000	1631.915	21.42857143	2913000000	425000000	111182437.9	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	59438706.37	NaN	NaN	NaN	2
NaN	NaN	92556.039	28.24017749	14913000000	2738000000	14951888047	NaN	NaN	NaN	3
NaN	NaN	26696.465	51.08274861	8913000000	2117000000	23368745768	25.71892	100	100	3
10133000	0	12764.419	60.00655093	3167000000	12321000000	120884195.3	NaN	NaN	NaN	2
11814000	4604000	NaN	94.50549451	NaN	NaN	216108497.8	NaN	NaN	NaN	0
NaN	NaN	53766.171	46.25271836	10181000000	1313000000	24120468156	25.71892	100	100	3
22763000	3645000	1847.03	78.17679558	0	33000000	197945479.8	NaN	NaN	NaN	0
180353000	42116000	15896.88	36.9013179	9512000000	922000000	2376175760	NaN	NaN	NaN	0
574644000	0	23101.905	32.73039426	3210000000	1443000000	1635188166	25.71892	100	100	2
NaN	NaN	4929.959	17.87594415	4612000000	0	1337941448	NaN	NaN	NaN	3
NaN	0	1532.188	50	0	36000000	NaN	NaN	NaN	NaN	2
73555000	0	24747.635	48.1227863	17899000000	6999000000	377020403.6	NaN	NaN	NaN	2
11222000	0	NaN	100	NaN	NaN	37608500	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
173158000	5566000	3718.093	47.89883268	1644000000	67000000	1005483031	0	100	100	1
10521553000	0	161117.136	74.48600743	559000000	7501000000	51477389634	24.57718	100	100	2
NaN	NaN	NaN	89.38053097	NaN	NaN	219099891.4	NaN	NaN	NaN	3
NaN	NaN	2312.296	32.9787234	1951000000	15000000	NaN	NaN	NaN	NaN	3
2630000	168000	NaN	41.17647059	NaN	NaN	130457706.4	NaN	NaN	NaN	1
27459000	89000	1495.315	30.38501561	0	21000000	4695481284	NaN	NaN	NaN	2
5722000	2913000	NaN	100	NaN	NaN	237946018	64.34159	62.65	67.93	0
NaN	NaN	230771.589	48.40811574	21190000000	9196000000	16369370360	8.10483	99.7	99.39	3
NaN	NaN	24057.781	80.28116563	723000000	364000000	68620322745	45.86385	99.76	98.95	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1292522000	84000	17885.963	64.48330951	302000000	1041000000	14859706892	0	100	100	2
5996225000	49391000	1047245.513	14.11364515	2990000000	53952000000	80288434062	NaN	NaN	NaN	2
214157000	3317000	5496.907	93.61344538	0	32000000	15372105.22	57.56136	13.29	54.74	1
1997879000	86000	28459.35	53.37106299	5552000000	254000000	8451977694	26.08333	100	100	2
560000	445000	NaN	100	NaN	NaN	44871595.19	NaN	NaN	NaN	0
4143000	218000	NaN	100	NaN	NaN	36891764.27	NaN	NaN	NaN	1
251045000	20000	2348.305	91.10776187	0	825000000	1059760087	35.14339	100	100	2
NaN	NaN	12147.449	96.35558096	8000000	11687000000	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	1745.705	90.18601668	0	2497000000	1294935266	25.71892	100	100	3
NaN	NaN	41471.383	17.09576005	479000000	594000000	14612514155	25.71892	100	100	3
NaN	NaN	337052.512	41.45366243	43180000000	8983000000	1.21816E+11	25.71892	100	100	3
2389000	93000	NaN	100	NaN	NaN	22123442.33	NaN	NaN	NaN	2
NaN	NaN	19391.729	42.18169761	3635000000	1423000000	11652292653	25.71892	100	100	3
174851000	133000	5893.832	93.64754098	0	4631000000	372632172.1	NaN	NaN	NaN	2
1831680000	0	24105.376	28.62177129	18867000000	655000000	4164319968	NaN	NaN	NaN	2
655834000	204000	7143.291	85.70969298	0	3268000000	1787782298	28.04575	NaN	NaN	2
1392651000	7323000	35301.635	61.03662274	30655000000	9932000000	17121799305	43.89934	99.36	98.77	1
150000	150000	997.704	91.35802469	0	172000000	40490517.1	NaN	NaN	NaN	0
NaN	NaN	100820.423	59.36390722	3750000000	14623000000	40530658958	25.71892	100	100	3
NaN	NaN	5037.919	19.63230466	264000000	103000000	583006267.3	25.71892	100	100	3
62892000	10863000	16403.662	85.86030664	0	99000000	815019180.2	72.78719	NaN	NaN	0
NaN	NaN	28919.816	41.92711983	6634000000	1447000000	10657231031	25.71892	100	100	3
NaN	NaN	236664.133	63.75138693	3840000000	7749000000	58509702359	25.71892	100	100	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
239811000	0	1353.363	48.09885932	252000000	87000000	153050968	73.23029	100	100	2
NaN	NaN	216263.87	38.482075	63739000000	17297000000	49144194069	25.71892	100	100	3
20040000	61000	3731.448	17.67515924	1238000000	1713000000	198511612.7	NaN	NaN	NaN	1
94587000	16810000	6471.284	87.90540541	0	19000000	803821072.5	NaN	NaN	NaN	1
48813000	5570000	NaN	90.02932551	NaN	NaN	86759344.85	NaN	NaN	NaN	0
6320000	1180000	NaN	100	NaN	NaN	106146511.1	NaN	NaN	NaN	0
6171000	1576000	NaN	100	NaN	NaN	20266042.31	NaN	NaN	NaN	0
NaN	NaN	NaN	100	NaN	NaN	40812.34361	NaN	NaN	NaN	3
NaN	NaN	22678.384	49.08307863	75000000	8860000000	16118558513	25.71892	100	100	3
2254000	57000	NaN	100	NaN	NaN	36734880.87	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
145447000	0	5354.744	91.70931423	0	1195000000	783330256	33.94913	100	100	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
34891000	1427000	NaN	100	NaN	NaN	268938847.1	NaN	NaN	NaN	1
NaN	NaN	10649.915	38.33932506	72000000	670000000	55423912250	NaN	NaN	NaN	3
225744000	2523000	2823.988	90.73724008	0	1055000000	269727726.3	36.88903	100	100	1
NaN	NaN	7049.594	65.95877577	892000000	2459000000	1895724350	NaN	NaN	NaN	3
32399000	10386000	1693.198	100	0	242000000	198778528.4	NaN	NaN	NaN	0
NaN	NaN	25874.7	34.42022348	5212000000	5284000000	12017181563	25.71892	100	100	3
6220478000	5787000	134970.847	50.66023279	25180000000	9986000000	14907560253	33.6293	96.61	99.21	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
4930648000	130813000	384284.782	23.52699692	29434000000	11274000000	22864638483	NaN	NaN	NaN	1
NaN	NaN	10634.577	47.04570792	5160000000	2680000000	8769757976	25.71892	100	100	3
1601620000	0	93484.246	61.77507787	44021000000	33660000000	NaN	NaN	NaN	NaN	2
NaN	NaN	25959.716	90.7079646	0	28430000000	8347392000	NaN	NaN	NaN	1
NaN	NaN	2252.506	87.14555766	0	9000000	327060188.2	NaN	NaN	NaN	3
NaN	NaN	15518.074	59.18187965	15000000	11362000000	8122625603	NaN	NaN	NaN	3
NaN	NaN	159130.704	62.14042115	46998000000	1.208E+11	60690113807	25.71892	100	100	3
231741000	0	3213.28	95.80498866	0	5610000000	681258962.7	NaN	NaN	NaN	2
262586000	528000	4293.22	83.90586962	745000000	4852000000	2279459587	NaN	NaN	NaN	2
NaN	NaN	496246.849	58.37741248	1.9564E+11	1.34459E+11	1.9262E+11	23.18826	99.64	98.42	3
129519000	0	51978.282	20.55291634	5454000000	4860000000	1659893912	NaN	NaN	NaN	2
299326000	14370000	12477.074	84.80582524	0	416000000	384263030.1	NaN	NaN	NaN	0
23526000	610000	2384.165	32.04918033	2489000000	0	133633013.3	0	NaN	NaN	0
2521000	366000	3372.955	96.42857143	0	198000000	191983752.1	NaN	NaN	NaN	0
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	144755.748	59.11603849	19507000000	42279000000	32804283077	25.17136	95.1	94.3	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	14872.399	60.7431694	12686000000	11038000000	4542637802	NaN	NaN	NaN	3
6177000	2042000	NaN	98.8372093	NaN	NaN	98743405.68	NaN	NaN	NaN	1
121288000	0	4409.232	83.36025848	0	4564000000	8099940715	NaN	NaN	NaN	2
1516000	0	NaN	98.9010989	NaN	NaN	28088832.8	NaN	NaN	NaN	0
NaN	NaN	15793.651	68.50651948	2600000000	8815000000	7415275216	NaN	NaN	NaN	2
5686000	45000	NaN	100	NaN	NaN	63090894.62	NaN	NaN	NaN	2
