Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
3036000	53000	NaN	100	NaN	NaN	31231150.28	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
120490000	0	5066.334	90.9383378	0	1084000000	943368783.1	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
36549000	1272000	NaN	100	NaN	NaN	247126598.3	NaN	NaN	NaN	1
NaN	NaN	10728.598	42.37545211	0	535000000	49277061000	NaN	NaN	NaN	3
194543000	1689000	2656.158	90.76923077	0	518000000	179216200.5	NaN	NaN	NaN	1
NaN	NaN	6874.049	63.1029987	1839000000	1399000000	1404995150	NaN	NaN	NaN	3
1056000	0	1436.45	100	0	48000000	58174904.07	NaN	NaN	NaN	0
NaN	NaN	24935.54	35.54783707	4834000000	5523000000	6777626276	17.62777	NaN	NaN	3
5315332000	5937000	121908.024	51.29016231	18716000000	11796000000	13321137323	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
4602834000	121192000	364050.277	23.02125332	21882000000	10559000000	24220928978	NaN	NaN	NaN	1
NaN	NaN	10575.788	47.190129	4456000000	2836000000	6252748807	17.62777	NaN	NaN	3
905130000	0	90518.03	62.95737924	43978000000	30455000000	NaN	NaN	NaN	NaN	2
NaN	NaN	24925.302	90.42755925	0	27440000000	8332888000	NaN	NaN	NaN	1
NaN	NaN	2183.616	85.2189781	0	5000000	311693252.9	NaN	NaN	NaN	3
NaN	NaN	14796.334	60.20233463	0	11175000000	6795646822	NaN	NaN	NaN	3
NaN	NaN	146569.148	63.01090767	40804000000	1.16312E+11	57817133540	17.62777	NaN	NaN	3
210444000	0	3019.553	95.79439252	0	4555000000	735930635	NaN	NaN	NaN	2
248040000	555000	4026.012	81.845078	773000000	4288000000	1996868733	NaN	NaN	NaN	2
NaN	NaN	483286.73	59.20849222	1.91675E+11	1.48422E+11	1.35146E+11	21.32457	NaN	NaN	3
45844000	0	57898.773	23.50508263	5350000000	4768000000	1216176078	NaN	NaN	NaN	2
329328000	12561000	11836.825	84.50782998	0	210000000	588142037.6	72.36467	NaN	NaN	0
16372000	248000	2794.245	14.76104053	680000000	0	26186044.88	NaN	NaN	NaN	0
1932000	153000	NaN	90.47619048	NaN	NaN	118495188.4	NaN	NaN	NaN	0
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	132093.153	58.42051393	18427000000	40380000000	25763880665	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	14502.075	53.3808966	12548000000	10254000000	4473770158	NaN	NaN	NaN	3
4843000	1686000	NaN	97.56097561	NaN	NaN	67495888.01	NaN	NaN	NaN	1
89298000	0	3846.455	84.17266187	0	4367000000	7418500763	NaN	NaN	NaN	2
199000	0	NaN	100	NaN	NaN	5069083.099	NaN	NaN	NaN	0
NaN	NaN	14982.013	64.59355291	0	11689000000	7348447115	NaN	NaN	NaN	2
5036000	40000	NaN	100	NaN	NaN	57790727.37	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
154549000	9534000	5817.112	91.3220339	0	298000000	2069716975	50.39501	NaN	NaN	1
11354000	1048000	NaN	NaN	NaN	NaN	372621143.7	NaN	NaN	NaN	1
32455000	0	8081.882	67.25813266	331000000	1244000000	596691631.7	17.62777	NaN	NaN	2
NaN	NaN	3591.055	51.99138859	50000000	15000000	192791239.5	17.62777	NaN	NaN	3
16024000	0	4774.193	67.97917345	312000000	745000000	640693740.8	17.62777	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	1966349230	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1392762000	268000	8697.791	69.21934925	0	7692000000	4621504529	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
8609000	0	4762.26	27.66151046	3885000000	465000000	179920380.7	NaN	NaN	NaN	1
22141000	7230000	NaN	96.37883008	NaN	NaN	71640029.09	NaN	NaN	NaN	0
3100000	202000	NaN	100	NaN	NaN	31220397.8	NaN	NaN	NaN	2
8977823000	0	134258.935	74.0898881	23406000000	77260000000	6441390824	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	1
35012000	103000	2474.711	22.13660245	0	36000000	166364466.4	NaN	NaN	NaN	2
25447000	5821000	NaN	98.41269841	NaN	NaN	228624487.3	NaN	NaN	NaN	0
NaN	NaN	770.711	74.48275862	0	1182000000	1890025826	17.62777	NaN	NaN	3
121028000	5888000	11380.961	55.3141515	1813000000	162000000	518318938	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
