Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	40.02590674	NaN	NaN	526217145.1	NaN	NaN	NaN	0
NaN	NaN	4704.76	45.75402635	0	69000000	NaN	NaN	NaN	NaN	2
NaN	NaN	2943.582	37.67572634	0	978000000	NaN	NaN	NaN	NaN	1
NaN	NaN	12035.768	34.86405311	10591000000	409000000	2538886313	NaN	NaN	NaN	3
4566294000	0	43329.179	63.16912803	11046000000	8723000000	2590505132	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	15440000	NaN	NaN	NaN	2
NaN	NaN	72303.215	34.43583385	11791000000	5556000000	9886483793	NaN	NaN	NaN	3
NaN	NaN	22334.118	46.77332616	4684000000	2571000000	10759891830	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
9460000	738000	NaN	90	NaN	NaN	25040943.9	NaN	NaN	NaN	0
NaN	NaN	42731.104	41.46171774	2793000000	4426000000	15102824037	NaN	NaN	NaN	3
24102000	759000	1471.25	70.71428571	0	61000000	5874456.759	NaN	NaN	NaN	0
120827000	13176000	9409.032	48.23151125	2334000000	735000000	408085843.6	NaN	NaN	NaN	0
204457000	0	30352.277	41.23819517	0	8325000000	NaN	NaN	NaN	NaN	2
NaN	NaN	3595.281	26.00557547	2187000000	0	1348689394	NaN	NaN	NaN	3
NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
5493000	0	NaN	100	NaN	NaN	6072201.1	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
362196000	615000	2552.383	76.31578947	378000000	236000000	533100460.2	NaN	NaN	NaN	1
9352894000	0	121147.789	72.36824955	0	3438000000	11960814097	NaN	NaN	NaN	2
NaN	NaN	NaN	84.80392157	NaN	NaN	134385155.8	NaN	NaN	NaN	3
NaN	NaN	1700.366	34.22562141	746000000	4000000	NaN	NaN	NaN	NaN	3
33000	0	NaN	100	NaN	NaN	43047368.17	NaN	NaN	NaN	1
15768000	101000	836.992	0	0	53000000	453826982.7	NaN	NaN	NaN	2
8763000	398000	NaN	100	NaN	NaN	56097887.99	NaN	NaN	NaN	0
NaN	NaN	188693.916	42.72846942	6120000000	6250000000	8699532907	NaN	NaN	NaN	3
NaN	NaN	20867.584	82.47683235	224000000	259000000	40970392982	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
2331767000	142000	9604.913	61.71126528	209000000	1012000000	2774588563	NaN	NaN	NaN	2
997907000	3476000	675653.361	14.96898551	909000000	65747000000	21281444020	NaN	NaN	NaN	2
210417000	1636000	4291.277	99.93946731	0	38000000	63101792	NaN	NaN	NaN	1
937333000	144000	20597.338	50.34813207	5250000000	263000000	1785514715	NaN	NaN	NaN	2
1798000	87000	NaN	100	NaN	NaN	3685178.289	NaN	NaN	NaN	0
2988000	19000	NaN	100	NaN	NaN	40990517.07	NaN	NaN	NaN	1
262127000	34000	1592.319	88.27838828	0	53000000	412066217.2	NaN	NaN	NaN	2
NaN	NaN	17223.294	94.05016309	65000000	11031000000	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	926.022	82.25806452	0	1250000000	682055895.4	NaN	NaN	NaN	3
NaN	NaN	48952.912	NaN	600000000	3694000000	NaN	NaN	NaN	NaN	3
NaN	NaN	346213.037	NaN	37994000000	9177000000	69485150710	NaN	NaN	NaN	3
1280000	50000	NaN	100	NaN	NaN	5249802.1	NaN	NaN	NaN	2
NaN	NaN	17141.616	55.66024061	0	849000000	3511129321	NaN	NaN	NaN	3
162967000	148000	4284.067	92.36453202	0	2479000000	259051286.1	NaN	NaN	NaN	2
1516667000	0	17000.866	32.04744714	9554000000	1176000000	3185336129	NaN	NaN	NaN	2
897059000	219000	5708.261	91.18509574	0	1303000000	738907098.3	NaN	NaN	NaN	2
1458393000	4919000	23758.226	82.99155609	8485000000	10931000000	1485991444	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	69526.053	56.22095168	2064000000	11496000000	16464821588	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
46481000	3039000	12045.124	92.73127753	0	220000000	108775330	NaN	NaN	NaN	0
NaN	NaN	23972.206	59.23472501	835000000	1172000000	3145827087	NaN	NaN	NaN	3
NaN	NaN	194278.741	59.79210769	3918000000	8310000000	46174644813	NaN	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
