Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	NaN	NaN	NaN	708713690	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
8259000	1679000	NaN	NaN	NaN	NaN	5162440198	NaN	NaN	NaN	0
199949000	4066000	NaN	NaN	NaN	NaN	19749472847	NaN	NaN	NaN	2
85325000	6170000	NaN	NaN	NaN	NaN	2540673567	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	32785288698	NaN	NaN	NaN	3
3595810000	0	NaN	NaN	NaN	NaN	52207540132	14.80771	100	100	2
89125000	8459000	NaN	NaN	NaN	NaN	1865824194	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	136600153.7	NaN	NaN	NaN	2
NaN	NaN	125837.303	NaN	41591000000	1744000000	42267779109	0	96.98	99.01	3
NaN	NaN	33065.694	NaN	14464000000	1257000000	22241612908	6.29908	100	100	3
95133000	5574000	NaN	NaN	NaN	NaN	6408968627	NaN	NaN	NaN	2
1575000	793000	NaN	NaN	NaN	NaN	332084591.7	41.72274	22.33	55.41	0
NaN	NaN	56798.886	NaN	31105000000	327000000	26779037381	6.29908	100	100	3
12976000	2370000	NaN	NaN	NaN	NaN	1200056092	56.48386	39.45	61.44	0
233035000	78005000	NaN	NaN	NaN	NaN	11174826634	NaN	NaN	NaN	0
633850000	0	NaN	NaN	NaN	NaN	17223201500	6.29908	100	100	2
NaN	NaN	NaN	NaN	NaN	NaN	5299462793	NaN	NaN	NaN	3
230695000	8149000	NaN	NaN	NaN	NaN	4411161779	0	NaN	NaN	2
505809000	0	NaN	NaN	NaN	NaN	5025438896	6.901037	NaN	NaN	2
47941000	0	NaN	NaN	NaN	NaN	217999641.9	39.74472	97.85	90.72	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.28044	NaN	NaN	3
79105000	2308000	NaN	NaN	NaN	NaN	9730683155	13.9966	100	100	1
13834698000	0	NaN	NaN	NaN	NaN	2.88575E+11	13.40678	100	100	2
NaN	NaN	NaN	NaN	NaN	NaN	833540655.7	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	1563161416	1.155001	95.29	97.93	3
37553000	832000	NaN	NaN	NaN	NaN	1002139067	NaN	NaN	NaN	1
19356000	35000	NaN	NaN	NaN	NaN	7885214847	19.50355	96.14	86.49	2
1253000	68000	NaN	NaN	NaN	NaN	181175440.7	NaN	NaN	NaN	0
NaN	NaN	255322.415	NaN	39820000000	8812000000	57151120474	0.4993403	99.69	99.37	3
NaN	NaN	26305.711	NaN	791000000	120000000	2.7048E+11	0	99.77	99.01	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
2387877000	6000	31255.079	NaN	10912000000	8255000000	27827446021	0.0786349	100	100	2
34071332000	67073000	NaN	NaN	NaN	NaN	2.91371E+12	13.8137	100	100	2
52631000	2098000	NaN	NaN	NaN	NaN	3642642678	NaN	NaN	NaN	1
3227389000	7000	NaN	NaN	NaN	NaN	28076151760	24.60924	100	100	2
1137000	730000	NaN	NaN	NaN	NaN	146075846.9	6.200528	NaN	NaN	0
7908000	2142000	NaN	NaN	NaN	NaN	382190168.5	46.52935	99.98	99.91	1
428926000	2000	NaN	NaN	NaN	NaN	4630019189	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.80916	31.67	60.54	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	1141718168	6.29908	100	100	3
NaN	NaN	42333.669	NaN	1073000000	162000000	42482656052	6.29908	100	100	3
NaN	NaN	331500.813	NaN	84500000000	7500000000	2.15978E+11	6.29908	100	100	3
4483000	193000	NaN	NaN	NaN	NaN	76099711.45	NaN	NaN	NaN	2
NaN	NaN	19682.868	NaN	7862000000	835000000	76510012566	6.29908	100	100	3
520727000	59000	NaN	NaN	NaN	NaN	3883100757	47.08989	100	100	2
110949000	0	NaN	NaN	NaN	NaN	1.70461E+11	NaN	NaN	NaN	2
498306000	79000	NaN	NaN	NaN	NaN	2622493198	24.45261	99.98	100	2
