Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	321360614.5	NaN	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	NaN	49.43181818	NaN	NaN	NaN	NaN	NaN	NaN	0
147357000	1498000	7805.189	44.2351168	0	621000000	731866869.4	NaN	NaN	NaN	2
12512000	2543000	1787.141	96.82179342	0	137000000	770581241.8	40.87238	100	100	1
NaN	NaN	37346.02	34.52268944	41963000000	1209000000	14256130152	NaN	NaN	NaN	3
4663422000	0	57835.495	50.93847078	43007000000	1004000000	14555552761	30.08538	100	100	2
21168000	2975000	1997.793	21.94616977	2790000000	0	329632781.8	0	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	79718831.04	50.32373	97.91	90.67	2
NaN	NaN	106829.429	24.80528276	17271000000	2044000000	18663980934	0.5439402	96.97	98.95	3
NaN	NaN	30256.269	49.62544658	8745000000	1817000000	15598207619	19.59929	100	100	3
37959000	1639000	11394.85	40.60787245	11265000000	6403000000	724979354.4	NaN	NaN	NaN	2
6563000	4302000	NaN	94.91525424	NaN	NaN	17974678.33	NaN	NaN	NaN	0
NaN	NaN	58364.999	47.15787456	15780000000	1664000000	13560301583	19.59929	100	100	3
16678000	3962000	2108.546	92.82700422	0	64000000	579741559.6	47.38494	39.37	62.34	0
179794000	47758000	20216.17	29.91298452	15227000000	1172000000	1305630682	NaN	NaN	NaN	0
571712000	0	19491.868	22.71866119	1908000000	579000000	3646131855	19.59929	100	100	2
NaN	NaN	6068.79	13.79673512	6779000000	0	1725453576	2.70905	73.79	73.33	3
105277000	3121000	4208.891	15.80251283	0	92000000	1233132928	0	NaN	NaN	2
120426000	0	24774.099	29.7845639	23577000000	1456000000	390676493.6	NaN	NaN	NaN	2
48308000	0	NaN	100	NaN	NaN	112041500	48.34931	98	91.11	1
NaN	NaN	NaN	100	NaN	NaN	NaN	27.36573	NaN	NaN	3
183843000	1063000	2943.103	74.25249169	1750000000	47000000	1146023743	0	100	100	1
17180046000	0	190276.991	70.98824037	10294000000	15805000000	35866445532	27.38298	100	100	2
NaN	NaN	NaN	84.68468468	NaN	NaN	690373665	65.38461	97.91	90.67	3
NaN	NaN	2279.76	41.83431953	2555000000	24000000	381821187.2	0.7884151	95.32	97.91	3
1764000	196000	NaN	38.9380531	NaN	NaN	323362186.9	NaN	NaN	NaN	1
12860000	68000	1867.56	42.55499154	0	24000000	5897250169	11.39544	96.56	87.18	2
4218000	2635000	NaN	100	NaN	NaN	121827806.7	66.51852	62.55	67.92	0
NaN	NaN	247877.516	44.21704348	35981000000	16894000000	34252696054	5.653544	99.71	99.39	3
NaN	NaN	26547.493	80.61572574	846000000	247000000	51549538228	29.60497	99.77	98.95	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1961659000	53000	24227.25	54.44301134	13341000000	1275000000	14399463638	0	100	100	2
7982061000	63949000	1091385.51	18.91978281	4921000000	47343000000	2.20057E+11	36.63646	100	100	2
152076000	5845000	6384.145	85.7449089	0	67000000	340115355.2	59.04908	13.32	55.45	1
2683524000	54000	26600.277	50.76241366	8685000000	101000000	10244081768	28.73235	100	100	2
908000	554000	NaN	100	NaN	NaN	62479685.09	NaN	NaN	NaN	0
3692000	720000	NaN	100	NaN	NaN	45425897.51	NaN	NaN	NaN	1
281616000	13000	2968.128	87.58752387	0	100000000	1330363596	3.775129	100	100	2
NaN	NaN	13200.873	92.65235557	1258000000	13036000000	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	2114.384	88.00214247	0	3551000000	2396061109	19.59929	100	100	3
NaN	NaN	42051.47	15.38937688	1580000000	386000000	14463996079	19.59929	100	100	3
NaN	NaN	347378.343	38.4424533	58430000000	4758000000	82131888852	19.59929	100	100	3
8561000	100000	NaN	100	NaN	NaN	31224517.74	54.41122	94.82	90.67	2
