Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	154950000	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	71.17647059	NaN	NaN	576118910.8	NaN	NaN	NaN	0
155884000	0	6024.041	35.68429891	0	162000000	NaN	NaN	NaN	NaN	2
2765000	0	1862.702	48.19944598	0	234000000	NaN	NaN	NaN	NaN	1
NaN	NaN	23418.856	30.61040715	16708000000	643000000	5646813528	NaN	NaN	NaN	3
2913794000	0	47487.982	52.36901479	21002000000	7630000000	7462543503	NaN	NaN	NaN	2
NaN	NaN	8112.279	NaN	2670000000	5300000000	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	32540000	NaN	NaN	NaN	2
NaN	NaN	85153.563	28.14364238	10772000000	3396000000	19339711294	10.76662	NaN	NaN	3
NaN	NaN	26368.653	52.49332146	7467000000	2230000000	17414573302	20.98832	NaN	NaN	3
NaN	NaN	24523.31	NaN	0	21598000000	NaN	NaN	NaN	NaN	2
13662000	3002000	NaN	95.74468085	NaN	NaN	147473739	NaN	NaN	NaN	0
NaN	NaN	50581.685	47.28667665	6216000000	1826000000	22868662952	20.98832	NaN	NaN	3
14717000	2389000	1686.666	80.53097345	0	23000000	195544088.1	NaN	NaN	NaN	0
179646000	30561000	12556.296	40.1426271	7286000000	146000000	1307945016	NaN	NaN	NaN	0
146213000	0	22098.39	32.02923474	2885000000	1352000000	670207824.1	20.98832	NaN	NaN	2
NaN	NaN	4041.524	12.87854638	3320000000	0	1567656816	NaN	NaN	NaN	3
NaN	0	6316.62	NaN	0	0	NaN	NaN	NaN	NaN	2
NaN	NaN	44328.228	NaN	20095000000	18622000000	NaN	NaN	NaN	NaN	2
5390000	0	NaN	100	NaN	NaN	53016555.7	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
137960000	2967000	2691.175	62.37309645	869000000	67000000	422359443.1	NaN	NaN	NaN	1
3531175000	0	142904.975	70.75001672	743000000	4946000000	8748631531	52.8144	NaN	NaN	2
NaN	NaN	NaN	88.14589666	NaN	NaN	87245215	NaN	NaN	NaN	3
NaN	NaN	1998.809	36.8852459	1257000000	12000000	NaN	NaN	NaN	NaN	3
1956000	121000	NaN	43.1372549	NaN	NaN	101300000	NaN	NaN	NaN	1
34830000	102000	1282.86	0.511945392	0	33000000	3718662647	NaN	NaN	NaN	2
8186000	1954000	NaN	100	NaN	NaN	106910593.4	NaN	NaN	NaN	0
NaN	NaN	208148.266	44.39562952	8622000000	14135000000	20836198488	NaN	NaN	NaN	3
NaN	NaN	24670.417	80.56108754	411000000	605000000	58450951446	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1555834000	105000	13867.34	60.82027342	196000000	1348000000	7700029232	NaN	NaN	NaN	2
3729629000	22844000	856739.286	14.55413516	2423000000	50605000000	48165018405	NaN	NaN	NaN	2
206701000	2090000	5028.102	76.23762376	0	39000000	53628533	NaN	NaN	NaN	1
1555803000	107000	24682.775	56.06342685	4786000000	406000000	6838511906	8.032128	NaN	NaN	2
2217000	334000	NaN	100	NaN	NaN	29376988.21	NaN	NaN	NaN	0
2785000	100000	NaN	100	NaN	NaN	65100093.69	NaN	NaN	NaN	1
234393000	38000	2096.874	89.56043956	0	198000000	930999963.1	NaN	NaN	NaN	2
NaN	NaN	16245.693	95.44610815	14000000	11864000000	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	1388.82	87.23897912	0	2077000000	1552478619	20.98832	NaN	NaN	3
NaN	NaN	44790.77	NaN	381000000	531000000	NaN	20.98832	NaN	NaN	3
NaN	NaN	344559.842	38.56028085	36107000000	14740000000	96657194691	20.98832	NaN	NaN	3
2180000	68000	NaN	100	NaN	NaN	17768608.6	NaN	NaN	NaN	2
NaN	NaN	19251.703	39.40189817	829000000	1150000000	7990191377	20.98832	NaN	NaN	3
105854000	227000	4126.358	92.40231548	0	2875000000	448222017.2	NaN	NaN	NaN	2
1946003000	0	23477.941	34.5502836	16303000000	749000000	3459969139	NaN	NaN	NaN	2
503895000	237000	6221.863	80.96085409	0	1899000000	1080977249	NaN	NaN	NaN	2
887377000	7504000	32382.368	67.21326749	21882000000	12514000000	6185285500	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	93438.621	56.50241003	1361000000	10156000000	71344880737	20.98832	NaN	NaN	3
NaN	NaN	9017.921	NaN	971000000	1271000000	NaN	20.98832	NaN	NaN	3
