Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	73630000	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	36.28938156	NaN	NaN	635742033.2	NaN	NaN	NaN	0
NaN	NaN	5047.687	40.12588513	0	105000000	NaN	NaN	NaN	NaN	2
NaN	NaN	2901.541	35.63950842	0	1045000000	NaN	NaN	NaN	NaN	1
NaN	NaN	15533.425	35.2845276	12336000000	478000000	3689327137	NaN	NaN	NaN	3
4488804000	0	43877.643	59.73468454	13273000000	7890000000	4427405700	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	28260000	NaN	NaN	NaN	2
NaN	NaN	74012.245	30.84093583	13784000000	3771000000	10346338190	NaN	NaN	NaN	3
NaN	NaN	23175.597	51.42392189	5094000000	2341000000	14426649895	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
14259000	1470000	NaN	93.93939394	NaN	NaN	75804790.9	NaN	NaN	NaN	0
NaN	NaN	45698.435	49.01611293	973000000	2499000000	18899778788	NaN	NaN	NaN	3
29167000	1348000	1557.314	78.30687831	0	26000000	8238022.322	NaN	NaN	NaN	0
148597000	21303000	10653.274	46.19321817	3032000000	1318000000	434858520.9	NaN	NaN	NaN	0
298805000	0	30914.126	41.72707975	2342000000	7475000000	NaN	NaN	NaN	NaN	2
NaN	NaN	3554.037	14.78521479	2892000000	0	1548021615	NaN	NaN	NaN	3
