Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	339224000	NaN	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	1866000	NaN	81.25	NaN	NaN	NaN	0.1364256	NaN	NaN	0
174423000	3059000	9530.399	26.8097561	0	482000000	1374045539	NaN	NaN	NaN	2
23055000	5232000	2001.635	89.92673993	0	93000000	1387913042	NaN	NaN	NaN	1
NaN	NaN	42326.166	26.1159119	51192000000	1225000000	18529924267	NaN	NaN	NaN	3
2362300000	0	67303.776	50.1809837	54897000000	4039000000	19659593361	25.17639	100	100	2
52805000	5582000	2083.173	25.25150905	1831000000	0	547758890.8	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	135	100	NaN	NaN	120139161.9	NaN	NaN	NaN	2
NaN	NaN	113719.267	25.6326522	31906000000	1433000000	36925540884	0.2912433	97.11	99.07	3
NaN	NaN	32523.167	51.41099303	10953000000	1818000000	12188421305	17.22356	100	100	3
26054000	4188000	12645.414	40.0204592	12741000000	6147000000	1075084319	NaN	NaN	NaN	2
16622000	5942000	NaN	95.45454545	NaN	NaN	66173618.87	NaN	NaN	NaN	0
NaN	NaN	58889.484	47.9487264	21477000000	1676000000	13990816825	17.22356	100	100	3
15003000	5619000	2491.551	94.80122324	0	80000000	634895104	55.44095	39.01	61.27	0
199936000	67000000	22539.083	35.45588778	22011000000	1447000000	3221759636	61.54095	15.55	55.17	0
543469000	0	18820.858	24.33576299	1494000000	822000000	9337108247	17.22356	100	100	2
NaN	NaN	6969.621	20.67501592	8448000000	0	2006203382	NaN	NaN	NaN	3
127617000	6399000	4816.084	13.91783269	0	132000000	2427266572	NaN	NaN	NaN	2
114809000	0	26878.122	28.53183851	29657000000	1515000000	836974642.8	NaN	NaN	NaN	2
74628000	0	155	100	NaN	NaN	48253500	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
140742000	12070000	3665.925	51.20772947	2262000000	57000000	1271423022	0	100	100	1
14733912000	0	209728.525	67.36459688	19264000000	12128000000	52934865193	21.94151	100	100	2
NaN	NaN	375	83.85269122	NaN	NaN	579857118.4	NaN	NaN	NaN	3
NaN	NaN	2595.552	25.5129959	3235000000	29000000	488889874.1	1.154201	95.35	97.97	3
5249000	598000	180	42.1875	NaN	NaN	398620015.2	92.69663	NaN	NaN	1
11778000	59000	1857.207	43.71859296	0	51000000	5661431166	15.24475	96.3	86.69	2
2833000	0	NaN	100	NaN	NaN	153195700.3	NaN	NaN	NaN	0
NaN	NaN	267618.922	46.00622749	34358000000	23211000000	34476392655	5.88413	99.71	99.41	3
NaN	NaN	26089.133	78.63813582	943000000	201000000	74567880728	27.30433	99.77	98.98	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1428105000	37000	27042.931	54.14072595	16638000000	2835000000	15997302040	0	100	100	2
6965174000	77635000	1567914.585	16.91336776	7203000000	72210000000	6.22949E+11	17.1441	100	100	2
245666000	9060000	6970.073	87.02502317	0	190000000	842430193	NaN	NaN	NaN	1
2439654000	38000	26955.7	52.40043644	7013000000	114000000	13536935664	25.81729	100	100	2
1085000	935000	34	100	NaN	NaN	103991909	NaN	NaN	NaN	0
6004000	1489000	89	100	NaN	NaN	139530729.3	NaN	NaN	NaN	1
219813000	9000	3939.27	84.76190476	0	66000000	1922625817	3.623639	100	100	2
NaN	NaN	11915.489	91.02583703	1871000000	12886000000	NaN	21.68861	30.95	60.17	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	2182.923	86.4	0	4201000000	4113824175	17.22356	100	100	3
NaN	NaN	45488.675	17.18614589	1543000000	348000000	28451131839	17.22356	100	100	3
NaN	NaN	343542.743	35.97857838	62972000000	10140000000	97169984282	17.22356	100	100	3
8810000	158000	39	100	NaN	NaN	42321834.68	NaN	NaN	NaN	2
NaN	NaN	19429.076	43.17471849	9941000000	1636000000	40020823973	17.22356	100	100	3
327172000	89000	7285.622	81.82984965	485000000	7691000000	806276591.1	52.48851	100	100	2
1033030000	0	30977.472	37.72997337	30312000000	687000000	45691652704	NaN	NaN	NaN	2
1183091000	129000	10653.782	84.74728087	949000000	4224000000	1439914101	26.3904	99.98	100	2
749014000	11739000	55904.788	53.16389212	71719000000	16413000000	15338515010	27.76871	99.33	98.81	1
8563000	3300000	743.57	97.14285714	0	282000000	34746846.6	NaN	NaN	NaN	0
NaN	NaN	139083.838	52.82348238	55460000000	23839000000	19758630619	17.22356	100	100	3
NaN	NaN	5282.55	14.77903392	487000000	42000000	1791730277	17.22356	100	100	3
49375000	22695000	20936.368	87.36767819	0	18000000	1496784383	NaN	NaN	NaN	0
NaN	NaN	37071.95	42.55051196	12779000000	615000000	12913571910	17.22356	100	100	3
NaN	NaN	269683.448	60.28473568	21049000000	6528000000	77353284341	17.22356	100	100	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
47576000	0	1736.618	75	254000000	377000000	449046112.5	NaN	NaN	NaN	2
NaN	NaN	221907.87	35.2952244	1.57065E+11	4644000000	44339436919	17.22356	100	100	3
34143000	5423000	2781.918	41.08309991	833000000	42000000	386676436.8	22.38423	99.98	100	1
85331000	27871000	8458.681	87.00251889	0	758000000	1749729296	68.28717	14.32	55.8	1
42101000	8408000	NaN	86.33879781	NaN	NaN	111780254.9	NaN	NaN	NaN	0
9019000	1885000	108	98.86363636	NaN	NaN	83774366.89	NaN	NaN	NaN	0
2427000	1617000	86	100	NaN	NaN	71606726.12	59.48136	97.72	96.36	0
NaN	NaN	762	10.42319749	NaN	NaN	944982406.6	NaN	NaN	NaN	3
NaN	NaN	29707.102	50.08870268	8991000000	8385000000	2707783403	17.22356	100	100	3
19000000	185000	74	100	NaN	NaN	121728059.8	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
466771000	0	7730.91	79.28664921	0	1736000000	3522289962	3.631605	100	100	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
14287000	1653000	479	100	NaN	NaN	231844800.7	NaN	NaN	NaN	1
NaN	NaN	12808.023	35.87247041	11304000000	237000000	1.23569E+11	NaN	NaN	NaN	3
112015000	9412000	3852.945	84.32055749	0	3403000000	1979756057	0.8607785	100	100	1
NaN	NaN	8833.703	53.8424821	2459000000	1617000000	8758177308	13.78584	100	100	3
34077000	15662000	2287.743	92.43542435	0	287000000	114995369.3	NaN	NaN	NaN	0
NaN	NaN	26157.399	26.95629919	11719000000	773000000	15965390206	17.22356	100	100	3
4899966000	8449000	178594.425	50.98011208	19346000000	37388000000	36310734315	5.35873	96.59	99.24	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
4423751000	186965000	518634.759	21.9018572	62775000000	28402000000	1.31631E+11	78.80698	73.8	79.41	1
NaN	NaN	14568.478	54.41276307	12894000000	3211000000	2907975184	17.22356	100	100	3
820070000	0	159853.114	49.77830818	1.08979E+11	46787000000	NaN	26.65772	NaN	NaN	2
NaN	NaN	33498.44	94.90589804	0	31802000000	7906698476	NaN	NaN	NaN	1
NaN	NaN	3368.106	80.2955665	0	4000000	1074203605	NaN	NaN	NaN	3
NaN	NaN	19689.225	45.08848274	4341000000	6288000000	27094383102	10.98094	75.01	91.02	3
NaN	NaN	181990.31	49.67654945	1.29772E+11	57696000000	62386147149	17.22356	100	100	3
338294000	0	3791.862	94.62696783	0	7015000000	1846479131	NaN	NaN	NaN	2
178342000	366000	6210.857	75.6432247	4495000000	4410000000	5446636732	NaN	NaN	NaN	2
NaN	NaN	522464.602	49.81252474	2.52616E+11	97878000000	8.44667E+11	22.62046	99.66	98.47	3
906725000	0	50475.641	19.6706995	7149000000	1181000000	9276665300	0	NaN	NaN	2
85097000	21581000	15764.342	84.55988456	0	1343000000	1519538733	38.84184	14.76	58.81	0
35780000	4695000	2737.921	27.0765206	1694000000	0	564545794.6	NaN	NaN	NaN	0
12399000	3867000	4623.306	100	0	737000000	1118336325	NaN	NaN	NaN	0
NaN	NaN	8	100	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	208203.402	42.20639	59399000000	27680000000	1.99195E+11	28.55141	94.56	94.24	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	23469.206	64.65376299	11421000000	29835000000	9353795416	NaN	NaN	NaN	3
43595000	4799000	NaN	28.87139108	NaN	NaN	274555363.9	28.18036	NaN	NaN	1
1466062000	0	5259.244	83.81616206	0	11347000000	15773807177	24.3555	NaN	NaN	2
698000	0	NaN	90.64327485	NaN	NaN	18742650.49	NaN	NaN	NaN	0
NaN	NaN	18244.036	67.48287422	3907000000	16295000000	27714114397	NaN	NaN	NaN	2
13855000	226000	120	100	NaN	NaN	132539599	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
217142000	16390000	8797.975	92.03187251	0	5259000000	2204869012	39.63557	38.15	69.15	1
15044000	2096000	28	NaN	NaN	NaN	501504291.4	20.45455	100	100	1
347220000	0	9175.084	50.99064392	2691000000	232000000	3593962686	17.22356	100	100	2
NaN	NaN	4256.505	68.38966203	3152000000	0	330784097.3	17.22356	100	100	3
383636000	0	4347.671	51.56812339	1433000000	60000000	2020863044	17.22356	100	100	2
NaN	NaN	NaN	100	NaN	NaN	5436107123	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
617116000	165000	12143.682	52.4979673	0	3706000000	16646737756	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
73701000	1750000	3357.786	41.94847021	3542000000	12000000	470258874.9	NaN	NaN	NaN	1
30505000	16449000	NaN	94.12878788	NaN	NaN	503524276.4	NaN	NaN	NaN	0
8885000	471000	250	100	NaN	NaN	206512424.8	17.16941	97.05	90.34	2
9746602000	0	159057.632	65.7694463	96825000000	68098000000	64201702282	25.61499	100	100	2
NaN	NaN	29	100	NaN	NaN	NaN	NaN	NaN	NaN	1
88408000	2820000	2761.177	23.23066841	1000000	24000000	991429586.3	34.8117	100	100	2
27219000	10410000	NaN	100	NaN	NaN	851339486.1	50.35701	40.2	59.32	0
NaN	NaN	820.512	100	0	2216000000	2733736253	17.22356	100	100	3
32732000	0	14547.233	48.9769821	2763000000	437000000	773487466	5.933918	17.35	60.59	0
NaN	NaN	NaN	NaN	NaN	NaN	81798872.35	NaN	NaN	NaN	2
20915000	2254000	2535.551	20.19725557	0	112000000	207833968.7	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
22679000	10997000	8374.675	85.30534351	7000000	39000000	1159312550	NaN	NaN	NaN	0
20673000	5156000	NaN	90.68181818	NaN	NaN	38764016.78	NaN	NaN	NaN	0
34021000	85000	1019	75.88978186	NaN	NaN	1632941241	NaN	NaN	NaN	2
24884000	13818000	NaN	77.44360902	NaN	NaN	133673457.7	NaN	NaN	NaN	0
2074814000	0	54303.958	36.50409165	56618000000	2465000000	66393548615	NaN	NaN	NaN	2
NaN	NaN	1398.643	99.85315712	0	0	345060355.5	16.17064	96.3	86.69	2
13045000	6830000	NaN	50	NaN	NaN	249820392.3	52.04048	96.71	99.07	0
561567000	11074000	101016.743	31.81560552	13234000000	2933000000	17256543970	NaN	NaN	NaN	1
46959000	5713000	3280.187	93.70567376	0	2112000000	668198635.8	2.80943	100	100	1
NaN	NaN	79074.722	35.19754571	61221000000	2431000000	21603056127	17.22356	100	100	3
NaN	NaN	26440.149	65.9045982	374000000	28000000	44307534100	NaN	NaN	NaN	3
31515000	11123000	8832.457	70.1986755	0	14000000	1529100003	23.18653	99.39	99.58	0
NaN	NaN	16901.055	52.38303454	7062000000	24000000	6947355821	8.970836	99.92	99.92	3
NaN	NaN	9828.107	35.12257465	9429000000	2070000000	3597609265	NaN	NaN	NaN	3
750309000	46681000	73556.03	35.24642688	43472000000	13586000000	10718170892	46.69701	98.72	98.22	1
585796000	0	2474.969	91.01834282	0	1958000000	630646311	NaN	NaN	NaN	2
1473512000	0	12875.776	64.94596459	2333000000	3320000000	12664710328	16.46379	100	100	2
3765387000	1572000	39152.811	59.24430209	12384000000	8504000000	16234406188	8.172394	66.98	76.08	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	2
50645000	639000	NaN	95.09001637	NaN	NaN	660156573.5	47.79959	100	100	1
NaN	NaN	91371.08	18.62832284	3144000000	2507000000	36772764782	17.22356	100	100	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	20600.1	4.289777941	0	996000000	NaN	NaN	NaN	NaN	0
NaN	NaN	25830.836	60.63965637	11689000000	5698000000	11684066055	17.22356	100	100	3
170275000	176000	4004.83	94.26008969	0	0	1168047075	24.48045	100	100	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	16876.791	23.76545737	13233000000	0	3414203143	NaN	NaN	NaN	3
1141703000	0	38680.749	26.8935025	10462000000	2199000000	16095478769	17.22356	100	100	2
8367341000	0	647392.056	20.39452614	4.22437E+11	23904000000	1.26258E+11	NaN	NaN	NaN	2
11980000	5756000	NaN	92.0212766	NaN	NaN	314640099.1	NaN	NaN	NaN	0
NaN	NaN	143705.683	65.45570157	91041000000	68834000000	29303898153	9.23658	NaN	NaN	3
90439000	2396000	15520.628	98.51590106	0	2360000000	1337996808	NaN	NaN	NaN	1
73843000	15379000	2735.547	69.02777778	58000000	1708000000	1367623553	55.35073	100	100	1
NaN	NaN	19416.788	70.20147509	25325000000	11406000000	1.14161E+11	0	69.76	83.39	3
11452000	3152000	NaN	91.75257732	NaN	NaN	125104334.9	NaN	100	100	0
408060000	101000	4382.27	89.95327103	0	1989000000	1937592218	7.978086	100	100	1
NaN	NaN	NaN	NaN	NaN	NaN	355577105.1	NaN	NaN	NaN	3
0	0	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	0
311093000	2954000	17587.183	21.32802125	682000000	147000000	4245122898	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	664	98.55537721	NaN	NaN	138383073.6	NaN	NaN	NaN	2
NaN	NaN	18353.047	18.74704268	2421000000	737000000	14911965835	17.22356	100	100	3
NaN	NaN	7129.376	44.44703686	358000000	43000000	8899759253	17.22356	100	100	3
