Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	336945700	NaN	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	6059000	NaN	76.10062893	NaN	NaN	NaN	NaN	NaN	NaN	0
166041000	1710000	8766.436	75.48543689	0	754000000	634199422.3	NaN	NaN	NaN	2
18817000	3780000	2062.149	90.68376068	0	61000000	1038294218	NaN	NaN	NaN	1
NaN	NaN	40080.001	27.19782114	48092000000	1358000000	15087811853	2.220947	100	100	3
2073842000	0	59047.312	48.21092764	47594000000	1011000000	14157283992	19.76148	100	100	2
28000000	4275000	1970.28	27.27272727	1521000000	0	501977059.4	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	113767366.7	51.25364	97.91	90.67	2
NaN	NaN	113131.195	26.7714452	29995000000	1696000000	33258075922	0.3209825	97.11	99.07	3
NaN	NaN	32267.335	51.64545408	11161000000	1860000000	12729301637	20.00184	100	100	3
22994000	2464000	11990.97	42.53942104	11218000000	7598000000	802839746.6	NaN	NaN	NaN	2
7884000	5249000	NaN	95.55555556	NaN	NaN	67366291.18	NaN	NaN	NaN	0
NaN	NaN	59238.418	49.2910972	21609000000	1007000000	14448826395	20.00184	100	100	3
13251000	4656000	2397.852	94.62875197	0	78000000	717874587.4	56.17374	39.01	61.27	0
173924000	55153000	21701.893	29.19557676	17257000000	1329000000	2624623706	62.97484	15.55	55.17	0
484137000	0	19509.861	25.45539105	1762000000	789000000	6825720096	20.00184	100	100	2
NaN	NaN	6751.816	20.75261634	7768000000	0	1840973983	NaN	NaN	NaN	3
94520000	4577000	4407.631	12.3738966	0	137000000	1813519793	NaN	NaN	NaN	2
87397000	0	25999.037	27.69283276	25509000000	1086000000	636538852.3	NaN	NaN	NaN	2
67216000	0	NaN	100	NaN	NaN	84684000	54.29243	98	91.11	1
