Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	374002933	NaN	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	NaN	72.44897959	NaN	NaN	NaN	NaN	NaN	NaN	0
158536000	1770000	8179.663	39.6641575	0	622000000	375545949.9	21.62463	100	100	2
23592000	2851000	1984.527	96.96969697	0	174000000	866478029.2	0	100	100	1
NaN	NaN	40483.954	12.24063683	45560000000	1296000000	15355430570	NaN	NaN	NaN	3
2099438000	0	55386.173	49.98465188	40275000000	760000000	10492424598	33.48115	100	100	2
29337000	3461000	1867.566	27.22832723	1579000000	0	430974254.8	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	87648341.44	50.10002	97.91	90.67	2
NaN	NaN	111541.491	26.34801289	31730000000	2446000000	21567007444	0.3289474	97.11	99.07	3
NaN	NaN	30550.974	50.20272553	9302000000	1449000000	13182004728	19.08459	100	100	3
23806000	1933000	11458.503	38.9465966	11731000000	5792000000	720471770.8	15.88321	NaN	NaN	2
6796000	4425000	NaN	96.66666667	NaN	NaN	59105710.79	55.21092	21.82	55.88	0
NaN	NaN	56362.553	46.48751876	17868000000	972000000	14697916833	19.08459	100	100	3
25094000	4358000	2272.398	93.92857143	0	61000000	590581849.4	46.91813	39.37	62.34	0
173885000	49961000	20756.202	29.59738847	16341000000	1258000000	1721734786	63.62899	15.52	56.15	0
390503000	0	19014.048	26.75813342	1539000000	830000000	4846429828	19.08459	100	100	2
NaN	NaN	6433.173	19.57486569	7278000000	0	1777159599	NaN	NaN	NaN	3
83028000	3576000	4415.464	13.61674924	0	136000000	1336266918	NaN	NaN	NaN	2
89805000	0	25251.623	28.60642542	25068000000	1355000000	687361274.5	15.56556	NaN	NaN	2
49159000	0	NaN	100	NaN	NaN	114506500	55.4437	98	91.11	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
115464000	7312000	3568.567	70.82601054	1876000000	51000000	892729022.3	3.238138	100	100	1
14940069000	0	195839.634	69.94179813	12406000000	13439000000	37832146074	27.86573	100	100	2
NaN	NaN	NaN	83.28358209	NaN	NaN	668514853.1	64.27724	97.91	90.67	3
