Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	220304999	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	67.2	NaN	NaN	NaN	NaN	NaN	NaN	0
91674000	70000	6273.668	51.64348925	0	60000000	NaN	NaN	NaN	NaN	2
3039000	33000	1325.181	63.53677621	0	168000000	166509702.6	NaN	NaN	NaN	1
NaN	NaN	23422.171	41.69954982	20924000000	806000000	6415331967	NaN	NaN	NaN	3
3250890000	0	49934.367	56.66099861	21543000000	7143000000	15499431748	0.101983	NaN	NaN	2
1409000	0	2179.209	43.80475594	1456000000	546000000	13586867.8	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	37806867.8	NaN	NaN	NaN	2
NaN	NaN	91174.097	29.39141623	12295000000	2421000000	14188551396	5.112348	NaN	NaN	3
NaN	NaN	25604.436	53.9023622	6780000000	2732000000	21878104078	17.09331	NaN	NaN	3
0	0	17450.439	59.31887496	100000000	16600000000	590075.6	NaN	NaN	NaN	2
12987000	3397000	NaN	94.56521739	NaN	NaN	169711851.3	NaN	NaN	NaN	0
NaN	NaN	49961.423	47.62994883	6812000000	1475000000	21197695560	17.09331	NaN	NaN	3
13617000	2993000	1768.917	77.66990291	0	26000000	248298935.7	NaN	NaN	NaN	0
160946000	36058000	13989.482	38.78238888	7973000000	625000000	2446571637	NaN	NaN	NaN	0
243712000	0	22028.097	40.934095	3040000000	1644000000	1052450357	17.09331	NaN	NaN	2
NaN	NaN	4656.188	16.56575442	4245000000	0	1360774838	NaN	NaN	NaN	3
NaN	0	3737.272	43.94618834	0	0	NaN	NaN	NaN	NaN	2
11891000	0	31502.301	50.52455302	24009000000	9341000000	NaN	NaN	NaN	NaN	2
6594000	0	NaN	100	NaN	NaN	38746500	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
139287000	3798000	2998.922	55.2919708	1052000000	54000000	572438156.6	0	NaN	NaN	1
4048056000	0	147984.21	72.45204456	388000000	6123000000	31746910992	32.72715	NaN	NaN	2
NaN	NaN	NaN	92.76315789	NaN	NaN	150453017	NaN	NaN	NaN	3
NaN	NaN	2072.124	39.76377953	1534000000	14000000	NaN	NaN	NaN	NaN	3
2475000	136000	NaN	47.05882353	NaN	NaN	97959127.76	NaN	NaN	NaN	1
32921000	96000	1482.557	31.97492163	0	36000000	4097336754	NaN	NaN	NaN	2
5930000	2151000	NaN	100	NaN	NaN	116326747.1	NaN	NaN	NaN	0
NaN	NaN	220340.031	45.73237167	15299000000	12008000000	14845681708	5.120059	NaN	NaN	3
