Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	250969999	NaN	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	NaN	67.01388889	NaN	NaN	NaN	NaN	NaN	NaN	0
247473000	1304000	6822.364	37.83241345	0	258000000	203453700.2	NaN	NaN	NaN	2
10050000	1215000	1302.525	92.88702929	0	147000000	417921703.2	NaN	NaN	NaN	1
NaN	NaN	31953.05	23.47912167	32172000000	1220000000	9305874118	NaN	NaN	NaN	3
8820102000	0	60078.965	50.57798849	34092000000	3829000000	24855742287	33.51445	100	100	2
20645000	1659000	1884.132	13.13240043	3065000000	0	293163111.4	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	59367608.22	NaN	NaN	NaN	2
NaN	NaN	103935.374	25.20400829	12934000000	1821000000	15377558515	5.286258	96.99	99.04	3
NaN	NaN	28690.508	53.32948644	8868000000	2785000000	25207680135	21.33961	100	100	3
21169000	918000	11910.602	66.1095636	3553000000	12494000000	448540668	NaN	NaN	NaN	2
8797000	3971000	NaN	95.12195122	NaN	NaN	70480657.28	NaN	NaN	NaN	0
NaN	NaN	57745.885	47.58784075	15036000000	2580000000	21012760379	21.33961	100	100	3
25616000	3892000	2201.195	91.8429003	0	77000000	261487883.3	NaN	NaN	NaN	0
165720000	43133000	17404.365	36.31787675	10896000000	1121000000	1935771319	NaN	NaN	NaN	0
609967000	0	20017.25	27.84409607	2013000000	905000000	3056954172	21.33961	100	100	2
NaN	NaN	5814.687	16.31799163	5773000000	0	1122373064	NaN	NaN	NaN	3
NaN	1365000	3389.872	14.03389831	0	42000000	174530395.6	NaN	NaN	NaN	2
116685000	0	24824.079	37.44190488	20353000000	3111000000	702756650.8	NaN	NaN	NaN	2
20920000	0	NaN	100	NaN	NaN	44085000	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
165445000	5632000	4715.349	56.88920455	2033000000	71000000	1218867123	0	100	100	1
15452306000	0	182612.339	73.49822496	1371000000	11277000000	43902193733	29.47523	100	100	2
NaN	NaN	NaN	82.63665595	NaN	NaN	365945246.7	NaN	NaN	NaN	3
NaN	NaN	2383.862	35.72303922	2482000000	22000000	NaN	NaN	NaN	NaN	3
2149000	162000	NaN	34.28571429	NaN	NaN	256803126.9	NaN	NaN	NaN	1
23214000	79000	1726.139	34.44976077	0	24000000	5940671691	NaN	NaN	NaN	2
7993000	4065000	NaN	100	NaN	NaN	148903856.3	NaN	NaN	NaN	0
NaN	NaN	237077.107	41.33178143	25891000000	14382000000	24023259571	7.057214	99.71	99.39	3
NaN	NaN	25305.479	81.97725284	815000000	676000000	65157806701	27.78401	99.77	98.95	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1417752000	68000	23099.197	54.96083551	5109000000	1953000000	16221029302	0	100	100	2
7225807000	58706000	1085530.084	16.83699977	6075000000	51949000000	1.52843E+11	33.26844	NaN	NaN	2
235621000	4678000	6004.076	88.45714286	0	52000000	9911704.025	NaN	NaN	NaN	1
1944316000	70000	29606.288	53.63494887	10724000000	180000000	8753949910	NaN	NaN	NaN	2
449000	280000	NaN	100	NaN	NaN	39309125.12	NaN	NaN	NaN	0
3907000	389000	NaN	100	NaN	NaN	8316974.003	NaN	NaN	NaN	1
215703000	16000	2469.497	89.79310345	0	441000000	1063939844	NaN	NaN	NaN	2
NaN	NaN	12258.221	95.40954095	92000000	13180000000	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	1976.007	89.89508559	0	2991000000	1512684182	21.33961	100	100	3
NaN	NaN	41685.795	17.80257661	1294000000	616000000	12624991439	21.33961	100	100	3
NaN	NaN	343349.49	42.42713358	53830000000	6376000000	1.08265E+11	21.33961	100	100	3
3478000	94000	NaN	100	NaN	NaN	27665292.77	NaN	NaN	NaN	2
NaN	NaN	20009.054	40.16350556	8128000000	1396000000	15880870880	21.33961	100	100	3
193353000	120000	7249.04	91.12855741	0	6251000000	507121244.5	NaN	NaN	NaN	2
1991921000	0	24891.287	30.92702305	22245000000	802000000	8452272531	35.62637	NaN	NaN	2
