Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	52.5	NaN	NaN	940035897.9	NaN	NaN	NaN	0
NaN	NaN	4563.057	49.72565158	0	80000000	NaN	NaN	NaN	NaN	2
NaN	NaN	3051.542	30.42553191	0	765000000	NaN	NaN	NaN	NaN	1
NaN	NaN	7223.044	24.44356121	6072000000	234000000	2354590701	NaN	NaN	NaN	3
2329350000	0	41819.769	70.41783293	8744000000	12563000000	9296754708	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	7816666.667	NaN	NaN	NaN	2
NaN	NaN	69603.086	37.27864713	6976000000	5169000000	6366459350	NaN	NaN	NaN	3
NaN	NaN	23154.201	49.8878295	3824000000	5806000000	17725432500	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
4331000	200000	NaN	97.5	NaN	NaN	104654075.8	NaN	NaN	NaN	0
NaN	NaN	46768.054	47.28011926	5968000000	18407000000	27973529721	NaN	NaN	NaN	3
14355000	323000	1352.55	72.34042553	0	10000000	14689215.23	NaN	NaN	NaN	0
71207000	5529000	8402.371	62.93807009	1144000000	626000000	331184643.5	NaN	NaN	NaN	0
NaN	0	28388.903	39.95551559	0	7835000000	NaN	NaN	NaN	NaN	2
NaN	NaN	2805.253	29.0097629	1660000000	0	1041823461	NaN	NaN	NaN	3
NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
3067000	0	NaN	100	NaN	NaN	12675500	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
220201000	477000	2444.497	74.54831108	318000000	206000000	553358366	NaN	NaN	NaN	1
7909454000	0	113858.506	80.35476284	0	5231000000	6875230060	NaN	NaN	NaN	2
NaN	NaN	NaN	96.19565217	NaN	NaN	80572797.79	NaN	NaN	NaN	3
NaN	NaN	1350.646	9.802876931	339000000	4000000	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	83.33333333	NaN	NaN	NaN	NaN	NaN	NaN	1
8169000	120000	NaN	0	NaN	NaN	334034853.7	NaN	NaN	NaN	2
3284000	170000	NaN	100	NaN	NaN	61698156.51	NaN	NaN	NaN	0
NaN	NaN	192599.475	52.9247172	9192000000	13798000000	15461829329	NaN	NaN	NaN	3
NaN	NaN	20036.16	86.69380371	294000000	492000000	64748105399	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1192533000	158000	9478.382	61.17561684	153000000	1732000000	4127728306	NaN	NaN	NaN	2
NaN	0	598487.717	18.63601487	688000000	77583000000	10090779282	NaN	NaN	NaN	2
148920000	1097000	3655.462	93.52112676	0	88000000	206367186.5	NaN	NaN	NaN	1
688210000	162000	18534.595	53.93518519	3942000000	375000000	6473763418	NaN	NaN	NaN	2
402000	20000	NaN	100	NaN	NaN	6372623	NaN	NaN	NaN	0
NaN	0	NaN	100	NaN	NaN	42401305.23	NaN	NaN	NaN	1
178545000	38000	1526.997	88.83928571	0	96000000	196831741	NaN	NaN	NaN	2
NaN	NaN	16395.002	94.59301647	47000000	8891000000	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	864.649	80.8	0	1034000000	638921681.4	NaN	NaN	NaN	3
NaN	NaN	46946.538	NaN	600000000	5031000000	NaN	NaN	NaN	NaN	3
NaN	NaN	357175.655	NaN	65990000000	26741000000	1.04702E+11	NaN	NaN	NaN	3
NaN	0	NaN	100	NaN	NaN	5078148.148	NaN	NaN	NaN	2
NaN	NaN	19135.244	61.81718531	0	4819000000	4347047639	NaN	NaN	NaN	3
178988000	133000	3434.658	92.16354344	0	2622000000	279024500	NaN	NaN	NaN	2
1555597000	0	11208.612	28.0154355	5994000000	872000000	7063796372	NaN	NaN	NaN	2
473263000	276000	5032.216	88.29787234	0	2500000000	1257167688	NaN	NaN	NaN	2
789468000	2088000	15161.214	85.62049121	3883000000	5255000000	2479664000	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	67694.368	68.72185837	2913000000	38439000000	20473494317	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
27471000	1710000	10831.757	96.98189135	0	205000000	262284681	NaN	NaN	NaN	0
NaN	NaN	24598.557	61.06072058	1719000000	4418000000	2451468031	NaN	NaN	NaN	3
NaN	NaN	191770.247	62.06916569	7006000000	48439000000	75592380446	NaN	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
