Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	100	NaN	NaN	127170000	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	67.23910172	NaN	NaN	630659655.2	NaN	NaN	NaN	0
126250000	0	5499.372	34.84626647	0	109000000	NaN	NaN	NaN	NaN	2
NaN	NaN	2882.361	45.63265306	0	1045000000	NaN	NaN	NaN	NaN	1
NaN	NaN	20433.704	35.85705633	15033000000	579000000	4776309671	NaN	NaN	NaN	3
2129227000	0	46507.351	51.07262535	24320000000	7211000000	3216875257	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	28070000	NaN	NaN	NaN	2
NaN	NaN	84039.167	29.34164147	15128000000	3024000000	16961256848	NaN	NaN	NaN	3
NaN	NaN	23917.695	51.43650901	6537000000	1390000000	16881869815	15.71462	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
16438000	2320000	NaN	93.90243902	NaN	NaN	106526869.2	NaN	NaN	NaN	0
NaN	NaN	47687.959	44.14263778	5374000000	1703000000	22886846176	15.71462	NaN	NaN	3
16889000	1745000	1629.129	80.57142857	0	20000000	7850714.803	NaN	NaN	NaN	0
188076000	23770000	12098.309	42.89997274	5612000000	583000000	532096152	94.22151	NaN	NaN	0
675806000	0	30420.87	39.83125923	8280000000	1830000000	NaN	15.71462	NaN	NaN	2
NaN	NaN	4165.559	14.05810684	3294000000	0	1110178572	NaN	NaN	NaN	3
NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
6850000	0	NaN	100	NaN	NaN	59880045.6	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
125891000	2030000	2456.753	61.23348018	771000000	125000000	563347083	NaN	NaN	NaN	1
5219948000	0	145383.923	70.88152146	0	6005000000	8728776000	82.96335	NaN	NaN	2
NaN	NaN	NaN	83.7037037	NaN	NaN	111894928.8	NaN	NaN	NaN	3
NaN	NaN	1581.726	24.84113229	1121000000	11000000	NaN	NaN	NaN	NaN	3
2454000	78000	NaN	100	NaN	NaN	90027652.86	NaN	NaN	NaN	1
35281000	105000	1214.829	0	0	111000000	2790998921	NaN	NaN	NaN	2
11972000	1217000	NaN	100	NaN	NaN	117515571.6	NaN	NaN	NaN	0
NaN	NaN	217211.248	41.76201182	14835000000	18174000000	22511812469	5.573771	NaN	NaN	3
NaN	NaN	22194.594	80.62152134	264000000	298000000	58670269034	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1636290000	116000	13112.432	55.37817029	244000000	1297000000	4331116526	NaN	NaN	NaN	2
3206312000	13850000	810700.507	14.72804367	3676000000	54339000000	23052563426	NaN	NaN	NaN	2
197562000	1764000	4928.971	95.96735478	0	43000000	91892957.42	NaN	NaN	NaN	1
1762099000	118000	23367.6	55.28001653	4235000000	273000000	3862356780	NaN	NaN	NaN	2
1360000	245000	NaN	100	NaN	NaN	31002075.31	NaN	NaN	NaN	0
2453000	81000	NaN	100	NaN	NaN	74738034.26	NaN	NaN	NaN	1
169786000	28000	1944.61	89.76572133	0	82000000	745844325.4	NaN	NaN	NaN	2
NaN	NaN	20005.98	94.20274985	25000000	13852000000	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	1258.661	83.44594595	0	1831000000	1308045296	15.71462	NaN	NaN	3
NaN	NaN	49056.796	NaN	600000000	3670000000	NaN	15.71462	NaN	NaN	3
NaN	NaN	355550.935	NaN	38575000000	10437000000	98876643505	15.71462	NaN	NaN	3
1775000	54000	NaN	100	NaN	NaN	11683672.8	NaN	NaN	NaN	2
NaN	NaN	17523.965	48.00420958	692000000	1229000000	7053625455	15.71462	NaN	NaN	3
120946000	155000	3963.269	85.56773965	0	2723000000	171218000	NaN	NaN	NaN	2
1887965000	0	20723.526	31.44898988	13972000000	1126000000	3085702748	NaN	NaN	NaN	2
493806000	247000	5869.937	84.40383572	0	815000000	706538998.3	NaN	NaN	NaN	2
1420687000	7054000	30745.415	70.38711644	13961000000	17714000000	2495363416	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	88129.741	56.1393859	1398000000	9138000000	47769544666	15.71462	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.71462	NaN	NaN	3
85311000	4937000	14288.446	93.38521401	0	158000000	123044566.4	NaN	NaN	NaN	0
NaN	NaN	28563.2	54.1160028	3931000000	1147000000	5913979177	15.71462	NaN	NaN	3
NaN	NaN	219944.61	62.66814355	2974000000	11728000000	57433908547	15.71462	NaN	NaN	3
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
123714000	0	1269.683	38.62770013	101000000	100000000	39478563.2	NaN	NaN	NaN	2
NaN	NaN	206972.72	38.23824202	4949000000	29442000000	42381846303	15.71462	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
114328000	6530000	5174.992	91.3377193	0	0	435931281.6	NaN	NaN	NaN	1
37026000	2330000	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	0
7104000	537000	NaN	100	NaN	NaN	20589292.8	NaN	NaN	NaN	0
5476000	750000	NaN	100	NaN	NaN	20843397.75	NaN	NaN	NaN	0
NaN	NaN	NaN	100	NaN	NaN	5968313.092	NaN	NaN	NaN	3
NaN	NaN	21118.472	48.77409787	112000000	7018000000	4584864886	15.71462	NaN	NaN	3
1608000	14000	NaN	100	NaN	NaN	15442222.22	NaN	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
130871000	0	4156.877	89.20552677	0	221000000	523525188	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
58717000	283000	NaN	100	NaN	NaN	13350000	NaN	NaN	NaN	1
NaN	NaN	9412.54	30.09908168	0	805000000	NaN	NaN	NaN	NaN	3
72072000	0	2361.961	88.17204301	0	49000000	27516000	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
17693000	2375000	1591.961	86.21908127	0	153000000	19828758	NaN	NaN	NaN	0
NaN	NaN	30139.029	31.46024096	5326000000	1540000000	1846298314	15.71462	NaN	NaN	3
3838653000	6441000	81415.484	64.76270475	804000000	10966000000	6699437804	45.96503	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
4060829000	90236000	303532.518	22.75274218	7275000000	9654000000	8048453590	NaN	NaN	NaN	1
NaN	NaN	9321.855	35.23950984	4173000000	716000000	4201461162	15.71462	NaN	NaN	3
332890000	0	62430.147	71.28018398	23435000000	21755000000	NaN	NaN	NaN	NaN	2
NaN	NaN	19711.088	75.26531838	0	21260000000	8406470283	NaN	NaN	NaN	1
NaN	NaN	2018.527	85.06616257	0	6000000	356971348	NaN	NaN	NaN	3
NaN	NaN	11244.956	67.19399538	0	10707000000	5684035274	NaN	NaN	NaN	3
NaN	NaN	145425.963	64.1363339	34889000000	1.02784E+11	73454767138	15.71462	NaN	NaN	3
230370000	0	2303.98	96.78474114	0	1583000000	107500000	NaN	NaN	NaN	2
293491000	603000	2957.011	89.5949166	281000000	3135000000	770634377.6	NaN	NaN	NaN	2
NaN	NaN	412521.622	62.08072076	1.50472E+11	2.33166E+11	93672771034	19.56742	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
282039000	5016000	10711.419	81.56779661	0	109000000	316624543.6	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
11758000	0	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	78907.943	49.44293181	9145000000	14920000000	15341827436	19.58264	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	23564.973	44.16513386	7400000000	13685000000	4120003385	NaN	NaN	NaN	3
2525000	466000	NaN	98.4375	NaN	NaN	8298779.802	NaN	NaN	NaN	1
63127000	0	1961.131	94.39635535	0	2000000000	4636190380	NaN	NaN	NaN	2
1113000	0	NaN	93.40659341	NaN	NaN	7876424.8	NaN	NaN	NaN	0
NaN	NaN	11908.649	56.06209471	0	8093000000	5776262606	NaN	NaN	NaN	2
2913000	0	NaN	100	NaN	NaN	38210000	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
156077000	4960000	5454.558	94.16846652	0	56000000	269432865.8	NaN	NaN	NaN	1
7668000	682000	NaN	NaN	NaN	NaN	48997744.8	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.71462	NaN	NaN	2
NaN	NaN	3280.746	42.63803681	46000000	19000000	212809466	15.71462	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.71462	NaN	NaN	2
NaN	NaN	NaN	100	NaN	NaN	354620866.3	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1181707000	297000	6796.783	69.472	0	5889000000	770803380.8	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
115476000	4732000	NaN	93.18181818	NaN	NaN	245265708	NaN	NaN	NaN	0
2332000	55000	NaN	100	NaN	NaN	24766283.2	NaN	NaN	NaN	2
9310437000	0	117518.172	77.70833794	10684000000	69751000000	6740243827	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
22215000	2923000	NaN	97.36842105	NaN	NaN	123369557.4	NaN	NaN	NaN	0
NaN	NaN	695.576	68.41216216	0	482000000	1445774019	15.71462	NaN	NaN	3
70455000	4540000	10921.341	42.97452753	1022000000	195000000	364109430.4	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	3594.741	23.24774462	0	229000000	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
44123000	1006000	6097.084	80.28169014	1000000	88000000	203495525.1	NaN	NaN	NaN	0
37349000	1132000	NaN	97.94079794	NaN	NaN	87029774.4	NaN	NaN	NaN	0
50257000	150000	NaN	81.18466899	NaN	NaN	542375434.8	NaN	NaN	NaN	2
39932000	4048000	NaN	88.31168831	NaN	NaN	105459895.4	NaN	NaN	NaN	0
1322096000	0	19964.11	64.89744909	4067000000	9969000000	8733333838	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
48116000	2410000	NaN	54.92957746	NaN	NaN	216750528.6	NaN	NaN	NaN	0
1510454000	245000	69132.285	76.81873164	6422000000	2240000000	2041078372	70.00498	NaN	NaN	1
4800000	0	2041.469	95.74468085	0	553000000	163920000	NaN	NaN	NaN	1
NaN	NaN	64204.568	32.85444489	39930000000	3307000000	34129105107	15.71462	NaN	NaN	3
NaN	NaN	21018.592	74.59677419	0	393000000	14259619911	NaN	NaN	NaN	3
28499000	3657000	5563.524	64.25702811	0	1000000	272846692.4	NaN	NaN	NaN	0
NaN	NaN	12697.628	47.16981132	6403000000	5000000	3027431844	NaN	NaN	NaN	3
NaN	NaN	2564.943	35.07773986	3227000000	700000000	1470103479	NaN	NaN	NaN	3
768794000	13763000	41069.532	48.30054743	10982000000	6595000000	1302246967	NaN	NaN	NaN	1
5059000	0	1458.883	91.2462908	0	352000000	119413141.6	NaN	NaN	NaN	2
238625000	0	10043.058	85.02350571	245000000	2830000000	1597167000	NaN	NaN	NaN	2
2160788000	769000	27975.579	83.69888979	0	10966000000	2398208886	76.80885	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	2
170063000	847000	NaN	99.81981982	NaN	NaN	409643441	NaN	NaN	NaN	1
NaN	NaN	123725.527	9.31745812	115000000	1691000000	2503603416	15.71462	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	34601.986	NaN	0	822000000	NaN	NaN	NaN	NaN	0
NaN	NaN	15765.424	70.20795267	0	11728000000	16388651676	15.71462	NaN	NaN	3
74339000	323000	3162.569	93.114241	0	4000000	446557201.6	NaN	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	6294.238	18.45405682	4624000000	0	894893996.5	NaN	NaN	NaN	3
157742000	0	69184.202	26.73767488	26269000000	8284000000	2730584452	15.71462	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
12070000	2223000	NaN	94.68085106	NaN	NaN	70373030.82	NaN	NaN	NaN	0
NaN	NaN	62881.752	65.53095752	33281000000	31618000000	18590541066	NaN	NaN	NaN	3
50280000	5614000	10040.23	98.04878049	0	470000000	15913141.6	NaN	NaN	NaN	1
189154000	4206000	1644.85	94.44444444	29000000	849000000	30639579.95	NaN	NaN	NaN	1
NaN	NaN	8419.19	97.86395868	0	14136000000	20371047945	1.068858	NaN	NaN	3
1842000	0	NaN	100	NaN	NaN	3726283.2	NaN	NaN	NaN	0
69071000	114000	2433.946	87.81869688	0	164000000	454062341.6	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
13842000	2415000	NaN	97.31800766	NaN	NaN	23109678.98	NaN	NaN	NaN	0
1409656000	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	98.61660079	NaN	NaN	30931083.67	NaN	NaN	NaN	2
NaN	NaN	21551.529	NaN	528000000	992000000	NaN	15.71462	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.71462	NaN	NaN	3
NaN	NaN	47514.286	76.64575768	217000000	1445000000	11992847886	15.71462	NaN	NaN	3
12067000	55000	NaN	0	NaN	NaN	180614469.6	NaN	NaN	NaN	1
9888000	0	NaN	100	NaN	NaN	12114849.6	NaN	NaN	NaN	2
109170000	0	9329.981	79.38680246	1995000000	5688000000	460059283.2	NaN	NaN	NaN	1
