Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
NaN	NaN	NaN	NaN	NaN	NaN	686970110	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
7039000	1950000	NaN	NaN	NaN	NaN	4265888673	NaN	NaN	NaN	0
423289000	3048000	11895.815	NaN	0	999000000	13664098011	46.06943	100	100	2
91353000	6002000	1717.155	NaN	0	32000000	2368942415	0	100	100	1
NaN	NaN	59590.288	NaN	88948000000	1625000000	26104201251	1.781737	100	100	3
3342598000	0	74248.792	NaN	62538000000	12763000000	48006987573	15.19054	100	100	2
100094000	7568000	2601.206	NaN	1154000000	0	2003623366	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	127860392.9	55.97248	97.91	90.67	2
NaN	NaN	131070.687	NaN	35854000000	2639000000	41742188613	0.6769052	96.96	98.92	3
NaN	NaN	31657.609	NaN	12338000000	1137000000	17903947898	15.72739	100	100	3
83082000	5209000	11967.985	NaN	16061000000	497000000	5363780348	62.47328	NaN	NaN	2
4135000	1009000	NaN	NaN	NaN	NaN	323088464.5	36.94444	22.33	55.41	0
NaN	NaN	57218.687	NaN	29310000000	280000000	23861671596	15.72739	100	100	3
12071000	2059000	3474.852	NaN	0	127000000	1229837679	54.23162	39.45	61.44	0
227512000	79005000	29599.326	NaN	33840000000	1832000000	10341543633	NaN	NaN	NaN	0
1515938000	0	17480.246	NaN	1961000000	328000000	18522120690	15.72739	100	100	2
NaN	NaN	9469.2	NaN	12056000000	0	4008298941	1.762059	73.58	73.69	3
289755000	7913000	5952.564	NaN	26000000	22000000	4575111865	17.20201	NaN	NaN	2
313087000	0	26760.351	NaN	24818000000	5356000000	5640214003	23.56368	NaN	NaN	2
45673000	0	NaN	NaN	NaN	NaN	213683318.8	39.89145	97.85	90.72	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.71693	NaN	NaN	3
138142000	2094000	6231.553	NaN	3655000000	104000000	8574579115	18.15944	100	100	1
14164609000	0	240161.612	NaN	13332000000	14639000000	2.38539E+11	13.27229	100	100	2
NaN	NaN	NaN	NaN	NaN	NaN	871145361.4	NaN	NaN	NaN	3
NaN	NaN	3123.459	NaN	3575000000	37000000	1357268836	NaN	NaN	NaN	3
34439000	715000	NaN	NaN	NaN	NaN	890893412.6	NaN	NaN	NaN	1
10734000	39000	2048.352	NaN	0	0	8703960266	16.73077	96.14	86.49	2
3441000	1646000	NaN	NaN	NaN	NaN	210590011.8	NaN	NaN	NaN	0
NaN	NaN	254119.867	NaN	37495000000	8299000000	54356325868	5.892868	99.69	99.37	3
NaN	NaN	26952.323	NaN	681000000	103000000	1.34566E+11	22.41422	99.77	99.01	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1842975000	12000	28783.529	NaN	3930000000	12149000000	25292078550	0	100	100	2
6330219000	69147000	2257100.875	NaN	50813000000	16494000000	2.4529E+12	18.46699	100	100	2
58855000	1895000	6917.839	NaN	413000000	1303000000	3675521574	55.72584	13.7	54.95	1
2911771000	12000	31831.807	NaN	11053000000	322000000	24987458183	36.00898	100	100	2
