Arms imports (constant 1990 US$)	Armed forces personnel, total	Armed forces personnel (% of total labor force)	Military expenditure (current LCU)	Military expenditure (% of GDP)	Military expenditure (% of central government expenditure)	Arms exports (constant 1990 US$)	General government final consumption expenditure (current US$)	General government final consumption expenditure (current LCU)	General government final consumption expenditure (constant 2000 US$)	General government final consumption expenditure (annual % growth)	General government final consumption expenditure (constant LCU)	General government final consumption expenditure (% of GDP)	Household final consumption expenditure, etc. (current US$)	Household final consumption expenditure, etc. (current LCU)	Household final consumption expenditure, etc. (constant 2000 US$)	Household final consumption expenditure, etc. (annual % growth)	Household final consumption expenditure, etc. (constant LCU)	Household final consumption expenditure, etc. (% of GDP)	Household final consumption expenditure (current US$)	Household final consumption expenditure (current LCU)	Household final consumption expenditure (constant 2000 US$)	Household final consumption expenditure (annual % growth)	Household final consumption expenditure (constant LCU)	Household final consumption expenditure per capita (constant 2000 US$)	Household final consumption expenditure per capita growth (annual %)	Household final consumption expenditure, PPP (current international $)	Household final consumption expenditure, PPP (constant 2005 international $)	Final consumption expenditure, etc. (current US$)	Final consumption expenditure, etc. (current LCU)	Final consumption expenditure, etc. (constant 2000 US$)	Final consumption expenditure, etc. (annual % growth)	Final consumption expenditure, etc. (constant LCU)	Final consumption expenditure, etc. (% of GDP)	Final consumption expenditure (current US$)	Final consumption expenditure (current LCU)	Final consumption expenditure (constant 2000 US$)	Final consumption expenditure (constant LCU)	Gross national expenditure deflator (base year varies by country)	Gross national expenditure (current US$)	Gross national expenditure (current LCU)	Gross national expenditure (constant 2000 US$)	Gross national expenditure (constant LCU)	Gross national expenditure (% of GDP)	Exports of goods and services (current US$)	Exports of goods and services (current LCU)	Exports of goods and services (constant 2000 US$)	Exports of goods and services (annual % growth)	Exports of goods and services (constant LCU)	Exports of goods and services (% of GDP)	Gross fixed capital formation, private sector (current LCU)	Gross fixed capital formation, private sector (% of GDP)	Gross fixed capital formation (current US$)	Gross fixed capital formation (current LCU)	Gross fixed capital formation (constant 2000 US$)	Gross fixed capital formation (annual % growth)	Gross fixed capital formation (constant LCU)	Gross fixed capital formation (% of GDP)	Changes in inventories (current US$)	Changes in inventories (current LCU)	Changes in inventories (constant LCU)	Gross capital formation (current US$)	Gross capital formation (current LCU)	Gross capital formation (constant 2000 US$)	Gross capital formation (annual % growth)	Gross capital formation (constant LCU)	Gross capital formation (% of GDP)	Imports of goods and services (current US$)	Imports of goods and services (current LCU)	Imports of goods and services (constant 2000 US$)	Imports of goods and services (annual % growth)	Imports of goods and services (constant LCU)	Imports of goods and services (% of GDP)	External balance on goods and services (current US$)	External balance on goods and services (current LCU)	External balance on goods and services (constant LCU)	External balance on goods and services (% of GDP)	Trade (% of GDP)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
532000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
1246000000	NaN	NaN	NaN	NaN	NaN	NaN	2057887654	61.5719986	NaN	1.156137222	554551279.1	27.87286666	3898094810	116.6309967	NaN	18.22377816	983766840.5	52.79738019	3109410230	93.03355408	NaN	NaN	982623824.4	NaN	NaN	NaN	28754465215	5955982463	178.2029953	NaN	11.44520623	1538318120	80.67024685	5167298138	154.6055603	NaN	1537175103	1.17506E-05	7139137594	213.6029968	NaN	1817809140	96.69538075	2406417112	72	NaN	-8.667577535	609735300.6	32.59349128	26.20000076	11.86040967	1116310211	33.40000153	NaN	4.951429401	263700573.3	15.11975915	66844919.79	2	15790447.26	1183155131	35.40000153	NaN	6.714857894	279491020.6	16.0251339	2162433053	64.69999695	NaN	-1.454954186	682322127	29.28887203	243984059.2	7.300003052	-72586826.35	3.304619247	61.88236331	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	208000000	1664000000	NaN	NaN	NaN	9.644699938	1337824896	10702599168	NaN	NaN	NaN	62.03326775	1337825024	10702600192	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1545824896	12366599168	2961525880	-0.529021789	3.07289E+11	71.67796768	1545825024	12366600192	NaN	NaN	NaN	2158699872	17269598976	NaN	NaN	100.0962155	333550016	2668400128	NaN	NaN	NaN	15.4662972	NaN	NaN	698499968	5587999744	NaN	NaN	NaN	32.38857018	-85625000	-685000000	NaN	612875008	4903000064	92080224.92	-8.780589833	11388156928	28.41824784	335624992	2684999936	NaN	NaN	NaN	15.56251125	-2074976	-16599808	NaN	-0.096214043	31.02880845	1
241000000	NaN	NaN	NaN	NaN	NaN	1000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
222000000	NaN	NaN	NaN	NaN	NaN	4000000	5238095280	1100000	NaN	NaN	NaN	4.714494499	83810953046	17600300	NaN	NaN	NaN	75.43319776	83810953046	17600300	NaN	NaN	NaN	NaN	NaN	1.67512E+11	NaN	89049048326	18700300	1.69521E+11	1.745767814	1.62372E+11	80.14769225	89049048326	18700300	1.70373E+11	1.62372E+11	0.011692113	1.10776E+11	23262900	2.04498E+11	1.98962E+11	99.70255826	8747619117	1837000	10829091581	-3.481998965	10946299904	7.873205813	NaN	NaN	21726666839	4562600	34017061376	12.93591989	36590899200	19.554866	0	0	0	21726666839	4562600	34017061376	12.93591989	36590899200	19.554866	8417142924	1767600	8215953141	11.48516776	8649610240	7.57576407	330476193.1	69400	2296689664	0.297441744	15.44896988	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	47429628.79	128060000	NaN	NaN	NaN	16.55634276	176074071	475400000	NaN	NaN	NaN	61.46248125	176074071	475400000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	223503699.8	603460000	NaN	NaN	NaN	78.01882402	223503699.8	603460000	NaN	NaN	NaN	354714802.6	957729984	NaN	NaN	123.8209153	228022230	615660032	NaN	NaN	NaN	79.59611522	NaN	NaN	131211114.7	354270016	NaN	NaN	NaN	45.80209133	0	0	NaN	131211114.7	354270016	NaN	NaN	NaN	45.80209133	296262963.7	799910016	NaN	NaN	NaN	103.4170264	-68240733.61	-184249984	NaN	-23.82091121	183.0131416	2
