Arms imports (constant 1990 US$)	Armed forces personnel, total	Armed forces personnel (% of total labor force)	Military expenditure (current LCU)	Military expenditure (% of GDP)	Military expenditure (% of central government expenditure)	Arms exports (constant 1990 US$)	General government final consumption expenditure (current US$)	General government final consumption expenditure (current LCU)	General government final consumption expenditure (constant 2000 US$)	General government final consumption expenditure (annual % growth)	General government final consumption expenditure (constant LCU)	General government final consumption expenditure (% of GDP)	Household final consumption expenditure, etc. (current US$)	Household final consumption expenditure, etc. (current LCU)	Household final consumption expenditure, etc. (constant 2000 US$)	Household final consumption expenditure, etc. (annual % growth)	Household final consumption expenditure, etc. (constant LCU)	Household final consumption expenditure, etc. (% of GDP)	Household final consumption expenditure (current US$)	Household final consumption expenditure (current LCU)	Household final consumption expenditure (constant 2000 US$)	Household final consumption expenditure (annual % growth)	Household final consumption expenditure (constant LCU)	Household final consumption expenditure per capita (constant 2000 US$)	Household final consumption expenditure per capita growth (annual %)	Household final consumption expenditure, PPP (current international $)	Household final consumption expenditure, PPP (constant 2005 international $)	Final consumption expenditure, etc. (current US$)	Final consumption expenditure, etc. (current LCU)	Final consumption expenditure, etc. (constant 2000 US$)	Final consumption expenditure, etc. (annual % growth)	Final consumption expenditure, etc. (constant LCU)	Final consumption expenditure, etc. (% of GDP)	Final consumption expenditure (current US$)	Final consumption expenditure (current LCU)	Final consumption expenditure (constant 2000 US$)	Final consumption expenditure (constant LCU)	Gross national expenditure deflator (base year varies by country)	Gross national expenditure (current US$)	Gross national expenditure (current LCU)	Gross national expenditure (constant 2000 US$)	Gross national expenditure (constant LCU)	Gross national expenditure (% of GDP)	Exports of goods and services (current US$)	Exports of goods and services (current LCU)	Exports of goods and services (constant 2000 US$)	Exports of goods and services (annual % growth)	Exports of goods and services (constant LCU)	Exports of goods and services (% of GDP)	Gross fixed capital formation, private sector (current LCU)	Gross fixed capital formation, private sector (% of GDP)	Gross fixed capital formation (current US$)	Gross fixed capital formation (current LCU)	Gross fixed capital formation (constant 2000 US$)	Gross fixed capital formation (annual % growth)	Gross fixed capital formation (constant LCU)	Gross fixed capital formation (% of GDP)	Changes in inventories (current US$)	Changes in inventories (current LCU)	Changes in inventories (constant LCU)	Gross capital formation (current US$)	Gross capital formation (current LCU)	Gross capital formation (constant 2000 US$)	Gross capital formation (annual % growth)	Gross capital formation (constant LCU)	Gross capital formation (% of GDP)	Imports of goods and services (current US$)	Imports of goods and services (current LCU)	Imports of goods and services (constant 2000 US$)	Imports of goods and services (annual % growth)	Imports of goods and services (constant LCU)	Imports of goods and services (% of GDP)	External balance on goods and services (current US$)	External balance on goods and services (current LCU)	External balance on goods and services (constant LCU)	External balance on goods and services (% of GDP)	Trade (% of GDP)	Income
687000000	70000	NaN	7967000000	2.145530929	NaN	22000000	51569904731	63333000000	52920438739	2.942245131	1.21827E+11	17.05571863	1.68512E+11	2.0695E+11	1.79673E+11	5.299804217	3.62503E+11	55.73209813	1.66767E+11	2.04806E+11	1.69344E+11	4.547435488	3.40649E+11	10071.37448	2.792791475	1.48305E+11	2.09562E+11	2.20082E+11	2.70283E+11	2.32464E+11	4.696683766	4.8433E+11	72.78781677	2.18336E+11	2.68139E+11	2.22372E+11	4.61692E+11	60.02874739	3.08095E+11	3.78372E+11	2.96458E+11	6.30318E+11	101.8964264	45203159352	55514000000	35827076087	1.182173668	1.00397E+11	14.95004443	NaN	NaN	85564693429	1.05082E+11	71339982900	10.88636595	1.41328E+11	28.29881776	2448497679	3007000000	4660000000	88013191108	1.08089E+11	74276977268	12.82788469	1.45988E+11	29.10860959	50937220096	62556000000	43940949654	24.79847624	73384000000	16.84647079	-5734060744	-7042000000	27013000000	-1.896426359	31.79651523	3
84000000	48000	NaN	1561000000	1.232371843	NaN	12000000	24811601664	23856355000	27363806149	1.651916297	32434858578	18.83401676	74195814873	71339276000	80600624344	3.384327191	95002847582	56.32063742	74405326053	71540721000	83375317856	3.585216068	98556762010	10942.26455	3.119599892	74415155664	1.1072E+11	99007416537	95195631000	1.07962E+11	2.937824189	1.27438E+11	75.15465418	99216927717	95397076000	1.10736E+11	1.30992E+11	75.55043911	1.32049E+11	1.26965E+11	1.43505E+11	1.68053E+11	100.2356183	47919011960	46074130000	46408787142	10.54407119	52188989726	36.37441414	NaN	NaN	31294921477	30090067000	33842185425	4.460943112	38837550547	23.75538201	1746298492	1679066000	NaN	33041219969	31769133000	35446464416	6.847927462	40615273412	25.08096411	48229411336	46372579000	48696254526	10.15836373	54332634707	36.61003243	-310399376	-298449000	-2143644982	-0.235618286	72.98444658	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
6000000	11000	NaN	6000000000	3.394759623	NaN	NaN	113445139.8	18000000000	NaN	NaN	NaN	10.18427887	964108639.5	1.52972E+11	NaN	NaN	NaN	86.55065576	964107379	1.52972E+11	NaN	NaN	NaN	NaN	NaN	1357313582	NaN	1077553779	1.70972E+11	NaN	NaN	NaN	96.73493463	1077552519	1.70972E+11	NaN	NaN	NaN	1260937848	2.00069E+11	NaN	NaN	113.1978214	108560193.8	17224920274	NaN	NaN	NaN	9.745743975	3341000000	1.890315317	184531125	29279000009	NaN	NaN	NaN	16.56586117	-1147056.414	-182000000	NaN	183384068.6	29097000009	NaN	NaN	NaN	16.4628868	255573911.3	40551145789	NaN	NaN	NaN	22.9435654	-147013717.5	-23326225515	NaN	-13.19782142	32.68930937	0
217000000	110000	NaN	3791000000	2.39242325	NaN	48000000	32256961507	31508600000	41494400202	1.18993135	52871012095	19.88443873	90315814561	88220487663	97795679794	3.055377483	1.1638E+11	55.67416139	89559218034	87481444176	98790354893	3.357407179	1.17831E+11	9940.970719	2.98264455	89610041551	1.2751E+11	1.22573E+11	1.19729E+11	1.3941E+11	2.465300366	1.69251E+11	75.55860012	1.21816E+11	1.1899E+11	1.40382E+11	1.70702E+11	71.76499017	1.58797E+11	1.55113E+11	1.79096E+11	2.1614E+11	97.88872513	1.12113E+11	1.09512E+11	1.02941E+11	8.151716755	1.17843E+11	69.11104718	NaN	NaN	34884677702	34075353180	38569843072	11.75290042	44283931103	21.50426463	1339728371	1308646673	NaN	36224406073	35383999852	39399053753	10.86214896	46889395020	22.33012501	1.08688E+11	1.06167E+11	1.00949E+11	9.693495039	1.158E+11	66.9997723	3424955221	3345496260	2042620698	2.111274871	136.1108195	3
0	5000	NaN	9100000000	1.898822451	NaN	NaN	166518284.1	53120999424	153122918.2	-1.732718092	54833143808	11.08432377	1328141923	4.23691E+11	1413265403	-7.294134818	4.14611E+11	88.40803978	1328141923	4.23691E+11	1414095223	-7.294134818	4.14611E+11	305.6053459	-9.957829097	NaN	4332416834	1494660284	4.76812E+11	1557893822	-6.677215584	4.69444E+11	99.49236868	1494660284	4.76812E+11	1558674784	4.69444E+11	103.3806098	1672187577	5.33445E+11	1492577234	5.16001E+11	111.3095128	202739988.7	64676085760	243716091.9	1.954903112	67444248576	13.49542897	21600000000	4.507095047	187141459.2	59699998720	89201492.64	-2.845413738	49354530816	12.45710966	-9614118.586	-3067000064	-2798030848	177527344.6	56632999936	84144438.63	-23.30065935	46556499968	11.81714414	372641205.8	1.18876E+11	368431170.2	-23.04159285	1.08499E+11	24.80493837	-169901217.1	-54200188928	-41054597120	-11.3095094	38.30036735	0
305000000	103000	NaN	10563000000	1.186057009	NaN	NaN	1155963829	38378000000	1363574815	0.643910292	55018000000	4.30923941	23199246455	7.70215E+11	25592615045	0.902997692	1.08558E+12	86.4829025	22419095870	7.44314E+11	26493138207	0.902997692	1.08558E+12	258.0124505	-1.670936264	42175359536	64388005029	24355210284	8.08593E+11	25917639497	3.107769424	1.09638E+12	90.79214191	23575059699	7.82692E+11	27859582136	1.14059E+12	73.61748061	28841354759	9.57533E+11	30248179309	1.30069E+12	107.5157366	1541716832	51185000000	1815710226	8.901183556	77750000000	5.747261952	87868000000	9.866179803	4486144475	1.4894E+11	4542443779	7.009632155	2.04306E+11	16.72359471	NaN	NaN	NaN	4486144475	1.4894E+11	4542443779	7.009632155	2.04306E+11	16.72359471	3557831244	1.1812E+11	4227751457	15.04712716	1.67955E+11	13.26299857	-2016114412	-66935000000	NaN	-7.515736617	19.01026052	0
404000000	150000	NaN	1700000	4.295185183	NaN	5000000	3595769127	6544300	4604745470	0.076478265	11320973183	16.53469435	11328790900	20618400.03	14008189637	-8.544774807	32912729143	52.09402725	11328790759	20618399.78	11538755115	-3.816501634	27008241259	1299.852598	-2.684508111	38129159839	40884073056	14924560027	27162700.03	18638523404	-6.482911705	44233702326	68.6287216	14924559886	27162699.78	14807786659	35020316215	0.071592703	22124724532	40266999.81	24580865736	56244558937	101.7377777	10095000184	18372900.86	26247117805	-14.03202116	54547333130	46.42059504	8622499.84	21.7854315	5674725392	10328000.51	3955719655	1.750515074	9047971678	26.09451457	1525439534	2776300.032	2962884933	7200164645	13104300.03	5294143097	-1.843667633	12010856611	33.10905608	10472911311	19060699.14	34802663021	-13.00483627	72975185179	48.15837206	-377911127.6	-687798.272	-18427852049	-1.737777028	94.5789671	2
66000000	5000	NaN	74000000	5.093962853	NaN	NaN	948669989.9	356699904	NaN	NaN	NaN	24.55427109	1537500308	578100096	NaN	NaN	NaN	39.79487047	1537500308	578100096	NaN	NaN	NaN	NaN	NaN	1293111137	NaN	2486170298	934800000	NaN	NaN	NaN	64.34914156	2486170298	934800000	NaN	NaN	NaN	3438032118	1292700032	NaN	NaN	88.98602406	3811170173	1432999936	NaN	NaN	NaN	98.64389788	NaN	NaN	765425558.1	287800000	NaN	NaN	NaN	19.81138526	186436176.6	70100000	NaN	951861734.7	357900000	NaN	NaN	NaN	24.6368825	3385638244	1272999936	NaN	NaN	NaN	87.62992414	425531929.5	160000000	NaN	11.01397374	186.273822	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
