Arms imports (constant 1990 US$)	Armed forces personnel, total	Armed forces personnel (% of total labor force)	Military expenditure (current LCU)	Military expenditure (% of GDP)	Military expenditure (% of central government expenditure)	Arms exports (constant 1990 US$)	General government final consumption expenditure (current US$)	General government final consumption expenditure (current LCU)	General government final consumption expenditure (constant 2000 US$)	General government final consumption expenditure (annual % growth)	General government final consumption expenditure (constant LCU)	General government final consumption expenditure (% of GDP)	Household final consumption expenditure, etc. (current US$)	Household final consumption expenditure, etc. (current LCU)	Household final consumption expenditure, etc. (constant 2000 US$)	Household final consumption expenditure, etc. (annual % growth)	Household final consumption expenditure, etc. (constant LCU)	Household final consumption expenditure, etc. (% of GDP)	Household final consumption expenditure (current US$)	Household final consumption expenditure (current LCU)	Household final consumption expenditure (constant 2000 US$)	Household final consumption expenditure (annual % growth)	Household final consumption expenditure (constant LCU)	Household final consumption expenditure per capita (constant 2000 US$)	Household final consumption expenditure per capita growth (annual %)	Household final consumption expenditure, PPP (current international $)	Household final consumption expenditure, PPP (constant 2005 international $)	Final consumption expenditure, etc. (current US$)	Final consumption expenditure, etc. (current LCU)	Final consumption expenditure, etc. (constant 2000 US$)	Final consumption expenditure, etc. (annual % growth)	Final consumption expenditure, etc. (constant LCU)	Final consumption expenditure, etc. (% of GDP)	Final consumption expenditure (current US$)	Final consumption expenditure (current LCU)	Final consumption expenditure (constant 2000 US$)	Final consumption expenditure (constant LCU)	Gross national expenditure deflator (base year varies by country)	Gross national expenditure (current US$)	Gross national expenditure (current LCU)	Gross national expenditure (constant 2000 US$)	Gross national expenditure (constant LCU)	Gross national expenditure (% of GDP)	Exports of goods and services (current US$)	Exports of goods and services (current LCU)	Exports of goods and services (constant 2000 US$)	Exports of goods and services (annual % growth)	Exports of goods and services (constant LCU)	Exports of goods and services (% of GDP)	Gross fixed capital formation, private sector (current LCU)	Gross fixed capital formation, private sector (% of GDP)	Gross fixed capital formation (current US$)	Gross fixed capital formation (current LCU)	Gross fixed capital formation (constant 2000 US$)	Gross fixed capital formation (annual % growth)	Gross fixed capital formation (constant LCU)	Gross fixed capital formation (% of GDP)	Changes in inventories (current US$)	Changes in inventories (current LCU)	Changes in inventories (constant LCU)	Gross capital formation (current US$)	Gross capital formation (current LCU)	Gross capital formation (constant 2000 US$)	Gross capital formation (annual % growth)	Gross capital formation (constant LCU)	Gross capital formation (% of GDP)	Imports of goods and services (current US$)	Imports of goods and services (current LCU)	Imports of goods and services (constant 2000 US$)	Imports of goods and services (annual % growth)	Imports of goods and services (constant LCU)	Imports of goods and services (% of GDP)	External balance on goods and services (current US$)	External balance on goods and services (current LCU)	External balance on goods and services (constant LCU)	External balance on goods and services (% of GDP)	Trade (% of GDP)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
157000000	145500	2.710785923	8918000000	4.524358889	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7587974415	1.67376E+11	NaN	NaN	NaN	84.91444387	NaN	NaN	NaN	NaN	NaN	8785624394	1.93793E+11	NaN	NaN	98.31693793	6847446149	1.51041E+11	NaN	NaN	NaN	76.62744363	13898537094	7.051129159	1197649980	26417763255	NaN	NaN	NaN	13.40249406	0	0	NaN	1197649980	26417763255	NaN	NaN	NaN	13.40249406	6697047332	1.47723E+11	NaN	NaN	NaN	74.94438156	150398817.2	3317497110	NaN	1.68306207	151.5718252	2
NaN	40500	3.027396464	7638000000	1.299607362	NaN	NaN	390881257.2	56154001408	348827500.2	6.835285985	1.07989E+11	9.554615557	3317389684	4.76576E+11	3488531118	11.63753321	2.86949E+11	81.08954446	2910420437	4.18111E+11	2726413124	13.10091466	2.9865E+11	885.9532772	12.89796811	7723178302	12064902429	3708270941	5.3273E+11	3806256411	10.28207621	3.94939E+11	90.64416001	3301301694	4.74265E+11	3048223190	4.06639E+11	136.9580789	4835199274	6.94625E+11	4687411900	5.07181E+11	118.1905559	839469835	1.20598E+11	868955821.9	23.17575749	1.07929E+11	20.51981618	1.18869E+11	20.22557544	1126928636	1.61895E+11	1170049023	28.30543703	1.08659E+11	27.54639593	0	0	3582956288	1126928636	1.61895E+11	907545657.4	-0.480202226	1.12242E+11	27.54639593	1583648860	2.27507E+11	1611652878	16.60750544	2.12288E+11	38.71036473	-744179024.8	-1.06909E+11	-1.04358E+11	-18.19054855	59.23018091	1
186000000	66000	3.644992718	24062000000	6.341918548	NaN	NaN	8857182009	32528000000	NaN	NaN	46767000000	8.573266001	63287680501	2.32424E+11	NaN	NaN	3.77131E+11	61.25900077	63287680501	2.32424E+11	NaN	NaN	3.77131E+11	NaN	NaN	NaN	1.18203E+11	72144862510	2.64952E+11	NaN	NaN	4.23898E+11	69.83226677	72144862510	2.64952E+11	NaN	4.23898E+11	65.73434646	94577810734	3.47337E+11	NaN	5.28395E+11	91.54612927	50787203629	1.86516E+11	NaN	NaN	3.20879E+11	49.15922533	43760000000	11.53363626	21672703138	79593000000	NaN	NaN	1.00944E+11	20.97798699	760245086.4	2792000000	3553000000	22432948224	82385000000	NaN	NaN	1.04497E+11	21.7138625	42053370840	1.54441E+11	NaN	NaN	1.9654E+11	40.7053546	8733832789	32075000000	1.24339E+11	8.453870726	89.86457993	3
6000000	101300	0.645781175	3182000000	1.184234797	NaN	6000000	38037450752	38037450752	38364496043	-2.069402773	35629189391	14.1562768	1.89018E+11	1.89018E+11	1.91122E+11	-4.824496204	1.84148E+11	70.34616455	1.89018E+11	1.89018E+11	1.89281E+11	-5.741349861	1.8129E+11	5074.25737	-6.679857545	2.07116E+11	2.18309E+11	2.27055E+11	2.27055E+11	2.29453E+11	-4.388431406	2.19778E+11	84.50243678	2.27055E+11	2.27055E+11	2.27608E+11	2.16919E+11	101.3868542	2.65154E+11	2.65154E+11	2.68061E+11	2.61527E+11	98.68155663	30976999424	30976999424	31784877124	2.740990697	32128899713	11.52861113	35328776341	13.14819807	38098829312	38098829312	38812882940	-15.66105019	41749587704	14.17911986	0	0	0	38098829312	38098829312	38812882940	-15.66105019	41749587704	14.17911986	27434399744	27434399744	28172339669	-13.94658211	29659341224	10.2101731	3542599680	3542599680	2469558489	1.31843803	21.73878423	2
NaN	43000	2.908519153	36800000000	3.129579561	NaN	NaN	239088206.7	1.32708E+11	235374383.8	4.269366595	77013271665	11.28590172	1898921558	1.05402E+12	1901278835	2.839831046	8.13573E+11	89.63655036	1977193997	1.09746E+12	1990505181	7.646804223	8.85803E+11	649.2591454	8.008036759	5778183274	6226219886	2138009765	1.18672E+12	2135958562	2.961899725	8.90586E+11	100.9224521	2216282204	1.23017E+12	2227731826	9.62816E+11	131.9438549	2556575866	1.41905E+12	2554884105	1.0755E+12	120.6804148	539539689.4	2.99477E+11	567431411	26.98949967	2.42712E+11	25.46839091	NaN	NaN	374779303.1	2.08025E+11	371097036.4	5.305165208	1.66461E+11	17.69105403	43786797.82	24304300000	18449784457	418566101	2.32329E+11	414446013	16.2920016	1.84911E+11	19.75796274	977647641.7	5.42653E+11	1028070564	6.407111984	4.39668E+11	46.14880573	-438107952.3	-2.43176E+11	-1.96956E+11	-20.68041482	71.61719663	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	200	NaN	NaN	NaN	NaN	NaN	164670367.5	444610000	NaN	NaN	NaN	20.73993859	454766386.8	1227869266	NaN	NaN	NaN	57.27701397	454766386.8	1227869266	NaN	NaN	NaN	NaN	NaN	585736535.4	NaN	619436754.2	1672479266	NaN	NaN	NaN	78.01695256	619436754.2	1672479266	NaN	NaN	NaN	835225639.3	2255109266	NaN	NaN	105.1951771	445325918.1	1202380000	NaN	NaN	NaN	56.0880038	NaN	NaN	215788885.1	582630000	NaN	NaN	NaN	27.17822456	0	0	NaN	215788885.1	582630000	NaN	NaN	NaN	27.17822456	486574435.9	1313751000	NaN	NaN	NaN	61.28318092	-41248517.79	-111371000	NaN	-5.195177124	117.3711847	2
