Arms imports (constant 1990 US$)	Armed forces personnel, total	Armed forces personnel (% of total labor force)	Military expenditure (current LCU)	Military expenditure (% of GDP)	Military expenditure (% of central government expenditure)	Arms exports (constant 1990 US$)	General government final consumption expenditure (current US$)	General government final consumption expenditure (current LCU)	General government final consumption expenditure (constant 2000 US$)	General government final consumption expenditure (annual % growth)	General government final consumption expenditure (constant LCU)	General government final consumption expenditure (% of GDP)	Household final consumption expenditure, etc. (current US$)	Household final consumption expenditure, etc. (current LCU)	Household final consumption expenditure, etc. (constant 2000 US$)	Household final consumption expenditure, etc. (annual % growth)	Household final consumption expenditure, etc. (constant LCU)	Household final consumption expenditure, etc. (% of GDP)	Household final consumption expenditure (current US$)	Household final consumption expenditure (current LCU)	Household final consumption expenditure (constant 2000 US$)	Household final consumption expenditure (annual % growth)	Household final consumption expenditure (constant LCU)	Household final consumption expenditure per capita (constant 2000 US$)	Household final consumption expenditure per capita growth (annual %)	Household final consumption expenditure, PPP (current international $)	Household final consumption expenditure, PPP (constant 2005 international $)	Final consumption expenditure, etc. (current US$)	Final consumption expenditure, etc. (current LCU)	Final consumption expenditure, etc. (constant 2000 US$)	Final consumption expenditure, etc. (annual % growth)	Final consumption expenditure, etc. (constant LCU)	Final consumption expenditure, etc. (% of GDP)	Final consumption expenditure (current US$)	Final consumption expenditure (current LCU)	Final consumption expenditure (constant 2000 US$)	Final consumption expenditure (constant LCU)	Gross national expenditure deflator (base year varies by country)	Gross national expenditure (current US$)	Gross national expenditure (current LCU)	Gross national expenditure (constant 2000 US$)	Gross national expenditure (constant LCU)	Gross national expenditure (% of GDP)	Exports of goods and services (current US$)	Exports of goods and services (current LCU)	Exports of goods and services (constant 2000 US$)	Exports of goods and services (annual % growth)	Exports of goods and services (constant LCU)	Exports of goods and services (% of GDP)	Gross fixed capital formation, private sector (current LCU)	Gross fixed capital formation, private sector (% of GDP)	Gross fixed capital formation (current US$)	Gross fixed capital formation (current LCU)	Gross fixed capital formation (constant 2000 US$)	Gross fixed capital formation (annual % growth)	Gross fixed capital formation (constant LCU)	Gross fixed capital formation (% of GDP)	Changes in inventories (current US$)	Changes in inventories (current LCU)	Changes in inventories (constant LCU)	Gross capital formation (current US$)	Gross capital formation (current LCU)	Gross capital formation (constant 2000 US$)	Gross capital formation (annual % growth)	Gross capital formation (constant LCU)	Gross capital formation (% of GDP)	Imports of goods and services (current US$)	Imports of goods and services (current LCU)	Imports of goods and services (constant 2000 US$)	Imports of goods and services (annual % growth)	Imports of goods and services (constant LCU)	Imports of goods and services (% of GDP)	External balance on goods and services (current US$)	External balance on goods and services (current LCU)	External balance on goods and services (constant LCU)	External balance on goods and services (% of GDP)	Trade (% of GDP)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
835000000	NaN	NaN	40989000000	4.436038961	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20343468508	9.24E+11	NaN	NaN	NaN	2891.149273	131316	NaN	-99.99092645	71548.54408	1.42117E-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10368.82431	470952	NaN	-99.98921716	256601.8607	5.09688E-05	-7477.675033	-339636	-185053.3166	-3.67571E-05	6.51805E-05	0
NaN	NaN	NaN	3.42E+11	3.61260449	NaN	NaN	17852990837	1.67355E+12	NaN	15.69830867	5419661911	17.67797678	51039785809	4.7845E+12	NaN	1.126196896	-1166346495	50.53943938	50781582829	4.76029E+12	NaN	NaN	1337934072	NaN	NaN	36802537010	39151888817	68892776645	6.45804E+12	NaN	20.45817887	4253315416	68.21741616	68634573666	6.43384E+12	NaN	6757595983	84984.45973	79714922490	7.47252E+12	NaN	8792803667	78.93347179	62387268491	5.84821E+12	NaN	-7.104112355	2892852042	61.77568194	2.64473E+11	2.79367736	10822145845	1.01447E+12	NaN	3.299910894	4539488245	10.71605563	0.064006486	6	6	10822145845	1.01447E+12	NaN	3.299910913	4539488251	10.71605563	41112179162	3.85388E+12	NaN	8.46644703	5797723646	40.70915373	21275089329	1.99434E+12	-2904871604	21.06652821	102.4848357	2
NaN	NaN	NaN	19865000000	1.519248206	NaN	NaN	1207827499	1.21864E+11	645801240	19.67377544	1.99926E+11	9.319970243	11239219514	1.13398E+12	6863114189	-1.944489105	5.64526E+11	86.72529105	11285459554	1.13865E+12	4241474592	2.716892175	4.64609E+11	1318.871399	2.343072837	19431337056	18769340807	12447047013	1.25584E+12	7367471509	2.917686016	7.64451E+11	96.0452613	12493287054	1.26051E+12	5004762482	6.67646E+11	172.0765463	15679949409	1.58203E+12	8293720344	9.19374E+11	120.9913353	3889417146	3.92423E+11	1871813050	6.281201373	2.3249E+11	30.01194466	2.7E+11	20.6492331	3232902396	3.26184E+11	NaN	NaN	NaN	24.94607396	0	0	NaN	3232902396	3.26184E+11	1252647440	-0.556270047	1.54923E+11	24.94607396	6609802653	6.66896E+11	3843842530	3.209125205	5.06312E+11	51.00327992	-2720385507	-2.74473E+11	-2.73823E+11	-20.99133526	81.01522457	1
1444000000	NaN	NaN	NaN	NaN	NaN	3000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
15000000	NaN	NaN	13541000000	0.735116084	NaN	1000000	67541758200	2.78961E+11	63401892743	10.89344575	58881473165	15.14428002	2.73367E+11	1.12906E+12	3.07286E+11	6.919778687	2.96075E+11	61.29451742	2.51579E+11	1.03907E+12	3.17006E+11	10.65174302	3.03623E+11	7776.51017	9.695768443	5.23841E+11	3.65623E+11	3.40908E+11	1.40802E+12	3.70583E+11	7.559125945	3.54956E+11	76.43879744	3.19121E+11	1.31803E+12	3.80368E+11	3.62505E+11	381.2868983	4.35767E+11	1.7998E+12	4.82523E+11	4.72034E+11	99.0137908	97330001195	4.01992E+11	56453289616	4.257487958	57064309970	21.82342941	NaN	NaN	1.00682E+11	4.15836E+11	1.08842E+11	21.43816209	1.17078E+11	22.57499336	0	0	0	1.00682E+11	4.15836E+11	1.08842E+11	21.43816209	1.17078E+11	22.57499336	87108045173	3.59774E+11	66041357185	17.79564839	69527173485	19.53145229	10221956022	42218722763	-12462863515	2.291977119	41.35488171	2
NaN	NaN	NaN	1.54E+11	4.034254065	NaN	NaN	1206088291	4.49269E+11	507263738.4	14.17754313	1.65974E+11	11.76925389	8339373704	3.10642E+12	3493889995	2.760070859	1.49506E+12	81.3772981	8730635102	3.25217E+12	3632514914	3.045815617	1.61652E+12	1171.689805	2.774460134	13546219879	11362360076	9545461995	3.55569E+12	3983791014	3.797205898	1.66104E+12	93.14655199	9936723393	3.70144E+12	4124276013	1.78249E+12	217.2805853	12769920423	4.75681E+12	5201143092	2.18925E+12	124.6114706	2405910454	8.96204E+11	1007143966	4.95330718	4.30794E+11	23.47736163	9.61689E+11	25.1928418	3170895996	1.18116E+12	1162765869	-6.371538787	5.21577E+11	30.94224553	53562432.37	19952053322	6630382184	3224458428	1.20111E+12	1183883968	-5.645969095	5.28207E+11	31.4649186	4928041999	1.8357E+12	1917296410	-3.492359046	8.19957E+11	48.08883222	-2522131546	-9.39496E+11	-3.89163E+11	-24.61147059	71.56619385	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
