Arms imports (constant 1990 US$)	Armed forces personnel, total	Armed forces personnel (% of total labor force)	Military expenditure (current LCU)	Military expenditure (% of GDP)	Military expenditure (% of central government expenditure)	Arms exports (constant 1990 US$)	General government final consumption expenditure (current US$)	General government final consumption expenditure (current LCU)	General government final consumption expenditure (constant 2000 US$)	General government final consumption expenditure (annual % growth)	General government final consumption expenditure (constant LCU)	General government final consumption expenditure (% of GDP)	Household final consumption expenditure, etc. (current US$)	Household final consumption expenditure, etc. (current LCU)	Household final consumption expenditure, etc. (constant 2000 US$)	Household final consumption expenditure, etc. (annual % growth)	Household final consumption expenditure, etc. (constant LCU)	Household final consumption expenditure, etc. (% of GDP)	Household final consumption expenditure (current US$)	Household final consumption expenditure (current LCU)	Household final consumption expenditure (constant 2000 US$)	Household final consumption expenditure (annual % growth)	Household final consumption expenditure (constant LCU)	Household final consumption expenditure per capita (constant 2000 US$)	Household final consumption expenditure per capita growth (annual %)	Household final consumption expenditure, PPP (current international $)	Household final consumption expenditure, PPP (constant 2005 international $)	Final consumption expenditure, etc. (current US$)	Final consumption expenditure, etc. (current LCU)	Final consumption expenditure, etc. (constant 2000 US$)	Final consumption expenditure, etc. (annual % growth)	Final consumption expenditure, etc. (constant LCU)	Final consumption expenditure, etc. (% of GDP)	Final consumption expenditure (current US$)	Final consumption expenditure (current LCU)	Final consumption expenditure (constant 2000 US$)	Final consumption expenditure (constant LCU)	Gross national expenditure deflator (base year varies by country)	Gross national expenditure (current US$)	Gross national expenditure (current LCU)	Gross national expenditure (constant 2000 US$)	Gross national expenditure (constant LCU)	Gross national expenditure (% of GDP)	Exports of goods and services (current US$)	Exports of goods and services (current LCU)	Exports of goods and services (constant 2000 US$)	Exports of goods and services (annual % growth)	Exports of goods and services (constant LCU)	Exports of goods and services (% of GDP)	Gross fixed capital formation, private sector (current LCU)	Gross fixed capital formation, private sector (% of GDP)	Gross fixed capital formation (current US$)	Gross fixed capital formation (current LCU)	Gross fixed capital formation (constant 2000 US$)	Gross fixed capital formation (annual % growth)	Gross fixed capital formation (constant LCU)	Gross fixed capital formation (% of GDP)	Changes in inventories (current US$)	Changes in inventories (current LCU)	Changes in inventories (constant LCU)	Gross capital formation (current US$)	Gross capital formation (current LCU)	Gross capital formation (constant 2000 US$)	Gross capital formation (annual % growth)	Gross capital formation (constant LCU)	Gross capital formation (% of GDP)	Imports of goods and services (current US$)	Imports of goods and services (current LCU)	Imports of goods and services (constant 2000 US$)	Imports of goods and services (annual % growth)	Imports of goods and services (constant LCU)	Imports of goods and services (% of GDP)	External balance on goods and services (current US$)	External balance on goods and services (current LCU)	External balance on goods and services (constant LCU)	External balance on goods and services (% of GDP)	Trade (% of GDP)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
344000000	255745	2.932740531	12564000000	1.759663866	4.634644992	NaN	1429329491	71799980000	NaN	43.59430709	43566201537	10.05601961	16689595135	8.38374E+11	NaN	8.790721365	5.08702E+11	117.4193193	12409052715	6.23348E+11	NaN	NaN	3.7823E+11	NaN	NaN	29410595189	28696887658	18118924626	9.10174E+11	NaN	10.91134041	5.52268E+11	127.4753389	13838382206	6.95148E+11	NaN	4.21796E+11	164.8066103	20309740963	1.02023E+12	NaN	6.19044E+11	142.8887843	2420181182	1.21574E+11	NaN	-21.03415167	73767526534	17.02713725	52836000000	7.4	2190816336	1.10052E+11	NaN	22.73851633	66776447731	15.41344538	NaN	NaN	NaN	2190816336	1.10052E+11	NaN	22.73851633	66776447731	15.41344538	8516251660	4.278E+11	NaN	-9.216353524	2.59577E+11	59.91592157	-6096070478	-3.06226E+11	-1.85809E+11	-42.88878431	76.94305882	0
20000000	117000	1.709799187	2.63E+11	4.391622455	NaN	NaN	13154331275	1.04351E+12	NaN	-12.10714835	4223747374	17.42471259	51228895147	4.0639E+12	NaN	-99.90674362	-2054052.929	67.85968481	51228895147	4.0639E+12	NaN	NaN	1008901930	NaN	NaN	38921299985	29523439930	64383226422	5.10741E+12	NaN	62.18710611	4221693321	85.2843974	64383226422	5.10741E+12	NaN	5232649304	66413.77519	75870589105	6.01868E+12	NaN	9062392929	100.5009819	41451067529	3.28824E+12	NaN	-3.851418123	3200669701	54.90761356	1.67997E+11	2.805249365	11487362683	9.11272E+11	NaN	-15.81599141	4840699604	15.21658448	0.050423431	4	4	11487362683	9.11272E+11	NaN	-15.81599138	4840699608	15.21658448	41829270706	3.31824E+12	NaN	7.158130901	6756385549	55.40859544	-378203176.9	-30002177257	-3555715847	-0.500981883	110.316209	2
NaN	14745	0.997550324	23633000000	2.053258036	NaN	NaN	1062824015	1.00945E+11	582821820.7	-9.240056353	1.80429E+11	8.77020031	10655301133	1.01202E+12	7026305435	-3.80505831	5.77949E+11	87.92530465	10581599933	1.00502E+12	4078772120	-1.18379194	4.46787E+11	1277.521451	-1.534336717	18090624589	18049351073	11718125148	1.11297E+12	7308935410	-5.156301979	7.58378E+11	96.69550496	11644423948	1.10597E+12	4784155030	6.38216E+11	155.0011517	15207430868	1.44437E+12	8310709485	9.31847E+11	125.4885221	3443776095	3.27083E+11	1690741578	5.866129663	2.1E+11	28.41731627	2.35533E+11	20.46333623	3489305719	3.31408E+11	NaN	NaN	NaN	28.79301716	0	0	NaN	3489305719	3.31408E+11	1402601908	-12.19412231	1.73469E+11	28.79301716	6532623836	6.20456E+11	4071437588	-11.98539545	5.36291E+11	53.9058384	-3088847742	-2.93373E+11	-3.26292E+11	-25.48852213	82.32315468	1
565000000	51000	1.127304592	57929000000	5.834881976	NaN	NaN	24316134119	89301000000	NaN	32.0883568	78335000000	8.994817713	1.66671E+11	6.12101E+11	NaN	-11.43977505	5.74778E+11	61.65369836	1.66671E+11	6.12101E+11	NaN	NaN	5.74778E+11	NaN	NaN	NaN	1.80152E+11	1.90988E+11	7.01402E+11	NaN	-7.795377861	6.53113E+11	70.64851607	1.90988E+11	7.01402E+11	NaN	6.53113E+11	108.0535027	2.55516E+11	9.38382E+11	NaN	8.68442E+11	94.51825887	2.01959E+11	7.41694E+11	NaN	-6.986513605	7.19823E+11	74.70691626	1.31395E+11	13.23472384	60245610979	2.21252E+11	NaN	-10.16092488	2.01032E+11	22.28554449	4282641375	15728000000	14297000000	64528252354	2.3698E+11	NaN	-9.432017968	2.15329E+11	23.8697428	1.8714E+11	6.87271E+11	NaN	-15.65431412	6.24735E+11	69.22517514	14819061009	54423000000	95088000000	5.481741127	143.9320914	3
16000000	104340	0.568393167	11063000000	0.965814264	NaN	NaN	46647541952	1.74002E+11	52261120124	7.234143957	48535013846	15.19059279	1.79766E+11	6.70551E+11	2.6459E+11	0.76268249	2.54936E+11	58.53996138	1.78914E+11	6.67375E+11	2.6286E+11	0.452498688	2.51763E+11	6561.243056	-0.42050658	3.89135E+11	3.03173E+11	2.26413E+11	8.44553E+11	3.16832E+11	1.744699094	3.03471E+11	73.73055417	2.25562E+11	8.41376E+11	3.15096E+11	3.00298E+11	283.0794419	2.90657E+11	1.08419E+12	3.92546E+11	3.82998E+11	94.65117701	65565563817	2.44569E+11	47249751897	-6.405613692	47761158059	21.35117391	NaN	NaN	64243419939	2.39637E+11	73933258110	-10.19260408	79527280889	20.92062284	0	0	0	64243419939	2.39637E+11	73933258110	-10.19260408	79527280889	20.92062284	49140303251	1.833E+11	41846443550	-19.02538883	44055196084	16.00235093	16425260566	61268538806	3705961975	5.348822987	37.35352484	2
51000000	55570	3.909471749	1.31E+11	4.169782067	17.47463078	NaN	1153353061	4.1899E+11	421733408.4	-1.224324407	1.37989E+11	13.33662141	6877212894	2.49835E+12	3302258071	-10.78328587	1.41306E+12	79.52359762	6932301255	2.51837E+12	3399368836	-4.46660521	1.51277E+12	1101.909879	-4.649064397	11651271666	10633088550	8030565955	2.91734E+12	3720003584	-10.00850315	1.55105E+12	92.86021904	8085654316	2.93736E+12	3819464169	1.65076E+12	191.253171	11028808082	4.00655E+12	4975267283	2.09489E+12	127.5299325	1338234420	4.86154E+11	788826604.4	-10.43576924	3.37412E+11	15.47446868	NaN	NaN	3148616219	1.14383E+12	1277668314	-25.35154018	5.73118E+11	36.40854124	-150374091.6	-54627900000	-29279985711	2998242127	1.0892E+12	1218917922	-30.87548652	5.43838E+11	34.66971347	3719027197	1.35105E+12	1746041455	-19.15362345	7.46718E+11	43.00440119	-2380792777	-8.64894E+11	-4.09306E+11	-27.52993251	58.47886987	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	170	NaN	NaN	NaN	NaN	NaN	214196296.3	578330000	NaN	NaN	NaN	17.63968518	996681124.1	2691039035	NaN	NaN	NaN	82.07957636	1035591858	2796098017	NaN	NaN	NaN	NaN	NaN	1373535926	NaN	1210877420	3269369035	NaN	NaN	NaN	99.71926154	1249788154	3374428017	NaN	NaN	NaN	1433470013	3870369035	NaN	NaN	118.050406	537189324.1	1450411175	NaN	NaN	NaN	44.23909622	NaN	NaN	222592592.6	601000000	NaN	NaN	NaN	18.33114449	0	0	NaN	222592592.6	601000000	NaN	NaN	NaN	18.33114449	756372947.8	2042206959	NaN	NaN	NaN	62.28950225	-219183623.7	-591795784	NaN	-18.05040604	106.5285985	2
