Arms imports (constant 1990 US$)	Armed forces personnel, total	Armed forces personnel (% of total labor force)	Military expenditure (current LCU)	Military expenditure (% of GDP)	Military expenditure (% of central government expenditure)	Arms exports (constant 1990 US$)	General government final consumption expenditure (current US$)	General government final consumption expenditure (current LCU)	General government final consumption expenditure (constant 2000 US$)	General government final consumption expenditure (annual % growth)	General government final consumption expenditure (constant LCU)	General government final consumption expenditure (% of GDP)	Household final consumption expenditure, etc. (current US$)	Household final consumption expenditure, etc. (current LCU)	Household final consumption expenditure, etc. (constant 2000 US$)	Household final consumption expenditure, etc. (annual % growth)	Household final consumption expenditure, etc. (constant LCU)	Household final consumption expenditure, etc. (% of GDP)	Household final consumption expenditure (current US$)	Household final consumption expenditure (current LCU)	Household final consumption expenditure (constant 2000 US$)	Household final consumption expenditure (annual % growth)	Household final consumption expenditure (constant LCU)	Household final consumption expenditure per capita (constant 2000 US$)	Household final consumption expenditure per capita growth (annual %)	Household final consumption expenditure, PPP (current international $)	Household final consumption expenditure, PPP (constant 2005 international $)	Final consumption expenditure, etc. (current US$)	Final consumption expenditure, etc. (current LCU)	Final consumption expenditure, etc. (constant 2000 US$)	Final consumption expenditure, etc. (annual % growth)	Final consumption expenditure, etc. (constant LCU)	Final consumption expenditure, etc. (% of GDP)	Final consumption expenditure (current US$)	Final consumption expenditure (current LCU)	Final consumption expenditure (constant 2000 US$)	Final consumption expenditure (constant LCU)	Gross national expenditure deflator (base year varies by country)	Gross national expenditure (current US$)	Gross national expenditure (current LCU)	Gross national expenditure (constant 2000 US$)	Gross national expenditure (constant LCU)	Gross national expenditure (% of GDP)	Exports of goods and services (current US$)	Exports of goods and services (current LCU)	Exports of goods and services (constant 2000 US$)	Exports of goods and services (annual % growth)	Exports of goods and services (constant LCU)	Exports of goods and services (% of GDP)	Gross fixed capital formation, private sector (current LCU)	Gross fixed capital formation, private sector (% of GDP)	Gross fixed capital formation (current US$)	Gross fixed capital formation (current LCU)	Gross fixed capital formation (constant 2000 US$)	Gross fixed capital formation (annual % growth)	Gross fixed capital formation (constant LCU)	Gross fixed capital formation (% of GDP)	Changes in inventories (current US$)	Changes in inventories (current LCU)	Changes in inventories (constant LCU)	Gross capital formation (current US$)	Gross capital formation (current LCU)	Gross capital formation (constant 2000 US$)	Gross capital formation (annual % growth)	Gross capital formation (constant LCU)	Gross capital formation (% of GDP)	Imports of goods and services (current US$)	Imports of goods and services (current LCU)	Imports of goods and services (constant 2000 US$)	Imports of goods and services (annual % growth)	Imports of goods and services (constant LCU)	Imports of goods and services (% of GDP)	External balance on goods and services (current US$)	External balance on goods and services (current LCU)	External balance on goods and services (constant LCU)	External balance on goods and services (% of GDP)	Trade (% of GDP)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
371000000	306800	3.386452302	26773000000	3.342446941	7.248033131	NaN	1852113508	86036840000	NaN	15.57212117	50350383229	10.74117853	19148693969	8.89521E+11	NaN	2.331937374	5.20564E+11	111.0512609	15654316925	7.27195E+11	NaN	NaN	4.25568E+11	NaN	NaN	34564476889	32288519304	21000807477	9.75557E+11	NaN	3.376402515	5.70915E+11	121.7924395	17506430433	8.13232E+11	NaN	4.75919E+11	170.8762366	23808442581	1.10598E+12	NaN	6.47241E+11	138.0750861	2670470341	1.24052E+11	NaN	-1.585810872	72597713078	15.48717104	NaN	NaN	2807635104	1.30424E+11	NaN	14.30165864	76326587335	16.28264669	NaN	NaN	NaN	2807635104	1.30424E+11	NaN	14.30165864	76326587335	16.28264669	9235800318	4.29034E+11	NaN	-3.273853176	2.51079E+11	53.56225718	-6565329977	-3.04981E+11	-1.78481E+11	-38.07508614	69.04942821	0
NaN	117000	1.646483548	3.22E+11	4.248274996	NaN	NaN	14502175764	1.33283E+12	NaN	10.90401022	4684305219	17.58459853	41561209272	3.81971E+12	NaN	56050.32618	-1153357420	50.39500219	41561209272	3.81971E+12	NaN	NaN	1166788438	NaN	NaN	32482284994	34143663863	56063385036	5.15255E+12	NaN	-16.36181193	3530947799	67.97960071	56063385036	5.15255E+12	NaN	5851093657	77106.03684	66491824672	6.11098E+12	NaN	7925422306	80.62459463	51400292557	4.72398E+12	NaN	-2.705369247	3114079767	62.32537265	2.25092E+11	2.969732036	10428439636	9.58433E+11	NaN	-9.21819445	4394474502	12.64499391	0.054403578	5	5	10428439636	9.58433E+11	NaN	-9.218194421	4394474507	12.64499391	35421222361	3.25541E+12	NaN	-20.88703312	5345177062	42.94996728	15979070196	1.46857E+12	-2231097294	19.37540537	105.2753399	2
NaN	14745	0.985381732	19749000000	1.602358623	NaN	NaN	952443712.9	98993189747	539634717.5	-7.410001087	1.67059E+11	8.031930287	10440494650	1.08514E+12	6999213126	-0.38558399	5.75721E+11	88.04438946	10368376911	1.07765E+12	4129286335	1.238466238	4.5232E+11	1288.676764	0.873199642	18627942996	18272886192	11392938363	1.18414E+12	7158605867	-2.056791236	7.42779E+11	96.07631974	11320820624	1.17664E+12	4805640327	6.41082E+11	167.1274767	14448851493	1.50176E+12	8100699037	8.98569E+11	121.8467468	3508993945	3.64711E+11	1761189210	4.166670584	2.1875E+11	29.59124446	2.50031E+11	20.28656281	3055913130	3.17619E+11	NaN	NaN	NaN	25.77042705	0	0	NaN	3055913130	3.17619E+11	1259654521	-10.19158652	1.5579E+11	25.77042705	6099628560	6.33971E+11	3724324301	-8.525570637	4.90569E+11	51.43799125	-2590634616	-2.6926E+11	-2.7182E+11	-21.84674679	81.02923571	1
569000000	51000	1.034518123	58987000000	5.396234976	NaN	38000000	24544861150	90141000000	NaN	0.061885825	78383478261	8.246257938	1.70567E+11	6.26406E+11	NaN	-3.060313671	5.57188E+11	57.30472759	1.70567E+11	6.26406E+11	NaN	NaN	5.57188E+11	NaN	NaN	NaN	1.74638E+11	1.95112E+11	7.16547E+11	NaN	-2.685834067	6.35571E+11	65.55098553	1.95112E+11	7.16547E+11	NaN	6.35571E+11	114.2869334	2.70334E+11	9.928E+11	NaN	8.68691E+11	90.82309805	2.31978E+11	8.51939E+11	NaN	2.190775371	7.35593E+11	77.9368849	1.65829E+11	15.1703299	70859089839	2.6023E+11	NaN	9.261227846	2.1965E+11	23.80630017	4362968130	16023000000	13469233356	75222057969	2.76253E+11	NaN	8.261899196	2.33119E+11	25.27211252	2.04663E+11	7.51625E+11	NaN	0.355260785	6.26954E+11	68.75998295	27314908881	1.00314E+11	1.08638E+11	9.176901952	146.6968678	3
14000000	104340	0.568016159	13541000000	0.938616401	NaN	NaN	55020345127	2.15278E+11	57173706087	9.400077824	53097342919	14.92235135	2.20375E+11	8.62263E+11	2.87399E+11	8.620512708	2.76913E+11	59.76913193	2.1131E+11	8.26794E+11	2.8649E+11	8.989687352	2.74396E+11	7089.161488	8.046012436	4.42314E+11	3.30427E+11	2.75396E+11	1.07754E+12	3.44539E+11	8.745190803	3.3001E+11	74.69148328	2.66331E+11	1.04207E+12	3.43631E+11	3.27493E+11	327.1325597	3.5652E+11	1.39496E+12	4.36322E+11	4.2642E+11	96.69373079	80034129709	3.1315E+11	54147947281	14.59943197	54734015837	21.70646878	NaN	NaN	81124698339	3.17417E+11	89627793449	21.22797742	96409314121	22.00224752	0	0	0	81124698339	3.17417E+11	89627793449	21.22797742	96409314121	22.00224752	67843552733	2.65451E+11	56064343708	33.97636442	59023550053	18.40019957	12190576976	47698070535	-4289534216	3.306269206	40.10666835	2
54000000	55528	3.865481422	1.48E+11	4.226593624	18.59868105	NaN	1231202498	4.60052E+11	444276277.6	5.345288922	1.45365E+11	13.13818637	7280519997	2.72044E+12	3400046308	2.961253638	1.45491E+12	77.69057382	7562193626	2.82569E+12	3525145483	3.7	1.56874E+12	1140.059314	3.462119349	12282616640	11026512826	8511722494	3.18049E+12	3838052267	3.173348636	1.60027E+12	90.82876019	8793396124	3.28574E+12	3966037328	1.7141E+12	201.3317238	11638750650	4.34894E+12	5129352402	2.16009E+12	124.1973399	1928926296	7.20764E+11	959611462.2	21.65049414	4.10463E+11	20.5836109	NaN	NaN	3098914397	1.15794E+12	1241893601	-2.8	5.57071E+11	33.06857722	28113758.17	10505000000	2743334086	3127028155	1.16845E+12	1254725375	2.937642702	5.59814E+11	33.3685797	4196501475	1.56807E+12	1986678351	13.78185471	8.4963E+11	44.78095079	-2267575180	-8.47303E+11	-4.39167E+11	-24.19733988	65.36456169	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	170	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1271765002	3433765506	NaN	NaN	NaN	533984210	1441757367	NaN	NaN	NaN	46.2809258	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	651960257.8	1760292696	NaN	NaN	NaN	56.5060235	-117976047.8	-318535329	NaN	-10.22509769	102.7869493	2
