Intentional homicides (per 100,000 people)	Travel services (% of commercial service exports)	High-technology exports (% of manufactured exports)	High-technology exports (current US$)	Merchandise exports (current US$)	Manufactures exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	Manufactures imports (% of merchandise imports)	Merchandise imports (current US$)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	Population, total	Population density (people per sq. km of land area)	Population growth (annual %)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Unemployment, total (% of total labor force)	Unemployment, youth total (% of total labor force ages 15-24)	Labor force, total	Labor force participation rate, total (% of total population ages 15-64)	GDP per person employed (constant 1990 PPP $)	Employers, total (% of employment)	Employment to population ratio, ages 15-24, total (%)	Poverty headcount ratio at $2 a day (PPP) (% of population)	Pregnant women receiving prenatal care (%)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Public spending on education, total (% of GDP)	Ratio of female to male primary enrollment (%)	Imports of goods and services (current US$)	Exports of goods and services (current US$)	Inflation, consumer prices (annual %)	CO2 emissions (kt)	Energy imports, net (% of energy use)	Undisbursed external debt, total (UND, current US$)	Total amount of debt rescheduled (current US$)	Net income (BoP, current US$)	Land area (sq. km)	Income
NaN	87.18086056	NaN	NaN	31000000	30.10811373	53.86432709	0.213454205	69.12886724	336000000	21.39400267	7.575830665	61069	339.2722222	-1.238431112	20.568	7.019	NaN	75.827	73.2962439	70.886	2.291	NaN	NaN	24.58122513	67.76211295	7.656661918	47.57509122	11.29932581	36.27576541	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.121868496	612.389	NaN	NaN	NaN	-17039106.15	180	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50236	106.8851064	1.467842677	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	470	3
NaN	NaN	NaN	NaN	395000000	NaN	NaN	NaN	NaN	900000000	NaN	NaN	18255378	27.98917253	2.082621295	52.254	22.574	137.7	41.588	41.71092683	41.828	7.915	NaN	NaN	46.41766238	51.31408768	2.268249938	94.87825765	4.420325959	90.45793169	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35	34	NaN	NaN	205.2	NaN	NaN	50.966	NaN	NaN	NaN	2867.594	NaN	NaN	NaN	11800000	652230	0
NaN	NaN	NaN	NaN	2516000000	NaN	NaN	NaN	NaN	1372000000	NaN	NaN	9799680	7.860495709	2.446957916	52.771	23.588	148.6	43.045	41.04180488	39.134	7.194	NaN	NaN	47.33270882	50.0439198	2.623371375	99.82447497	5.242138078	94.5823369	NaN	NaN	NaN	NaN	1574	NaN	NaN	NaN	NaN	12	56	NaN	NaN	251.4	NaN	NaN	79.922	1765320008	2633575960	NaN	5130.133	-403.0892525	NaN	NaN	-615000000	1246700	2
NaN	10.13513514	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3194854	116.6005109	2.498837406	25.324	5.733	37.9	74.776	71.80936585	68.984	3.527	NaN	NaN	33.33290556	61.43834384	5.228750601	62.76480412	8.510565673	54.25423845	NaN	NaN	NaN	NaN	6629	NaN	NaN	NaN	NaN	96	96	3.935499907	NaN	44	NaN	NaN	100.579	408575008	348287488	NaN	7326.666	0.422302475	NaN	NaN	200000	27400	1
NaN	NaN	NaN	NaN	12040000000	NaN	NaN	NaN	NaN	8522000000	NaN	NaN	1611257	19.27340909	6.042363436	27.954	3.022	20.9	73.02	71.56690244	70.183	4.724	NaN	NaN	32.09399115	66.68708549	1.218923351	49.9540717	1.827825195	48.12624651	NaN	NaN	NaN	NaN	24962	NaN	NaN	NaN	NaN	82	74	NaN	NaN	24.7	NaN	NaN	96.336	NaN	NaN	NaN	48367.73	-372.8305305	NaN	NaN	NaN	83600	3
NaN	33.47412883	NaN	NaN	9135000000	31.62533704	59.63901405	1.524761511	77.81002652	5322000000	3.783935401	9.388848062	31729130	11.59398032	1.458244281	22.031	8.333	26.2	74.711	71.10053659	67.662	3.037	NaN	NaN	30.93603575	60.33110268	8.732861569	65.75198456	14.47489136	51.2770932	6	NaN	NaN	NaN	19027	NaN	NaN	NaN	NaN	80	87	NaN	NaN	29.7	NaN	NaN	105.401	7839772666	12029545361	342.9551102	121473.042	3.349672388	3832840000	NaN	-5127000000	2736690	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3510439	123.2597963	1.532431958	22.451	7.002	47.8	70.867	68.19385366	65.648	2.566	NaN	NaN	30.33764998	64.3794795	5.282870523	55.32899735	8.205829815	47.12316754	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.190400124	NaN	79.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28480	1
NaN	NaN	NaN	NaN	368000000	NaN	NaN	NaN	NaN	339000000	NaN	NaN	44048	220.24	3.704726859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200	2
NaN	77.64182776	NaN	NaN	17000000	NaN	NaN	NaN	NaN	250000000	NaN	NaN	62669	142.4295455	-1.33304663	14.5	4.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98	95	NaN	NaN	NaN	NaN	NaN	NaN	305800006.5	266674057.5	NaN	286.026	NaN	NaN	NaN	-31625925.93	440	2
