Intentional homicides (per 100,000 people)	Travel services (% of commercial service exports)	High-technology exports (% of manufactured exports)	High-technology exports (current US$)	Merchandise exports (current US$)	Manufactures exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	Manufactures imports (% of merchandise imports)	Merchandise imports (current US$)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	Population, total	Population density (people per sq. km of land area)	Population growth (annual %)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Unemployment, total (% of total labor force)	Unemployment, youth total (% of total labor force ages 15-24)	Labor force, total	Labor force participation rate, total (% of total population ages 15-64)	GDP per person employed (constant 1990 PPP $)	Employers, total (% of employment)	Employment to population ratio, ages 15-24, total (%)	Poverty headcount ratio at $2 a day (PPP) (% of population)	Pregnant women receiving prenatal care (%)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Public spending on education, total (% of GDP)	Ratio of female to male primary enrollment (%)	Imports of goods and services (current US$)	Exports of goods and services (current US$)	Inflation, consumer prices (annual %)	CO2 emissions (kt)	Energy imports, net (% of energy use)	Undisbursed external debt, total (UND, current US$)	Total amount of debt rescheduled (current US$)	Net income (BoP, current US$)	Land area (sq. km)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60108	333.9333333	-0.428308837	22.454	6.226	NaN	74.43	71.66978049	69.041	2.425	NaN	NaN	28.292407	65.16104346	6.546549544	53.46592795	10.04672301	43.41920494	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	180	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34432	73.25957447	3.405979711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	470	3
NaN	NaN	NaN	NaN	321000000	NaN	NaN	NaN	NaN	395000000	NaN	NaN	14557071	22.31892277	2.530707822	51.545	25.402	178.8	38.283	38.49658537	38.7	7.711	NaN	NaN	45.28924463	52.40140489	2.309350479	90.83457823	4.407039247	86.42753898	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	268	NaN	NaN	21.187	457777789.2	357777772.1	NaN	2159.863	NaN	NaN	NaN	NaN	652230	0
NaN	NaN	NaN	NaN	968000000	8.984063948	23.27657671	65.73949948	NaN	885000000	NaN	NaN	7185188	5.763365685	2.754284531	52.35	24.639	NaN	41.355	39.81943902	38.357	7.194	NaN	NaN	46.35010246	50.94817282	2.701724715	96.27789272	5.302888337	90.97500438	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5412.492	-130.4909397	NaN	NaN	NaN	1246700	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2562121	93.50806569	2.133944154	28.139	6.539	NaN	71.383	69.09963415	66.925	4.17	NaN	NaN	37.2943308	57.74353622	4.96213298	73.17955661	8.593399894	64.58615672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.157	NaN	NaN	NaN	6494.257	-35.15167491	NaN	NaN	NaN	27400	1
NaN	NaN	NaN	NaN	9125790000	3.61037441	1.213612667	94.91209647	82.15711096	5370590000	11.00698337	3.819878793	828378	9.908827751	13.37338742	29.286	4.503	39.6	69.66	67.78536585	66	5.624	NaN	NaN	27.48350087	70.97287829	1.543620839	40.89889322	2.174944678	38.72394854	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.2	NaN	NaN	97.637	NaN	NaN	NaN	44814.407	-1884.277212	NaN	NaN	NaN	83600	3
NaN	30.89700997	NaN	NaN	6399500000	26.14440969	65.44610252	0.807152517	72.79252269	3833700000	5.659600409	12.43964253	27303001	9.976650991	1.490093155	25.234	8.813	43.6	72.357	68.8812439	65.571	3.391	NaN	NaN	29.9382328	62.22110529	7.840661911	60.7171707	12.60128999	48.11588071	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.2	NaN	1.93555	100.873	3319672098	4999999950	175.514724	102639.33	12.79243608	2202275000	NaN	-668000000	2736690	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2991954	105.0545646	1.813600327	22.68	5.433	63.3	73.768	70.576	67.536	2.479	NaN	NaN	31.59567119	62.41756633	5.986762484	60.2113089	9.591470536	50.61983836	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	77.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28480	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31139	155.695	1.432869991	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200	2
NaN	100	NaN	NaN	38000000	76.60459738	17.45072315	0.015360385	62.01333688	31000000	33.33115108	1.49969602	70533	160.3022727	0.329466194	18.3	5.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.289	43451851.08	46111110.3	NaN	491.378	NaN	NaN	NaN	-400000	440	2
NaN	23.89336405	NaN	NaN	14415500000	21.45290475	29.49195371	14.1659178	79.36227346	15566700000	5.867007851	9.089906154	14358000	1.868971532	1.162885185	15.6	7.5	12.1	77.28	73.67414634	70.24	1.949	NaN	NaN	26.14501204	64.58588281	9.26910515	54.83259753	14.35159627	40.48100126	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.10000038	NaN	14.5	NaN	5.95394	99.093	17304308595	16123392736	7.923673998	202015.03	-22.79569573	NaN	NaN	-1917857170	7682300	3
NaN	75.66533521	NaN	NaN	12175000000	83.7395475	4.031327305	1.568401568	73.15967493	16018500000	7.711685682	10.73336907	7562305	91.71989084	-0.080961042	11.4	12.6	15.8	75.66	71.96707317	68.45	1.621	NaN	NaN	21.63832336	63.02635779	15.33531885	58.66377737	24.33159616	34.33218121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.5	NaN	5.2015	99.099	19338082062	18575049749	3.579047168	57483.892	64.22187725	NaN	NaN	-486057509.5	82450	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5976760	71.82742459	1.590697229	25.065	6.783	NaN	68.682	64.8287561	61.159	3.539	NaN	NaN	36.50729879	57.9593197	5.533381509	72.53480634	9.547009071	62.98779727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83210	2
NaN	NaN	NaN	NaN	69377800	NaN	NaN	NaN	NaN	98288900	NaN	NaN	3910124	152.2633956	2.355036666	44.674	18.653	122.9	47.741	46.05382927	44.447	6.753	NaN	NaN	45.20110759	51.33524001	3.463652404	94.79795942	6.747124204	88.05083521	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	207	NaN	NaN	63.238	123426666.7	71443333.33	23.89562065	102.676	NaN	102327000	NaN	NaN	25680	0
NaN	NaN	NaN	NaN	44947000000	75.67191063	NaN	NaN	NaN	48609000000	NaN	NaN	9839534	NaN	0.09329996	12.5	11.7	13.4	76.131	72.73770732	69.506	1.691	NaN	NaN	21.26462209	64.40977715	14.32560076	55.25593229	22.24134502	33.01458727	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16	NaN	5.50333	99.021	50828343502	49760014930	4.470594648	135855.016	82.57723677	NaN	NaN	NaN	NaN	3
NaN	13.15156375	NaN	NaN	27209600	NaN	NaN	NaN	NaN	311080000	NaN	NaN	3427274	30.98240824	2.531007218	47.908	21.32	131.7	47.732	44.45753659	41.339	7.004	NaN	NaN	44.88199361	50.94640869	4.171597702	96.28468929	8.188207588	88.0964817	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	223	NaN	NaN	45.11	320894916.2	153502991.8	NaN	363.033	10.90723272	203423000	NaN	252597.0296	110620	0
NaN	7.530363111	NaN	NaN	548465000	61.46926678	13.68297201	1.210929296	50.31819461	1512600000	20.58624902	14.54774252	76066342	584.3615426	2.868031475	44.631	15.784	139.1	51.734	52.12787805	52.503	6.604	NaN	NaN	45.44334996	50.98798625	3.568663786	96.12463122	6.999028689	89.12560253	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	207.5	NaN	NaN	61.044	2058853985	739133550.6	NaN	6017.547	18.49855792	1909599000	NaN	-26977556.79	130170	0
NaN	NaN	NaN	NaN	7478000000	NaN	NaN	NaN	NaN	7651000000	NaN	NaN	8814032	79.67126458	0.111804755	15.5	10.5	26.7	73.72	71.18463415	68.77	2.15	NaN	NaN	22.12112713	66.20794963	11.67092324	51.03926426	17.62767659	33.41158766	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31	NaN	NaN	99.437	NaN	NaN	NaN	81411.067	75.24369025	NaN	NaN	NaN	110630	2
NaN	36.01147776	NaN	NaN	1893120000	9.47479499	1.237192458	79.65928143	47.12684036	2045100000	8.058830415	43.27734505	321751	466.3057971	6.481226923	32.906	4.721	31.1	70.74	68.99904878	67.341	5.157	NaN	NaN	35.91195594	61.91926601	2.16877805	61.50062241	3.502590049	57.99803237	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38.1	NaN	NaN	81.008	NaN	NaN	15.78553759	7766.706	-361.3799575	NaN	NaN	-387143398.9	690	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3844329	75.379	0.829898273	19.383	6.508	NaN	72.24	69.77173171	67.421	2.202	NaN	NaN	28.59813954	65.44295009	5.958910363	52.80484737	9.105503885	43.69934348	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51000	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9525000	46.95819365	0.653046307	15.928	9.1	NaN	75.466	70.50436585	65.779	2.06	NaN	NaN	23.66473423	65.72612102	10.60914475	52.14651107	16.14144359	36.00506749	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	202840	2
NaN	NaN	NaN	NaN	79782500	29.8870366	65.14155014	2.116395776	60.80084797	106496000	26.89049142	11.18016049	138337.872	6.06479053	2.682175148	43.202	6.786	58.7	70.685	69.4454878	68.265	6.109	NaN	NaN	46.98644151	48.44315087	4.570407619	106.4275304	9.434579578	96.99295083	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.2	NaN	NaN	NaN	NaN	NaN	NaN	216.353	NaN	19569000	NaN	NaN	22810	1
NaN	NaN	NaN	NaN	NaN	49.71153651	0.439038822	39.78249927	59.41696217	NaN	25.34687978	12.28607153	53600	1072	0.373832187	13	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.303	NaN	NaN	NaN	425.372	NaN	NaN	NaN	NaN	50	3
NaN	52.23880597	NaN	NaN	628800000	1.60968214	6.137982756	16.67094138	82.0259046	807800000	13.84455807	1.4148656	5114274	4.72101357	2.35636079	40.746	15.898	113.6	52.518	50.40878049	48.4	5.761	NaN	NaN	42.61567578	53.77730129	3.607022934	85.95206082	6.707333479	79.24472734	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	173.8	NaN	NaN	85.661	1131534233	849175412.3	10.35567228	5027.457	-114.6375166	835765000	NaN	-113900000	1083300	1
NaN	5.24691358	NaN	NaN	12659000000	33.27544698	51.96767906	1.551282706	50.70739212	15054000000	10.11744583	32.87646221	116138507	13.72889713	2.349087719	32.414	8.952	77.7	64.205	61.69217073	59.299	4.256	NaN	NaN	38.76122016	57.28768114	3.951098699	74.55759774	6.896942974	67.66065476	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.9	NaN	NaN	NaN	15791774016	13404621906	NaN	176925.416	45.6219181	12117237000	NaN	-4226000000	8459420	2
NaN	78.90091116	NaN	NaN	130584000	59.39092517	39.74889345	0.544779681	58.70547915	314349000	22.95166385	11.59998976	247589	575.7883721	0.186369231	17.96	8.66	26.4	74.021	71.375	68.855	2.121	NaN	NaN	30.04604386	59.47574619	10.47820994	68.13576357	17.6176183	50.51814527	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	30.4	NaN	NaN	97.29	377914749.2	321085851	9.482382591	630.724	NaN	NaN	NaN	5550000	430	3
NaN	NaN	NaN	NaN	1845000000	0.005013112	0.013456269	99.93403162	74.06273011	281000000	19.29048615	2.251640066	176488	33.48918406	3.824888147	33.902	5.118	NaN	71.987	70.06114634	68.227	4.645	NaN	NaN	38.95392321	57.78069897	3.265377816	73.0681729	5.651329725	67.41684318	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.11424	97.509	281002638.5	1844766931	NaN	9541.534	-1817.695543	NaN	NaN	NaN	5270	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	404375	8.603723404	3.432076227	45.451	19.325	143.6	46.115	45.086	44.106	6.64	NaN	NaN	41.90297668	55.41264711	2.684376213	80.4642175	4.844338528	75.61987897	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	214.7	NaN	NaN	39.572	NaN	NaN	NaN	11.001	NaN	NaN	NaN	NaN	47000	1
NaN	28.10457516	NaN	NaN	232656000	NaN	NaN	NaN	NaN	370787000	NaN	NaN	923234	1.6290544	3.923085148	44.878	9.76	63.9	61.446	59.38902439	57.43	6.35	NaN	NaN	46.66086821	50.75917915	2.579952645	97.00870204	5.082731218	91.92597082	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	86.9	NaN	5.95214	123.694	404649754	307427532.9	9.04398827	832.409	NaN	132674000	NaN	-9539254.042	566730	2
NaN	15.62010784	NaN	NaN	71711000	37.60888849	32.48936841	NaN	79.43922703	56612800	16.89367864	1.585525649	2158547	3.464873672	2.358562861	42.26	18.012	117	50.022	47.81853659	45.72	5.953	NaN	NaN	42.09822626	53.75472482	4.147048918	86.0301589	7.714761691	78.3153972	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	180.5	NaN	3.17053	53.692	206900001.1	143000000.8	NaN	146.68	NaN	53525000	NaN	1156628.504	622980	0
NaN	37.36861665	NaN	NaN	48431500000	53.98836367	11.4299138	10.92413825	76.96232892	46277600000	8.107673298	9.041468035	24036000	2.643203779	1.003520715	15.2	7.1	11.8	78.32	74.5297561	70.92	1.768	NaN	NaN	23.91617292	67.0638976	9.019929477	49.11152435	13.44975434	35.66177001	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.900000095	NaN	14.2	NaN	7.22861	99.8	52970982730	53770491803	8.912840709	405826.89	-5.442498549	NaN	NaN	-8550174546	9093510	3
NaN	45.34776307	NaN	NaN	23560100000	91.22903541	3.68806665	0.089618584	75.00092248	23804000000	10.29621528	8.08778242	6281738	157.04345	0.00897881	11.2	9.1	9.3	78.66	75.18731707	71.88	1.493	NaN	NaN	21.14587043	65.52000105	13.33412852	52.62515018	20.35123368	32.2739165	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.5	NaN	NaN	101.136	28039811668	31489496952	1.055814414	42218.171	71.72771254	NaN	NaN	3254988047	40000	3
