Intentional homicides (per 100,000 people)	Travel services (% of commercial service exports)	High-technology exports (% of manufactured exports)	High-technology exports (current US$)	Merchandise exports (current US$)	Manufactures exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	Manufactures imports (% of merchandise imports)	Merchandise imports (current US$)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	Population, total	Population density (people per sq. km of land area)	Population growth (annual %)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Unemployment, total (% of total labor force)	Unemployment, youth total (% of total labor force ages 15-24)	Labor force, total	Labor force participation rate, total (% of total population ages 15-64)	GDP per person employed (constant 1990 PPP $)	Employers, total (% of employment)	Employment to population ratio, ages 15-24, total (%)	Poverty headcount ratio at $2 a day (PPP) (% of population)	Pregnant women receiving prenatal care (%)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Public spending on education, total (% of GDP)	Ratio of female to male primary enrollment (%)	Imports of goods and services (current US$)	Exports of goods and services (current US$)	Inflation, consumer prices (annual %)	CO2 emissions (kt)	Energy imports, net (% of energy use)	Undisbursed external debt, total (UND, current US$)	Total amount of debt rescheduled (current US$)	Net income (BoP, current US$)	Land area (sq. km)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60524	336.2444444	0.473659818	22.561	5.892	NaN	73.204	70.46529268	67.857	2.552	NaN	NaN	32.734122	61.74740599	5.518472011	61.95012309	8.937172214	53.01295087	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	180	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29688	63.16595745	4.586901048	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	470	3
NaN	NaN	NaN	NaN	230000000	10.57057627	43.91323905	13.97424492	56.64935925	243000000	22.88171419	9.325607606	13223928	20.27494595	2.388053299	51.884	27.148	191.9	36.57	36.81073171	37.04	7.693	NaN	NaN	44.81255833	52.8617785	2.325663171	89.17259849	4.399517453	84.77308104	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	287.2	NaN	NaN	18.197	320000000	302222222.2	NaN	1917.841	NaN	NaN	NaN	NaN	652230	0
NaN	NaN	NaN	NaN	1202000000	9.436267986	27.629101	51.64151368	76.92974581	614000000	14.37385396	4.493265564	6474796	5.193547766	2.385080148	51.884	25.738	NaN	40.205	38.61565854	37.102	7.192	NaN	NaN	46.1746986	51.13383478	2.69146662	95.5652269	5.263572803	90.3016541	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4873.443	-187.0753669	NaN	NaN	NaN	1246700	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2347607	85.67908759	2.284756286	30.345	7.619	NaN	70.014	68.07226829	66.223	4.507	NaN	NaN	40.60747817	54.96644029	4.426081537	81.92919073	8.052334322	73.87685641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4345.395	-49.70044448	NaN	NaN	NaN	27400	1
NaN	NaN	NaN	NaN	6413580000	NaN	NaN	NaN	NaN	1704960000	NaN	NaN	453530	5.425	16.86296422	30.957	5.733	51.3	67.636	65.56263415	63.588	6.146	NaN	NaN	28.75245298	69.03556545	2.211981567	44.85287307	3.204118851	41.64875422	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.6	NaN	NaN	78.71	NaN	NaN	NaN	31327.181	-6106.884218	NaN	NaN	NaN	83600	3
NaN	NaN	NaN	NaN	3930700000	24.35476799	70.51725335	0.314088278	64.00292999	3634900000	4.759167861	14.53016657	25654154	9.374154179	1.698003684	24.301	8.954	48.9	71.146	67.71326829	64.444	3.264	NaN	NaN	29.06816183	63.55460406	7.377234112	57.34501296	11.60770997	45.73730299	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.1	NaN	1.92352	99.808	4555555490	4999999839	23.47488987	95569.354	14.95263686	1666564000	NaN	NaN	2736690	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2766495	97.13816713	2.226339053	22.031	5.236	NaN	73.633	70.52397561	67.563	2.846	NaN	NaN	35.32835085	58.91186383	5.759785317	69.74509631	9.776953133	59.96814317	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28480	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29453	147.265	1.608632128	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200	2
NaN	NaN	NaN	NaN	32000000	2.161373509	1.622593156	95.58053694	23.02841924	70000000	17.93352589	57.18799523	68848	156.4727273	0.97205757	NaN	7.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	127.876	NaN	NaN	NaN	429.039	NaN	NaN	NaN	NaN	440	2
