Intentional homicides (per 100,000 people)	Travel services (% of commercial service exports)	High-technology exports (% of manufactured exports)	High-technology exports (current US$)	Merchandise exports (current US$)	Manufactures exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	Manufactures imports (% of merchandise imports)	Merchandise imports (current US$)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	Population, total	Population density (people per sq. km of land area)	Population growth (annual %)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Unemployment, total (% of total labor force)	Unemployment, youth total (% of total labor force ages 15-24)	Labor force, total	Labor force participation rate, total (% of total population ages 15-64)	GDP per person employed (constant 1990 PPP $)	Employers, total (% of employment)	Employment to population ratio, ages 15-24, total (%)	Poverty headcount ratio at $2 a day (PPP) (% of population)	Pregnant women receiving prenatal care (%)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Public spending on education, total (% of GDP)	Ratio of female to male primary enrollment (%)	Imports of goods and services (current US$)	Exports of goods and services (current US$)	Inflation, consumer prices (annual %)	CO2 emissions (kt)	Energy imports, net (% of energy use)	Undisbursed external debt, total (UND, current US$)	Total amount of debt rescheduled (current US$)	Net income (BoP, current US$)	Land area (sq. km)	Income
NaN	80.91331223	3.032803045	866862	135896000	20.7805748	75.24047851	1.45406E-06	68.49498144	1090441000	28.90065516	0.021489511	106612	592.2888889	1.02387077	11.648	7.309	NaN	77.287	74.83153659	72.493	1.713	87.0112495	78.3776496	19.6465755	71.083535	9.269889508	40.679554	13.04083922	27.63871479	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.91765	96.113	NaN	NaN	-2.136080554	NaN	NaN	NaN	NaN	-64860335.2	180	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83677	178.0361702	1.323295742	9.9	3.2	2.9	NaN	NaN	NaN	1.19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99	98	2.5	NaN	3.6	1	3.09485	98.776	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	470	3
NaN	NaN	NaN	NaN	403441000	18.04329652	54.67931958	NaN	16.66168867	3336435000	18.29361615	23.62490556	33438329	51.26769544	2.831301863	44.218	16.27	76.2	48.052	47.89885366	47.753	6.422	36.0419005	33.990958	46.77779494	50.99598872	2.226216338	96.09385466	4.365473431	91.72838123	NaN	NaN	8720341.854	50	NaN	NaN	29.60000038	NaN	NaN	63	60	0.4	NaN	106.7	37.3	NaN	67.194	8516251660	2420181182	-8.2854628	NaN	NaN	386763000	1332000	NaN	652230	0
NaN	85.70711194	NaN	NaN	40827900000	NaN	NaN	NaN	NaN	22659900000	NaN	NaN	18555115	14.88338413	2.826684433	42.355	14.707	100.1	51.72	50.25102439	48.852	5.584	44.2500929	37.4815381	46.86048025	50.66314598	2.476373765	97.38213658	4.887919448	92.49421713	NaN	NaN	6842908.856	70.5	2653	NaN	45.5	NaN	NaN	73	77	NaN	2	164.5	44.3	NaN	84.977	41829270706	41451067529	13.73145114	NaN	-748.6820701	15503145000	0	-6823141271	1246700	2
NaN	75.70993197	0.764653339	5832068	1090600000	70.14539529	5.624207625	11.60241446	67.61002648	4550030000	17.07336219	11.79780276	3192723	116.5227372	0.35537492	12.802	6.063	14.1	79.97	76.76109756	73.705	1.558	90.2632794	82.0960107	23.35006826	67.21306546	9.436866274	48.78059692	14.04022597	34.74037094	13.80000019	27.2	1478120.917	66.5	17787	NaN	37.79999924	NaN	97.3	98	97	2.8	NaN	15.8	7.8	NaN	99.247	6532623836	3443776095	2.280502222	NaN	26.98364446	1192813000	40694000	-192293257.4	27400	1
NaN	NaN	NaN	23373326	1.85E+11	NaN	NaN	NaN	NaN	1.5E+11	NaN	NaN	6938815	83.00017943	11.15140629	13.472	1.337	6.3	77.342	76.39956098	75.502	1.787	88.6025659	86.0288441	17.25964934	82.29443911	0.445911553	21.51489345	0.541848948	20.9730445	NaN	NaN	4524065.667	79.09999847	20403	NaN	43	NaN	NaN	93	93	NaN	NaN	7.4	4.4	0.99358	NaN	1.8714E+11	2.01959E+11	1.559800981	NaN	-183.2673606	NaN	NaN	NaN	83600	3
5.5	36.55965888	8.686933066	1546820304	55672100000	32.59356	50.48941422	10.34150974	85.81279217	38785800000	3.769389313	6.356288048	40062470	14.63902378	0.872871186	17.279	7.712	13.4	79.324	75.46409756	71.788	2.226	87.2830698	74.606628	25.1291377	64.3821428	10.4887195	55.32257184	16.29134889	39.03122295	8.600000381	21.2	18357011.68	68.69999695	27478	4.5	33.79999924	3.44	NaN	87	99	NaN	0.5	15	8	6.02585	98.549	49140303251	65565563817	6.282774315	NaN	-8.848492781	7510419000	0	-8955492615	2736690	2
2.7	57.59942493	2.181898774	3937441	710200000	32.52841371	19.90463158	0.095418931	59.48205898	3321100000	19.30406091	15.79163878	3084979	108.3208919	0.191172573	15.302	8.79	17.2	76.962	73.64553659	70.487	1.735	84.8980038	72.5282108	20.28459207	68.36877552	11.34663241	46.2656004	16.59622001	29.66938038	NaN	NaN	1421419.659	63.40000153	26270	NaN	17.60000038	NaN	NaN	93	96	3.7	0.1	19.2	12	3.84079	103.226	3719027197	1338234420	3.406766827	NaN	68.28651787	419210000	0	165999617.5	28480	1
NaN	NaN	NaN	NaN	470000000	NaN	NaN	NaN	NaN	600000000	NaN	NaN	67312	336.56	1.640129929	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200	2
NaN	61.11921985	NaN	NaN	50810464.81	45.55053526	48.30510232	0	67.36086751	533866666.7	28.47341067	0.839151414	87802	199.55	1.054491318	NaN	NaN	7.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99	99	2.2	NaN	8.6	4.7	2.4591	94.775	756372947.8	537189324.1	-0.550159996	NaN	NaN	NaN	NaN	-50885714.07	440	2
