Intentional homicides (per 100,000 people)	Travel services (% of commercial service exports)	High-technology exports (% of manufactured exports)	High-technology exports (current US$)	Merchandise exports (current US$)	Manufactures exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	Manufactures imports (% of merchandise imports)	Merchandise imports (current US$)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	Population, total	Population density (people per sq. km of land area)	Population growth (annual %)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Unemployment, total (% of total labor force)	Unemployment, youth total (% of total labor force ages 15-24)	Labor force, total	Labor force participation rate, total (% of total population ages 15-64)	GDP per person employed (constant 1990 PPP $)	Employers, total (% of employment)	Employment to population ratio, ages 15-24, total (%)	Poverty headcount ratio at $2 a day (PPP) (% of population)	Pregnant women receiving prenatal care (%)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Public spending on education, total (% of GDP)	Ratio of female to male primary enrollment (%)	Imports of goods and services (current US$)	Exports of goods and services (current US$)	Inflation, consumer prices (annual %)	CO2 emissions (kt)	Energy imports, net (% of energy use)	Undisbursed external debt, total (UND, current US$)	Total amount of debt rescheduled (current US$)	Net income (BoP, current US$)	Land area (sq. km)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62208	345.6	1.393733863	22.187	6.605	NaN	75.305	72.84902439	70.51	2.353	NaN	NaN	24.93610044	67.9023261	7.161573456	47.27035985	10.546875	36.72348485	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	180	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43636	92.84255319	5.284319197	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.939	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	470	3
NaN	26.66666667	NaN	NaN	729000000	NaN	NaN	NaN	NaN	1064000000	NaN	NaN	16392077	25.13235668	2.317679297	51.793	23.894	162.6	39.971	40.1492439	40.319	7.807	NaN	NaN	45.83784522	51.87131515	2.290839634	92.78477848	4.416390114	88.36838836	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	9	NaN	NaN	243.8	NaN	NaN	NaN	NaN	NaN	NaN	2522.896	NaN	NaN	NaN	6300000	652230	0
NaN	NaN	NaN	NaN	1822000000	NaN	NaN	NaN	NaN	983000000	NaN	NaN	8491682	6.811327505	3.59566161	52.811	24.081	162.1	42.114	40.52978049	39.021	7.205	NaN	NaN	46.74518034	50.5781421	2.676677559	97.71386582	5.292162677	92.42170314	NaN	NaN	NaN	NaN	1533	NaN	NaN	NaN	NaN	6	26	NaN	NaN	273.8	NaN	NaN	82.89	NaN	NaN	NaN	5115.465	-177.1627123	NaN	NaN	NaN	1246700	2
NaN	3.846153846	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2831682	103.3460584	1.92865161	26.617	5.949	44.3	73.344	70.71541463	68.212	3.904	NaN	NaN	34.96110614	59.74910309	5.289790764	67.36652907	8.853339197	58.51318987	NaN	NaN	NaN	NaN	6767	NaN	NaN	NaN	NaN	95	96	4.086200237	NaN	52.1	NaN	NaN	101.618	NaN	NaN	NaN	7631.027	0.855453769	NaN	NaN	6600000	27400	1
NaN	NaN	NaN	NaN	16900000000	30.23868406	5.869115893	21.30976295	77.39814263	8294000000	12.25165425	6.955181559	1217021	14.55766746	5.028525713	30.29	3.618	28.5	71.527	69.87568293	68.303	5.209	NaN	NaN	30.81526388	67.84153385	1.343202272	47.40232764	1.979911414	45.42241623	NaN	NaN	NaN	NaN	39169	NaN	NaN	NaN	NaN	50	51	NaN	NaN	34.6	NaN	NaN	98.798	NaN	NaN	NaN	35342.546	-614.563136	NaN	NaN	NaN	83600	3
NaN	32.24199288	NaN	NaN	7836000000	16.34404092	74.96870549	4.265832302	75.78587595	4504000000	3.86375449	10.28828879	29447973	10.76043432	1.529269816	23.174	8.468	31.8	73.756	70.21212195	66.837	3.163	NaN	NaN	30.85315584	60.84705049	8.299793673	64.34650356	13.6404207	50.70608285	4.199999809	NaN	NaN	NaN	20068	NaN	NaN	NaN	NaN	61	67	NaN	NaN	36.4	NaN	1.6175	NaN	6068376037	9515669467	343.8106763	105213.564	-0.470961659	1992831000	NaN	-5399000000	2736690	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3239212	113.7363764	1.440769912	23.595	5.688	52.6	73.235	70.29192683	67.489	2.406	NaN	NaN	30.00306865	64.36469734	5.632234012	55.36467059	8.75050182	46.61416877	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.548100471	NaN	63.09999	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28480	1
NaN	NaN	NaN	NaN	177000000	NaN	NaN	NaN	NaN	227000000	NaN	NaN	36203	181.015	3.961081216	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200	2
NaN	94.10828025	NaN	NaN	20000000	NaN	NaN	NaN	NaN	109000000	NaN	NaN	67792	154.0727273	-1.480315476	15	5.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99	48	NaN	NaN	NaN	NaN	NaN	NaN	117211115	94029627.97	NaN	84.341	NaN	NaN	NaN	-1000000	440	2
