Intentional homicides (per 100,000 people)	Travel services (% of commercial service exports)	High-technology exports (% of manufactured exports)	High-technology exports (current US$)	Merchandise exports (current US$)	Manufactures exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	Manufactures imports (% of merchandise imports)	Merchandise imports (current US$)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	Population, total	Population density (people per sq. km of land area)	Population growth (annual %)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Unemployment, total (% of total labor force)	Unemployment, youth total (% of total labor force ages 15-24)	Labor force, total	Labor force participation rate, total (% of total population ages 15-64)	GDP per person employed (constant 1990 PPP $)	Employers, total (% of employment)	Employment to population ratio, ages 15-24, total (%)	Poverty headcount ratio at $2 a day (PPP) (% of population)	Pregnant women receiving prenatal care (%)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Public spending on education, total (% of GDP)	Ratio of female to male primary enrollment (%)	Imports of goods and services (current US$)	Exports of goods and services (current US$)	Inflation, consumer prices (annual %)	CO2 emissions (kt)	Energy imports, net (% of energy use)	Undisbursed external debt, total (UND, current US$)	Total amount of debt rescheduled (current US$)	Net income (BoP, current US$)	Land area (sq. km)	Income
NaN	81.81838593	NaN	8920213	173000000	NaN	NaN	NaN	NaN	835000000	NaN	NaN	90271	501.5055556	2.046928719	14.2	6.907	NaN	76.257	73.72009756	71.304	1.874	85.5998085	76.1619635	23.23559061	69.30132601	7.463083382	44.29738327	10.76903403	33.52834924	6.900000095	NaN	NaN	NaN	NaN	5.900000095	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.75221	96.651	NaN	NaN	4.044021312	2233.203	NaN	NaN	NaN	-24033519.55	180	3
NaN	NaN	10.92196833	4113229	NaN	85.11880186	8.392797042	0.136743307	74.10031121	NaN	19.98601203	4.439053367	64634	137.5191489	1.009190723	11.3	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98	97	3.200000048	NaN	5	1.5	NaN	NaN	NaN	NaN	NaN	524.381	NaN	NaN	NaN	NaN	470	3
NaN	NaN	NaN	NaN	137310000	NaN	NaN	NaN	NaN	1176000000	NaN	NaN	25950816	39.78782945	2.917139198	50.647	19.255	94.9	45.362	45.29285366	45.227	7.73	32.792408	30.835205	48.10763351	49.68900481	2.203361681	101.2517666	4.434304309	96.81746232	NaN	NaN	6517782.598	49.5	NaN	NaN	30.39999962	NaN	36.9	24	27	NaN	NaN	136.2	42.6	NaN	0	NaN	NaN	NaN	781.071	NaN	NaN	NaN	NaN	652230	0
NaN	NaN	NaN	NaN	7921000000	NaN	NaN	NaN	NaN	3040000000	NaN	NaN	13926373	11.17058875	3.023765511	50.345	19.354	118.7	46.615	45.20492683	43.862	6.826	39.2640765	33.0416305	47.65403742	49.8774663	2.468496284	100.4913389	4.949121251	95.54221766	NaN	NaN	5197694.644	72.5	1310	NaN	46.79999924	70.21	NaN	31	41	NaN	1.9	199.3	48.5	2.60753	NaN	5735659317	8181963886	324.9968716	9541.534	-487.9739241	478110000	0	-1680860000	1246700	2
8.952242553	90.81156716	0.697374879	1489031	257930000	81.65935988	6.616207793	1.851368789	66.66896758	1090000000	21.83442721	8.925664434	3071856	112.1115328	-0.028285086	16.92	6.025	23.3	77.358	74.23873171	71.268	2.241	87.993533	78.0844975	29.88720825	62.67491054	7.437881203	59.55347863	11.8673982	47.68608044	NaN	NaN	1331026.136	67.09999847	8776	NaN	38.5	NaN	95.3	97	95	3.259999991	NaN	26.3	12	NaN	98.069	1382117619	705460100	0.050018136	3028.942	44.1747298	464306000	28380000	106600000	27400	1
NaN	NaN	0.708440058	5003130	49835262000	2.306913397	0.572275991	93.84780798	84.94465431	35008850000	11.10554624	0.771782118	3033491	36.28577751	4.602526581	16.927	1.915	10.6	75.691	74.61590244	73.592	2.645	87.8156895	83.7354665	25.59895513	73.37724094	1.023803928	36.28203884	1.395260866	34.88677797	2.299999952	NaN	1717538.155	77	22536	NaN	45.40000153	NaN	NaN	94	94	NaN	NaN	12.3	7.2	1.33984	99.074	NaN	NaN	NaN	112562.232	-355.0413718	NaN	NaN	NaN	83600	3
7.183723443	60.80639221	9.351856306	797074012	26341000000	32.47556393	43.77850973	17.73846718	86.98350003	25154000000	5.009674355	3.760540723	36930709	13.4946629	1.060771569	18.754	7.785	18.1	77.52	73.71797561	70.097	2.477	85.236927	71.865662	27.91279203	62.22567511	9.861532851	60.7053677	15.84801263	44.85735508	15	25.9	15414321.95	64.69999695	24612	4.800000191	31.5	10.53	NaN	83	91	4.1	0.4	20.3	11.2	4.5976	98.406	32738199552	30936899584	-0.935939412	141076.824	-34.96222144	5660744000	0	-7547770369	2736690	2
2.958293266	28.9826484	4.726627319	3966685	294000000	43.12972464	14.13781528	10.60785446	51.71256842	882000000	25.33045068	21.07787287	3076098	108.009059	-0.471110158	13.338	8.417	26.3	74.373	70.98943902	67.767	1.688	81.181232	67.0513995	25.860522	64.145063	9.994415002	55.89664321	15.5809575	40.31568571	NaN	NaN	1470988.935	71.5	10869	NaN	28.39999962	NaN	92.4	93	92	5.46999979	0.1	29.8	16.9	2.77273	NaN	966167152.4	446833330.7	-0.790883769	3465.315	68.45468572	273960000	14354000	52900000	28480	1
NaN	NaN	NaN	NaN	346000000	NaN	NaN	NaN	NaN	506000000	NaN	NaN	57625	288.125	1.67644706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.099999905	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200	2
NaN	71.62939121	0.092391158	1813	52000000	64.93783397	27.14536603	0	58.72490596	407000000	21.67188985	16.321115	77656	176.4909091	2.175286402	21.1	6.2	12.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.9	95	95	NaN	NaN	14.8	7.8	NaN	NaN	498463398.6	466857019.9	0.771779797	344.698	NaN	NaN	NaN	-44518888.89	440	2
