Intentional homicides (per 100,000 people)	Travel services (% of commercial service exports)	High-technology exports (% of manufactured exports)	High-technology exports (current US$)	Merchandise exports (current US$)	Manufactures exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	Manufactures imports (% of merchandise imports)	Merchandise imports (current US$)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	Population, total	Population density (people per sq. km of land area)	Population growth (annual %)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Unemployment, total (% of total labor force)	Unemployment, youth total (% of total labor force ages 15-24)	Labor force, total	Labor force participation rate, total (% of total population ages 15-64)	GDP per person employed (constant 1990 PPP $)	Employers, total (% of employment)	Employment to population ratio, ages 15-24, total (%)	Poverty headcount ratio at $2 a day (PPP) (% of population)	Pregnant women receiving prenatal care (%)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Public spending on education, total (% of GDP)	Ratio of female to male primary enrollment (%)	Imports of goods and services (current US$)	Exports of goods and services (current US$)	Inflation, consumer prices (annual %)	CO2 emissions (kt)	Energy imports, net (% of energy use)	Undisbursed external debt, total (UND, current US$)	Total amount of debt rescheduled (current US$)	Net income (BoP, current US$)	Land area (sq. km)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	60099	333.8833333	0.198202915	22.472	6.369	NaN	74.839	72.22014634	69.726	2.392	NaN	NaN	26.51292035	66.63172432	6.85535533	50.07866151	10.28842552	39.79023598	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	180	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37328	79.4212766	4.310953358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	470	3
NaN	33.33333333	NaN	NaN	670000000	NaN	NaN	NaN	NaN	841000000	NaN	NaN	15303190	23.46287353	2.530714445	51.573	24.729	173	39.01	39.20412195	39.389	7.742	NaN	NaN	45.50402027	52.19320769	2.302772032	91.59581182	4.41201477	87.18379705	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	11	NaN	NaN	259.4	NaN	1.84093	23.752	NaN	NaN	NaN	1760.16	NaN	NaN	NaN	45000000	652230	0
NaN	NaN	NaN	NaN	1883000000	12.9408692	8.69300388	77.96925028	NaN	1328000000	NaN	NaN	7638420	6.126911045	3.167955957	52.59	24.364	169.6	41.661	40.16180488	38.734	7.2	NaN	NaN	46.48293757	50.81959358	2.697468848	96.7744977	5.307930777	91.46656692	NaN	NaN	NaN	NaN	1886	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	286	NaN	NaN	NaN	NaN	NaN	NaN	5346.486	-147.6534919	NaN	NaN	NaN	1246700	2
NaN	6.422018349	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2671300	97.49270073	2.071623284	27.395	6.224	NaN	72.087	69.67404878	67.376	4.037	NaN	NaN	35.85482724	58.92928537	5.215887396	69.69491379	8.851095619	60.84381817	NaN	NaN	NaN	NaN	6779	NaN	NaN	NaN	NaN	94	90	4.271699905	NaN	NaN	NaN	NaN	98.579	NaN	NaN	NaN	5170.47	-12.33864715	NaN	NaN	3500000	27400	1
NaN	NaN	NaN	NaN	21970000000	NaN	NaN	NaN	74.29640895	8746000000	11.1169793	10.80478215	1016228	12.15583732	9.145510114	29.677	4.075	34.6	70.467	68.68404878	66.986	5.423	NaN	NaN	28.25310855	70.42031906	1.326572383	42.00446878	1.883792066	40.12067672	NaN	NaN	NaN	NaN	52049	NaN	NaN	NaN	NaN	11	34	2.849499941	NaN	43.1	NaN	NaN	99.87	NaN	NaN	NaN	36904.688	-1148.974989	NaN	NaN	NaN	83600	3
NaN	24.10651717	NaN	NaN	8021000000	23.15008271	64.95483967	3.464286932	77.33185109	10541000000	5.672115447	10.3040222	28131040	10.27922052	1.501498907	24.622	8.666	38.1	72.972	69.46960976	66.134	3.325	NaN	NaN	30.4684825	61.48706553	8.044451965	62.63583102	13.0831613	49.55266972	2.299999952	NaN	NaN	NaN	23024	NaN	NaN	NaN	NaN	44	61	NaN	NaN	44.3	NaN	2.60715	99.721	4989980080	3895791555	100.7643703	108737.551	7.188626508	2175827000	NaN	-1512000000	2736690	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3096298	108.7183287	1.684949897	23.167	5.478	58.7	73.868	70.68009756	67.644	2.385	NaN	NaN	30.40669858	63.62717671	5.966124708	57.1655465	9.376692501	47.78885399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.395400047	NaN	71.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28480	1
NaN	NaN	NaN	NaN	127000000	NaN	NaN	NaN	NaN	95000000	NaN	NaN	32526	162.63	2.487171613	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.39999962	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200	2
NaN	95.96412556	NaN	NaN	30000000	NaN	NaN	NaN	NaN	88000000	NaN	NaN	70228	159.6090909	-0.422016498	16.5	5.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95399998.32	74077776.47	NaN	143.013	NaN	NaN	NaN	-1200000	440	2
