Intentional homicides (per 100,000 people)	Travel services (% of commercial service exports)	High-technology exports (% of manufactured exports)	High-technology exports (current US$)	Merchandise exports (current US$)	Manufactures exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	Manufactures imports (% of merchandise imports)	Merchandise imports (current US$)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	Population, total	Population density (people per sq. km of land area)	Population growth (annual %)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Unemployment, total (% of total labor force)	Unemployment, youth total (% of total labor force ages 15-24)	Labor force, total	Labor force participation rate, total (% of total population ages 15-64)	GDP per person employed (constant 1990 PPP $)	Employers, total (% of employment)	Employment to population ratio, ages 15-24, total (%)	Poverty headcount ratio at $2 a day (PPP) (% of population)	Pregnant women receiving prenatal care (%)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Public spending on education, total (% of GDP)	Ratio of female to male primary enrollment (%)	Imports of goods and services (current US$)	Exports of goods and services (current US$)	Inflation, consumer prices (annual %)	CO2 emissions (kt)	Energy imports, net (% of energy use)	Undisbursed external debt, total (UND, current US$)	Total amount of debt rescheduled (current US$)	Net income (BoP, current US$)	Land area (sq. km)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	62833	349.0722222	0.999680433	21.989	6.698	NaN	75.436	72.9897561	70.66	2.342	NaN	NaN	24.68369539	68.07670884	7.239595767	46.89311764	10.63446793	36.25864971	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	180	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45702	97.23829787	4.625956288	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	470	3
NaN	6.557377049	NaN	NaN	633000000	NaN	NaN	NaN	NaN	1390000000	NaN	NaN	16771993	25.71484446	2.31768067	51.881	23.629	157.8	40.283	40.45868293	40.626	7.829	NaN	NaN	45.95685223	51.75688321	2.286264557	93.21101619	4.417314984	88.79370121	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16	14	NaN	NaN	236.6	NaN	NaN	48.307	NaN	NaN	NaN	2830.924	NaN	NaN	NaN	1900000	652230	0
NaN	NaN	NaN	NaN	2033000000	NaN	NaN	NaN	NaN	1256000000	NaN	NaN	8786652	7.04792813	3.414665564	52.856	23.978	159.3	42.315	40.6554878	39.075	7.207	NaN	NaN	46.84810551	50.48462145	2.667273041	98.08012249	5.283337707	92.79678478	NaN	NaN	NaN	NaN	1493	NaN	NaN	NaN	NaN	8	35	NaN	NaN	269.1	NaN	NaN	NaN	NaN	NaN	NaN	5009.122	-203.6955977	NaN	NaN	NaN	1246700	2
NaN	3.896103896	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2891004	105.5110949	2.073296525	26.381	5.859	42.7	73.786	71.0764878	68.496	3.865	NaN	NaN	34.76872905	59.95811834	5.273152605	66.78308587	8.794726637	57.98835923	NaN	NaN	NaN	NaN	6784	NaN	NaN	NaN	NaN	95	96	4.138999939	NaN	50.1	NaN	NaN	99.464	372867136.2	335069929.3	NaN	7825.378	-2.274779503	NaN	NaN	3200000	27400	1
NaN	NaN	NaN	NaN	16500000000	NaN	NaN	NaN	NaN	6936000000	NaN	NaN	1279010	15.29916268	4.968027177	30.238	3.493	26.5	71.85	70.24119512	68.709	5.141	NaN	NaN	31.57840418	67.06272913	1.358866683	49.11412239	2.026262129	47.08786026	NaN	NaN	NaN	NaN	39008	NaN	NaN	NaN	NaN	59	53	NaN	NaN	32	NaN	NaN	98.625	NaN	NaN	NaN	46394.884	-434.2545652	NaN	NaN	NaN	83600	3
NaN	30.3657695	NaN	NaN	8107000000	17.51472911	73.40185109	4.091021674	74.43817638	4585000000	4.51463855	10.42097978	29899743	10.9255133	1.522480584	22.8	8.429	30.4	73.966	70.40931707	67.022	3.123	NaN	NaN	30.90618873	60.71311717	8.380694108	64.70905245	13.80376185	50.9052906	3.799999952	NaN	NaN	NaN	20060	NaN	NaN	NaN	NaN	62	79	NaN	NaN	34.8	NaN	2.56972	99.854	3762000095	6003000152	626.7185921	106522.683	0.915325444	2318494000	NaN	-5701000000	2736690	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3287588	115.4349719	1.482407486	23.586	5.842	50.6	72.751	69.93904878	67.261	2.441	NaN	NaN	30.07213799	64.42257971	5.505282292	55.2250786	8.545578765	46.67949984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.660099983	NaN	60.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28480	1
NaN	NaN	NaN	NaN	212000000	NaN	NaN	NaN	NaN	284000000	NaN	NaN	37706	188.53	4.067724466	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.10000038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200	2
NaN	98.18319455	NaN	NaN	18000000	NaN	NaN	NaN	NaN	132000000	NaN	NaN	66701	151.5931818	-1.622424857	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	94	73	NaN	NaN	NaN	NaN	NaN	89.663	147492595.9	129688886.6	NaN	146.68	NaN	NaN	NaN	-400000	440	2
