Intentional homicides (per 100,000 people)	Travel services (% of commercial service exports)	High-technology exports (% of manufactured exports)	High-technology exports (current US$)	Merchandise exports (current US$)	Manufactures exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	Manufactures imports (% of merchandise imports)	Merchandise imports (current US$)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	Population, total	Population density (people per sq. km of land area)	Population growth (annual %)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Unemployment, total (% of total labor force)	Unemployment, youth total (% of total labor force ages 15-24)	Labor force, total	Labor force participation rate, total (% of total population ages 15-64)	GDP per person employed (constant 1990 PPP $)	Employers, total (% of employment)	Employment to population ratio, ages 15-24, total (%)	Poverty headcount ratio at $2 a day (PPP) (% of population)	Pregnant women receiving prenatal care (%)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Public spending on education, total (% of GDP)	Ratio of female to male primary enrollment (%)	Imports of goods and services (current US$)	Exports of goods and services (current US$)	Inflation, consumer prices (annual %)	CO2 emissions (kt)	Energy imports, net (% of energy use)	Undisbursed external debt, total (UND, current US$)	Total amount of debt rescheduled (current US$)	Net income (BoP, current US$)	Land area (sq. km)	Income
NaN	32.99927196	NaN	NaN	22604000000	16.05113899	24.83437815	26.91108933	80.81794072	25889000000	5.260094377	6.756610434	15758000	2.051208622	1.367345989	15.7	6.6	9.3	79.02	75.62926829	72.4	1.923	NaN	NaN	23.55481452	66.09721626	10.34796922	51.29230195	15.65568085	35.63662111	8.300000191	15.2	NaN	NaN	35833	NaN	NaN	NaN	NaN	68	68	10.89999962	NaN	11.2	NaN	5.35439	99.068	31275600215	27496356524	6.739049045	241229.928	-75.84949402	NaN	NaN	-4502696912	7682300	3
NaN	53.58409638	NaN	NaN	17239000000	85.39324673	4.284119578	2.022245438	70.03945782	20986000000	6.36714661	14.85543733	7564985	91.75239539	0.046950968	11.6	11.7	10.6	77.31	73.74512195	70.35	1.46	NaN	NaN	18.30123494	67.52470792	14.17405714	48.09393936	20.99091958	27.10301978	3.599999905	4.3	NaN	NaN	33073	NaN	NaN	NaN	NaN	90	40	10.89999962	NaN	12.5	NaN	5.34386	99.265	24885806065	24912744746	3.18969397	54700.639	67.2424158	NaN	NaN	-254203047.7	82450	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6669000	80.14661699	1.602210715	26.6	6.8	80.1	69.259	65.42778049	61.779	2.91	NaN	NaN	32.78907779	62.28811012	4.922812092	60.54428334	7.903293394	52.64098995	NaN	NaN	NaN	NaN	10773	NaN	NaN	NaN	NaN	NaN	NaN	9.896800041	NaN	101.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	83210	2
NaN	NaN	NaN	NaN	112000000	NaN	NaN	NaN	NaN	189000000	NaN	NaN	4850597	188.886176	3.258983308	46.032	17.299	111.6	50.006	48.16056098	46.403	6.483	NaN	NaN	43.72441165	52.92866012	3.346928223	88.93355655	6.323470528	82.61008602	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36	32	NaN	NaN	186.2	NaN	NaN	69.203	239045071.7	126803836.5	3.804286836	231.021	NaN	356057000	NaN	-18319548.1	25680	0
NaN	NaN	NaN	NaN	53739000000	70.86848501	NaN	NaN	NaN	56182000000	NaN	NaN	9858308	NaN	0.029786423	11.6	11.2	9.8	78.05	74.67104878	71.453	1.49	NaN	NaN	19.26785875	66.96740478	13.76473648	49.32637801	20.55438242	28.77199558	11.30000019	23.5	NaN	NaN	40731	1.700000048	NaN	NaN	NaN	95	82	9.100000381	NaN	11.8	NaN	NaN	100.669	57144817407	57864518809	4.867676449	104447.161	68.35531543	NaN	NaN	NaN	NaN	3
NaN	35.29411765	NaN	NaN	199000000	NaN	NaN	NaN	NaN	331000000	NaN	NaN	4140176	37.42701139	2.754727464	47.506	19.104	116.5	49.741	46.75797561	43.917	6.972	NaN	NaN	45.91741994	50.3549366	3.727643463	98.59026095	7.40273688	91.18752407	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17	23	0.359600008	NaN	195.3	NaN	NaN	48.129	383241612.6	247340080.9	NaN	744.401	-10.44336291	363598000	NaN	-28045935.33	110620	0
NaN	11.18249747	NaN	NaN	999000000	65.80021372	17.91852283	2.545890922	50.67425386	2542000000	24.25271061	16.5351615	92283598	708.9467466	2.696486042	40.49	12.257	113.2	56.431	56.95241463	57.449	5.527	NaN	NaN	43.89946955	52.49435983	3.606170622	90.49665587	6.86963444	83.62702143	1.799999952	3.4	NaN	NaN	2002	NaN	NaN	NaN	NaN	2	1	0.287800014	NaN	165.7	NaN	1.22767	69.297	2860038462	1199576923	NaN	10234.597	15.40732892	3845688000	NaN	-112028082.6	130170	0
NaN	39.06399236	NaN	NaN	13310000000	NaN	NaN	NaN	NaN	13630000000	NaN	NaN	8960547	80.9956341	-0.001473114	13.3	11.4	19.7	74.46	71.22804878	68.15	1.95	NaN	NaN	21.26588528	67.42051179	11.31360293	48.32281355	16.78065418	31.54215938	NaN	NaN	NaN	NaN	11643	NaN	NaN	NaN	NaN	99	99	9.11400032	NaN	23.7	NaN	NaN	99.824	7587230563	7515733182	NaN	89540.806	68.90046203	3095705000	NaN	-97000000	110630	2
NaN	20.02430872	NaN	NaN	2897000000	41.49072528	0.94926511	0.072613676	79.39257139	3107000000	15.5370563	1.506203324	416929	604.2449275	2.945118779	32.465	3.807	19.1	72.877	71.5017561	70.192	4.365	NaN	NaN	33.44981999	63.87466451	2.675515495	56.55659527	4.188695966	52.36789931	NaN	NaN	NaN	NaN	10102	NaN	NaN	NaN	NaN	90	78	NaN	NaN	22.5	NaN	NaN	99.732	3280851176	3716489659	-2.635969303	10194.26	-166.6010699	NaN	NaN	-370212766	690	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4121595	80.81558824	1.339877457	17.832	6.694	23.5	74.144	71.79507317	69.558	1.953	NaN	NaN	25.06796519	69.32510351	5.606931297	44.24789137	8.087880167	36.1600112	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.718100071	NaN	26.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51000	2
