Intentional homicides (per 100,000 people)	Travel services (% of commercial service exports)	High-technology exports (% of manufactured exports)	High-technology exports (current US$)	Merchandise exports (current US$)	Manufactures exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	Manufactures imports (% of merchandise imports)	Merchandise imports (current US$)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	Population, total	Population density (people per sq. km of land area)	Population growth (annual %)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Unemployment, total (% of total labor force)	Unemployment, youth total (% of total labor force ages 15-24)	Labor force, total	Labor force participation rate, total (% of total population ages 15-64)	GDP per person employed (constant 1990 PPP $)	Employers, total (% of employment)	Employment to population ratio, ages 15-24, total (%)	Poverty headcount ratio at $2 a day (PPP) (% of population)	Pregnant women receiving prenatal care (%)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Public spending on education, total (% of GDP)	Ratio of female to male primary enrollment (%)	Imports of goods and services (current US$)	Exports of goods and services (current US$)	Inflation, consumer prices (annual %)	CO2 emissions (kt)	Energy imports, net (% of energy use)	Undisbursed external debt, total (UND, current US$)	Total amount of debt rescheduled (current US$)	Net income (BoP, current US$)	Land area (sq. km)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59849	332.4944444	0.687414685	23.068	5.751	NaN	72.312	69.79865854	67.405	2.691	NaN	NaN	35.10392996	60.16408234	4.731987702	66.21212542	7.865137334	58.34698809	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	180	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26997	57.44042553	5.094828633	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	470	3
NaN	NaN	NaN	NaN	122000000	14.89093009	37.23807016	13.7309155	62.73700843	164000000	28.46417301	6.813822329	12593688	19.30866106	2.612110827	52.156	28.125	200	35.67	35.91687805	36.152	7.697	NaN	NaN	44.55692321	53.1056674	2.337409397	88.30381936	4.401431169	83.90238819	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	299	NaN	1.11718	17.568	288888877.5	235555544.2	NaN	1532.806	NaN	NaN	NaN	NaN	652230	0
NaN	NaN	NaN	NaN	479000000	16.33788713	42.07283976	26.84086642	80.67580574	392000000	11.8308829	4.912853421	6179685	4.956834042	2.158331217	51.986	26.555	NaN	39.413	37.82621951	36.315	7.232	NaN	NaN	46.09730854	51.22151877	2.681172694	95.23044689	5.234465433	89.99598146	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	56.354	NaN	NaN	NaN	4506.743	-153.6933085	NaN	NaN	NaN	1246700	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2241623	81.81105839	2.391524168	31.63	8.031	NaN	69.247	67.54446341	65.923	4.688	NaN	NaN	41.64901948	53.95911801	4.391862503	85.32549026	8.139240716	77.18624955	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5643.513	-53.95444732	NaN	NaN	NaN	27400	1
NaN	NaN	NaN	NaN	1157280000	NaN	NaN	NaN	NaN	481763000	NaN	NaN	322868	3.862057416	16.94985405	33.499	6.467	58.7	66.346	64.15995122	62.078	6.402	NaN	NaN	31.23741738	66.77321242	1.989370203	49.76065458	2.979293838	46.78136074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	79.1	NaN	NaN	65.985	NaN	NaN	NaN	23454.132	-5588.729322	NaN	NaN	NaN	83600	3
NaN	NaN	NaN	NaN	1941200000	20.27826899	71.75390308	0.322420189	74.64877269	1904700000	6.462034562	3.767298811	24791983	9.059112651	1.69168215	23.371	8.987	48.6	70.543	67.12460976	63.869	3.148	NaN	NaN	29.09946669	63.76948326	7.131050045	56.81481939	11.18254325	45.63227614	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.7	NaN	1.9362	99.952	2374999980	2500000047	58.44588511	90156.862	9.462601943	1072902000	NaN	NaN	2736690	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2643464	92.81825843	2.395432775	22.115	5.141	NaN	73.454	70.3675122	67.428	3.032	NaN	NaN	37.32836461	57.00351092	5.668124474	75.427791	9.943465557	65.48432545	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28480	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28470	142.35	1.997334787	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	200	2
NaN	NaN	NaN	NaN	18000000	NaN	NaN	NaN	NaN	47000000	NaN	NaN	67419	153.225	1.291322908	NaN	6.7	NaN	NaN	NaN	NaN	2.614	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	374.034	NaN	NaN	NaN	NaN	440	2
