Oil rents (% of GDP)	Total natural resources rents (% of GDP)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic savings (% of GDP)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI growth (annual %)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita growth (annual %)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross savings (% of GNI)	Gross savings (% of GDP)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Literacy rate, youth female (% of females ages 15-24)	Ratio of young literate females to males (% ages 15-24)	Literacy rate, youth male (% of males ages 15-24)	Literacy rate, youth total (% of people ages 15-24)	Literacy rate, adult female (% of females ages 15 and above)	Literacy rate, adult male (% of males ages 15 and above)	Literacy rate, adult total (% of people ages 15 and above)	Ratio of female to male primary enrollment (%)	Ratio of girls to boys in primary and secondary education (%)	Ratio of female to male secondary enrollment (%)	Ratio of female to male tertiary enrollment (%)	School enrollment, preprimary (% gross)	School enrollment, preprimary, female (% gross)	School enrollment, preprimary, male (% gross)	Primary school starting age (years)	Primary completion rate, female (% of relevant age group)	Primary completion rate, male (% of relevant age group)	Primary completion rate, total (% of relevant age group)	Primary education, duration (years)	Primary education, pupils	Primary education, pupils (% female)	Pupil-teacher ratio, primary	School enrollment, primary (% gross)	School enrollment, primary, female (% gross)	School enrollment, primary, male (% gross)	Gross intake rate in grade 1, female (% of relevant age group)	Gross intake rate in grade 1, male (% of relevant age group)	Gross intake rate in grade 1, total (% of relevant age group)	School enrollment, primary (% net)	School enrollment, primary, female (% net)	School enrollment, primary, male (% net)	Net intake rate in grade 1, female (% of official school-age population)	Net intake rate in grade 1, male (% of official school-age population)	Net intake rate in grade 1 (% of official school-age population)	School enrollment, primary, private (% of total primary)	Persistence to grade 5, female (% of cohort)	Persistence to grade 5, male (% of cohort)	Persistence to grade 5, total (% of cohort)	Persistence to last grade of primary, female (% of cohort)	Persistence to last grade of primary, male (% of cohort)	Persistence to last grade of primary, total (% of cohort)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.79	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	93.822	96.367	100.404	144.133	99.75248	99	100.4902	6	88.06533	87.43655	87.75253	6	10250	48.34146	18.0776	110.78686	107.25108	114.31347	103.68852	97.18121	100.40623	97.28707	96.06061	98.51036	80.77437	80.28315	80.5266	79.24878	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	2542922512	2539759286	2042271237	NaN	NaN	NaN	NaN	32650	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.80412	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	95.274	102.628	111.356	104.743	113.26792	114.45035	112.17105	6	NaN	NaN	NaN	6	4085	46.85435	11.47472	86.07248	83.91057	88.07302	102.87206	97.08738	99.87421	79.41424	78.21131	80.52738	NaN	NaN	NaN	1.61567	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	1.071774833	-1008149656	-50082514170	NaN	-14.79363332	NaN	3.00226E+11	6878074190	6825898446	3.39095E+11	NaN	14.53733306	2.82072E+11	22408872945	230	NaN	11.33420563	9432.282606	750	NaN	NaN	NaN	NaN	3.00557E+11	11144865.62	553650826.3	331080000	221718381.5	11014450000	7862000000	61346364.9	3047543756	NaN	18593285020	49.67765833	49.4945975	15.13216	0.30460695	16.70967	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.356	55.451	32.841	NaN	NaN	NaN	NaN	7	18.74188	48.3607	34.05853	6	4318819	35.68696	NaN	89.87866	66.38502	111.84183	68.77588	98.75274	84.25849	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
65.1066698	65.84052514	11657273420	1.01604E+12	2809543116	41.28848915	NaN	5679763985	20870061865	24202824060	2.1095E+12	NaN	NaN	2361962569	47417675783	1270	NaN	NaN	143.2445607	2880	7653140040	6.67041E+11	31.62085557	27.10638913	4849982354	-4030888677	-3.51329E+11	-829781631	NaN	NaN	NaN	26755297.71	2331967669	5507732.004	2488019784	87.1591	87.15914167	44.48755296	0.510417764	70.50477382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
1.784094617	1.882477986	-38248436.08	-3819965390	NaN	-0.456616849	4840700000	5.01282E+11	8111665752	8540849440	8.52996E+11	4892836061	4.945795432	5.0042E+11	19546091949	2580	1557.335305	4.379980667	159277.9947	6220	1420160036	1.41835E+11	16.62785471	16.95413111	5.12202E+11	164365700	16415606746	10920195017	1172105678	1.17061E+11	30449000448	1207100000	1.20556E+11	80197799207	11782875627	99.87245968	99.87025448	43.6402143	0.436959442	55.65376669	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
22.05244001	28.19213562	62962561363	2.3123E+11	NaN	34.85970488	NaN	7.70186E+11	1.72049E+11	1.83503E+11	6.73916E+11	NaN	5.966224901	8.48151E+11	2.76403E+11	42280	NaN	-4.744247478	208424.2013	67920	NaN	NaN	NaN	NaN	NaN	2886317305	10600000000	NaN	1380531013	5070000000	5647000000	NaN	NaN	NaN	-65564204766	3.672499895	3.6725	2.438167	0.663898453	2.695741	NaN	97.00174036	103.6064997	93.62514965	95.00645109	91.47474889	89.48210278	90.03384502	101.58	101.34	101.27	NaN	80.95205	80.94871	80.95517	6	100.78155	98.34466	99.51234	5	262807	48.49452	15.23077	106.48409	107.35091	105.68065	112.84237	110.22818	111.48646	90.16467	91.09754	89.29999	42.32208	41.94134	42.1246	61.06801	98.8541	97.06964	97.93887	98.8541	97.06964	97.93887	3
6.256013645	12.6419424	50076191621	1.45406E+11	70968015644	27.33514918	3.1393E+11	3.06491E+11	1.73103E+11	1.76985E+11	5.1391E+11	3.02701E+11	12.15398769	2.94105E+11	4.04846E+11	4480	7825.532802	11.16702776	7603.32026	10470	44351202745	1.28783E+11	25.0593669	24.21004282	2.87273E+11	-6208878876	-18028722296	-19218795831	13470408658	39114027145	19351611127	564280034.5	1638500000	1638500000	1727866292	2.903700113	2.9036575	1.269395503	0.437164808	1.352598214	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.557	103.818	111.334	145.677	66.18799	66.70391	65.6892	6	99.92796	95.81857	97.84061	6	4651255	48.82373	16.65034	113.048	112.21343	113.85586	109.06145	109.69381	109.38288	99.11475	NaN	NaN	94.28985	97.33566	95.83804	21.96829	96.71458	95.36635	96.02973	95.87561	93.23808	94.54043	2
0	0.921977102	786316065.5	3.59889E+11	NaN	16.04583641	3386900000	1.43104E+12	4515867897	5032955714	2.30353E+12	3494281476	13.54836655	1.46602E+12	12899134332	1470	1139.704469	13.42459475	478162.3852	4210	1442493947	6.60215E+11	28.6609704	29.43602822	1.48981E+12	132518955.7	60652600832	58771900031	421399637.3	1.9287E+11	1.22267E+11	523661786.5	2.39675E+11	1.56525E+11	4624303088	457.69	457.6869406	178.5804723	0.390177789	196.1886319	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	102.77	102.289	102.249	122.291	31.54186	34.0386	29.40525	7	92.92974	90.82341	91.83229	3	125149	48.19136	21.19732	95.00778	96.37116	93.77377	NaN	NaN	NaN	80.684	82.20255	79.30955	NaN	NaN	NaN	1.24651	NaN	NaN	NaN	98.10342	98.88529	98.50769	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	0	193447595.8	522308518	NaN	18.90583259	NaN	NaN	1006669599	981176247.1	2649175914	NaN	NaN	NaN	1493170657	12000	NaN	NaN	NaN	17790	159405846.2	430395792.4	16.24640289	15.57889737	NaN	-42040238.52	-113508646	NaN	135622219.8	366180000	376987327.9	7998488.748	21595920	NaN	NaN	2.700000048	2.7	1.774195	0.657109248	2.068029	100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
