Oil rents (% of GDP)	Total natural resources rents (% of GDP)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic savings (% of GDP)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI growth (annual %)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita growth (annual %)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross savings (% of GNI)	Gross savings (% of GDP)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Literacy rate, youth female (% of females ages 15-24)	Ratio of young literate females to males (% ages 15-24)	Literacy rate, youth male (% of males ages 15-24)	Literacy rate, youth total (% of people ages 15-24)	Literacy rate, adult female (% of females ages 15 and above)	Literacy rate, adult male (% of males ages 15 and above)	Literacy rate, adult total (% of people ages 15 and above)	Ratio of female to male primary enrollment (%)	Ratio of girls to boys in primary and secondary education (%)	Ratio of female to male secondary enrollment (%)	Ratio of female to male tertiary enrollment (%)	School enrollment, preprimary (% gross)	School enrollment, preprimary, female (% gross)	School enrollment, preprimary, male (% gross)	Primary school starting age (years)	Primary completion rate, female (% of relevant age group)	Primary completion rate, male (% of relevant age group)	Primary completion rate, total (% of relevant age group)	Primary education, duration (years)	Primary education, pupils	Primary education, pupils (% female)	Pupil-teacher ratio, primary	School enrollment, primary (% gross)	School enrollment, primary, female (% gross)	School enrollment, primary, male (% gross)	Gross intake rate in grade 1, female (% of relevant age group)	Gross intake rate in grade 1, male (% of relevant age group)	Gross intake rate in grade 1, total (% of relevant age group)	School enrollment, primary (% net)	School enrollment, primary, female (% net)	School enrollment, primary, male (% net)	Net intake rate in grade 1, female (% of official school-age population)	Net intake rate in grade 1, male (% of official school-age population)	Net intake rate in grade 1 (% of official school-age population)	School enrollment, primary, private (% of total primary)	Persistence to grade 5, female (% of cohort)	Persistence to grade 5, male (% of cohort)	Persistence to grade 5, total (% of cohort)	Persistence to last grade of primary, female (% of cohort)	Persistence to last grade of primary, male (% of cohort)	Persistence to last grade of primary, total (% of cohort)	Income
NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.789999962	1.79	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.017	99.995	104.675	150.634	97.95012	98.11584	97.79116	6	100.58565	88.95349	94.74836	6	9436	48.64349	18.94779	109.88704	108.20368	111.53049	99.16898	99.73298	99.45615	94.50135	94.19819	94.79732	66.6205	63.81842	65.19375	80.89233	98.79518	92.10797	95.33232	98.79518	89.53283	94.04868	3
NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	1302424370	1264760246	1413382223	NaN	NaN	NaN	NaN	19620	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.11751	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	3.355374337	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2461666315	1.33987E+11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.42939167	47.50001452	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN	6	773623	0	NaN	19.31771	0	37.35815	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
50.85385812	52.22658054	1348048797	29735260365	539604124.6	15.08555613	NaN	NaN	6641742851	7375055487	1.62679E+11	NaN	NaN	NaN	26632103876	460	NaN	NaN	NaN	1850	-122368927	-2699213792	-1.659227205	-1.369389091	NaN	-1560967724	-34431826057	1697313744	NaN	NaN	NaN	90549287.89	1997336192	27711138.74	NaN	22.058	22.05786167	6.108378621	0.276923503	10.63948934	NaN	63.17673808	75.43535859	83.74950323	72.18080179	54.2113253	82.90217728	67.40754775	NaN	NaN	77.854	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
1.029289879	1.128644234	382749308.4	54985765644	NaN	9.355839988	3934400000	4.07424E+11	4114939771	4236568355	6.08625E+11	4087853569	7.845138292	4.18089E+11	14821516688	1340	1328.356013	7.651622626	135858.9131	4820	1098897414	1.57868E+11	25.93838507	26.86120691	NaN	145548105.3	20909440813	NaN	415954331.3	59755999232	22304481253	542600000	77949916000	56915160995	4601421045	143.66	143.4848333	41.06363894	0.285839057	54.13716784	NaN	99.49808188	100.1304501	99.36845559	99.43515144	98.25227398	99.18760634	98.71297808	99.036	97.105	96.272	145.729	46.90386	48.67111	45.23168	6	103.25462	103.35154	103.30419	4	274233	48.57986	21.75244	110.2391	109.69288	110.76018	106.35678	108.55219	107.48119	99.37898	NaN	NaN	NaN	NaN	NaN	2.16422	NaN	NaN	NaN	NaN	NaN	NaN	1
14.54288926	18.93321017	31166781013	1.1446E+11	NaN	30.16773323	82454000000	5.69213E+11	1.05599E+11	1.08376E+11	3.98012E+11	NaN	NaN	6.8103E+11	2.02223E+11	33530	NaN	NaN	216238.3503	64210	NaN	NaN	NaN	NaN	NaN	5064669988	18600000000	NaN	317767197.6	1167000000	1485000000	NaN	NaN	NaN	-83520690743	3.672499895	3.6725	1.968185234	0.535925198	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.948	101.172	102.793	324.654	62.06679	62.57573	61.59534	6	83.74964	82.19066	82.93446	6	280248	47.97822	15.94765	87.76537	87.74169	87.78722	93.66462	91.3727	92.47359	76.74522	77.42474	76.11819	48.42662	45.72855	47.02453	46.51666	95.6952	95.57497	95.6329	94.58289	93.62498	94.08477	3
2.058487406	3.765753013	41641443328	41641443328	45579493724	15.49756322	2.718E+11	2.65357E+11	2.60812E+11	2.6097E+11	2.6097E+11	2.63868E+11	-4.622195263	2.56376E+11	3.19857E+11	6990	7073.818275	-5.571846064	6872.951295	8570	34339191013	34339191013	13.15829222	12.77990726	2.5763E+11	-7726740702	-7726740702	-7726740702	13721546752	13721546752	12997173168	424494817.5	424494817.5	424494817.5	1360347531	1	0.9995	0.815894536	0.815894536	0.912617951	NaN	99.12767253	100.4252696	98.70789783	98.9166583	97.19341078	97.19320363	97.19331158	98.7	100.662	103.436	148.383	60.83055	61.32663	60.3508	6	100.53656	97.0289	98.75465	6	4757674	48.85997	17.3271	114.40657	113.64604	115.14276	111.35657	110.88618	111.1175	NaN	NaN	NaN	NaN	NaN	NaN	20.4914	93.3615	91.08792	92.20984	91.62825	88.2773	89.93274	2
0	0.394326744	-19541851.33	-10846900000	NaN	-0.92245208	2095000000	8.78472E+11	2172390025	2182923205	1.21165E+12	2158641280	9.884510352	9.05657E+11	7231595020	710	704.1014544	10.253252	295405.3792	2360	218898500.2	1.21502E+11	10.02776917	10.33286833	9.12849E+11	64455291.28	35776553980	34377678029	204767592.7	1.13658E+11	86096022996	173984832.7	96572021261	73191753665	-70274717.29	555.06	555.0782583	167.5499458	0.301859161	189.9318952	102.15	99.86166942	100.1095957	99.75234511	99.80728398	99.16106553	99.67222968	99.40015652	99.949	103.909	105.894	113.908	24.9925	27.13231	23.03428	7	NaN	NaN	NaN	3	176300	48.73965	20.34387	102.22245	102.19548	102.24812	NaN	NaN	NaN	90.55587	90.97667	90.15557	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	0	174540367.3	471259000	NaN	21.98304744	648673000	NaN	730995501.7	769188973.8	2076810266	NaN	NaN	NaN	1139304676	9230	NaN	NaN	NaN	14390	158884441.8	428988000.4	20.65609976	20.01121159	NaN	-24788147.71	-66928000	NaN	96155553.86	259620000	276558926.5	9132222.061	24657000	NaN	NaN	2.700000048	2.7	1.822875224	0.67513896	2.096282529	102.8024766	NaN	NaN	NaN	NaN	99.42	98.4	98.95	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
