Oil rents (% of GDP)	Total natural resources rents (% of GDP)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic savings (% of GDP)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI growth (annual %)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita growth (annual %)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross savings (% of GNI)	Gross savings (% of GDP)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Literacy rate, youth female (% of females ages 15-24)	Ratio of young literate females to males (% ages 15-24)	Literacy rate, youth male (% of males ages 15-24)	Literacy rate, youth total (% of people ages 15-24)	Literacy rate, adult female (% of females ages 15 and above)	Literacy rate, adult male (% of males ages 15 and above)	Literacy rate, adult total (% of people ages 15 and above)	Ratio of female to male primary enrollment (%)	Ratio of girls to boys in primary and secondary education (%)	Ratio of female to male secondary enrollment (%)	Ratio of female to male tertiary enrollment (%)	School enrollment, preprimary (% gross)	School enrollment, preprimary, female (% gross)	School enrollment, preprimary, male (% gross)	Primary school starting age (years)	Primary completion rate, female (% of relevant age group)	Primary completion rate, male (% of relevant age group)	Primary completion rate, total (% of relevant age group)	Primary education, duration (years)	Primary education, pupils	Primary education, pupils (% female)	Pupil-teacher ratio, primary	School enrollment, primary (% gross)	School enrollment, primary, female (% gross)	School enrollment, primary, male (% gross)	Gross intake rate in grade 1, female (% of relevant age group)	Gross intake rate in grade 1, male (% of relevant age group)	Gross intake rate in grade 1, total (% of relevant age group)	School enrollment, primary (% net)	School enrollment, primary, female (% net)	School enrollment, primary, male (% net)	Net intake rate in grade 1, female (% of official school-age population)	Net intake rate in grade 1, male (% of official school-age population)	Net intake rate in grade 1 (% of official school-age population)	School enrollment, primary, private (% of total primary)	Persistence to grade 5, female (% of cohort)	Persistence to grade 5, male (% of cohort)	Persistence to grade 5, total (% of cohort)	Persistence to last grade of primary, female (% of cohort)	Persistence to last grade of primary, male (% of cohort)	Persistence to last grade of primary, total (% of cohort)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	340685219.4	346742901.7	354366226	NaN	NaN	NaN	NaN	7190	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.021985524	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.59999847	487.4956086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.279	48.453	46.393	NaN	1.0218	0.9378	1.10045	7	10.51868	24.62096	17.83776	6	479150	31.39768	NaN	23.49027	15.3167	31.08138	19.09035	36.1101	27.90313	NaN	NaN	NaN	NaN	NaN	NaN	0	54.19626	62.06478	59.4689	46.58431	57.92424	54.18312	0
25.84680994	26.30210227	1928796233	57.70958328	587632469.5	28.34681674	NaN	2022984895	NaN	6272278240	187.6665649	NaN	NaN	1423518142	15478914849	NaN	NaN	NaN	157.0248091	1710	1417796410	42.42046859	22.60416958	20.83683819	1899967754	-532000013.9	-15.91744041	-123017141.7	NaN	NaN	43211523.01	NaN	NaN	NaN	449595576	2.992E-08	2.9918E-08	1.2124E-08	0.405214338	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.82629	NaN	NaN	6	NaN	NaN	NaN	4	870410	NaN	29.81775	81.87024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	2
9.849886843	13.09326656	600186515.4	5149600256	NaN	30.53786629	NaN	NaN	NaN	1966784581	16875011552	NaN	NaN	NaN	7724703707	NaN	NaN	NaN	NaN	2610	607286515.4	5210518255	30.87712408	30.89911874	NaN	1400000	12011999.89	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.579999924	NaN	2.184551303	0.254609711	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.845	96.534	94.408	91.084	50.86583	NaN	NaN	6	NaN	NaN	NaN	4	272935	48.02425	NaN	102.10812	102.02612	102.184	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	1
20.60636663	23.4145418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.671000004	3.671	2.072142392	0.56446265	NaN	NaN	84.51429014	1.04320817	81.01383075	82.47263553	68.66128298	72.27427947	71.23529682	98.17	97.833	96.915	205.532	49.95864	47.04312	52.77233	6	76.21805	76.13511	76.17479	6	137700	48.02832	24.1961	94.59107	93.69156	95.43782	98.59527	103.05471	100.87397	73.98368	74.00125	73.96714	NaN	NaN	NaN	24.56935	59.22556	57.48143	58.31507	49.21004	49.05392	49.12854	3
4.398764895	5.822130046	20381667182	1222900	34910035419	23.05183789	1.8536E+11	1.80965E+11	80453833075	83672502114	5020350	1.76352E+11	-7.829379402	1.71344E+11	1.45268E+11	2650	5809.793453	-9.209459106	5644.819514	4790	15637500395	938250	18.68893603	17.68614515	1.80965E+11	-4744166787	-284650	-284650	0	0	7135660032	NaN	NaN	NaN	-324952612.6	6E-05	6.01809E-05	3.45591E-05	0.575985783	2.52477E-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100.509	103.72	112.559	112.464	50.18445	51.29903	49.10509	6	NaN	NaN	NaN	7	4589291	49.42434	19.97819	105.09703	105.36749	104.83407	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.63262	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	189699984	189699984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	8	7650	47.32026	21.30919	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.37255	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	0	20611116.67	55650016	NaN	10.21044977	339941000	NaN	186673971.1	199162971.3	537740032	NaN	NaN	NaN	404619966	2850	NaN	NaN	NaN	6170	32111122.65	86700032.68	16.12303855	15.90738677	NaN	-2699994.026	-7289984	NaN	28118518.02	75920000	143542977.8	14199999.75	38340000	NaN	NaN	2.700000048	2.7	1.32900024	0.492222302	NaN	146.3129474	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
