Oil rents (% of GDP)	Total natural resources rents (% of GDP)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic savings (% of GDP)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI growth (annual %)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita growth (annual %)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross savings (% of GNI)	Gross savings (% of GDP)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Literacy rate, youth female (% of females ages 15-24)	Ratio of young literate females to males (% ages 15-24)	Literacy rate, youth male (% of males ages 15-24)	Literacy rate, youth total (% of people ages 15-24)	Literacy rate, adult female (% of females ages 15 and above)	Literacy rate, adult male (% of males ages 15 and above)	Literacy rate, adult total (% of people ages 15 and above)	Ratio of female to male primary enrollment (%)	Ratio of girls to boys in primary and secondary education (%)	Ratio of female to male secondary enrollment (%)	Ratio of female to male tertiary enrollment (%)	School enrollment, preprimary (% gross)	School enrollment, preprimary, female (% gross)	School enrollment, preprimary, male (% gross)	Primary school starting age (years)	Primary completion rate, female (% of relevant age group)	Primary completion rate, male (% of relevant age group)	Primary completion rate, total (% of relevant age group)	Primary education, duration (years)	Primary education, pupils	Primary education, pupils (% female)	Pupil-teacher ratio, primary	School enrollment, primary (% gross)	School enrollment, primary, female (% gross)	School enrollment, primary, male (% gross)	Gross intake rate in grade 1, female (% of relevant age group)	Gross intake rate in grade 1, male (% of relevant age group)	Gross intake rate in grade 1, total (% of relevant age group)	School enrollment, primary (% net)	School enrollment, primary, female (% net)	School enrollment, primary, male (% net)	Net intake rate in grade 1, female (% of official school-age population)	Net intake rate in grade 1, male (% of official school-age population)	Net intake rate in grade 1 (% of official school-age population)	School enrollment, primary, private (% of total primary)	Persistence to grade 5, female (% of cohort)	Persistence to grade 5, male (% of cohort)	Persistence to grade 5, total (% of cohort)	Persistence to last grade of primary, female (% of cohort)	Persistence to last grade of primary, male (% of cohort)	Persistence to last grade of primary, total (% of cohort)	Income
0.523028755	2.185586	1.06893E+11	1.36588E+11	NaN	24.42534594	3.5458E+11	7.55992E+11	4.09088E+11	4.22644E+11	5.40055E+11	3.5229E+11	4.215921291	8.05362E+11	4.10594E+11	22090	19025.21509	3.056528312	43493.1101	22170	91866083921	1.17386E+11	21.73602356	20.99163493	NaN	-14987478479	-19151000000	NaN	35331820316	45147000000	60057000000	-16434496.79	-21000000	NaN	-75274621500	1.2778	1.34738	1.31530158	1.029348552	1.380099156	91.34076117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.648	101.608	103.122	106.878	78.3361	NaN	NaN	5	NaN	NaN	NaN	7	1855789	48.64077	17.88299	101.01335	100.83051	101.18713	NaN	NaN	NaN	94.82346	95.07414	94.5852	NaN	NaN	NaN	26.33823	NaN	NaN	NaN	NaN	NaN	NaN	3
0.050892419	0.29657594	50996351336	45228664000	48948843549	24.53799193	1.7615E+11	2.03286E+11	2.3068E+11	2.05419E+11	1.82186E+11	1.70404E+11	1.777172014	2.00209E+11	1.97259E+11	28950	21385.96599	1.661906895	25126.50799	24760	46571285370	41304072995	22.67136401	22.40877621	2.0094E+11	-2407115797	-2134871000	-2346158903	20998644718	18623698000	20656129115	-1384548427	-1227956000	-2346158903	722799719.4	0.8869	12.20424417	0.923590328	1.041369183	0.948970884	100.3391695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	98.924	96.328	95.102	97.693	81.71703	81.12221	82.28288	6	NaN	NaN	NaN	4	381927	48.50142	12.22127	103.21263	102.64082	103.75702	NaN	NaN	NaN	90.14942	90.7682	89.56031	NaN	NaN	NaN	4.30449	NaN	NaN	NaN	NaN	NaN	NaN	3
24.35119572	33.69814763	405488390.2	323174247	NaN	10.23260278	3847600000	3377898555	3536171967	3953251163	3150741177	4005532012	7.460399563	3586605241	12855168388	450	511.0237632	6.42874134	457.5772961	1640	440824390.2	351337039	11.15093304	11.12431574	NaN	-9459000	-7538823	NaN	293023839.4	233540000	NaN	44830100	35729589.7	38108018.16	-216747349.7	0.797	0.797075	0.245095286	0.307522317	0.372502529	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	96.709	102.92	108.929	97.8	17.31594	15.8199	18.74287	6	97.29742	100.39475	98.88515	4	719013	47.88578	20.2459	95.58686	93.94765	97.14432	93.16131	96.35769	94.80009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	10.04414667	14520707.98	5116371456	NaN	1.492523762	NaN	NaN	906257045.8	960396267.9	3.38396E+11	NaN	NaN	NaN	2563753764	150	NaN	NaN	NaN	410	58771247.8	20708049164	6.119478987	6.040854482	NaN	-12500000	-4404375000	NaN	66532992.76	23442900000	92202932616	47700000.83	16807095291	NaN	NaN	352.35	352.3508333	131.9922489	0.374605503	257.4295962	179.9581663	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
0	3.95738E-06	61821154714	54823000000	65289480130	24.75157228	2.1565E+11	2.60707E+11	2.84839E+11	2.54659E+11	2.25832E+11	2.16893E+11	3.845915439	2.6134E+11	2.47833E+11	27980	21303.15121	3.594920567	25668.78328	24340	NaN	NaN	NaN	NaN	2.65727E+11	4892873252	4339000000	5019389319	26442264321	23449000000	27003646164	-2488723500	-2207000000	5019389319	4482551806	0.8868	35.77389083	0.911227744	1.027545945	0.937465666	97.82835143	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
0.356161983	3.209509341	120702282	70450298880	19231201953	5.596481398	1945800000	6.80867E+11	2239298673	2126932969	1.24143E+12	1920454906	6.882979284	6.66854E+11	6120139475	370	320.7122711	3.918075779	111363.376	1020	166121737.2	96960271491	7.81038893	7.702399626	6.71624E+11	-29820059	-17405073327	-9243036349	142601128	83231997952	38200000512	146829551.5	85700001792	45524610062	4766798067	583.6699829	583.6693724	202.8429147	0.347530147	263.5298682	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58.173	NaN	NaN	22.484	NaN	NaN	NaN	6	22.81302	50.78761	36.62544	6	784887	37.23453	49.97689	80.03204	59.02124	101.45833	65.63966	96.44435	80.93862	65.46431	48.93115	82.32442	NaN	NaN	NaN	5.83307	34.82235	49.1039	43.27546	26.27778	39.34043	34.00944	0
0	2.213517454	6220066160	2.65597E+11	2.72006E+11	14.69811615	40423000000	1.74138E+12	44149643802	43687838326	1.86547E+12	41622179125	5.623762107	1.8091E+12	93657149012	360	340.132729	3.516195639	14783.78705	770	9721374529	4.15103E+11	22.25190099	22.971764	1.79808E+12	1369039788	58458000000	56706689530	1725643997	73685000000	73318407960	1031592487	44049000000	42729000000	-11470182523	42.70000076	43.89211583	19.91808153	0.466465601	20.56757658	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
0.030306027	1.991364371	1556920266	2618537488	NaN	15.48639861	12583000000	25397842847	9751601291	9696568851	16308368254	11027479144	-0.676640382	26024002957	38994334124	1170	1326.68298	-0.070118023	3130.869834	4690	1436820234	2416544847	14.81782119	14.29178576	24441591443	-356900032	-600259456.8	-956251404.4	987214049.2	1660365693	3631287632	236800000	398266816	605444884.2	-1538674039	1.68187	1.681879167	0.418224048	0.248666096	0.570832672	68.5319289	NaN	NaN	NaN	NaN	NaN	NaN	NaN	97.603	99.02	99.833	165.794	67.26365	66.32031	68.16361	7	94.64992	95.06211	94.86129	4	431790	48.19218	16.69722	102.75503	101.47911	103.97105	106.07228	107.18791	106.64281	95.42351	94.63317	96.17675	NaN	NaN	NaN	0.27374	NaN	NaN	NaN	93.67588	93.6268	93.65065	2
17.00401537	22.89076534	1715425761	645000064	NaN	27.01797169	NaN	NaN	6133220766	6113032380	2298500096	NaN	NaN	NaN	10690270348	10340	NaN	NaN	NaN	18030	1077127843	405000055.1	17.62018874	16.96477354	NaN	-236170220.9	-88800000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.375999987	0.375999965	0.215008603	0.571831411	0.37949132	117.9886331	NaN	NaN	NaN	NaN	NaN	NaN	NaN	99.232	103.411	108.936	NaN	34.36837	34.30289	34.4307	6	NaN	NaN	NaN	6	72876	48.66486	NaN	107.37112	106.94792	107.77541	NaN	NaN	NaN	99.91595	NaN	NaN	NaN	NaN	NaN	17.08244	NaN	NaN	NaN	NaN	NaN	NaN	3
0	2.165695283	-108821470.1	-188707309.6	NaN	-2.963695735	4237000000	5625139603	3782196091	3443816538	5971922204	3908347297	36.85686623	5280451671	11146543804	1120	1161.257641	34.4193487	1568.940625	3310	NaN	NaN	NaN	NaN	5261465953	-228000000	-395374796.4	-363673650.4	657255160.3	1139746163	1008522453	772000000	1338725188	1197791781	-9064044.515	1.734099984	1.734055833	0.535764476	0.308958238	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
