Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant 2000 US$)	Agriculture, value added (annual % growth)	Agriculture, value added (constant LCU)	Agriculture, value added (% of GDP)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (annual % growth)	Manufacturing, value added (constant LCU)	Manufacturing, value added (% of GDP)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (annual % growth)	Industry, value added (constant LCU)	Industry, value added (% of GDP)	Chemicals (% of value added in manufacturing)	Food, beverages and tobacco (% of value added in manufacturing)	Machinery and transport equipment (% of value added in manufacturing)	Other manufacturing (% of value added in manufacturing)	Textiles and clothing (% of value added in manufacturing)	Services, etc., value added (current US$)	Services, etc., value added (current LCU)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (annual % growth)	Services, etc., value added (constant LCU)	Services, etc., value added (% of GDP)	Adjusted savings: education expenditure (current US$)	Adjusted savings: education expenditure (% of GNI)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: carbon dioxide damage (% of GNI)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: net forest depletion (% of GNI)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: consumption of fixed capital (% of GNI)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: mineral depletion (% of GNI)	Adjusted savings: energy depletion (current US$)	Adjusted savings: energy depletion (% of GNI)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: particulate emission damage (% of GNI)	Adjusted savings: natural resources depletion (% of GNI)	Adjusted savings: gross savings (% of GNI)	Adjusted savings: net national savings (current US$)	Adjusted savings: net national savings (% of GNI)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net national income (annual % growth)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, including particulate emission damage (% of GNI)	Adjusted net savings, excluding particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (% of GNI)	Exports as a capacity to import (constant LCU)	Coal rents (% of GDP)	Inflation, GDP deflator (annual %)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	Forest rents (% of GDP)	Mineral rents (% of GDP)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP growth (annual %)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	Natural gas rents (% of GDP)	GDP per capita (current US$)	GDP per capita (constant 2000 US$)	GDP per capita growth (annual %)	GDP per capita (constant LCU)	GDP per capita, PPP (current international $)	GDP per capita, PPP (constant 2005 international $)	Income
10508010118	14955000000	9615607064	5.259897156	16990000000	3.71007115	41738336144	59402000000	41915116330	2.136575577	86525000000	14.73658619	82460652052	1.17358E+11	78983873362	2.37434667	2.12911E+11	29.11444534	8.898880313	21.82367463	14.97640009	47.94493194	6.356113031	1.90261E+11	2.70779E+11	1.87759E+11	3.988474001	4.26203E+11	67.17548351	16311560942	5.328241073	1580971545	0.51643111	0	0	54724564362	17.87601276	2040273491	0.666464053	2617635458	0.855061806	573005713.9	0.186864675	1.521525859	20.39352144	3344950510	1.090832209	2.46752E+11	2.4813E+11	3.766942799	17206532501	5.620587357	17779632082	5.807792784	78336250901	0	0.826641921	63.13672092	-2349000000	8616000000	2.83229E+11	4.03092E+11	2.77208E+11	6.56104E+11	0.321899813	1.005518509	3.15046E+11	4.48373E+11	3.11519E+11	4.085981791	7.10162E+11	3.36345E+11	4.24538E+11	0.513886014	17832.43741	17632.79891	3.072635503	40197.09062	19038.05263	24029.99783	3
4530984266	3830041000	3513352102	-1.661619366	3729321003	2.701691243	32486433219	27460782000	26987790802	-2.082127044	30189357960	19.37069453	51138484562	43227361000	42354161230	-0.261900865	47513448683	30.49235835	7.574875368	16.85851996	14.48484409	54.76456016	6.317200416	1.1204E+11	94707169000	94175406020	0.968698719	1.12329E+11	66.80595041	9011738699	4.829867648	304630811.3	0.163267772	0	0	28160796607	15.0928611	0	0	149665867	0.080213858	526865742.8	0.282375232	0.080213858	22.45308299	13732963571	7.360221892	1.58273E+11	1.33113E+11	0.0466994	21763539849	11.66423268	22290405592	11.94660791	59355695984	0	2.75708462	86.66142512	-677595000	-3885811098	1.67709E+11	1.41765E+11	1.4E+11	1.63572E+11	0.170774117	0	1.88424E+11	1.59275E+11	1.56436E+11	0.52680946	1.83789E+11	1.71061E+11	2.07343E+11	0.045239611	23834.107	19787.9258	-0.298754107	23247.91061	21637.81751	26227.2065	3
1076507761	8512400	801806576.2	-16.29999837	717462272	28.48862115	710919533.5	5621540	1167916254	-19.6721351	1045338560	18.81372155	1276605873	10094660	2684099088	-25.13409026	2401886208	33.78400268	NaN	NaN	NaN	NaN	NaN	1425615267	11272940	1834023445	-12.36500706	1641101056	37.72737617	165078825.6	4.156644851	226510998.2	5.70349208	0	0	538914019.7	13.56972451	0	0	921029164.7	23.19129132	101590114.5	2.55801448	23.19129132	NaN	NaN	NaN	2511500889	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	747.5669814	0.663406229	310320	0	3778728900	29880000	5319944063	4760449536	0	0	3973027397	31416400	5292196641	-23.1	4735620289	15673990756	20115061948	9.336108447	530.0903798	706.0969501	-24.2593996	631.8372634	2091.259607	2683.797458	2
442751235.6	1.075E+11	417814603.9	-4.38	6.45836E+11	52.61869799	79077429.98	19200000000	NaN	NaN	NaN	9.3979442	188884914.4	45861257216	185143309.6	-14.02	3.86464E+11	22.44799668	NaN	NaN	NaN	NaN	NaN	209797128.4	50938742784	317917837.2	-2.779140758	2.75474E+11	24.93330533	37729419.81	4.062087113	1765419.505	0.190071511	78072900.72	8.405613591	57147426.02	6.152700571	0	0	0	0	1645717.553	0.177183961	8.405613591	12.23954918	56296128.87	6.061046811	793598252.4	NaN	-1.055020236	12781162.8	1.37606666	14426880.35	1.553250621	NaN	NaN	7.742645676	17.31210306	0	NaN	841433278.4	2.043E+11	914800373.9	1.17092E+12	8.934284839	0	938632612.1	2.279E+11	1013492606	-6.24	1.31642E+12	2990911465	3838356825	NaN	158.197583	170.8145217	-7.792138875	221870.0583	504.0896286	646.9184692	0
3551421234	3045698851	2647562225	6.164142304	2455660062	1.776445006	NaN	NaN	NaN	NaN	NaN	NaN	55648914962	47724509472	45046221361	-3.942563962	51007981569	27.83596497	13.44643671	18.61273767	NaN	60.55986401	7.380961613	1.40717E+11	1.20679E+11	1.24101E+11	-0.840255242	1.53727E+11	70.38759002	12268280572	5.468666193	570000227.9	0.254081324	0	0	31138672870	13.88026681	0	0	181342.6502	8.08347E-05	744097517	0.331686328	8.08347E-05	NaN	NaN	NaN	1.93199E+11	1.70399E+11	0.602575295	NaN	NaN	NaN	NaN	1.36861E+11	0	3.993231842	82.6201125	123047518.9	-1604561589	1.99917E+11	1.71449E+11	1.7184E+11	2.07191E+11	0	0	2.21986E+11	1.90376E+11	1.91246E+11	-0.961873091	2.30423E+11	2.07091E+11	2.56139E+11	0.000115934	22012.69312	18964.43842	-1.347999492	22849.26158	20535.57742	25399.35499	3
711052745.6	2.01342E+11	540373261	2.727279709	2.08209E+11	33.7588271	172106233.8	48733601792	131360526.6	-3.40181423	52759998464	8.171130237	282413120.9	79968100352	232523076.5	0.890465395	87343603712	13.4081976	NaN	NaN	NaN	NaN	NaN	1112806172	3.15102E+11	826426540	5.105563803	2.57181E+11	52.83297392	68183624.26	3.299570412	5929506.815	0.286943169	0	0	158114660	7.651550641	0	0	12306120.46	0.595522919	11550123.15	0.558938382	0.595522919	5.640840813	-41988522.89	-2.03192613	1896018657	1438160782	3.823089625	-3152227.015	-0.152543886	8397896.131	0.406394496	83920351181	NaN	1.162444735	107.9022197	-4096	0	1987193787	5.62694E+11	NaN	5.18873E+11	3.260867715	0	2106272068	5.96412E+11	1591893790	3.519343057	5.52734E+11	4684423539	6011708897	0	398.118776	300.8931358	-0.046255329	104475.4356	885.4302319	1136.308184	0
8384576889	3.16937E+11	9096777642	2.530014262	3.95407E+11	26.25152713	4760687927	1.79954E+11	4418366097	8.621511175	1.93771E+11	14.90538281	7606494641	2.87525E+11	7081764908	7.802042973	3.12171E+11	23.81540572	NaN	NaN	NaN	NaN	NaN	15948315648	6.02846E+11	16171913588	3.891880459	6.94327E+11	49.93306715	455471641.5	1.336900173	91091808.58	0.267372639	410010796.7	1.20346352	2872989476	8.432797517	0	0	233785366	0.686206709	125258621.3	0.367659053	1.889670229	20.89306131	4245116364	12.46026379	30552447853	31177579684	6.558622403	3840441413	11.27246204	3965700035	11.6401211	1.25027E+11	0	0.286969943	86.12436002	NaN	NaN	31939387178	1.20731E+12	32331766552	1.40191E+12	1.317978745	0	33166530060	1.25369E+12	33474682526	4.57437555	1.45568E+12	69563041297	89273045190	1.12500043	294.4329053	297.1685013	2.327857543	12922.66624	617.5396798	792.5134772	0
1076097001	29694000	1459573029	-30.21988761	3143302098	11.30054835	NaN	NaN	NaN	NaN	NaN	NaN	3540893305	97708000	11662699963	-6.2	28630851283	37.18441364	NaN	NaN	NaN	NaN	NaN	4905529908	135364009.9	NaN	NaN	NaN	51.51503801	551169671.8	5.180517806	362793708.2	3.409946812	0	0	1524510325	14.32907739	41571229.69	0.390733574	4758299.602	0.044723897	260408264.5	2.447612269	0.435457471	6.328123413	-851243706.7	-8.000953981	9068437771	9726818945	-1.357849003	-969605536.9	-9.113452728	-709197272.4	-6.665840458	8270034006	0	51.09105379	1.039796715	0	-3185462587	9522520213	262766009.9	10945311929	25777435425	0.560329064	0.614165465	10831999517	298900000	12181492190	-1.480214784	28746003492	42617434719	54897712682	0.033863275	1278.517392	1437.800066	-0.691213487	3392.93455	5030.200692	6479.660594	2
44274068.01	16647049	NaN	NaN	NaN	0.851380825	798316793.3	300167104	NaN	NaN	NaN	15.35146059	1973239897	741938176	NaN	NaN	NaN	37.9449797	NaN	NaN	NaN	NaN	NaN	3182752109	1196714752	NaN	NaN	NaN	61.20363993	217618273.7	4.346585366	79232794.95	1.582551415	0	0	817819176.9	16.33466163	0	0	766654357.5	15.31272422	10937642.42	0.218462336	15.31272422	11.96812433	-218617197.2	-4.366537304	3422175488	NaN	NaN	-857823718.3	-17.13368991	-846886075.9	-16.91522757	NaN	NaN	-3.025816976	84.85824648	0	NaN	NaN	NaN	NaN	NaN	0	0	5200266050	1955299968	6224264259	12.87000742	2304195584	9213378177	11823898309	5.713540561	9768.289341	11691.78916	10.18459503	4328.249544	17306.60373	22210.25977	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17116893.46	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	0.133256847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
