Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant 2000 US$)	Agriculture, value added (annual % growth)	Agriculture, value added (constant LCU)	Agriculture, value added (% of GDP)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (annual % growth)	Manufacturing, value added (constant LCU)	Manufacturing, value added (% of GDP)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (annual % growth)	Industry, value added (constant LCU)	Industry, value added (% of GDP)	Chemicals (% of value added in manufacturing)	Food, beverages and tobacco (% of value added in manufacturing)	Machinery and transport equipment (% of value added in manufacturing)	Other manufacturing (% of value added in manufacturing)	Textiles and clothing (% of value added in manufacturing)	Services, etc., value added (current US$)	Services, etc., value added (current LCU)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (annual % growth)	Services, etc., value added (constant LCU)	Services, etc., value added (% of GDP)	Adjusted savings: education expenditure (current US$)	Adjusted savings: education expenditure (% of GNI)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: carbon dioxide damage (% of GNI)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: net forest depletion (% of GNI)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: consumption of fixed capital (% of GNI)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: mineral depletion (% of GNI)	Adjusted savings: energy depletion (current US$)	Adjusted savings: energy depletion (% of GNI)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: particulate emission damage (% of GNI)	Adjusted savings: natural resources depletion (% of GNI)	Adjusted savings: gross savings (% of GNI)	Adjusted savings: net national savings (current US$)	Adjusted savings: net national savings (% of GNI)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net national income (annual % growth)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, including particulate emission damage (% of GNI)	Adjusted net savings, excluding particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (% of GNI)	Exports as a capacity to import (constant LCU)	Coal rents (% of GDP)	Inflation, GDP deflator (annual %)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	Forest rents (% of GDP)	Mineral rents (% of GDP)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP growth (annual %)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	Natural gas rents (% of GDP)	GDP per capita (current US$)	GDP per capita (constant 2000 US$)	GDP per capita growth (annual %)	GDP per capita (constant LCU)	GDP per capita, PPP (current international $)	GDP per capita, PPP (constant 2005 international $)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	756523.0955	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63546244	13.18397109	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.87881679	77.66235046	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	481996232.9	405699935	702766412.7	3.253321681	522389462.3	NaN	NaN	NaN	9906.814233	14444.46206	0.623866857	10737.04525	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13231434.55	NaN	65844676.68	NaN	NaN	NaN	0	NaN	137325417.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
914505331.3	27.36199951	663814264	-1.447207129	235778772.8	14.38840516	694117635.3	20.76799965	486134791.1	-4.500721651	172898304.1	10.92092678	2167747365	64.85900116	3691945525	-4.203970144	725423130.4	34.10633739	NaN	NaN	NaN	NaN	NaN	3273596483	97.94600677	2597146031	13.75515072	656242317.2	51.50525745	416387553	7.099715194	19623282.74	0.334591458	0	0	564929475.1	9.632464632	0	0	666042139.3	11.35651021	NaN	NaN	11.35651021	18.53925325	522349836.2	8.906450354	4633877068	NaN	0.236557533	NaN	NaN	253091805.9	4.315402146	830648820.6	NaN	-9.134626659	1.17573E-05	-12.9618454	589537.9576	6164639009	184.4459991	NaN	1568213222	0.422254319	0	6355849179	190.1670074	7420862520	2.8	1617444220	17647871432	28031313289	0.120808695	681.7715303	796.0120911	-0.033813324	173.4980473	1893.030494	3006.828957	2
739075008	5912600064	665451276.5	3.805416949	67126484992	34.00000012	NaN	NaN	NaN	NaN	NaN	NaN	960800000	7686400000	906717093.9	7.832884492	1.17509E+11	44.20011468	NaN	NaN	NaN	NaN	NaN	473875008	3791000064	1337238092	4.203735662	1.37266E+11	21.7998852	NaN	NaN	33920025.32	1.560366404	16068566.89	0.739175508	194948964.9	8.967912388	5777606.841	0.26577762	73256523.37	3.369897777	NaN	NaN	4.374850905	30.76396822	473806298.3	21.79572164	1883798354	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.237216849	-2.378000687	5.143103869	0	NaN	2173750016	17390000128	2936846362	3.1499E+11	1.106572628	0.425343245	2173750016	17390000128	3311132154	5.637243184	3.38123E+11	8336684489	13241669363	1.213462135	716.6067885	1091.560557	2.990455447	111466.8195	2748.303464	4365.299637	1
402070280.2	1476000000	NaN	NaN	NaN	1.184524144	2809043854	10312000000	NaN	NaN	NaN	8.275618545	17703078162	64988000000	NaN	NaN	NaN	52.15437335	NaN	NaN	NaN	NaN	NaN	15838463617	58143000000	NaN	NaN	NaN	46.66110251	NaN	NaN	198872938.6	NaN	NaN	NaN	3983110865	NaN	0	NaN	3518166312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.698485327	40.83262907	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	33943612060	1.24607E+11	49462128951	-14.95813654	3.05165E+11	62541221823	99338074029	3.463620144	23756.92689	34618.24214	-19.70714073	213583.305	43772.21941	69526.11166	3
8653333202	778800	9334250170	0.166620584	10520500224	7.80040264	30417777317	2737600	41757430894	11.35701438	39065600000	27.41959716	41467777149	3732100	59788879910	11.04787707	56937799680	37.38043489	NaN	NaN	NaN	NaN	NaN	60813332411	5473200	1.20862E+11	5.651457813	1.18729E+11	54.81916247	1253333303	1.183258145	438767956.1	0.414235987	0	0	12823343395	12.10637704	7665831.037	0.007237227	1986248971	1.875195743	NaN	NaN	1.882432969	15.48284905	3575270066	3.375373029	91104962419	1.64437E+11	9.419110122	NaN	NaN	2397084679	2.263061202	10013345163	0.000205226	74.4614934	0.005105181	NaN	NaN	1.10934E+11	9984100	1.89745E+11	1.86187E+11	0.109471594	0.011058443	1.10934E+11	9984100	2.01255E+11	7.875779831	1.95568E+11	1.69297E+11	2.68905E+11	1.063796443	3600.483606	6531.926422	6.276622362	6347.346545	5494.706413	8727.580581	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
9114814.654	24610000	8438556.839	6.787504821	29340204.13	4.457444945	7962962.822	21500000	11687267.32	3.993796045	39860807.23	3.894151415	39040740.05	105410000	53592190.19	25.87084539	159119799.4	19.09220933	NaN	NaN	NaN	NaN	NaN	156329620.9	422089984	348594034.4	5.779467681	977791033.9	76.45033993	5579288.494	2.658116742	1049868.786	0.50018453	NaN	NaN	28647387.37	13.6483532	0	0	0	0	NaN	NaN	NaN	1.873941321	-24716695.9	-11.77567054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.067865672	49.69971722	0	NaN	204485187.5	552110016	406097213.7	1138375293	NaN	0	245896292	663920000	475029380.7	12.71942295	1335862732	472604491.1	750666817.2	NaN	3810.041865	7360.346157	14.59694475	20698.53471	7322.773689	11631.2124	2
