Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant 2000 US$)	Agriculture, value added (annual % growth)	Agriculture, value added (constant LCU)	Agriculture, value added (% of GDP)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (annual % growth)	Manufacturing, value added (constant LCU)	Manufacturing, value added (% of GDP)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (annual % growth)	Industry, value added (constant LCU)	Industry, value added (% of GDP)	Chemicals (% of value added in manufacturing)	Food, beverages and tobacco (% of value added in manufacturing)	Machinery and transport equipment (% of value added in manufacturing)	Other manufacturing (% of value added in manufacturing)	Textiles and clothing (% of value added in manufacturing)	Services, etc., value added (current US$)	Services, etc., value added (current LCU)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (annual % growth)	Services, etc., value added (constant LCU)	Services, etc., value added (% of GDP)	Adjusted savings: education expenditure (current US$)	Adjusted savings: education expenditure (% of GNI)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: carbon dioxide damage (% of GNI)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: net forest depletion (% of GNI)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: consumption of fixed capital (% of GNI)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: mineral depletion (% of GNI)	Adjusted savings: energy depletion (current US$)	Adjusted savings: energy depletion (% of GNI)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: particulate emission damage (% of GNI)	Adjusted savings: natural resources depletion (% of GNI)	Adjusted savings: gross savings (% of GNI)	Adjusted savings: net national savings (current US$)	Adjusted savings: net national savings (% of GNI)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net national income (annual % growth)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, including particulate emission damage (% of GNI)	Adjusted net savings, excluding particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (% of GNI)	Exports as a capacity to import (constant LCU)	Coal rents (% of GDP)	Inflation, GDP deflator (annual %)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	Forest rents (% of GDP)	Mineral rents (% of GDP)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP growth (annual %)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	Natural gas rents (% of GDP)	GDP per capita (current US$)	GDP per capita (constant 2000 US$)	GDP per capita growth (annual %)	GDP per capita (constant LCU)	GDP per capita, PPP (current international $)	GDP per capita, PPP (constant 2005 international $)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8824023.755	0.858750745	NaN	NaN	124461031.7	12.11250181	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.703892153	89.0180022	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	958659238.3	1716000000	1241360073	3.997624514	1927699968	NaN	NaN	NaN	14038.88408	18178.83714	-1.55208324	28229.79773	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	164532339.3	13.5977971	0	0	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.710771356	114.111312	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	1209992604	744521376	877738325.5	0.929215383	652451858.3	NaN	NaN	NaN	20946.08694	15194.45922	-3.912214081	11294.54288	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7303287.747	NaN	70303078.95	NaN	NaN	NaN	0	NaN	6175164.106	NaN	NaN	1.506887039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
585919300.2	268	490992532.9	-27.2	174394590.7	10.13807452	286400852	131	209277176.5	-22.3	74431350.25	4.955551352	3075420340	1406.699951	4467395442	-0.842549681	877789762.7	53.2135408	NaN	NaN	NaN	NaN	NaN	2118054652	968.8000488	2551434073	-7.615671908	644691899.7	36.64838467	155104967.4	4.418226424	22623294.95	0.644433516	0	0	458468426.4	13.0596547	0	0	2290206072	65.23742697	58271856.38	1.659896907	65.23742697	-58.95110456	-2529109820	-72.04269484	761896317.1	NaN	NaN	-4743984955	-135.1342902	-4685713098	-133.4743933	NaN	NaN	252.7404965	0.000155786	1.52588E-05	NaN	5541409412	2534.645508	NaN	1689502695	1.505658141	0	5779394292	2643.5	7785298083	-6.9	1696876253	22423523676	29407919767	0.357424855	525.2605258	707.5671875	-9.856370133	154.2206792	2037.963019	2672.74019	2
366374577	27490000896	688870198.3	18.49800691	69488836608	51.64187024	NaN	NaN	NaN	NaN	NaN	NaN	165448304.7	12414000128	326064168.6	-41.25936518	42257342464	23.32055885	NaN	NaN	NaN	NaN	NaN	177629690.9	13328000000	875931600.8	4.369044486	89913475072	25.0375709	NaN	NaN	12222211.63	1.795627918	32931833.87	4.838184946	46648312.33	6.853343284	2159224.845	0.317222818	41800167.51	6.141077414	2075301.152	0.304893157	11.29648518	-2.149262	-61447238.64	-9.027529598	557125509.2	1128626693	-26.63427686	NaN	NaN	NaN	NaN	10112848123	0.052368577	249.6834367	24.80413834	10720	-6336135012	709452572.7	53232001024	1880194980	2.0166E+11	6.361038011	0.487052362	709452572.7	53232001024	2101603929	-7.2	2.14609E+11	6408505648	8404600927	0.659034847	217.1583301	643.285848	-6.498045444	65690.37974	1961.597489	2572.587897	1
747752655.2	2745000000	NaN	NaN	NaN	1.378621078	4113320617	15100000000	NaN	NaN	NaN	7.583671501	29993189835	1.10105E+11	NaN	NaN	NaN	55.29802322	NaN	NaN	NaN	NaN	NaN	23498229341	86262000000	NaN	NaN	NaN	43.3233557	NaN	NaN	297651218.3	NaN	NaN	NaN	7584810938	NaN	0	NaN	8428439108	NaN	NaN	1.520218187	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.806826098	46.7757275	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	54239171831	1.99112E+11	68994519208	3.344944884	4.25674E+11	1.05657E+11	1.38566E+11	2.220606889	26929.79816	34255.84156	-2.005905442	211347.4112	52458.66644	68798.27854	3
13705685750	13577400320	10164976254	0.212547733	11456799744	5.9907871	50009186273	49541099520	44063807090	11.57564925	41223299072	21.85913157	70198562602	69541502976	63864427288	12.25774362	60819001344	30.68395489	NaN	NaN	NaN	NaN	NaN	1.44875E+11	1.43519E+11	1.38949E+11	9.355146202	1.36496E+11	63.32521644	7028411632	3.130395568	621793282.5	0.276941511	0	0	27163934154	12.09858835	11930829.56	0.005313891	3195050346	1.423048616	3634565772	1.618805099	1.428362507	13.91053419	4053807408	1.805531806	1.94151E+11	1.94054E+11	14.21080479	3633279690	1.618232289	7267845462	3.237037387	15566293591	0	11.92076024	101.4884881	307200	NaN	2.28779E+11	2.26638E+11	2.12761E+11	2.08772E+11	0.097197619	0.008345549	2.28779E+11	2.26638E+11	2.29808E+11	11.94077473	2.23314E+11	2.3413E+11	3.07056E+11	0.470960615	6821.086043	6851.752586	10.45075526	6658.135026	6980.618924	9154.913719	2
362503446.4	88360000	398503092.4	-8.700001313	2.23324E+11	31.04272063	386913762.2	94310000	233607892.4	-59.70000141	1.25119E+11	33.13308038	460103683.9	112150000	429269248.4	-72.95262996	1.74103E+11	39.40064643	NaN	NaN	NaN	NaN	NaN	345149558	84130000	481258027.8	57.73399447	1.89076E+11	29.55663294	NaN	NaN	18849616.7	1.772738099	0	0	94037960.17	8.843929158	289236.1146	0.027201608	0	0	26034497.92	2.448450125	0.027201608	NaN	NaN	NaN	968978021.3	1313257527	-55.98381639	NaN	NaN	NaN	NaN	5.12007E+11	NaN	568.80733	0.051033606	22070016	39922491392	1167756688	284640000	1331055671	5.86503E+11	0	0.036372188	1272577522	310190016	1448894008	-41.80000275	6.07815E+11	4080732476	5351782437	0	368.8694649	419.9765817	-40.75219901	176181.3843	1182.841579	1551.268265	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
15255555.29	41190000	12272325.17	4.299404299	42669917.67	4.230733607	9940740.565	26840000	11695982.65	-5.989492119	39890531.92	2.756807235	69911109.88	188760000	77980865.12	-2.466248538	231531862.6	19.38803777	NaN	NaN	NaN	NaN	NaN	275422223.3	743640016	439789842.5	1.556712963	1233591291	76.38122863	14559514.3	3.694717887	1501961.49	0.381147603	NaN	NaN	50141712.53	12.72428999	0	0	0	0	NaN	NaN	NaN	32.61369899	78349540.68	19.88249356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.390414899	67.23588115	0	NaN	360588888.4	973590016	529338731.5	1483847004	NaN	0	423762955.5	1144160000	605123888.1	0.848183727	1701710427	729139656.2	956249111.2	NaN	6641.844385	9484.403123	-0.808330121	26671.74112	11428.16301	14987.76075	2
