Bank nonperforming loans to total gross loans (%)	Automated teller machines (ATMs) (per 100,000 adults)	Bank capital to assets ratio (%)	Commercial bank branches (per 100,000 adults)	Borrowers from commercial banks (per 1,000 adults)	Depositors with commercial banks (per 1,000 adults)	Point-of-sale terminals (per 100,000 adults)	Bank liquid reserves to bank assets ratio (%)	Total reserves (includes gold, current US$)	Total reserves (% of total external debt)	Total reserves in months of imports	Total reserves minus gold (current US$)	Claims on central government (annual growth as % of broad money)	Claims on other sectors of the domestic economy (annual growth as % of broad money)	Net domestic credit (current LCU)	Net foreign assets (current LCU)	Claims on private sector (annual growth as % of broad money)	Broad money (current LCU)	Broad money (% of GDP)	Broad money to total reserves ratio	Broad money growth (annual %)	Money (current LCU)	Money and quasi money (M2) (current LCU)	Money and quasi money (M2) as % of GDP	Money and quasi money (M2) to total reserves ratio	Money and quasi money growth (annual %)	Quasi money (current LCU)	Consumer price index (2005 = 100)	Inflation, consumer prices (annual %)	Wholesale price index (2005 = 100)	Deposit interest rate (%)	Lending interest rate (%)	Interest rate spread (lending rate minus deposit rate, %)	Real interest rate (%)	Risk premium on lending (prime rate minus treasury bill rate, %)	Claims on central government, etc. (% GDP)	Claims on other sectors of the domestic economy (% of GDP)	Domestic credit provided by banking sector (% of GDP)	Domestic credit to private sector (% of GDP)	Liquid liabilities (M3) as % of GDP	Quasi-liquid liabilities (% of GDP)	Research and development expenditure (% of GDP)	Cash surplus/deficit (current LCU)	Cash surplus/deficit (% of GDP)	Central government debt, total (current LCU)	Central government debt, total (% of GDP)	Net incurrence of liabilities, domestic (current LCU)	Net incurrence of liabilities, domestic (% of GDP)	Net incurrence of liabilities, foreign (current LCU)	Net incurrence of liabilities, foreign (% of GDP)	Grants and other revenue (current LCU)	Grants and other revenue (% of revenue)	Social contributions (current LCU)	Social contributions (% of revenue)	Revenue, excluding grants (current LCU)	Revenue, excluding grants (% of GDP)	Taxes on exports (current LCU)	Taxes on exports (% of tax revenue)	Taxes on goods and services (current LCU)	Taxes on goods and services (% of revenue)	Taxes on goods and services (% value added of industry and services)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19318745004	NaN	3.337535521	16264540004	-2.763596664	NaN	2.84288E+11	-5835259772	13.83735312	2.18795E+11	53.6076993	8.840771016	12.75767883	46731000000	2.18795E+11	53.6076993	8.840771016	12.75767883	1.72064E+11	69.21012913	7.272260054	76.58979734	16.34664855	17.89583333	1.549184783	11.09696682	3.745	5.506463143	NaN	69.65439241	60.04567049	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17227718750	NaN	2.884646794	9376413750	NaN	NaN	1.6214E+11	3500614929	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	71.90318095	3.262322144	86.58736963	3.409583333	NaN	NaN	NaN	NaN	29.24957156	NaN	119.1016725	89.85210097	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	111668459.4	12.31270302	3.926548387	105037989.4	-9.961745058	NaN	32626900000	9980933147	15.5324412	30591100000	15.77853083	1.599632622	9.986912783	22524600000	30591100000	15.77853083	1.599632622	9.986912783	8066500000	17.12392253	7.002169567	NaN	NaN	12.34166667	NaN	5.997142471	4.981666667	3.656887321	NaN	16.82857261	8.614541103	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23788897634	NaN	NaN	12151446865	NaN	NaN	1.19435E+11	-18455032859	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	73.50701813	3.452823015	79.42052399	6.125	13	6.875	9.908918066	3.3825	35.15847094	NaN	71.08116025	35.92268931	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69184858.97	6.178670435	1.68855212	64911358.97	12.35685136	NaN	1.12427E+11	168215026.5	-1.303358018	1.34024E+11	26.68047482	7.115100029	28.63155086	1.04551E+11	1.34024E+11	26.68047482	7.115100029	28.63155086	29473000000	NaN	NaN	NaN	7	16	9	14.22475204	NaN	2.061648532	NaN	22.38111855	20.31947001	26.6804151	5.867186996	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	659565646	5.36874343	1.911982792	628650146	-2.673037801	NaN	2.24875E+11	10300850463	9.252968728	2.33352E+11	23.25872	10.23455801	10.39977291	64498000000	2.33352E+11	23.25872	10.23455801	10.39977291	1.68854E+11	46.63452362	6.12671847	NaN	12.04	16	3.96	9.08858658	NaN	0.523678027	NaN	22.41379829	16.65563246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.04857523	23.8	0.438182362	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2292000	-5.04950387	NaN	NaN	4092000	9.015082825	-380000	-0.837177779	6207000	28.38004664	4846000	22.15719446	21400000	47.14632758	NaN	NaN	3875000	17.71752549	9.871856622	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1292613621	NaN	1.672576042	1234863621	7.201692164	NaN	-16532418.26	1119419418	-0.736961128	930736000	58.5221328	1.915005119	-11.56314434	258555000	930736000	58.5221328	1.915005119	-11.56314434	672181000	89.66863454	0.929335437	NaN	7.5	8.411481976	0.911481976	3.419729047	NaN	-30.8819428	NaN	-1.03951322	29.84242958	NaN	NaN	NaN	-37200000	-2.339034205	138800000	8.727364185	-118300000	-7.438380282	121100000	7.61443662	374800000	81.95932648	NaN	NaN	431000000	27.1001006	NaN	NaN	16700000	3.65186967	1.060114478	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
