Bank nonperforming loans to total gross loans (%)	Automated teller machines (ATMs) (per 100,000 adults)	Bank capital to assets ratio (%)	Commercial bank branches (per 100,000 adults)	Borrowers from commercial banks (per 1,000 adults)	Depositors with commercial banks (per 1,000 adults)	Point-of-sale terminals (per 100,000 adults)	Bank liquid reserves to bank assets ratio (%)	Total reserves (includes gold, current US$)	Total reserves (% of total external debt)	Total reserves in months of imports	Total reserves minus gold (current US$)	Claims on central government (annual growth as % of broad money)	Claims on other sectors of the domestic economy (annual growth as % of broad money)	Net domestic credit (current LCU)	Net foreign assets (current LCU)	Claims on private sector (annual growth as % of broad money)	Broad money (current LCU)	Broad money (% of GDP)	Broad money to total reserves ratio	Broad money growth (annual %)	Money (current LCU)	Money and quasi money (M2) (current LCU)	Money and quasi money (M2) as % of GDP	Money and quasi money (M2) to total reserves ratio	Money and quasi money growth (annual %)	Quasi money (current LCU)	Consumer price index (2005 = 100)	Inflation, consumer prices (annual %)	Wholesale price index (2005 = 100)	Deposit interest rate (%)	Lending interest rate (%)	Interest rate spread (lending rate minus deposit rate, %)	Real interest rate (%)	Risk premium on lending (prime rate minus treasury bill rate, %)	Claims on central government, etc. (% GDP)	Claims on other sectors of the domestic economy (% of GDP)	Domestic credit provided by banking sector (% of GDP)	Domestic credit to private sector (% of GDP)	Liquid liabilities (M3) as % of GDP	Quasi-liquid liabilities (% of GDP)	Research and development expenditure (% of GDP)	Cash surplus/deficit (current LCU)	Cash surplus/deficit (% of GDP)	Central government debt, total (current LCU)	Central government debt, total (% of GDP)	Net incurrence of liabilities, domestic (current LCU)	Net incurrence of liabilities, domestic (% of GDP)	Net incurrence of liabilities, foreign (current LCU)	Net incurrence of liabilities, foreign (% of GDP)	Grants and other revenue (current LCU)	Grants and other revenue (% of revenue)	Social contributions (current LCU)	Social contributions (% of revenue)	Revenue, excluding grants (current LCU)	Revenue, excluding grants (% of GDP)	Taxes on exports (current LCU)	Taxes on exports (% of tax revenue)	Taxes on goods and services (current LCU)	Taxes on goods and services (% of revenue)	Taxes on goods and services (% value added of industry and services)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	689775980	NaN	1.179473124	536675980	-0.723962365	NaN	2591796000	1493405000	2.330664952	3158590000	NaN	2.558186238	0.122609853	1554730000	3158590000	NaN	2.558186238	0.122609853	1603860000	124.0517286	4.374171558	NaN	NaN	9.658333333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	67.45983259	6344642495	NaN	NaN	5268341926	-5.549506266	-16.3030911	-25510536446	3.38126E+11	-16.3030911	3.11433E+11	33.70488347	1.050035128	21.30916836	2.90722E+11	3.11433E+11	33.70488347	1.050035128	21.30916836	NaN	159.9915541	13.8048082	NaN	NaN	15.14583333	NaN	NaN	NaN	-7.383749584	4.622869016	-2.760880568	4.567875834	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28786209253	NaN	NaN	28786209253	-19.25976675	NaN	1.74813E+12	2.92367E+12	18.30541002	3.50621E+12	37.03673657	1.299351516	33.50844607	1.16175E+12	3.50621E+12	37.03673657	1.299351516	33.50844607	2.34447E+12	211.3092883	13.46701535	NaN	NaN	18.75724054	NaN	-1.685358915	NaN	-4.321798346	NaN	18.46581816	21.8013885	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
14.4	NaN	9.1	NaN	NaN	NaN	NaN	13.48067593	2471402948	NaN	3.894915579	2393924309	1.863536525	5.992570876	9.04162E+11	3.89001E+11	4.923798487	1.07015E+12	81.84358268	4.291720784	9.167305154	3.25193E+11	1.07015E+12	81.84358268	4.291720784	9.167305154	NaN	119.3336209	3.450347153	112.3804067	NaN	12.4320986	NaN	9.15737728	6.969074838	27.6594962	41.4895925	69.14908869	39.25173998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
6.2	NaN	17.2	NaN	NaN	NaN	NaN	NaN	37269321629	NaN	NaN	37269321629	1.984724295	NaN	1.07683E+12	92346388449	3.443338403	8.25758E+11	62.41557067	6.033085742	5.006434483	2.64096E+11	8.25758E+11	62.41557067	6.033085742	5.006434483	5.61662E+11	116.0116938	0.876836633	NaN	NaN	NaN	NaN	NaN	NaN	3.409721206	NaN	81.3932435	61.91640212	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
1.5	NaN	11.2	NaN	NaN	NaN	NaN	NaN	46265809101	NaN	5.4958259	43226839533	12.87595848	NaN	5.66177E+11	1.78698E+11	21.54307642	5.30131E+11	28.77983585	2.787830682	26.03166313	2.15282E+11	5.30131E+11	28.77983585	2.787830682	26.03166313	3.14849E+11	168.9113405	9.465686275	197.513312	NaN	14.0875	NaN	-2.722546239	NaN	13.78076586	NaN	31.30796869	16.57164133	28.83759733	17.15031455	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
4.2	NaN	19.3	NaN	NaN	NaN	NaN	20.43296031	1932472154	NaN	4.216306227	1932472154	5.287529177	39.66751381	1.3688E+12	27995101459	38.53843353	1.12698E+12	29.52283361	1.565578915	23.65541669	6.36701E+11	1.12698E+12	29.52283361	1.565578915	23.65541669	NaN	140.9491801	7.651233638	146.7352703	NaN	17.75447379	NaN	12.98553513	8.228698785	0.355909373	35.65036652	36.0062759	35.00316777	19.96562172	3.286302882	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.519246316	147868735.6	NaN	2.566430205	147868735.6	2.69271066	-3.554983603	3061448574	190545463	-3.41532331	3253516666	106.7597212	8.149161265	1.335211767	1142221666	3253516666	106.7597212	8.149161265	1.335211767	NaN	115.6452204	3.456749672	NaN	NaN	10.91445252	NaN	8.649890286	4.414452523	17.77795623	82.67931197	100.4572682	77.23395421	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
