Bank nonperforming loans to total gross loans (%)	Automated teller machines (ATMs) (per 100,000 adults)	Bank capital to assets ratio (%)	Commercial bank branches (per 100,000 adults)	Borrowers from commercial banks (per 1,000 adults)	Depositors with commercial banks (per 1,000 adults)	Point-of-sale terminals (per 100,000 adults)	Bank liquid reserves to bank assets ratio (%)	Total reserves (includes gold, current US$)	Total reserves (% of total external debt)	Total reserves in months of imports	Total reserves minus gold (current US$)	Claims on central government (annual growth as % of broad money)	Claims on other sectors of the domestic economy (annual growth as % of broad money)	Net domestic credit (current LCU)	Net foreign assets (current LCU)	Claims on private sector (annual growth as % of broad money)	Broad money (current LCU)	Broad money (% of GDP)	Broad money to total reserves ratio	Broad money growth (annual %)	Money (current LCU)	Money and quasi money (M2) (current LCU)	Money and quasi money (M2) as % of GDP	Money and quasi money (M2) to total reserves ratio	Money and quasi money growth (annual %)	Quasi money (current LCU)	Consumer price index (2005 = 100)	Inflation, consumer prices (annual %)	Wholesale price index (2005 = 100)	Deposit interest rate (%)	Lending interest rate (%)	Interest rate spread (lending rate minus deposit rate, %)	Real interest rate (%)	Risk premium on lending (prime rate minus treasury bill rate, %)	Claims on central government, etc. (% GDP)	Claims on other sectors of the domestic economy (% of GDP)	Domestic credit provided by banking sector (% of GDP)	Domestic credit to private sector (% of GDP)	Liquid liabilities (M3) as % of GDP	Quasi-liquid liabilities (% of GDP)	Research and development expenditure (% of GDP)	Cash surplus/deficit (current LCU)	Cash surplus/deficit (% of GDP)	Central government debt, total (current LCU)	Central government debt, total (% of GDP)	Net incurrence of liabilities, domestic (current LCU)	Net incurrence of liabilities, domestic (% of GDP)	Net incurrence of liabilities, foreign (current LCU)	Net incurrence of liabilities, foreign (% of GDP)	Grants and other revenue (current LCU)	Grants and other revenue (% of revenue)	Social contributions (current LCU)	Social contributions (% of revenue)	Revenue, excluding grants (current LCU)	Revenue, excluding grants (% of GDP)	Taxes on exports (current LCU)	Taxes on exports (% of tax revenue)	Taxes on goods and services (current LCU)	Taxes on goods and services (% of revenue)	Taxes on goods and services (% value added of industry and services)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	321360614.5	NaN	1.247458846	293710614.5	-1.018721353	NaN	1540655000	700601000	4.584621787	1840232000	54.14039321	3.199093241	6.365028813	701051000	1840232000	54.14039321	3.199093241	6.365028813	1139181000	88.08060523	2.883604303	NaN	5.841666667	12.1	6.258333333	8.96510038	NaN	-1.206619571	NaN	45.32671289	46.53333246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	11.1	NaN	NaN	NaN	NaN	NaN	731866869.4	8.677767647	1.060513959	731866869.4	42.38811292	NaN	10358471.83	47792308275	34.76907002	41378546153	20.99253118	2.563183691	161.221407	13681450706	41378546153	20.99253118	2.563183691	161.221407	27697095446	13.68218191	152.5610225	NaN	47.90879167	95.96656083	48.05776917	-6.002628158	NaN	-4.180399221	NaN	0.005255152	3.730588189	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.17969662	770581241.8	69.80294562	5.168217584	739903013.8	2.437230935	NaN	2.7461E+11	1.5727E+11	3.088902066	3.9114E+11	66.5525561	3.537592471	19.21338005	1.4076E+11	3.9114E+11	66.5525561	3.537592471	19.21338005	NaN	88.19705198	3.10758827	76.02149194	7.725	19.65416667	11.92916667	15.65450881	11.93290933	40.49405028	6.230900967	46.72495125	5.945048602	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
15.7	NaN	11.9	NaN	NaN	NaN	NaN	NaN	14256130152	NaN	NaN	14146359652	-7.908289027	NaN	1.11145E+11	1.20407E+11	8.447731336	1.56445E+11	41.23354032	2.988121357	23.2151155	39464000000	1.56445E+11	41.23354032	2.988121357	23.2151155	1.16981E+11	NaN	NaN	NaN	3.603333333	8.0525	4.449166667	10.65205726	NaN	-7.407813349	NaN	29.29397784	34.41588563	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
13.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14555552761	9.794946535	4.288127215	14553064261	15.87485307	NaN	98231071000	-8178428654	-12.90844742	72922287000	27.1392551	5.012435294	-19.43621848	15844028000	72922287000	27.1392551	5.012435294	-19.43621848	57078259000	61.17490414	-1.066635508	40.13145634	16.16359749	27.70542642	11.54182893	29.12029935	NaN	12.81563006	NaN	37.24336857	20.83357735	27.1891757	21.2925543	0.424605116	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
24.4	NaN	8.8	NaN	NaN	NaN	NaN	9.447667299	329632781.8	25.53173155	3.889782877	317217931.8	0.423812051	NaN	1.09767E+11	85070447551	-8.92569232	1.58151E+11	13.44964842	0.864347025	4.284803023	1.04011E+11	1.58151E+11	13.44964842	0.864347025	4.284803023	NaN	87.77627831	3.145904647	95.01266836	14.90166667	26.6875	11.78583333	21.73397423	6.096078512	0.851622436	8.483253789	9.334876225	7.573053764	NaN	NaN	0.279867755	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.797627606	79718831.04	NaN	1.779922561	79718831.04	-0.831989436	NaN	1730743464	320038305.8	2.305070809	1848429601	86.22459329	8.587726977	4.931932397	671608601	1848429601	86.22459329	8.587726977	4.931932397	NaN	91.90651325	1.402796636	NaN	4.489307978	11.6243804	7.13507242	15.32167049	4.624380398	13.48921501	67.24561589	80.7348309	62.91374378	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
