Exports of goods and services (current US$)	Exports of goods and services (constant LCU)	Gross fixed capital formation (current US$)	Gross fixed capital formation (constant LCU)	Gross capital formation (current LCU)	Gross capital formation (constant LCU)	Imports of goods and services (constant LCU)	Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant LCU)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (constant LCU)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (constant LCU)	Services, etc., value added (current US$)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (constant LCU)	Adjusted savings: education expenditure (current US$)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: energy depletion (current US$)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: net national savings (current US$)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (current US$)	Exports as a capacity to import (constant LCU)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	GDP per capita (constant LCU)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14196615.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	124.4270508	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3528999936	1826396959	2836199936	NaN	NaN	29276.90257	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.79	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3370253.376	NaN	254134912.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	159.633704	NaN	NaN	NaN	NaN	NaN	NaN	1917948475	1699367879	1432119979	1064542033	NaN	NaN	14743.73687	NaN	NaN	NaN	NaN	NaN	1640566642	1917948475	1699367879	NaN	NaN	NaN	22720	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.886034167	NaN	NaN	NaN	NaN	NaN	3
1998881466	24900000000	773054963.7	73000000000	37851000000	74800000000	1.586E+11	2148758776	1.05209E+11	1.02561E+11	609338680.7	29834978733	NaN	28340960808	870958943.3	42644661128	NaN	40612464224	1650091695	NaN	77483221559	NaN	3670344.43	96885018.23	377858235.3	NaN	NaN	75892451.08	NaN	4284295647	NaN	NaN	NaN	73222732419	103.8450196	NaN	1322701592	4669809414	2.28647E+11	NaN	2.20657E+11	4766127272	2.33363E+11	NaN	2.24723E+11	16805497637	17851474792	7953.175836	-1557628857	-76266000000	NaN	NaN	2.73045E+11	NaN	4759038901	2.33016E+11	NaN	2.24365E+11	16780503844	NaN	NaN	7940.505962	590	NaN	NaN	2.73034E+11	-7088370.65	-347067065.2	-11360000	96317857.1	4716000000	4065517241	50566874.98	2475900000	NaN	48322732419	48.96288333	48.76275358	13.88613051	0.283605245	NaN	NaN	0
9716298086	NaN	1767393296	NaN	1.31859E+11	NaN	NaN	1162634606	86739866194	272369991.4	541777954.3	40420048594	357575017.6	127174839.7	9406039488	7.0175E+11	8146326697	1600655745	3387594205	2194115164	554405182.7	321768759.5	57063468.12	NaN	1353112954	NaN	4259007835	363160482.5	-298677817.3	6617666443	NaN	-4655704625	-4292544143	NaN	42894.13683	NaN	NaN	13908125125	1.03763E+12	NaN	NaN	13956268299	1.04123E+12	11137095732	2427430919	39603930374	42068886029	157.4215235	2682435758	2.00127E+11	929970993.6	NaN	NaN	10677511015	12229787232	9.12419E+11	NaN	NaN	34704666868	690	NaN	NaN	2250	1054871355	78700048788	NaN	-1726481067	-1.28806E+11	-372982662.2	NaN	NaN	NaN	98916669.55	7379806723	40223730.57	NaN	74.6063	74.60630083	26.29096481	0.352396042	42.40595579	NaN	2
1165475463	1.29377E+11	1324661063	1.1124E+11	1.59988E+11	1.17994E+11	2.9964E+11	1194022040	1.4421E+11	98339670057	614141780.1	74173997056	380633089	55205036032	1049209263	1.2672E+11	655496346.7	84951173031	2732646899	2186002715	2.24391E+11	165445161.6	27008194.86	NaN	589533129.6	NaN	49201489.96	16652098.04	316824282.9	5181053258	4125418714	389630610.5	406282708.6	1.34681E+11	155.8139793	1.1726E+11	865425100.3	4975878202	6.0097E+11	3801063796	4.07682E+11	5652325082	6.82669E+11	4290480934	4.38131E+11	16152861807	17158218793	141027.6582	-102824848.7	-12418842474	NaN	4282100000	4.43435E+11	5125408419	5819787878	7.02895E+11	4424513491	4.52521E+11	16631426534	1650	1424.183882	145659.8024	5350	906580361.4	1.09494E+11	NaN	167462796.3	20225598326	NaN	676446879.6	81698999296	30449000448	782438272	94500286365	67237763691	5304196627	120.7766667	121.86325	42.26303614	0.349927161	56.4299682	NaN	1
69538463525	4.06818E+11	25853506525	1.14868E+11	97897000000	1.18454E+11	2.57459E+11	2397004834	8803000000	10964000000	15247924193	55998000000	NaN	68027000000	61080192351	2.24317E+11	NaN	4.12992E+11	60869164434	NaN	3.03504E+11	NaN	669572393.3	NaN	16894252721	NaN	15841456593	963540241.2	NaN	NaN	NaN	NaN	NaN	3.10454E+11	62.77486047	-1000000	NaN	1.23422E+11	4.53266E+11	NaN	7.23332E+11	1.24346E+11	4.56662E+11	1.17909E+11	7.2746E+11	2.22929E+11	2.36804E+11	213898.4916	38527162435	1.41491E+11	NaN	92235000000	6.31096E+11	1.21688E+11	1.24292E+11	4.56462E+11	NaN	7.2718E+11	2.22832E+11	35780	NaN	213816.1895	65520	NaN	NaN	NaN	-54458817.08	-200000000	NaN	924710714	3396000000	4128000000	NaN	NaN	NaN	-96363676201	3.672499895	3.6725	2.048461665	0.557783996	NaN	NaN	3
32361944910	35108455981	19617778597	36659459061	56903327744	36659459061	20376192911	13385011125	38824562688	15819555830	29142188928	84529831936	44843115117	41952370162	42307119481	1.22716E+11	69338625031	66032157619	66135621727	1.6387E+11	1.60978E+11	4554508268	896094971.3	NaN	14373482775	148145552.4	9258269767	1880389646	11728421200	97846202623	2.09014E+11	4106096152	5986485798	35828191731	146.8261338	NaN	2366799075	1.21828E+11	3.53374E+11	2.47469E+11	2.4283E+11	1.29597E+11	3.75909E+11	2.63469E+11	2.56023E+11	3.31405E+11	3.52031E+11	6737.237739	33574852912	97387216896	52111457881	2.6297E+11	2.56743E+11	1.39523E+11	1.21626E+11	3.52789E+11	2.46388E+11	2.39391E+11	3.11021E+11	3670	6483.675363	6299.565985	8180	26107970595	75728778373	2.33622E+11	-7971005755	-23120698946	-23120698946	7769352819	22535784448	13193857819	518750837.1	1504688656	1504688656	719735749.4	2.900599957	2.900629167	1.134290853	0.391053875	1.254297417	NaN	2
902544361.3	4.25469E+11	645532595	2.82492E+11	3.94105E+11	2.96131E+11	6.61779E+11	604333327.6	3.4977E+11	3.01827E+11	429738583.5	2.4872E+11	449900728.6	2.40963E+11	1071455673	6.20126E+11	1074099863	4.35634E+11	876068213.6	846609984.8	3.32615E+11	64405528.43	21583471.96	NaN	394006254.6	9694436.403	NaN	86092616.84	97934358.85	2497853883	2455647989	44969362.07	131061978.9	4.25261E+11	143.265408	5448100000	-49924356925	2551857214	1.47694E+12	2428512419	1.07008E+12	2807061009	1.62464E+12	2703221164	1.13401E+12	9399844922	9984892938	370524.1128	178966256	1.0358E+11	NaN	2701900000	1.1338E+12	2894719584	2901554574	1.67933E+12	2796190647	1.17314E+12	9716270128	950	913.6223857	383309.771	3170	491940613.5	2.8472E+11	1.18609E+12	94493564.97	54690040599	52284933651	255203794.3	1.47704E+11	1.06197E+11	218479534.2	1.26449E+11	90475640268	-208112201.6	578.77	578.7629545	172.8371812	0.298628438	193.477661	85.07	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
462638761.1	NaN	297922217	NaN	804390000	NaN	NaN	14969691.59	40418168	47491077.97	16309440.45	44035490	15395643.34	52508662.17	112904642.1	304842539	128827788.9	382500731.1	625795042.7	628014331.6	1761552758	23018384.37	2446896.287	NaN	106458503	NaN	NaN	NaN	93852374.53	NaN	NaN	NaN	NaN	NaN	94.16367302	NaN	NaN	753669376.3	2034907352	772145076.7	2164483893	866613818.8	2339857352	883618151.9	2484883264	1314524400	1396340632	30408.77263	225809037.9	609684413	NaN	NaN	NaN	838738808	827917539.5	2235377396	NaN	NaN	1255827894	10260	NaN	NaN	15370	200362974.1	540980039.6	NaN	-38696279.32	-104479956	NaN	112944442.4	304950000	324039363.9	13250215.32	35775582	NaN	NaN	2.700000048	2.7	1.780002982	0.659260352	2.1075225	100.0824993	2
88302853815	2.42876E+11	1.21188E+11	2.42002E+11	2.06956E+11	2.44178E+11	1.68812E+11	13544554455	23256000000	19391000000	51697728596	88765000000	53335986397	1.10101E+11	1.09178E+11	1.87458E+11	1.09289E+11	2.94602E+11	2.91401E+11	2.87243E+11	6.52028E+11	21693517885	2181084865	NaN	77624344787	4564508475	6680012622	315958448.8	13840057577	3.66615E+11	3.61217E+11	28246282077	28562250223	1.52407E+11	77.26532989	-3000000	-75000000	4.14123E+11	7.1105E+11	4.0815E+11	9.66021E+11	4.68411E+11	8.04261E+11	4.56603E+11	1.04091E+12	5.96826E+11	6.22259E+11	52319.02852	1.11029E+11	1.90636E+11	NaN	4.4743E+11	9.50439E+11	4.23283E+11	4.55484E+11	7.82066E+11	4.43886E+11	1.01476E+12	5.80355E+11	21280	22310.96966	51004.59864	29170	97918683087	1.68126E+11	NaN	-12926616191	-22195000000	NaN	41133372161	70626000000	74695000000	-26208503.2	-45000000	NaN	-90469129573	1.717	1.541914167	1.34756407	0.784836383	1.459299037	90.37825315	3
1.22507E+11	1.11691E+11	57917031603	53122080860	52023660000	53798925246	1.04639E+11	4253955982	3769005000	3364102551	44240471783	39197058000	35649977655	39879141814	67257932280	59590528000	54301166122	60915754086	1.58405E+11	1.22007E+11	1.45526E+11	13725785075	455238129	NaN	39337584650	NaN	332140216.9	689413887.3	24059660196	2.11826E+11	1.66997E+11	36308653037	36998066924	1.12806E+11	96.37922296	-485506000	-571806417	2.29917E+11	2.03707E+11	1.79571E+11	2.09806E+11	2.53946E+11	2.24996E+11	1.98704E+11	2.33449E+11	2.54251E+11	2.63366E+11	28744.79161	67587030474	59882109000	61966182328	2.0056E+11	2.34564E+11	2.19443E+11	2.51496E+11	2.22825E+11	1.96769E+11	2.31185E+11	2.51798E+11	27020	24228.41095	28466.11471	31000	63397244846	56169958933	2.32312E+11	-2449987585	-2170689000	-2252237498	24028592551	21289333000	23642370433	-2054880361	-1820624000	-2252237498	1115479032	0.886	NaN	0.884934926	0.998797885	0.900067819	99.24832707	3
3056613000	2680424112	3847436115	3545885115	3799760000	3565578360	4221596696	904086426.3	888023824.1	947336254.2	628363932.5	617200000	358225185.1	320627954.2	3531584484	3468840000	3136562935	2806776876	2280411487	2393405927	2141641649	234390367.3	196167213.6	96333.88385	800074659.8	NaN	1972252878	75291840.51	1047891993	4061373540	4044347131	-961525905.5	-886234065	2705592503	112.0646528	-141979948.7	-133101000	6716082397	6596760000	6588681468	5895754779	7275766111	7146500000	7126624037	6377122332	25500372595	27087520311	774.4771538	2155801353	2117499949	NaN	8022100000	6402290723	6766622746	6833797412	6712383611	6687165012	5987774161	23951344445	820	812.1306533	727.1923052	2910	1847966653	1815134445	6014910422	-441968699.7	-434116389.2	-387380300.9	559683714	549740000	480965610.1	134137008	131753840.5	118166736.8	25168390.91	0.982233333	0.982146	0.280250807	0.285319992	0.320454076	NaN	2
50072237.57	NaN	63128557.79	NaN	66844239239	NaN	NaN	310845932.2	3.36528E+11	5.29523E+11	100985422.4	1.09329E+11	NaN	NaN	123518042	1.33723E+11	111529685.8	2.32805E+11	260317290.3	375006412.4	3.24941E+11	22488169.86	1038776.726	104261568.3	43027849.74	765953.5239	NaN	1002125.275	11378649.45	429051209.7	NaN	-73199347.89	-72197222.61	NaN	71.93903875	-0.00012207	NaN	694681264.5	7.52076E+11	820091704.1	1.04969E+12	759114690.2	8.21833E+11	879518346	1.1424E+12	3135789779	3330961891	167047.9669	-52922447.17	-57294899756	NaN	NaN	NaN	823942118.7	777011712	8.41208E+11	NaN	NaN	3209719711	120	NaN	NaN	470	88801863.97	96138673972	NaN	17897021.79	19375673728	NaN	64433425.75	69756915386	92134221884	18969829.47	20537116778	NaN	NaN	1082.62	1082.62	262.081582	0.242080861	387.6084235	93.71911433	0
2.30444E+11	2.16668E+11	58899548533	54625037116	53562000000	56902138796	2.03465E+11	3119638826	2764000000	2418580463	48546839729	43012500000	NaN	NaN	68997742664	61132000000	55126576024	62422447185	2.07056E+11	1.56456E+11	1.93806E+11	13928959939	722896265.2	22542711.96	48162641084	NaN	284560.1137	793659633	27500928160	2.68247E+11	2.07445E+11	39890504930	40684164563	2.19511E+11	95.63746141	-300000	-145420248.2	2.79174E+11	2.47348E+11	2.14516E+11	2.58647E+11	3.11688E+11	2.76156E+11	2.39659E+11	2.88753E+11	3.1422E+11	3.20979E+11	27828.57152	77299097065	68487000000	72948337884	2.4087E+11	2.91596E+11	2.73735E+11	3.16432E+11	2.80359E+11	2.43323E+11	2.93186E+11	3.19002E+11	26380	23450.21172	28255.83861	30740	75663721984	67038057678	2.95991E+11	4743792325	4203000000	4394721418	32514672686	28808000000	30106236096	-4169300226	-3694000000	4394721418	2843163850	0.886	NaN	0.878862295	0.9919439	0.928246298	98.04168299	3
486751548.5	1.04178E+11	642807983.5	2.74057E+11	3.893E+11	2.74057E+11	1.97238E+11	1141603579	6.635E+11	3.58926E+11	301101170	1.75E+11	228225725.8	91665200000	487955953.2	2.836E+11	371740980.4	1.39639E+11	1928423950	1266074028	3.93997E+11	99089878.27	14612125.94	5389307.485	322491622.4	NaN	NaN	13806012.21	-85848641.32	3187602553	2277639672	-20480044.59	-6674032.38	1.0173E+11	231.6813146	15700000000	NaN	3278217481	1.9053E+12	NaN	8.36062E+11	3557983482	2.0679E+12	2570612495	8.92562E+11	9138980368	9707792128	124572.9602	212835512.7	1.237E+11	NaN	2543800000	8.90114E+11	2985211022	3515483482	2.0432E+12	2540418841	8.82129E+11	9029815537	420	354.5606909	123116.8218	1260	236729145.2	1.37587E+11	8.82526E+11	-42500000	-24701000000	-7588417879	279766001.4	1.626E+11	56500000000	165519614.6	96200000000	40908142332	-2448199967	581.2	581.2003139	226.2725071	0.389319524	274.8664794	NaN	0
