Exports of goods and services (current US$)	Exports of goods and services (constant LCU)	Gross fixed capital formation (current US$)	Gross fixed capital formation (constant LCU)	Gross capital formation (current LCU)	Gross capital formation (constant LCU)	Imports of goods and services (constant LCU)	Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant LCU)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (constant LCU)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (constant LCU)	Services, etc., value added (current US$)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (constant LCU)	Adjusted savings: education expenditure (current US$)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: energy depletion (current US$)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: net national savings (current US$)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (current US$)	Exports as a capacity to import (constant LCU)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	GDP per capita (constant LCU)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Income
27317431449	83209000000	50888360381	1.1824E+11	73047000000	1.20082E+11	55491000000	8125139877	11615699968	14457000000	NaN	NaN	37757272430	77942000000	59124579564	84524498944	65865956740	1.7755E+11	92340727118	1.49866E+11	3.40188E+11	8779074224	1010328874	NaN	33403049804	1518976694	2394809369	NaN	4977339465	1.41335E+11	2.01898E+11	NaN	10885320576	45929466609	45.02485128	-242000000	18611000000	1.5959E+11	2.2815E+11	2.24856E+11	5.32195E+11	1.83446E+11	2.62254E+11	2.55503E+11	5.82465E+11	2.16172E+11	3.482E+11	36362.24592	45409205372	64917000000	NaN	2.5675E+11	5.45185E+11	1.97469E+11	1.78652E+11	2.55401E+11	2.48638E+11	5.68405E+11	2.10523E+11	12330	15521.9984	35484.48635	13140	40433411094	57803604499	NaN	-4793648573	-6853000000	NaN	18963696385	27110500352	43842000000	-268606603.2	-384000000	NaN	-37279533391	1.4296	1.495974166	1.213173959	0.848610772	1.265064399	86.01488346	3
32581193330	42163192848	21649319513	32963037846	24439944000	33282958006	43412164245	3428534475	3803959000	3643024459	19388914826	21512001000	23755415322	26573525113	28796865255	31950122000	35929038078	40305662003	54828343398	77059653384	91914319227	5277191192	227698012.5	NaN	14387288787	NaN	124931383.7	NaN	6568702008	82418549546	1.11788E+11	NaN	11493263805	43732282783	71.31208575	285903000	-1842031789	87053743128	96586128000	1.16284E+11	1.35863E+11	98203625056	1.08957E+11	1.30049E+11	1.52789E+11	1.15443E+11	1.72369E+11	20184.01806	22266383055	24704552000	33603076543	1.3349E+11	1.54358E+11	80221523535	96930769716	1.07545E+11	1.2834E+11	1.50787E+11	1.13947E+11	10600	16954.22271	19919.62451	15050	20955990795	23250671787	1.52378E+11	-1272855340	-1412233000	-1980355763	11149881929	12370794000	16925853103	-155692654.3	-172741000	-1980355763	1569089935	1.1095	15.26713333	0.943817293	0.850669034	1.026763318	97.69248077	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
140881025.1	NaN	168005605.7	NaN	15976000006	NaN	NaN	631141280.5	72057400000	5.80987E+11	94531838.49	10792700000	NaN	NaN	145755452.4	16640900000	155215725.8	3.23994E+11	301521415.4	265533043	2.30083E+11	33022950	1018990.292	38750020.82	35998948.94	64645.63864	NaN	NaN	67767341.52	1106267229	NaN	NaN	60956634.77	NaN	12.04661387	-300000	NaN	1078418148	1.23123E+11	797842000.2	1.02121E+12	1201725497	1.37201E+11	876836012.3	1.13892E+12	2090709850	3320803204	227410.512	12640084.66	1443118466	NaN	NaN	NaN	1201972391	1181080844	1.34844E+11	NaN	NaN	2054793179	240	NaN	NaN	410	103766290.5	11846997381	NaN	-20644652.71	-2357000000	NaN	123307348.7	14078000000	1.31959E+11	NaN	NaN	NaN	NaN	114.17	114.1710833	65.62412284	0.574793053	102.0041356	213.99595	0
73837012246	94684802846	20838448020	32545404752	23136058806	32572436638	89557225871	2460896735	2725197044	1944811071	NaN	NaN	NaN	NaN	34477955914	38180888379	40868351213	46277180248	71088094027	1.0736E+11	1.3299E+11	6411842601	433101752.5	NaN	16581823647	NaN	16598148.16	NaN	NaN	1.01497E+11	1.38829E+11	NaN	NaN	92815080574	66.70709271	20609339.32	-505559360.4	1.08027E+11	1.19629E+11	1.50293E+11	1.81212E+11	1.18558E+11	1.31291E+11	1.63354E+11	1.96817E+11	1.42241E+11	2.18783E+11	19957.48505	23483948211	26006124248	35830291341	1.6199E+11	1.94947E+11	98448142626	1.18096E+11	1.30779E+11	1.62709E+11	1.96053E+11	1.41686E+11	9980	16498.90549	19880.00861	14370	NaN	NaN	1.9418E+11	-462231666.2	-511875347.1	-767347708.2	10530956628	11661981370	15605474402	-796776791	-882350618.4	-767347708.2	-1869722272	1.1074	44.67191667	0.923020786	0.833502606	1.028848938	98.99500837	3
222811124	86240526336	171527558.2	54699999232	62299987968	62200000512	1.48906E+11	449887387.1	1.55796E+11	1.578E+11	95945716.3	33226000384	84652348.37	33999998976	161775919.8	56022999040	164521795.3	61800001536	724461520.8	836771492.2	2.604E+11	43228476.84	2918017.654	NaN	102135656.7	NaN	22805773.71	NaN	-46856723.56	1185182963	1208458156	NaN	-29352455.64	76134117711	96.39583415	8192	NaN	1220485128	4.22654E+11	NaN	4.386E+11	1336124851	4.627E+11	1382417879	4.8E+11	3286804113	5220633381	112821.1386	-33070795.27	-11452416000	-10572304384	1342900000	4.69894E+11	1202363158	1310124393	4.53696E+11	1356108033	4.70892E+11	3222844213	280	318.7450982	110680.2995	760	55278515.56	19142949262	4.609E+11	-26000457.95	-9003958272	-8993370112	115639641	40046006272	41400000512	NaN	NaN	NaN	-10106408625	346.2999878	346.3059036	140.7750519	0.406511859	NaN	NaN	0
1132307707	63303000000	3534046868	1.66412E+11	1.05668E+11	1.66412E+11	1.28486E+11	6607090385	1.97552E+11	3.38972E+11	2888060238	86353000000	2961569199	1.29882E+11	4452173970	1.3312E+11	4722061341	2.08153E+11	9627458317	12604191442	5.4115E+11	248450605.9	48263085.64	324983692.3	1829015663	NaN	138607309	NaN	1900186151	19297192942	23446179920	NaN	1636782670	56264350777	56.83610541	NaN	NaN	20686722672	6.18533E+11	25098599431	1.08828E+12	21160234384	6.32691E+11	25598704785	1.11319E+12	42980602604	68268737945	11739.30021	2080602033	62210000000	51946000000	25677000000	1.10615E+12	22909422664	21589799607	6.45535E+11	26126201733	1.13557E+12	43853134156	240	275.5187371	11975.35547	460	3729201814	1.11503E+11	1.12874E+12	429565222.9	12844000000	22598000000	473511711.7	14158000000	24910000000	517458200.6	15472000000	27222000000	-7038649223	29.89999962	30.4069	14.72038458	0.492320561	15.94946117	NaN	0
8111300478	65937186629	5468452310	7378864791	12350000.13	10674250388	89034252368	2617657406	4447399.936	5835098375	NaN	NaN	NaN	NaN	12969158283	22034599.94	15948855044	39152966155	4329840855	NaN	NaN	1026495151	385471676	NaN	2190874976	16896935.93	57811243.53	NaN	4317154341	17864081229	20385537331	NaN	4883640513	81996118255	0.10358162	-0.256	9937184652	19916656544	33838399.49	14123889259	33263341026	20261212354	34423799.81	14083127965	33233502049	39808732775	63467718126	3709.853501	6572748163	11167099.14	NaN	14873000000	49292433675	19682010728	20129664384	34200299.81	13932623477	32879920226	39550270553	2200	1555.297781	3670.383187	4410	6508200194	11057432.14	49076661803	-131547969.3	-223500	-215771871.5	344555620.8	585400	4092557571	67100000	114002.9001	180355044	16058931626	0.001699	0.00094	0.00086473	0.508964012	0.000546692	NaN	2
3013031933	NaN	984308544.3	NaN	305600000	NaN	NaN	41778690.26	15708787	NaN	423136865.6	159099456	NaN	NaN	1328511960	499520480	NaN	NaN	1682103036	NaN	NaN	134993488.7	46364058.28	NaN	555635659.3	NaN	621578706.8	NaN	223885648.9	1561615515	NaN	NaN	-309063627.5	NaN	82.60734415	NaN	NaN	NaN	NaN	NaN	NaN	3052393636	1147699968	3752998517	1389343744	4488504673	7129368383	3224.695062	1236968042	465099968	NaN	NaN	NaN	3231291853	2738829881	1029800000	NaN	NaN	4027413297	7500	NaN	NaN	9350	779521308.2	293100001.9	NaN	-313563840.5	-117900000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.375999987	0.376	0.255697621	0.680046888	0.505574778	170.6320105	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
