Exports of goods and services (current US$)	Exports of goods and services (constant LCU)	Gross fixed capital formation (current US$)	Gross fixed capital formation (constant LCU)	Gross capital formation (current LCU)	Gross capital formation (constant LCU)	Imports of goods and services (constant LCU)	Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant LCU)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (constant LCU)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (constant LCU)	Services, etc., value added (current US$)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (constant LCU)	Adjusted savings: education expenditure (current US$)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: energy depletion (current US$)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: net national savings (current US$)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (current US$)	Exports as a capacity to import (constant LCU)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	GDP per capita (constant LCU)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Income
1164804458	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9544505.996	NaN	184916205.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	108.3330294	NaN	NaN	NaN	NaN	NaN	NaN	1665363128	2980999936	1771982430	2751699968	NaN	NaN	31691.7545	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.789999962	1.79	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2768955.586	NaN	160909036	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	135.9961798	NaN	NaN	NaN	NaN	NaN	NaN	1211953954	1088194096	1076455908	800165194.3	NaN	NaN	12454.70838	NaN	NaN	NaN	NaN	NaN	1240329913	1211953954	1088194096	NaN	NaN	NaN	19310	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.897884027	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6041357.642	86040307.82	NaN	NaN	4707740.962	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.5	NaN	NaN	NaN	NaN	0
3665622459	1310586819	2290137186	399084459.3	899598755	399084459.3	1122306314	840050772.6	329984000	165896192	407258541.2	159977000	226223033.6	80458300	3588743620	1409710000	5973139004	1173650360	2016397811	2103240969	531443250	148197987.1	41807033.96	NaN	581112966.8	NaN	1419748345	87274408.36	-402988714.5	3229495892	NaN	-1803530122	-1716255714	872672188.9	135.3168252	NaN	-959452587.9	6147124664	2414678792	NaN	NaN	6445192204	2531764000	8584134106	1870989802	27749765912	32425415750	142.4076773	1241559645	487702447.7	149450333.7	NaN	1433075172	6092005979	5230357204	2054559377	NaN	1598201310	22519295539	460	NaN	121.6447765	1710	178214645.3	70005270.45	1144557126	-1214835000	-477204623.5	-288518045.3	NaN	NaN	NaN	301180916.3	118308186.5	30343485.46	-437914630.3	0.392814352	0.392823518	0.091235508	0.232261138	0.309223201	NaN	2
293543677	34694686746	444509269.2	45015977984	67192021134	55361798144	1.13227E+11	790764774.6	1.19532E+11	91765497856	268483722.5	40583999488	282797804.8	41015517184	388747018.4	58762999296	439736728.4	56989106176	1245944702	1425878977	1.46365E+11	79261138.61	10026975.53	NaN	264761924	1774537.857	18011708.04	3761829.326	99927018.97	2503584220	2732729639	145652280.7	149414110	35448162670	129.3892373	77854826354	-2580085.196	2425456495	3.66632E+11	2751578699	2.9512E+11	2727745453	4.12326E+11	3120648082	3.18671E+11	10680332945	12479897567	103496.9766	-199568819.6	-30166822770	NaN	3084600000	3.19424E+11	2735932496	2788132389	4.21454E+11	3185348507	3.25785E+11	10916774577	890	1034.527518	105807.3159	3550	364728116.8	55132302137	NaN	60386936.4	9128089307	NaN	302288957.7	45693998848	23551410532	440000000	66510400000	51832283981	753475923.4	151.16	150.6333333	38.60610009	0.255398916	56.78409583	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	1650374451	6061000000	NaN	6531518226	23987000000	NaN	NaN	30287543411	1.11231E+11	NaN	NaN	43736420582	NaN	NaN	NaN	466191431.3	NaN	10378956726	NaN	6110354466	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.24693832	NaN	NaN	NaN	NaN	NaN	NaN	75674338445	2.77914E+11	91467939985	5.64327E+11	1.57212E+11	1.83701E+11	204800.6105	NaN	NaN	NaN	49162000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.672499895	3.6725	1.7677662	0.481352281	NaN	NaN	3
31045799936	30837534468	59595218944	60780669511	59595218944	60780669511	38903791863	15702922240	15702922240	14890912133	53326266368	53326266368	52938207349	49525624271	79855460352	79855460352	81886080937	77981278123	1.83972E+11	1.82398E+11	1.79178E+11	11903414301	787558094.8	NaN	36814138353	101705013.8	3327010497	4235075646	8222955827	2.51301E+11	2.48568E+11	11679694254	15914769901	31242544697	103.757092	NaN	2602590467	2.7953E+11	2.7953E+11	2.77248E+11	2.7205E+11	2.98948E+11	2.98948E+11	2.96502E+11	2.88123E+11	3.39042E+11	3.96169E+11	7973.603408	51982221312	51982221312	53119422345	2.9553E+11	2.88528E+11	2.89538E+11	2.91544E+11	2.91544E+11	2.89181E+11	2.80969E+11	3.30645E+11	8010	8002.869728	7775.621556	9150	45041767558	45041767558	2.81124E+11	-7404518270	-7404518270	-7404518270	19418161152	19418161152	16073089819	464068202	464068202	464068202	405010229.2	1	0.9995	0.881743696	0.881743696	1.023421815	NaN	2
359865223.2	1.41378E+11	307086237.6	1.35226E+11	1.82825E+11	1.47179E+11	3.92908E+11	584162508	2.9471E+11	2.4797E+11	376646173.9	1.90018E+11	286453964.6	1.53422E+11	528477692.4	2.66617E+11	516210795	2.09365E+11	605700729.3	529979688.5	2.08217E+11	43375557.01	19487573.78	NaN	258830525.3	2232122.549	NaN	48737228.05	-299401085.5	1693063790	1561371606	-326482452.9	-277745224.8	1.41304E+11	130.3319772	36209983488	17140535238	1718340930	8.66903E+11	1510601832	6.65617E+11	1893726437	9.55385E+11	1747400619	7.3304E+11	5523674641	6454376851	235772.2014	-278380560.2	-1.40443E+11	NaN	1747300000	7.32966E+11	1825628018	1954126437	9.85857E+11	1803131968	7.56503E+11	5699851063	590	579.9528443	243318.8979	1830	-40570560.24	-20467847640	NaN	60400000	30471800000	NaN	175385523.9	88481996800	67422839964	177400000	89498300000	68914149235	-73756734.28	504.5	504.915	172.9618505	0.342838158	200.3157634	100.3275	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
465899991.8	NaN	266903699	NaN	720640000	NaN	NaN	20777777.41	56100000	43019584.24	11740740.53	31700000	12550085.71	42803551.39	95888887.2	258900000	99951495.78	296764545.5	407111103.9	549893932.4	1542428452	21430104.7	1908901.199	NaN	76428088.1	NaN	NaN	NaN	143695544.9	NaN	NaN	NaN	NaN	NaN	78.3798659	-40032	NaN	523777768.5	1414200000	659579183.3	1848938187	620037014.2	1674099968	759513521.1	2135880112	1027155101	1200223861	28789.32622	242881477.2	655780000	NaN	612671000	NaN	573512198.6	598999977.6	1617299968	NaN	NaN	992305085.6	7730	NaN	NaN	13380	220133329.4	594359999.9	NaN	-21037036.67	-56800000	NaN	96259245.71	259899968	288322128	-1711111.081	-4620000	NaN	NaN	2.700000048	2.7	1.629841458	0.603644974	2.203663942	106.4816127	2
