Exports of goods and services (current US$)	Exports of goods and services (constant LCU)	Gross fixed capital formation (current US$)	Gross fixed capital formation (constant LCU)	Gross capital formation (current LCU)	Gross capital formation (constant LCU)	Imports of goods and services (constant LCU)	Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant LCU)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (constant LCU)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (constant LCU)	Services, etc., value added (current US$)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (constant LCU)	Adjusted savings: education expenditure (current US$)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: energy depletion (current US$)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: net national savings (current US$)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (current US$)	Exports as a capacity to import (constant LCU)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	GDP per capita (constant LCU)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15704758.62	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.79	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	72650448.23	3774208.12	NaN	385431888.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	175.5389251	NaN	NaN	NaN	NaN	NaN	NaN	2823503853	2250730214	1724910619	1282182976	NaN	NaN	16052.57	NaN	NaN	NaN	NaN	NaN	2845174226	2823503853	2250730214	NaN	NaN	NaN	35620	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.797140833	NaN	NaN	NaN	NaN	NaN	3
1868023192	93256839261	2680592877	98081434973	1.33823E+11	98081434973	2.61007E+11	2349167367	1.17277E+11	1.04679E+11	1254297643	62617977199	NaN	47187289092	2033124378	1.01499E+11	NaN	79822197585	2826162500	NaN	1.20674E+11	NaN	4812748.609	144974708.6	531361899.8	NaN	NaN	92355845.78	NaN	7533038710	NaN	NaN	NaN	93256839261	123.108208	-22172983545	59149325820	7208454245	3.59866E+11	NaN	3.05175E+11	7721931671	3.855E+11	NaN	3.13139E+11	25677547878	24875082320	10182.83706	-679607361.2	-33927862728	-24866463599	NaN	3.13139E+11	8361715225	8209375318	4.09835E+11	NaN	3.34291E+11	27298432148	270	NaN	10870.66192	890	NaN	NaN	NaN	487443646.9	24334523260	NaN	231938383.5	11579000000	7964096568	NaN	NaN	NaN	NaN	49.92274167	49.92533083	15.01311581	0.30072699	17.36325039	NaN	0
33346457693	2557052621	6415045249	2703257972	5.15565E+11	2703257973	2918523802	3202959332	2.57416E+11	399239132.6	2025929170	1.6282E+11	733489666.3	260872337.7	28215598788	2.26763E+12	13256345758	2604713361	10370921812	3362380794	849600499	900056729.4	153805313.4	NaN	4565247265	NaN	19557103922	698530050	11477562400	15556741427	NaN	-7581728866	-6883198816	5974802319	87154.40293	-1.000732422	-1965087142	NaN	NaN	NaN	NaN	41789479931	3.35854E+12	17680168881	3853552992	68938922229	66784467646	226.5414508	23472691148	1.88646E+12	5759536490	NaN	7271302690	30332354502	35611612426	2.86204E+12	NaN	2800664604	58747469064	1780	NaN	164.6445823	3450	17104858254	1.37468E+12	6218414302	-6177867505	-4.96503E+11	-1052888388	NaN	NaN	NaN	-189965389.2	-15267157396	-32375629.99	3417749698	80.3681	80.36807206	48.71763285	0.606181219	77.38771799	NaN	2
2291407952	1.71861E+11	2287382496	NaN	2.244E+11	1.48559E+11	3.9248E+11	1709027192	1.67661E+11	NaN	NaN	NaN	NaN	NaN	1576872727	1.54697E+11	755987476.4	97974646593	4482405499	NaN	NaN	266812346.7	29231115.24	NaN	933882444	7657785.706	159991621.9	21541092.31	592334991.6	8284002581	4976769376	727135833.4	748676925.7	2.00352E+11	174.31519	6450000000	83895320266	7768305418	7.62097E+11	4357022812	4.67311E+11	9132562332	8.95935E+11	5033194290	5.13974E+11	21487253361	20128430863	162824.9507	90031987.25	8832444058	NaN	5238400000	5.42465E+11	9381600001	9385534432	9.20753E+11	5185736078	5.30376E+11	22082450569	2970	1642.819673	168020.9921	7000	1612627546	1.58204E+11	5.53895E+11	252972100	24817423115	11429805082	1364256914	1.33838E+11	38715860254	1280100000	1.25582E+11	82997382519	28491059275	98.1034	98.10337709	41.69613494	0.425022323	54.31406081	NaN	1
1.52434E+11	6.30405E+11	38617291777	1.55935E+11	1.48485E+11	1.63225E+11	4.5376E+11	2430497006	8926000000	9425000000	21449694282	78774000000	NaN	83918000000	1.28612E+11	4.72329E+11	NaN	5.33437E+11	91063038680	NaN	3.75679E+11	NaN	847930314.2	NaN	31225839875	NaN	39551283537	1664085633	NaN	NaN	NaN	NaN	NaN	6.12486E+11	88.80213295	1000000	NaN	2.20408E+11	8.0945E+11	NaN	9.1172E+11	2.22106E+11	8.15684E+11	1.4888E+11	9.18541E+11	3.08651E+11	2.99006E+11	196996.4793	79934923999	2.93561E+11	NaN	NaN	9.00622E+11	2.08794E+11	2.26844E+11	8.33084E+11	NaN	9.37791E+11	3.15235E+11	44780	NaN	201124.8954	67610	NaN	NaN	NaN	4737917086	17400000000	NaN	1697481328	6234000000	6821000000	NaN	NaN	NaN	-17918660754	3.672499895	3.6725	2.642735735	0.71960131	NaN	NaN	3
53001614691	46241699854	49993025190	71438172351	1.52838E+11	71438172351	39575418471	16603518099	50759942263	17761427495	44063088343	1.34709E+11	58763000604	54974930862	70506972816	2.15553E+11	94472113261	89967135499	1.10716E+11	2.0503E+11	2.01411E+11	9468238480	1212483356	NaN	23764129922	907099616.2	19822391223	3367508874	32116681242	1.64391E+11	2.69544E+11	17497085217	20864594090	50949298034	197.9758853	-2123734093	-2786122935	1.97827E+11	6.04792E+11	3.15046E+11	3.0914E+11	2.14066E+11	6.54439E+11	3.40178E+11	3.30565E+11	4.69189E+11	4.54526E+11	8470.845393	61825062243	1.8901E+11	80025899452	3.4338E+11	3.35273E+11	2.01648E+11	2.08884E+11	6.38596E+11	3.31684E+11	3.22265E+11	4.57831E+11	5170	8499.515572	8258.164726	11730	57102459728	1.74572E+11	3.27342E+11	-5182072515	-15842528078	-7930755085	16239424603	49646842935	21425291496	622571794.5	1903313994	1903313994	4707598180	3.057179928	3.054313333	1.394831078	0.456247624	1.453168234	NaN	2
1491344582	4.49175E+11	2268484280	5.80615E+11	9.53735E+11	5.83465E+11	7.6195E+11	1194888232	4.97121E+11	3.86556E+11	692579078.9	2.88141E+11	564605172.3	3.02398E+11	2609189261	1.08553E+12	1562301545	6.3364E+11	2038583069	1281139693	5.03332E+11	146491182.1	30244325.47	NaN	746821219.1	71862392.77	NaN	122379662	1440141701	5780938652	3575068573	1362146503	1484526165	4.5346E+11	164.5034392	-59930200000	-1.1868E+11	5842660561	2.43078E+12	3457610276	1.52353E+12	6384457744	2.65619E+12	3849011238	1.61467E+12	14675740831	14217099819	525978.2867	1277843477	5.31634E+11	NaN	3837200000	1.61896E+12	5886029560	6599622264	2.74571E+12	3982180532	1.67072E+12	15170332362	1920	1297.193125	544236.6645	4940	2186962920	9.09864E+11	1.70454E+12	215164519.7	89517046794	85580350664	541797183	2.25409E+11	1.40506E+11	693946583.6	2.8871E+11	1.80773E+11	4284939923	416.04	416.0403697	180.9918716	0.435034784	195.5546239	108.6558333	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
500734852.3	NaN	442248140.3	NaN	1194070000	NaN	NaN	19127663.74	51644693	51644693	21043978.15	56818742	16659367.24	56818742	213614951.8	576760380	194255222.1	576760380	768692085.7	739929055.5	2075468668	31023308.2	2938309.677	NaN	143604953.5	NaN	NaN	NaN	-32403710.42	NaN	NaN	NaN	NaN	NaN	100	NaN	NaN	1001434701	2703873741	964563794.5	2703873741	1162579143	3138963741	1116207501	3138963741	1820793544	1763890754	36949.85099	136413973.1	368317734	NaN	NaN	NaN	1141453978	1115835959	3012757142	NaN	NaN	1747585893	13440	NaN	NaN	20570	114894081	310214024.2	NaN	-46743183.99	-126206599	NaN	161144441.6	435090000	435090000	21926697.02	59202083	NaN	NaN	2.700000048	2.7	1.723953686	0.638501354	2.039216922	98.04418297	2
