Exports of goods and services (current US$)	Exports of goods and services (constant LCU)	Gross fixed capital formation (current US$)	Gross fixed capital formation (constant LCU)	Gross capital formation (current LCU)	Gross capital formation (constant LCU)	Imports of goods and services (constant LCU)	Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant LCU)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (constant LCU)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (constant LCU)	Services, etc., value added (current US$)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (constant LCU)	Adjusted savings: education expenditure (current US$)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: energy depletion (current US$)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: net national savings (current US$)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (current US$)	Exports as a capacity to import (constant LCU)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	GDP per capita (constant LCU)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Income
1732961002	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10068976.5	NaN	150837992	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	103.2177265	NaN	NaN	NaN	NaN	NaN	NaN	1379888369	2470000128	1540994255	2392999936	NaN	NaN	28807.37623	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.789999962	1.79	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2364375.049	NaN	162436540.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	131.0666003	NaN	NaN	NaN	NaN	NaN	NaN	1224023470	931789638	956406307.3	710928364.8	NaN	NaN	10899.29576	NaN	NaN	NaN	NaN	NaN	1220621353	1224023470	931789638	NaN	NaN	NaN	18710	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.761251447	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6665091.734	46523544.36	NaN	NaN	7888481.352	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.5	NaN	NaN	NaN	NaN	0
6202312967	NaN	2611425899	NaN	289888200	NaN	NaN	528873555.8	58709000	143099818.5	259342533.5	28789000	197306399.6	70173833.49	5104486962	566637000	5014424742	985274476.2	1893086088	1959615108	495152118.7	259891862.4	58314457.03	NaN	696937462.9	NaN	2796573751	107130758.6	5172778219	2388755503	NaN	2470757566	2577888325	NaN	51.4616204	NaN	NaN	7318192452	812375200	NaN	1608910640	7526446606	835493000	7448767728	1623526413	23296786997	28136721471	130.375192	3673178022	407750786.8	NaN	NaN	NaN	4750482882	5882266717	652976487.3	NaN	NaN	18207518361	380	NaN	NaN	1460	5869822133	651595043.5	NaN	-1644179889	-182516512.7	-307803430.1	NaN	NaN	14615773.08	NaN	NaN	52583460.87	NaN	0.11100763	0.128029167	0.035863014	0.32306801	0.048573416	NaN	2
371123475.8	38782001152	617709659.8	66261802384	65186252151	66261802384	1.10934E+11	927052705	96876003328	96876003328	404654894.5	42285998080	291557640.9	42285998080	566053700.6	59151998464	456425938.7	59151998464	1313965767	1337646169	1.37308E+11	87701010.38	11210398.94	NaN	295590640.6	2376870.319	37031812.75	4184260.176	268907383.2	2750018529	2662773338	301848477	306032737.2	38782001152	100	85132948361	311919.916	2807072172	2.93336E+11	2734949034	2.93336E+11	3013217853	3.14878E+11	3083504202	3.14878E+11	10210177850	12331354121	101162.4702	-66658550.52	-6965746313	NaN	3040700000	3.14878E+11	2845149833	3085017853	3.22381E+11	3152069754	3.22381E+11	10453469509	910	1012.681614	103573.0046	3360	564541449.5	58993969861	NaN	71800000	7503022214	NaN	206145680.3	21542000256	21542000256	559400000	58456693961	58456693961	NaN	104.4989166	104.4989167	30.83961962	0.295119037	36.72911581	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	1318714245	4841000000	NaN	4883138104	17926000000	NaN	NaN	34112775775	1.25228E+11	NaN	NaN	38139743899	NaN	NaN	NaN	228223339.9	NaN	10158865161	NaN	9948196059	NaN	NaN	NaN	NaN	NaN	NaN	NaN	51.92974908	NaN	NaN	NaN	NaN	NaN	NaN	73571233920	2.7008E+11	84297347541	5.20087E+11	1.40178E+11	1.693E+11	210222.642	NaN	NaN	NaN	50222000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.671000004	3.671	1.926695343	0.524842098	NaN	NaN	3
28301199360	24850043000	49210609664	48483861247	49210609664	48483861247	28284115000	15269957632	15269957632	13632373544	47723425792	47723425792	47619415197	44549700173	72371585024	72371585024	72056991342	68620896473	1.66967E+11	1.61712E+11	1.58858E+11	8471406454	718240068.8	NaN	33291019549	3757576.301	5337183943	4043362623	9111283324	2.28054E+11	2.21617E+11	7484389139	11527751762	26573175652	106.0490754	NaN	3340034503	2.54608E+11	2.54608E+11	2.45718E+11	2.41111E+11	2.7215E+11	2.7215E+11	2.64089E+11	2.56626E+11	2.92163E+11	3.5286E+11	7272.520227	47388409856	47388409856	46772921899	2.6462E+11	2.58349E+11	2.72702E+11	2.66686E+11	2.66686E+11	2.58788E+11	2.5144E+11	2.86297E+11	7730	7333.786055	7125.537073	8110	42406546445	42406546445	2.52885E+11	-5464063270	-5464063270	-5464063270	17541632000	17541632000	15515283112	482200000	482200000	482200000	1723132652	1	0.9996625	0.93149964	0.93149964	1.048376859	NaN	2
371135620.1	1.53665E+11	285610085.3	1.18254E+11	1.32283E+11	1.32283E+11	3.70208E+11	555666094.8	2.30068E+11	2.30068E+11	374123274.4	1.54902E+11	289216342.6	1.54902E+11	491686781.9	2.03578E+11	501941862.3	2.03578E+11	461544796.9	486405367.8	1.91098E+11	30182307.38	14491988.45	NaN	239107327.7	4806722.08	NaN	42463806.4	-213328619	1397750544	1373884288	-244908828.6	-202445022.2	1.53665E+11	100	7939022848	7938999808	1508897674	6.24744E+11	1417842089	6.24744E+11	1596968913	6.61209E+11	1576172796	6.61209E+11	4820456838	5821912327	208439.6157	-203506972	-84260028416	NaN	1576200000	6.61209E+11	1641685571	1641664594	6.79715E+11	1620106568	6.79715E+11	4955370922	520	510.7225991	214273.3865	1560	25778708.68	10673416761	NaN	44695680.65	18505800000	NaN	88071200.11	36465000448	36465000448	184582162.2	76424400000	76424394294	NaN	414.0400085	414.0415	137.1672945	0.331289952	168.0991256	95.1025	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
409407423.9	NaN	191111107.7	NaN	516000000	NaN	NaN	17411110.8	47010000	39438150.87	9948147.972	26860000	11203566.1	38211087.02	80748146.72	218020000	86582133.29	257069764	353681493	501414050.3	1406444501	18398874.14	1793663.83	NaN	66161069.3	NaN	NaN	NaN	-10421351.21	NaN	NaN	NaN	NaN	NaN	74.90191539	59700016	NaN	451840750.5	1219970048	595411020.4	1669061427	541074082.3	1460900048	693563480.7	1950417477	907476739.2	1096006083	27685.13097	67222232.89	181500032	NaN	559458000	NaN	500600548.2	497977780.8	1344540032	NaN	NaN	835196634.9	7110	NaN	NaN	11860	55748153.65	150520017.5	NaN	-43096271.83	-116359936	NaN	89233331.76	240930000	279688179.8	31609999.44	85347000	NaN	NaN	2.700000048	2.7	1.609848479	0.596240167	NaN	102.4691461	2
