Exports of goods and services (current US$)	Exports of goods and services (constant LCU)	Gross fixed capital formation (current US$)	Gross fixed capital formation (constant LCU)	Gross capital formation (current LCU)	Gross capital formation (constant LCU)	Imports of goods and services (constant LCU)	Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant LCU)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (constant LCU)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (constant LCU)	Services, etc., value added (current US$)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (constant LCU)	Adjusted savings: education expenditure (current US$)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: energy depletion (current US$)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: net national savings (current US$)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (current US$)	Exports as a capacity to import (constant LCU)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	GDP per capita (constant LCU)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	44025045.39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.04254979	NaN	NaN	NaN	NaN	NaN	NaN	346742901.7	354366226	680623539.5	505929934.1	NaN	NaN	10670.47568	NaN	NaN	NaN	NaN	NaN	340685219.4	346742901.7	354366226	NaN	NaN	NaN	7190	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.021985524	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14455845.05	27904128.89	NaN	NaN	153660503.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.59999847	487.4956086	NaN	NaN	NaN	NaN	0
2430470105	600228793.2	1174899729	271517548	36.5719986	282477717.4	744669617.1	921891717.3	27.58300018	239241086.9	659725946.5	19.73900032	509045512.7	181046712.7	2943983945	88.08399963	3853965066	757258032	2938402400	2283101920	576890200.6	314750062.1	19365092.33	NaN	615285998.7	NaN	1126235871	NaN	802486275.4	4530756370	NaN	NaN	-28340490.16	1049824369	1.29392E-05	-3.8147E-06	931059.6404	6621323550	198.1100006	NaN	1530177796	6804278063	203.5839996	7218737860	1573389319	16791799839	27267814483	173.5567325	1928796233	57.70958328	587632469.5	NaN	2022984895	NaN	6272278240	187.6665649	NaN	1423518142	15478914849	NaN	NaN	157.0248091	1710	1417796410	42.42046859	1899967754	-532000013.9	-15.91744041	-123017141.7	NaN	NaN	43211523.01	NaN	NaN	NaN	449595576	2.992E-08	2.9918E-08	1.2124E-08	0.405214338	NaN	NaN	2
319090904.5	NaN	634615412.6	NaN	5522999808	11924666368	NaN	680023308.6	5834599936	64665686016	NaN	NaN	NaN	NaN	851014004.8	7301700096	840853973.4	1.08973E+11	434347267.3	1283291893	1.31729E+11	NaN	32461453.52	14181535.76	173883795.7	7901763.044	144932551.7	NaN	433396807.6	1625884934	NaN	NaN	NaN	NaN	5.268386128	-512	NaN	1965384581	16862999552	2780123736	2.98181E+11	1965384581	16862999552	3134436354	3.20079E+11	7719205095	12535038746	108230.2423	600186515.4	5149600256	NaN	NaN	NaN	NaN	1966784581	16875011552	NaN	NaN	7724703707	NaN	NaN	NaN	2610	607286515.4	5210518255	NaN	1400000	12011999.89	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.579999924	NaN	2.184551303	0.254609711	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	375919367.6	1380000000	NaN	3624897844	13307000000	NaN	NaN	24870607438	91300000000	NaN	NaN	15357123384	NaN	NaN	NaN	205659697.4	NaN	4638245705	NaN	5940863696	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.53814843	NaN	NaN	NaN	NaN	NaN	NaN	40603650189	1.49056E+11	58162094454	3.58841E+11	71933280553	1.16811E+11	266005.3546	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.671000004	3.671	2.072142392	0.56446265	NaN	NaN	3
10376666929	12639299584	15551667060	29178200064	933100	29178200064	6582419968	6750000171	405000	10503000064	26208333995	1572500	37498698332	35081400320	34726667544	2083600	53840632966	51273199616	46940001186	1.14397E+11	1.12378E+11	1111500912	414385786.1	NaN	9919645755	12488795.1	3719485645	NaN	5717009871	70020881919	1.50281E+11	NaN	2682995326	12314346971	0.002926251	NaN	NaN	88416668900	5305000	1.77482E+11	1.74154E+11	88416668900	5305000	1.86562E+11	1.8129E+11	1.53505E+11	2.49273E+11	5972.476734	20381667182	1222900	34910035419	1.8536E+11	1.80965E+11	80453833075	83672502114	5020350	1.76352E+11	1.71344E+11	1.45268E+11	2650	5809.793453	5644.819514	4790	15637500395	938250	1.80965E+11	-4744166787	-284650	-284650	NaN	NaN	7135660032	NaN	NaN	NaN	-324952612.6	6E-05	6.01809E-05	3.45591E-05	0.575985783	2.52477E-05	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	189699984	189699984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	2
151681478.8	NaN	56129628.64	NaN	151550000	NaN	NaN	8581481.33	23170000	27475315.75	7499999.868	20250000	11238427.44	38329985.78	28788888.38	77730000	42577127.39	126415135.2	136374065.7	329547918.9	924367512.3	5293984.284	1027165.584	NaN	22824568.17	NaN	NaN	NaN	9284576.906	NaN	NaN	NaN	NaN	NaN	45.98935762	NaN	NaN	173744447.3	469110016	372886672.7	1045279212	201862965.3	545030016	421426377.3	1185122046	410105280.3	665960486.2	18062.03015	20611116.67	55650016	NaN	339941000	NaN	186673971.1	199162971.3	537740032	NaN	NaN	404619966	2850	NaN	NaN	6170	32111122.65	86700032.68	NaN	-2699994.026	-7289984	NaN	28118518.02	75920000	143542977.8	14199999.75	38340000	NaN	NaN	2.700000048	2.7	1.32900024	0.492222302	NaN	146.3129474	2
27496356524	80185000000	48387665874	1.11764E+11	64642000000	1.14553E+11	55619000000	9016031345	11754200064	15543000000	NaN	NaN	37518449519	77449000000	59315948933	77330202624	63163430720	1.70265E+11	90573213936	1.43561E+11	3.25877E+11	9043481754	993692070	NaN	31985886324	1755051363	4905668268	NaN	7392662840	1.39018E+11	1.9395E+11	NaN	10502987783	48898177589	42.61920489	1867000000	19355000000	1.58905E+11	2.07165E+11	2.1619E+11	5.11685E+11	1.82124E+11	2.37435E+11	2.4438E+11	5.57108E+11	2.03163E+11	3.33042E+11	35353.97893	45804249444	59715000000	NaN	2.4794E+11	5.25821E+11	1.88684E+11	1.77664E+11	2.31621E+11	2.38108E+11	5.44333E+11	1.98188E+11	11970	15110.28299	34543.27315	12580	41099804054	53581814545	NaN	-4459614942	-5814000000	NaN	18534401571	24163299328	43482000000	-320625910.9	-418000000	NaN	-31286822411	1.3037	1.431895	1.168690617	0.896441372	1.197989865	98.34998625	3
