Exports of goods and services (current US$)	Exports of goods and services (constant LCU)	Gross fixed capital formation (current US$)	Gross fixed capital formation (constant LCU)	Gross capital formation (current LCU)	Gross capital formation (constant LCU)	Imports of goods and services (constant LCU)	Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant LCU)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (constant LCU)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (constant LCU)	Services, etc., value added (current US$)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (constant LCU)	Adjusted savings: education expenditure (current US$)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: energy depletion (current US$)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: net national savings (current US$)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (current US$)	Exports as a capacity to import (constant LCU)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	GDP per capita (constant LCU)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16766714.45	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.79	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	91380404.88	3833136.897	NaN	448375492.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	182.3322814	NaN	NaN	NaN	NaN	NaN	NaN	3245411584	2371219406	1749543576	1300493466	NaN	NaN	15978.54117	NaN	NaN	NaN	NaN	NaN	3038900273	3245411584	2371219406	NaN	NaN	NaN	37340	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7306375	NaN	NaN	NaN	NaN	NaN	3
1749491274	87408118042	3095034940	1.02952E+11	1.54634E+11	1.02952E+11	2.86151E+11	3489504149	1.74343E+11	1.26083E+11	1724273180	86148171120	NaN	45958869116	2611801368	1.30491E+11	NaN	86510442791	4014714415	NaN	1.27693E+11	NaN	5084773.435	463818046.8	694670874.1	NaN	NaN	95829642.79	NaN	8992008216	NaN	NaN	NaN	87408118042	139.3686777	-90826162636	31051558030	10116019932	5.05417E+11	NaN	3.40287E+11	9707373721	4.85E+11	NaN	3.47998E+11	29363265942	27644180038	11004.8126	-882837689.1	-44108354277	-29366259871	NaN	3.47998E+11	9585985192	10150497137	5.07139E+11	NaN	3.65701E+11	30703643998	300	NaN	11564.64669	970	NaN	NaN	NaN	443123416.3	22139340986	NaN	285556909	14267000000	6923026321	NaN	NaN	NaN	NaN	49.96202	49.96201777	16.51723623	0.330595845	18.31395514	NaN	0
44706988786	2968062439	8158718275	3438022749	6.25823E+11	3438022751	4316104905	4751456377	3.64465E+11	505765702.6	3145057101	2.41245E+11	972387180	345838433	40240384760	3.08668E+12	16109967916	3165415978	15457162331	4167389253	1053008629	1172132382	178853646.1	NaN	6327152484	NaN	23923165704	846925498.3	10861228051	21423257307	NaN	-12841769087	-11559073565	7335556858	98150.17932	-1.999511719	-1260397769	NaN	NaN	NaN	NaN	60449003468	4.6368E+12	21674668197	4724190309	86964531785	81873153289	269.5629889	26560948294	2.03738E+12	6457474704	NaN	9091684728	45314890462	52849976124	4.05391E+12	NaN	3626768103	76032244781	2590	NaN	206.9439175	4340	18740003226	1.43747E+12	7994262521	-7599027344	-5.82891E+11	-1097422206	NaN	NaN	NaN	-221917723.1	-17022420870	-32048501.25	4367494419	76.706	76.70614275	53.31830305	0.69509951	84.45739558	NaN	2
3080498369	1.85223E+11	3185400448	NaN	2.88049E+11	1.64326E+11	5.03073E+11	1965669887	1.77751E+11	NaN	1830467546	1.65525E+11	NaN	NaN	1830467546	1.65525E+11	808906599.7	1.04833E+11	5512221143	NaN	NaN	312879391	31864580.19	NaN	1117304264	64598441.13	197895880.4	30025262.69	906205327.5	9626214947	5692926114	975961400.2	1016290541	2.63388E+11	177.8434713	NaN	1.23073E+11	9308358576	8.41735E+11	4580526218	4.91283E+11	10704660840	9.68E+11	5330152753	5.44299E+11	22794522828	21316008284	171721.2599	382111623.6	34553551689	NaN	5809700000	6.22464E+11	10482816713	11006013532	9.95251E+11	5509923324	5.63533E+11	23436223757	3310	1738.329863	177789.3904	7390	2115074315	1.91262E+11	6.35326E+11	301352691.5	27250691048	12862618122	1396302264	1.26265E+11	53016131805	1463000000	1.32296E+11	93376486098	78165009950	90.4279	90.42789383	42.46634191	0.469615483	55.0081892	NaN	1
1.8669E+11	6.8562E+11	59315182089	2.17835E+11	2.2527E+11	2.2527E+11	6.10128E+11	2518992584	9251000000	9251000000	23278421359	85490000000	NaN	85490000000	1.41442E+11	5.19445E+11	NaN	5.19445E+11	1.14189E+11	NaN	4.1936E+11	NaN	981178742.5	NaN	36302329068	NaN	42631088142	1974725522	NaN	NaN	NaN	NaN	NaN	6.8562E+11	100	NaN	NaN	2.56092E+11	9.40497E+11	NaN	9.40497E+11	2.5815E+11	9.48056E+11	1.53664E+11	9.48056E+11	3.27805E+11	3.08613E+11	175385.9604	81895713708	3.00762E+11	NaN	NaN	9.48056E+11	2.44367E+11	2.66523E+11	9.78806E+11	NaN	9.78806E+11	3.38437E+11	45210	NaN	181074.5677	62610	NaN	NaN	NaN	8373043125	30750000000	NaN	2058270991	7559000000	7559000000	NaN	NaN	NaN	NaN	3.672499895	3.6725	2.892136025	0.787511534	NaN	NaN	3
64218326991	50446203961	63108504403	81187477695	1.96622E+11	81187477695	47685416564	22500030533	70101514156	19502092089	50975738515	1.58821E+11	63228832142	59152879189	80795709789	2.51729E+11	1.01537E+11	96695017553	1.36197E+11	2.22949E+11	2.19014E+11	12498275360	1306473864	NaN	29621576420	1004551652	20096276973	4152805797	38567688515	2.04788E+11	2.99389E+11	24495737040	29858170744	57743023675	226.2037608	94277621.02	-2360273107	2.39493E+11	7.46168E+11	3.41616E+11	3.35211E+11	2.60769E+11	8.12456E+11	3.69615E+11	3.5917E+11	5.24569E+11	4.93857E+11	9123.381955	74293971687	2.31472E+11	88884811699	3.7536E+11	3.66467E+11	2.38169E+11	2.5551E+11	7.96072E+11	3.61938E+11	3.5166E+11	5.1399E+11	6050	9193.695875	8932.6332	13060	69388774291	2.16189E+11	3.59369E+11	-5258627395	-16383877446	-7097780611	21276094567	66288196469	23958955517	401204387.5	1249999862	1249999862	7296819714	3.115618623	3.095648849	1.548807768	0.497110833	1.537639698	NaN	2
1766283618	4.33416E+11	3400382367	6.86102E+11	1.18988E+12	6.98416E+11	8.60964E+11	1680133010	5.7474E+11	4.26371E+11	862676274.6	2.95104E+11	546564952.8	2.92736E+11	3637334542	1.24426E+12	1747246988	7.0865E+11	2966370440	1435616459	5.64022E+11	210538992.8	35958474.7	NaN	1058730414	75272705.74	NaN	166267490.4	1805132220	8351058062	4064430744	1694995435	1904440033	4.21911E+11	171.4664921	15433300000	-79439138877	8283837991	2.83374E+12	3855940185	1.69904E+12	9206277479	3.14928E+12	4378219566	1.83668E+12	17177502359	16171837586	597452.0381	1640318931	5.6112E+11	NaN	4331600000	1.82517E+12	7913633339	9485061182	3.24465E+12	4513960872	1.89383E+12	17697670008	2570	1468.345836	616043.6906	5760	2863862634	9.7967E+11	1.91669E+12	278783702.8	95366329066	91522388739	922439487.8	3.15548E+11	1.90974E+11	944755455.3	3.23182E+11	1.93687E+11	-11505539200	342.08	342.0791162	183.3376782	0.535949714	198.5105657	123.995	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
550485448.1	NaN	573644434.3	NaN	1548840000	NaN	NaN	21110030.37	56997083	56398293	22244936.64	60061330	18182143.06	62012349	232899729.6	628829281	209985964.7	623466301	834651298.3	574939497.4	1612680167	35176628.55	3103015.583	NaN	164842987.7	NaN	NaN	NaN	-1318782.745	NaN	NaN	NaN	NaN	NaN	123.2583142	-59644407.67	NaN	1088661058	2939384909	817828747	2292544761	1295798092	3498654909	1009354032	2838473764	1694224332	1595035190	33030.47377	200903192.7	542438630	NaN	NaN	NaN	1112185610	1243131426	3356454909	NaN	NaN	1625363954	12940	NaN	NaN	18910	166472208.1	449474969.9	NaN	-52666665.74	-142200000	NaN	207137033.4	559270000	545929002.5	14856671.59	40113014	NaN	NaN	2.700000048	2.7	2.065048201	0.764832653	2.01073366	89.16925692	2
1.6877E+11	2.66361E+11	2.40027E+11	3.19291E+11	3.09668E+11	3.23608E+11	2.49951E+11	18716338227	23839000000	22042000000	81188662950	1.0341E+11	54192454767	1.11869E+11	1.60345E+11	2.04232E+11	1.2142E+11	3.27302E+11	6.11572E+11	3.34545E+11	7.59401E+11	37242749895	2707941725	NaN	1.44133E+11	26087049698	19076878415	233406256.8	35132299449	6.31721E+11	4.16729E+11	41053272072	41427887051	2.3517E+11	91.60646328	-6000000	3117000000	7.90634E+11	1.00703E+12	4.68452E+11	1.10875E+12	8.57057E+11	1.09163E+12	5.2273E+11	1.19166E+12	7.64678E+11	7.12377E+11	56550.24321	2.32517E+11	2.96157E+11	NaN	5.4038E+11	1.16046E+12	7.8195E+11	8.21018E+11	1.04573E+12	4.99913E+11	1.14284E+12	7.32524E+11	37110	23723.49091	54233.73123	34760	1.9619E+11	2.49887E+11	NaN	-36039098689	-45903000000	NaN	66423019549	84603000000	83173000000	-232393813.3	-296000000	NaN	-31191124951	1.2737	1.1950725	1.42757156	1.120806752	1.504689768	105.1842099	3
