Exports of goods and services (current US$)	Exports of goods and services (constant LCU)	Gross fixed capital formation (current US$)	Gross fixed capital formation (constant LCU)	Gross capital formation (current LCU)	Gross capital formation (constant LCU)	Imports of goods and services (constant LCU)	Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant LCU)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (constant LCU)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (constant LCU)	Services, etc., value added (current US$)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (constant LCU)	Adjusted savings: education expenditure (current US$)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: energy depletion (current US$)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: net national savings (current US$)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (current US$)	Exports as a capacity to import (constant LCU)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	GDP per capita (constant LCU)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9791235.4	NaN	174860338.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	110.7838181	NaN	NaN	NaN	NaN	NaN	NaN	1722905065	3084000000	1792653581	2783800064	NaN	NaN	31475.99629	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.789999962	1.79	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2979941.209	NaN	164999655.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	139.711564	NaN	NaN	NaN	NaN	NaN	NaN	1239840266	1163747891	1120580710	832964614.9	NaN	NaN	13018.12323	NaN	NaN	NaN	NaN	NaN	1235007149	1239840266	1163747891	NaN	NaN	NaN	19300	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.938627276	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4831761.817	87658148.29	NaN	NaN	3639243.948	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	47.81183333	46.61953108	NaN	NaN	NaN	NaN	0
5311195917	NaN	1772215378	NaN	4659295303	NaN	NaN	387132616.5	1080100000	168052842.5	198351254.5	553400000	242284869	86170839.3	4475376344	12486300000	6358620022	1249392769	1291971326	2034842769	514160512.3	141513647.5	53149379.99	NaN	549572396.8	NaN	2068533415	85602092.92	-654885757.9	2099345992	NaN	-2720570942	-2634968849	NaN	888.9493459	NaN	NaN	5956487975	16618601451	NaN	NaN	6154480287	17171000000	8862242855	1931606123	29068878508	33475934263	142.9593607	1276051178	3560182786	NaN	NaN	NaN	5256323716	4717451804	13161690533	NaN	NaN	22281496888	390	NaN	NaN	1650	-105227305	-293584180.9	NaN	-1437028483	-4009309467	-325831040.9	NaN	NaN	NaN	55814117.59	155721388.1	41829085.46	NaN	2.79	2.790706167	0.590700463	0.211720596	1.053648403	NaN	2
593706878.9	71676968619	654394830.1	62694514688	90371926043	60013776896	1.39387E+11	911940617.6	1.25939E+11	92132564992	336770450.6	46507999232	379515855.2	55042998272	518450384.4	71597998080	571894382.6	74116505600	1659970898	1581282260	1.62317E+11	99369199.26	17368800.19	NaN	342670781.7	462800.6642	23352292.16	9712468.102	192442980.8	3128978458	3079504113	240965595.6	250678063.7	75231579540	135.1807882	84926138496	-6471670708	3090361900	4.26779E+11	3063420221	3.28566E+11	3434402453	4.74291E+11	3435833539	3.50857E+11	11931468806	13740367221	114184.248	148101659.9	20452839232	NaN	3422400000	3.54411E+11	3022995092	3495464333	4.82724E+11	3493905058	3.57343E+11	12143604080	980	1137.070534	116295.0033	3950	535163539.1	73906084750	NaN	61061879.2	8432645518	NaN	344040553.1	47512000384	22290730343	326746000	45123622600	34705771509	3554610922	138.1	137.6905833	39.75126504	0.287844063	55.78465114	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	1970320002	7236000000	NaN	7226412732	26539000000	NaN	NaN	35484548325	1.30317E+11	NaN	NaN	46990607197	NaN	NaN	NaN	454930596.1	NaN	11640677781	NaN	7395416977	NaN	NaN	NaN	NaN	NaN	NaN	NaN	53.40504321	NaN	NaN	NaN	NaN	NaN	NaN	84445475523	3.10126E+11	94122535024	5.80705E+11	1.64147E+11	1.89033E+11	200447.9943	NaN	NaN	NaN	56715000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.672499895	3.6725	1.889322347	0.5144513	NaN	NaN	3
27751200768	30448895783	51073900544	53116315458	51073900544	53116315458	34520591420	12638962688	12638962688	15258537848	48089825280	48089825280	48740807103	45598803211	74264969216	74264969216	76440819567	72795678367	1.80002E+11	1.79431E+11	1.76264E+11	12053974296	844494053.3	NaN	34702202799	117355974	4103421609	3992368944	4378692805	2.37109E+11	2.37666E+11	7379448406	11371817350	29294651977	101.8515024	NaN	-458560957.6	2.66906E+11	2.66906E+11	2.69368E+11	2.64318E+11	2.83523E+11	2.83523E+11	2.86464E+11	2.78369E+11	3.32367E+11	3.82756E+11	7617.985084	46123302912	46123302912	47890376014	2.8394E+11	2.77215E+11	2.76267E+11	2.76032E+11	2.76032E+11	2.78956E+11	2.71034E+11	3.23585E+11	7560	7634.036814	7417.261961	8860	39085317490	39085317490	2.69723E+11	-7491296620	-7491296620	-7491296620	16616776704	16616776704	14050930143	453310064.8	453310064.8	453310064.8	-1154243806	1	0.9995	0.853041602	0.853041602	0.989821978	NaN	2
383089987.9	1.60747E+11	303020406.4	1.36037E+11	1.81219E+11	1.44201E+11	3.85442E+11	497525703.1	2.66206E+11	2.51441E+11	390450784.6	2.08915E+11	301922479.8	1.61707E+11	543670642.5	2.90896E+11	547257888.5	2.21957E+11	647390922.9	557024507.9	2.18843E+11	42183488.79	17751935.49	NaN	259638172.6	1979808.313	NaN	47022160.48	-227889473.5	1638804201	1604118703	-252459889	-205437728.5	1.60658E+11	130.4021011	27039399936	6062028229	1688587238	9.03495E+11	1571025905	6.92241E+11	1845482181	9.87444E+11	1805064840	7.5723E+11	5789622012	6667371287	245008.7404	-197311300.9	-1.05573E+11	NaN	1804900000	7.57141E+11	1893112767	1900422181	1.01684E+12	1858857369	7.79883E+11	5961979046	610	601.4505062	252338.2301	1930	31748699.07	16987458849	NaN	54940000	29396196266	NaN	156894928.3	83948199936	64988476453	174200004	93207453696	71825623575	-88736709.63	535.0599976	535.0618333	170.5540862	0.318756937	197.2973815	101.1808333	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
472829621.3	NaN	294014809.6	NaN	793840000	NaN	NaN	21888888.5	59100000	44503018.18	12518518.3	33800000	13073005.95	44587032.7	107481479.6	290200000	107813326.9	320106994.8	425481474	572949756.4	1607099030	21100914.92	2022102.963	NaN	80548566.77	NaN	NaN	NaN	153028612.4	NaN	NaN	NaN	NaN	NaN	79.13979851	-20000	NaN	554851842.1	1498100000	692000630.8	1939822275	651851840.3	1760000000	790817671.3	2223912662	1085172258	1249692353	29267.78525	237522218	641310000	NaN	635523000	NaN	608547169.6	628407396.3	1696700000	NaN	NaN	1046143051	8010	NaN	NaN	13770	233587382.9	630685944.9	NaN	-23444444.03	-63300000	NaN	96999998.29	261900000	287750981	19511110.77	52680000	NaN	NaN	2.700000048	2.7	1.621862324	0.600689739	2.180659927	103.7208023	2
