Exports of goods and services (current US$)	Exports of goods and services (constant LCU)	Gross fixed capital formation (current US$)	Gross fixed capital formation (constant LCU)	Gross capital formation (current LCU)	Gross capital formation (constant LCU)	Imports of goods and services (constant LCU)	Agriculture, value added (current US$)	Agriculture, value added (current LCU)	Agriculture, value added (constant LCU)	Manufacturing, value added (current US$)	Manufacturing, value added (current LCU)	Manufacturing, value added (constant 2000 US$)	Manufacturing, value added (constant LCU)	Industry, value added (current US$)	Industry, value added (current LCU)	Industry, value added (constant 2000 US$)	Industry, value added (constant LCU)	Services, etc., value added (current US$)	Services, etc., value added (constant 2000 US$)	Services, etc., value added (constant LCU)	Adjusted savings: education expenditure (current US$)	Adjusted savings: carbon dioxide damage (current US$)	Adjusted savings: net forest depletion (current US$)	Adjusted savings: consumption of fixed capital (current US$)	Adjusted savings: mineral depletion (current US$)	Adjusted savings: energy depletion (current US$)	Adjusted savings: particulate emission damage (current US$)	Adjusted savings: net national savings (current US$)	Adjusted net national income (current US$)	Adjusted net national income (constant 2000 US$)	Adjusted net savings, including particulate emission damage (current US$)	Adjusted net savings, excluding particulate emission damage (current US$)	Exports as a capacity to import (constant LCU)	GDP deflator (base year varies by country)	Discrepancy in expenditure estimate of GDP (current LCU)	Discrepancy in expenditure estimate of GDP (constant LCU)	Gross value added at factor cost (current US$)	Gross value added at factor cost (current LCU)	Gross value added at factor cost (constant 2000 US$)	Gross value added at factor cost (constant LCU)	GDP (current US$)	GDP (current LCU)	GDP (constant 2000 US$)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2005 international $)	GDP per capita (constant LCU)	Gross domestic savings (current US$)	Gross domestic savings (current LCU)	Gross domestic savings (constant LCU)	Gross domestic income (constant 2000 US$)	Gross domestic income (constant LCU)	GNI, Atlas method (current US$)	GNI (current US$)	GNI (current LCU)	GNI (constant 2000 US$)	GNI (constant LCU)	GNI, PPP (current international $)	GNI per capita, Atlas method (current US$)	GNI per capita (constant 2000 US$)	GNI per capita (constant LCU)	GNI per capita, PPP (current international $)	Gross savings (current US$)	Gross savings (current LCU)	Gross national income (constant LCU)	Net income from abroad (current US$)	Net income from abroad (current LCU)	Net income from abroad (constant LCU)	Net taxes on products (current US$)	Net taxes on products (current LCU)	Net taxes on products (constant LCU)	Net current transfers from abroad (current US$)	Net current transfers from abroad (current LCU)	Net current transfers from abroad (constant LCU)	Terms of trade adjustment (constant LCU)	DEC alternative conversion factor (LCU per US$)	Official exchange rate (LCU per US$, period average)	PPP conversion factor, GDP (LCU per international $)	PPP conversion factor (GDP) to market exchange rate ratio	PPP conversion factor, private consumption (LCU per international $)	Real effective exchange rate index (2005 = 100)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13897596.21	NaN	247734847.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	122.5111049	NaN	NaN	NaN	NaN	NaN	NaN	1911173189	3420999936	1798191506	2792399872	NaN	NaN	29519.21722	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.789999962	1.79	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3276669.025	NaN	189417716.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	155.1649533	NaN	NaN	NaN	NaN	NaN	NaN	1456198796	1547286458	1341509272	997188105.1	NaN	NaN	14443.00081	NaN	NaN	NaN	NaN	NaN	1360515698	1456198796	1547286458	NaN	NaN	NaN	19710	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.062551667	NaN	NaN	NaN	NaN	NaN	3
1325849050	60100000000	504885649	51676000000	22874000000	51300000000	1.211E+11	1933767968	87609954046	87609954046	644029458.2	29177953180	NaN	29177953180	844560875.3	38263090863	NaN	38263090863	1503852491	NaN	68133139752	NaN	2214576.307	127763093.5	340996375.2	NaN	NaN	38534988.09	NaN	3558667354	NaN	NaN	NaN	60072960608	99.99967495	NaN	13676184661	4282181334	1.94006E+11	NaN	1.94006E+11	4338907579	1.96576E+11	NaN	1.96576E+11	14397333418	15615577689	7157.19742	-842020535.9	-38148000000	NaN	NaN	1.96549E+11	NaN	4027426823	1.82464E+11	NaN	1.82466E+11	13363780107	NaN	NaN	6643.442031	490	NaN	NaN	1.96465E+11	-311480755.8	-14111731681	-83660000	56726244.55	2570000000	2570000000	26968142.25	1221800000	1221800000	-27039392.19	45.30530833	47.263	13.65360793	0.301368834	NaN	NaN	0
8406247541	NaN	1436895751	NaN	62548359439	NaN	NaN	897753862.8	39079405200	242970554.3	418719277.4	18226933890	319263408.6	113548964	7794920180	3.39314E+11	7850105182	1542451760	2739064403	2233172475	564274115.6	257591877.2	78052515.96	NaN	1088555776	NaN	3513883539	174267882.4	34776210.47	5188112931	NaN	-3473500603	-3299232720	NaN	21178.30433	NaN	NaN	10853191026	4.72442E+11	NaN	NaN	11431738445	4.97626E+11	10780448534	2349696430	37544808796	40721699050	157.7986322	2732854433	1.18962E+11	898469613.3	NaN	NaN	9133923728	9790552246	4.26185E+11	NaN	NaN	32154725534	610	NaN	NaN	2160	1123667234	48913459427	NaN	-1641186199	-71441163494	-362326933	NaN	NaN	NaN	32126828.46	1398487268	31539270.29	NaN	43.5302	43.53020667	13.25418551	0.304482532	21.87861864	NaN	2
908531238.3	1.14861E+11	1089519347	1.01953E+11	1.52975E+11	1.28345E+11	2.7053E+11	1043802744	1.46556E+11	99958004292	392148954.6	55060000768	380632834.8	55204999168	734584876.9	1.0314E+11	543433401.7	70428012553	2188691046	2081550581	2.13669E+11	130114250.8	23117464.92	NaN	453120723.4	NaN	42950211.05	14266623.14	218885726.1	4080897848	3836688588	268828977.3	283095600.5	1.18246E+11	150.7145727	1.40639E+11	-14176447981	3967078667	5.57001E+11	3580777495	3.84055E+11	4449373456	6.24718E+11	4059111575	4.14504E+11	14966533465	16232941148	134153.3394	-80545578.14	-11309069021	NaN	4035400000	4.17889E+11	4303182051	4576968783	6.42633E+11	4179382391	4.2745E+11	15395730913	1390	1352.648116	138343.4118	4980	672169748.9	94376553742	NaN	127595327.1	17915128229	NaN	482294788.8	67717001728	30449000448	596955000	83815964237	60569727678	3385066364	140.4058333	140.1545159	41.74099429	0.297288177	57.43300483	NaN	1
54362697264	3.30988E+11	23139823670	1.06803E+11	87851000000	1.10429E+11	2.21969E+11	2419605243	8886000000	11316000000	14345813888	52685000000	NaN	65230000000	52212935460	1.91752E+11	NaN	3.85794E+11	55183663932	NaN	2.71508E+11	NaN	519498925.7	NaN	14827349889	NaN	11248008133	1493912657	NaN	NaN	NaN	NaN	NaN	2.52206E+11	60.3184479	NaN	NaN	1.09155E+11	4.0087E+11	NaN	6.65548E+11	1.09816E+11	4.033E+11	1.08372E+11	6.68618E+11	2.0067E+11	2.1765E+11	205432.0979	30438938923	1.11787E+11	NaN	84702000000	5.89836E+11	1.07623E+11	1.10737E+11	4.06683E+11	NaN	6.73608E+11	2.02353E+11	33070	NaN	206965.3481	62170	NaN	NaN	NaN	921170890.8	3383000000	NaN	661674627.5	2430000000	3070000000	NaN	NaN	NaN	-78781564757	3.672499895	3.6725	2.009766079	0.547247416	NaN	NaN	3
28254637655	33122632188	12204679119	26532874178	37386592256	26532874178	14812007287	10414891657	31903936512	14802365091	20762927306	63603073024	38668795813	36176069201	31181203214	95517376512	59522516667	56684138180	55894039589	1.57275E+11	1.54499E+11	4075125159	809789203.6	NaN	11070324622	113906148	6495852612	1438749978	9383771763	76880696069	1.96594E+11	4605100460	6043850437	32042128056	132.8796107	NaN	1304940690	97490135798	2.98642E+11	2.30303E+11	2.25986E+11	1.0204E+11	3.1258E+11	2.42076E+11	2.35236E+11	2.98214E+11	3.23448E+11	6246.739593	27398142672	83928727552	43762994947	2.3984E+11	2.34155E+11	1.52311E+11	94560779450	2.89668E+11	2.22882E+11	2.16553E+11	2.76355E+11	4040	5918.691833	5750.625634	7340	20458597864	62670820674	2.11243E+11	-7479554387	-22912118162	-22912118162	4550197458	13938619392	9249898700	548313199	1679647765	1679647765	-1080504133	3.063299894	3.063256667	1.04817231	0.342170975	1.130764228	NaN	2
697610011.3	3.29645E+11	501210604.3	2.21626E+11	2.95208E+11	2.26549E+11	5.22972E+11	557227522.5	3.19486E+11	2.89624E+11	359259091.3	2.05981E+11	403572006.5	2.1615E+11	836544519.1	4.79633E+11	862854559.4	3.49957E+11	752556030.3	760848152.2	2.98921E+11	54705147.29	18507530.56	NaN	353513560.7	7930667.212	NaN	56196817.44	13473588.72	2103095295	2128640800	-14456279.21	41740538.23	3.29549E+11	137.0159746	-41202900000	-82169248691	2146328072	1.2306E+12	2129908857	9.38502E+11	2376335048	1.36247E+12	2370398385	9.94389E+11	8072483819	8755544832	324850.4335	105432632.8	60449800000	NaN	2370900000	9.94294E+11	2441392029	2464539523	1.41304E+12	2459769230	1.03199E+12	8372117153	800	803.565956	337135.6563	2740	366987149.4	2.10412E+11	1.04451E+12	88204474.8	50572035626	50220492181	230006976.5	1.31875E+11	98418558565	173351049.6	99390824300	73908047247	-95437968.87	573.35	573.3533333	168.7797375	0.294374706	188.9484842	94.21	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
427860182.8	NaN	278474069.2	NaN	751880000	NaN	NaN	14095238.64	38057145	46304330.82	14801385.29	39963741	14262649.49	48644452.67	106244790.3	286860939	122614817.5	364053887.3	601189207.5	604325725.5	1695107253	26588636.09	2237174.024	NaN	100809813.5	NaN	NaN	NaN	95203257.21	NaN	NaN	NaN	NaN	NaN	93.98263629	NaN	NaN	721529236.5	1948128973	741524820.7	2078648921	823203308.8	2222648973	840972692.2	2364957040	1225272391	1328949997	29375.7939	231894260.3	626114514	NaN	665262000	NaN	775329250.9	781756590.3	2110742831	NaN	NaN	1163582260	9630	NaN	NaN	14450	196062205.5	529367964.3	NaN	-41446718.53	-111906142	NaN	101674072.3	274520000	292594284.8	5614663.605	15159592	NaN	NaN	2.700000048	2.7	1.814003963	0.671853308	2.113237233	103.479971	2
